人物显示类型	人物类型	资源文件路经	阴影大小	高度	缩放比例	头部	躯体	下身	坐骑	躯体基本动作	下身基本动作	头部基本动作	坐骑基本动作	情绪动作无门派	情绪动作少林	情绪动作武当	情绪动作丐帮	情绪动作唐门	情绪动作峨嵋
能打开的箱子	普通npc	\image\enemy\113	2	60	60														
破袋子	普通npc	\image\enemy\114	2	60	60														
躺在地上的腐尸	普通npc	\image\enemy\046	2	130	60														
官差	普通npc	\image\enemy\037	2	130	60														
官兵	普通npc	\image\enemy\037	2	130	60														
王伦	普通npc	\image\enemy\039	2	130	60														
二混	普通npc	\image\passby\033	2	130	60														
梁中书	普通npc	\image\enemy\087	2	130	60														
高逑	普通npc	\image\enemy\087	2	130	60														
宋河	普通npc	\image\enemy\017	2	130	60														
李鬼	普通npc	\image\enemy\019	2	130	60														
夏无离	普通npc	\image\enemy\039	2	130	60														
陆风	普通npc	\image\enemy\087	2	130	60														
信使	普通npc	\image\enemy\024	2	90	60														
流寇头目	普通npc	\image\enemy\017	2	130	60														
竹叶青	普通npc	\image\enemy\015	2	130	60														
大野猪	普通npc	\image\enemy\075	2	130	70														
流浪汉	普通npc	\image\enemy\018	2	130	60														
官府爪牙	普通npc	\image\enemy\017	2	130	60														
看门狗30	普通npc	\image\enemy\004	2	80	70														
看门狗40	普通npc	\image\enemy\004	2	80	70														
看门狗50	普通npc	\image\enemy\004	2	80	70														
看门狗60	普通npc	\image\enemy\004	2	80	70														
看门狗70	普通npc	\image\enemy\004	2	80	70														
看门狗80	普通npc	\image\enemy\004	2	80	70														
看门狗90	普通npc	\image\enemy\004	2	80	70														
护院家丁30	普通npc	\image\enemy\017	2	135	60														
护院家丁40	普通npc	\image\enemy\017	2	135	60														
护院家丁50	普通npc	\image\enemy\017	2	135	60														
护院家丁60	普通npc	\image\enemy\017	2	135	60														
护院家丁70	普通npc	\image\enemy\017	2	135	60														
护院家丁80	普通npc	\image\enemy\017	2	135	60														
护院家丁90	普通npc	\image\enemy\017	2	135	60														
藏剑山庄外院总管30	普通npc	\image\enemy\066	2	175	75														
藏剑山庄外院总管40	普通npc	\image\enemy\066	2	175	75														
藏剑山庄外院总管50	普通npc	\image\enemy\066	2	175	75														
藏剑山庄外院总管60	普通npc	\image\enemy\066	2	175	75														
藏剑山庄外院总管70	普通npc	\image\enemy\066	2	175	75														
藏剑山庄外院总管80	普通npc	\image\enemy\066	2	175	75														
藏剑山庄外院总管90	普通npc	\image\enemy\066	2	175	75														
山庄教头30	普通npc	\image\enemy\042	2	140	60														
山庄教头40	普通npc	\image\enemy\042	2	140	60														
山庄教头50	普通npc	\image\enemy\042	2	140	60														
山庄教头60	普通npc	\image\enemy\042	2	140	60														
山庄教头70	普通npc	\image\enemy\042	2	140	60														
山庄教头80	普通npc	\image\enemy\042	2	140	60														
山庄教头90	普通npc	\image\enemy\042	2	140	60														
山庄内院总管30	普通npc	\image\enemy\141	2	175	70														
山庄内院总管40	普通npc	\image\enemy\141	2	175	70														
山庄内院总管50	普通npc	\image\enemy\141	2	175	70														
山庄内院总管60	普通npc	\image\enemy\141	2	175	70														
山庄内院总管70	普通npc	\image\enemy\141	2	175	70														
山庄内院总管80	普通npc	\image\enemy\141	2	175	70														
山庄内院总管90	普通npc	\image\enemy\141	2	175	70														
老女仆30	普通npc	\image\enemy\091	2	155	60														
老女仆40	普通npc	\image\enemy\091	2	155	60														
老女仆50	普通npc	\image\enemy\091	2	155	60														
老女仆60	普通npc	\image\enemy\091	2	155	60														
老女仆70	普通npc	\image\enemy\091	2	155	60														
老女仆80	普通npc	\image\enemy\091	2	155	60														
老女仆90	普通npc	\image\enemy\091	2	155	60														
大小姐30	普通npc	\image\enemy\076	2	175	70														
大小姐40	普通npc	\image\enemy\076	2	175	70														
大小姐50	普通npc	\image\enemy\076	2	175	70														
大小姐60	普通npc	\image\enemy\076	2	175	70														
大小姐70	普通npc	\image\enemy\076	2	175	70														
大小姐80	普通npc	\image\enemy\076	2	175	70														
大小姐90	普通npc	\image\enemy\076	2	175	70														
连环邬守卫30	普通npc	\image\enemy\026	2	155	60														
连环邬守卫40	普通npc	\image\enemy\026	2	155	60														
连环邬守卫50	普通npc	\image\enemy\026	2	155	60														
连环邬守卫60	普通npc	\image\enemy\026	2	155	60														
连环邬守卫70	普通npc	\image\enemy\026	2	155	60														
连环邬守卫80	普通npc	\image\enemy\026	2	155	60														
连环邬守卫90	普通npc	\image\enemy\026	2	155	60														
高级山庄弟子30	普通npc	\image\enemy\039	2	140	60														
高级山庄弟子40	普通npc	\image\enemy\039	2	140	60														
高级山庄弟子50	普通npc	\image\enemy\039	2	140	60														
高级山庄弟子60	普通npc	\image\enemy\039	2	140	60														
高级山庄弟子70	普通npc	\image\enemy\039	2	140	60														
高级山庄弟子80	普通npc	\image\enemy\039	2	140	60														
高级山庄弟子90	普通npc	\image\enemy\039	2	140	60														
大庄主30	普通npc	\image\enemy\087	2	175	70														
大庄主40	普通npc	\image\enemy\087	2	175	70														
大庄主50	普通npc	\image\enemy\087	2	175	70														
大庄主60	普通npc	\image\enemy\087	2	175	70														
大庄主70	普通npc	\image\enemy\087	2	175	70														
大庄主80	普通npc	\image\enemy\087	2	175	70														
大庄主90	普通npc	\image\enemy\087	2	175	70														
金剑30	普通npc	\image\enemy\040	2	140	60														
金剑40	普通npc	\image\enemy\040	2	140	60														
金剑50	普通npc	\image\enemy\040	2	140	60														
金剑60	普通npc	\image\enemy\040	2	140	60														
金剑70	普通npc	\image\enemy\040	2	140	60														
金剑80	普通npc	\image\enemy\040	2	140	60														
金剑90	普通npc	\image\enemy\040	2	140	60														
木剑30	普通npc	\image\enemy\040	2	140	60														
木剑40	普通npc	\image\enemy\040	2	140	60														
木剑50	普通npc	\image\enemy\040	2	140	60														
木剑60	普通npc	\image\enemy\040	2	140	60														
木剑70	普通npc	\image\enemy\040	2	140	60														
木剑80	普通npc	\image\enemy\040	2	140	60														
木剑90	普通npc	\image\enemy\040	2	140	60														
水剑30	普通npc	\image\enemy\040	2	140	60														
水剑40	普通npc	\image\enemy\040	2	140	60														
水剑50	普通npc	\image\enemy\040	2	140	60														
水剑60	普通npc	\image\enemy\040	2	140	60														
水剑70	普通npc	\image\enemy\040	2	140	60														
水剑80	普通npc	\image\enemy\040	2	140	60														
水剑90	普通npc	\image\enemy\040	2	140	60														
火剑30	普通npc	\image\enemy\040	2	140	60														
火剑40	普通npc	\image\enemy\040	2	140	60														
火剑50	普通npc	\image\enemy\040	2	140	60														
火剑60	普通npc	\image\enemy\040	2	140	60														
火剑70	普通npc	\image\enemy\040	2	140	60														
火剑80	普通npc	\image\enemy\040	2	140	60														
火剑90	普通npc	\image\enemy\040	2	140	60														
土剑30	普通npc	\image\enemy\040	2	140	60														
土剑40	普通npc	\image\enemy\040	2	140	60														
土剑50	普通npc	\image\enemy\040	2	140	60														
土剑60	普通npc	\image\enemy\040	2	140	60														
土剑70	普通npc	\image\enemy\040	2	140	60														
土剑80	普通npc	\image\enemy\040	2	140	60														
土剑90	普通npc	\image\enemy\040	2	140	60														
藏剑阁总管30	普通npc	\image\enemy\140	2	170	75														
藏剑阁总管40	普通npc	\image\enemy\140	2	170	75														
藏剑阁总管50	普通npc	\image\enemy\140	2	170	75														
藏剑阁总管60	普通npc	\image\enemy\140	2	170	75														
藏剑阁总管70	普通npc	\image\enemy\140	2	170	75														
藏剑阁总管80	普通npc	\image\enemy\140	2	170	75														
藏剑阁总管90	普通npc	\image\enemy\140	2	170	75														
落魄书生30	普通npc																		
落魄书生40	普通npc																		
落魄书生50	普通npc																		
落魄书生60	普通npc																		
落魄书生70	普通npc																		
落魄书生80	普通npc																		
落魄书生90	普通npc																		
琅琊玉府总管30	普通npc																		
琅琊玉府总管40	普通npc																		
琅琊玉府总管50	普通npc																		
琅琊玉府总管60	普通npc																		
琅琊玉府总管70	普通npc																		
琅琊玉府总管80	普通npc																		
琅琊玉府总管90	普通npc																		
铸工30	普通npc																		
铸工40	普通npc																		
铸工50	普通npc																		
铸工60	普通npc																		
铸工70	普通npc																		
铸工80	普通npc																		
铸工90	普通npc																		
断天锤30	普通npc																		
断天锤40	普通npc																		
断天锤50	普通npc																		
断天锤60	普通npc																		
断天锤70	普通npc																		
断天锤80	普通npc																		
断天锤90	普通npc																		
天问	普通npc																		
神秘客30	普通npc	\image\enemy\085	2	140	60														
神秘客40	普通npc	\image\enemy\085	2	140	60														
神秘客50	普通npc	\image\enemy\085	2	140	60														
神秘客60	普通npc	\image\enemy\085	2	140	60														
神秘客70	普通npc	\image\enemy\085	2	140	60														
神秘客80	普通npc	\image\enemy\085	2	140	60														
神秘客90	普通npc	\image\enemy\085	2	140	60														
机关30	普通npc																		
机关40	普通npc																		
机关50	普通npc																		
机关60	普通npc																		
机关70	普通npc																		
机关80	普通npc																		
机关90	普通npc																		
剑魂30	普通npc	\image\enemy\142	2	175	75														
剑魂40	普通npc	\image\enemy\142	2	175	75														
剑魂50	普通npc	\image\enemy\142	2	175	75														
剑魂60	普通npc	\image\enemy\142	2	175	75														
剑魂70	普通npc	\image\enemy\142	2	175	75														
剑魂80	普通npc	\image\enemy\142	2	175	75														
剑魂90	普通npc	\image\enemy\142	2	175	75														
透明人	普通npc	\iamge\enemy\128	2	60	60														
插剑的石台	普通npc																		
书画obj	普通npc																		
蚩火刀客	普通npc	\image\enemy\034	2	140	60														
天阴武士	普通npc	\image\enemy\035	2	145	60														
天阴箭手	普通npc	\image\enemy\035	2	145	60														
天阴杀手	普通npc	\image\enemy\036	2	140	60														
蚩火蛊师	普通npc	\image\enemy\034	2	140	60														
蚩火教徒	普通npc	\image\enemy\034	2	140	60														
蚩火教高手	普通npc	\image\enemy\034	2	140	60														
章伟刚	普通npc	\image\enemy\019	2	140	60														
姚立诚	普通npc	\image\enemy\019	2	140	60														
雷胜尸体	普通npc	\image\passby\119	2	140	60														
雷胜护卫尸体	普通npc	\image\passby\120	2	140	60														
倒地书童	普通npc	\image\passby\121	2	140	60														
九头金凤	普通npc	\image\enemy\076	2	140	70														
萧寒	普通npc	\image\enemy\023	2	140	70														
九尾银狐	普通npc	\image\enemy\076	2	140	70														
西夏将领1	普通npc	\image\enemy\038	2	130	60														
西夏将领2	普通npc	\image\enemy\017	2	130	60														
西夏将领3	普通npc	\image\enemy\027	2	130	60														
野利霸岩	普通npc	\image\enemy\041	2	160	75														
毒药箱	普通npc	\image\enemy\113	2	130	60														
岗哨	普通npc	\image\enemy\126	2	130	60														
粮草辎重	普通npc	\image\enemy\117	2	130	60														
西夏咒师	普通npc	\image\enemy\028	2	140	75														
采矿	普通npc	\image\passby\113	2	130	60														
伐木	普通npc	\image\passby\114	2	130	60														
抽丝	普通npc	\image\passby\115	2	130	60														
采药	普通npc	\image\passby\116	2	130	60														
制皮	普通npc	\image\passby\117	2	130	60														
收种	普通npc	\image\passby\118	2	130	60														
宋万	普通npc	\image\enemy\040	2	150	75														
李立	普通npc	\image\enemy\039	2	150	75														
顾大嫂	普通npc	\image\enemy\091	2	150	75														
透明人火30	普通npc	\iamge\enemy\128	2	140	60														
透明人火40	普通npc	\iamge\enemy\128	2	140	60														
透明人火50	普通npc	\iamge\enemy\128	2	140	60														
透明人火60	普通npc	\iamge\enemy\128	2	140	60														
透明人火70	普通npc	\iamge\enemy\128	2	140	60														
透明人火80	普通npc	\iamge\enemy\128	2	140	60														
透明人火90	普通npc	\iamge\enemy\128	2	140	60														
透明人冰30	普通npc	\iamge\enemy\128	2	140	60														
透明人冰40	普通npc	\iamge\enemy\128	2	140	60														
透明人冰50	普通npc	\iamge\enemy\128	2	140	60														
透明人冰60	普通npc	\iamge\enemy\128	2	140	60														
透明人冰70	普通npc	\iamge\enemy\128	2	140	60														
透明人冰80	普通npc	\iamge\enemy\128	2	140	60														
透明人冰90	普通npc	\iamge\enemy\128	2	140	60														
透明人睡眠30	普通npc	\iamge\enemy\128	2	140	60														
透明人睡眠40	普通npc	\iamge\enemy\128	2	140	60														
透明人睡眠50	普通npc	\iamge\enemy\128	2	140	60														
透明人睡眠60	普通npc	\iamge\enemy\128	2	140	60														
透明人睡眠70	普通npc	\iamge\enemy\128	2	140	60														
透明人睡眠80	普通npc	\iamge\enemy\128	2	140	60														
透明人睡眠90	普通npc	\iamge\enemy\128	2	140	60														
透明人混乱30	普通npc	\iamge\enemy\128	2	140	60														
透明人混乱40	普通npc	\iamge\enemy\128	2	140	60														
透明人混乱50	普通npc	\iamge\enemy\128	2	140	60														
透明人混乱60	普通npc	\iamge\enemy\128	2	140	60														
透明人混乱70	普通npc	\iamge\enemy\128	2	140	60														
透明人混乱80	普通npc	\iamge\enemy\128	2	140	60														
透明人混乱90	普通npc	\iamge\enemy\128	2	140	60														
透明人眩晕30	普通npc	\iamge\enemy\128	2	140	60														
透明人眩晕40	普通npc	\iamge\enemy\128	2	140	60														
透明人眩晕50	普通npc	\iamge\enemy\128	2	140	60														
透明人眩晕60	普通npc	\iamge\enemy\128	2	140	60														
透明人眩晕70	普通npc	\iamge\enemy\128	2	140	60														
透明人眩晕80	普通npc	\iamge\enemy\128	2	140	60														
透明人眩晕90	普通npc	\iamge\enemy\128	2	140	60														
箱子钱	普通npc	\image\enemy\113	2	140	60														
箱子经验	普通npc	\image\enemy\113	2	140	60														
箱子物品中	普通npc	\image\enemy\113	2	140	60														
箱子物品高	普通npc	\image\enemy\113	2	140	60														
普通箱子30	普通npc	\image\enemy\113	2	140	60														
普通箱子40	普通npc	\image\enemy\113	2	140	60														
普通箱子50	普通npc	\image\enemy\113	2	140	60														
普通箱子60	普通npc	\image\enemy\113	2	140	60														
普通箱子70	普通npc	\image\enemy\113	2	140	60														
普通箱子80	普通npc	\image\enemy\113	2	140	60														
普通箱子90	普通npc	\image\enemy\113	2	140	60														
客户端树桩	普通npc	\image\passby\122			60														
血咒祭坛	普通npc		2	140	60														
坟墓	普通npc		2	140	60														
泥人	普通npc		2	140	60														
甑子丹	普通npc	\image\passby\126	2	140	60														
赵有德	普通npc		2	140	60														
田不光	普通npc		2	140	60														
唐峰	普通npc	\image\enemy\026	2	140	60														
唐礼	普通npc	\image\enemy\076	2	140	60														
蒙面人	普通npc	\image\enemy\020	2	140	60														
田不光	普通npc		2	140	60														
窃贼头目	普通npc		2	140	60														
天阴杀手头领	普通npc	\image\enemy\036	2	140	60														
明智和尚	普通npc	\image\enemy\028	2	140	60														
法正	普通npc	\image\enemy\028	2	140	60														
乌盟部祭祀	普通npc		2	140	60														
流氓大牛	普通npc	\image\enemy\017	2	140	60														
无赖李三	普通npc	\image\enemy\017	2	140	60														
葡国女巫	普通npc		2	140	60														
九尾妖狐	普通npc		2	140	60														
武二	普通npc	\image\enemy\089	2	140	60														
张杨	普通npc	\image\enemy\098	2	140	60														
剑狂	普通npc	\image\enemy\040	2	140	60														
紫虚道长	普通npc		2	140	60														
唐肥	普通npc	\image\enemy\026	2	140	60														
百年尸妖	普通npc	\image\enemy\046	2	140	60														
萧霸	普通npc	\image\enemy\038	2	140	60														
歹徒	普通npc	\image\enemy\017	2	140	60														
歹徒头目	普通npc	\image\enemy\086	2	140	60														
上古火麒麟	普通npc	\image\enemy\054	2	180	80														
鱼怪头目	普通npc	\image\enemy\055	2	160	75														
伏牛山大王	普通npc	\image\enemy\086	2	180	80														
泰宏绝的尸体	普通npc		2	140	60														
蚩火教徒的尸体	普通npc		2	140	60														
杀手10	普通npc	\image\enemy\024	2	100	60														
杀手11	普通npc	\image\enemy\024	2	100	60														
杀手12	普通npc	\image\enemy\024	2	100	60														
杀手13	普通npc	\image\enemy\024	2	100	60														
杀手14	普通npc	\image\enemy\024	2	100	60														
杀手15	普通npc	\image\enemy\024	2	100	60														
杀手20	普通npc	\image\enemy\024	2	100	60														
杀手21	普通npc	\image\enemy\024	2	100	60														
杀手22	普通npc	\image\enemy\024	2	100	60														
杀手23	普通npc	\image\enemy\024	2	100	60														
杀手24	普通npc	\image\enemy\024	2	100	60														
杀手25	普通npc	\image\enemy\024	2	100	60														
杀手30	普通npc	\image\enemy\024	2	100	60														
杀手31	普通npc	\image\enemy\024	2	100	60														
杀手32	普通npc	\image\enemy\024	2	100	60														
杀手33	普通npc	\image\enemy\024	2	100	60														
杀手34	普通npc	\image\enemy\024	2	100	60														
杀手35	普通npc	\image\enemy\024	2	100	60														
杀手40	普通npc	\image\enemy\024	2	100	60														
杀手41	普通npc	\image\enemy\024	2	100	60														
杀手42	普通npc	\image\enemy\024	2	100	60														
杀手43	普通npc	\image\enemy\024	2	100	60														
杀手44	普通npc	\image\enemy\024	2	100	60														
杀手45	普通npc	\image\enemy\024	2	100	60														
杀手50	普通npc	\image\enemy\024	2	100	60														
杀手51	普通npc	\image\enemy\024	2	100	60														
杀手52	普通npc	\image\enemy\024	2	100	60														
杀手53	普通npc	\image\enemy\024	2	100	60														
杀手54	普通npc	\image\enemy\024	2	100	60														
杀手55	普通npc	\image\enemy\024	2	100	60														
杀手60	普通npc	\image\enemy\024	2	100	60														
杀手61	普通npc	\image\enemy\024	2	100	60														
杀手62	普通npc	\image\enemy\024	2	100	60														
杀手63	普通npc	\image\enemy\024	2	100	60														
杀手64	普通npc	\image\enemy\024	2	100	60														
杀手65	普通npc	\image\enemy\024	2	100	60														
杀手70	普通npc	\image\enemy\024	2	100	60														
杀手71	普通npc	\image\enemy\024	2	100	60														
杀手72	普通npc	\image\enemy\024	2	100	60														
杀手73	普通npc	\image\enemy\024	2	100	60														
杀手74	普通npc	\image\enemy\024	2	100	60														
杀手75	普通npc	\image\enemy\024	2	100	60														
杀手80	普通npc	\image\enemy\024	2	100	60														
杀手81	普通npc	\image\enemy\024	2	100	60														
杀手82	普通npc	\image\enemy\024	2	100	60														
杀手83	普通npc	\image\enemy\024	2	100	60														
杀手84	普通npc	\image\enemy\024	2	100	60														
杀手85	普通npc	\image\enemy\024	2	100	60														
杀手90	普通npc	\image\enemy\024	2	100	60														
杀手91	普通npc	\image\enemy\024	2	100	60														
杀手92	普通npc	\image\enemy\024	2	100	60														
杀手93	普通npc	\image\enemy\024	2	100	60														
杀手94	普通npc	\image\enemy\024	2	100	60														
杀手95	普通npc	\image\enemy\024	2	100	60														
杀手同伴10	普通npc	\image\enemy\020	2	90	60														
杀手同伴20	普通npc	\image\enemy\020	2	90	60														
杀手同伴30	普通npc	\image\enemy\020	2	90	60														
杀手同伴40	普通npc	\image\enemy\020	2	90	60														
杀手同伴50	普通npc	\image\enemy\020	2	130	60														
杀手同伴60	普通npc	\image\enemy\020	2	130	60														
杀手同伴70	普通npc	\image\enemy\020	2	130	60														
杀手同伴80	普通npc	\image\enemy\020	2	130	60														
杀手同伴90	普通npc	\image\enemy\020	2	130	60														
顶级杀手10	普通npc	\image\enemy\039	2	160	75														
顶级杀手11	普通npc	\image\enemy\039	2	160	75														
顶级杀手12	普通npc	\image\enemy\039	2	160	75														
顶级杀手13	普通npc	\image\enemy\039	2	160	75														
顶级杀手14	普通npc	\image\enemy\039	2	160	75														
顶级杀手15	普通npc	\image\enemy\039	2	160	75														
顶级杀手20	普通npc	\image\enemy\039	2	160	75														
顶级杀手21	普通npc	\image\enemy\039	2	160	75														
顶级杀手22	普通npc	\image\enemy\039	2	160	75														
顶级杀手23	普通npc	\image\enemy\039	2	160	75														
顶级杀手24	普通npc	\image\enemy\039	2	160	75														
顶级杀手25	普通npc	\image\enemy\039	2	160	75														
顶级杀手30	普通npc	\image\enemy\039	2	160	75														
顶级杀手31	普通npc	\image\enemy\039	2	160	75														
顶级杀手32	普通npc	\image\enemy\039	2	160	75														
顶级杀手33	普通npc	\image\enemy\039	2	160	75														
顶级杀手34	普通npc	\image\enemy\039	2	160	75														
顶级杀手35	普通npc	\image\enemy\039	2	160	75														
顶级杀手40	普通npc	\image\enemy\039	2	160	75														
顶级杀手41	普通npc	\image\enemy\039	2	160	75														
顶级杀手42	普通npc	\image\enemy\039	2	160	75														
顶级杀手43	普通npc	\image\enemy\039	2	160	75														
顶级杀手44	普通npc	\image\enemy\039	2	160	75														
顶级杀手45	普通npc	\image\enemy\039	2	160	75														
顶级杀手50	普通npc	\image\enemy\105	2	160	75														
顶级杀手51	普通npc	\image\enemy\105	2	160	75														
顶级杀手52	普通npc	\image\enemy\105	2	160	75														
顶级杀手53	普通npc	\image\enemy\105	2	160	75														
顶级杀手54	普通npc	\image\enemy\105	2	160	75														
顶级杀手55	普通npc	\image\enemy\105	2	160	75														
顶级杀手60	普通npc	\image\enemy\105	2	160	75														
顶级杀手61	普通npc	\image\enemy\105	2	160	75														
顶级杀手62	普通npc	\image\enemy\105	2	160	75														
顶级杀手63	普通npc	\image\enemy\105	2	160	75														
顶级杀手64	普通npc	\image\enemy\105	2	160	75														
顶级杀手65	普通npc	\image\enemy\105	2	160	75														
顶级杀手70	普通npc	\image\enemy\105	2	160	75														
顶级杀手71	普通npc	\image\enemy\105	2	160	75														
顶级杀手72	普通npc	\image\enemy\105	2	160	75														
顶级杀手73	普通npc	\image\enemy\105	2	160	75														
顶级杀手74	普通npc	\image\enemy\105	2	160	75														
顶级杀手75	普通npc	\image\enemy\105	2	160	75														
顶级杀手80	普通npc	\image\enemy\105	2	160	75														
顶级杀手81	普通npc	\image\enemy\105	2	160	75														
顶级杀手82	普通npc	\image\enemy\105	2	160	75														
顶级杀手83	普通npc	\image\enemy\105	2	160	75														
顶级杀手84	普通npc	\image\enemy\105	2	160	75														
顶级杀手85	普通npc	\image\enemy\105	2	160	75														
顶级杀手90	普通npc	\image\enemy\105	2	160	75														
顶级杀手91	普通npc	\image\enemy\105	2	160	75														
顶级杀手92	普通npc	\image\enemy\105	2	160	75														
顶级杀手93	普通npc	\image\enemy\105	2	160	75														
顶级杀手94	普通npc	\image\enemy\105	2	160	75														
顶级杀手95	普通npc	\image\enemy\105	2	160	75														
宝藏妖怪10	普通npc	\image\enemy\011	2	160	70														
宝藏妖怪20	普通npc	\image\enemy\046	2	130	60														
宝藏妖怪30	普通npc	\image\enemy\057	2	145	60														
宝藏妖怪40	普通npc	\image\enemy\080	2	100	60														
宝藏妖怪50	普通npc	\image\enemy\058	2	155	60														
宝藏妖怪60	普通npc	\image\enemy\079	2	100	60														
宝藏妖怪70	普通npc	\image\enemy\051	2	170	60														
宝藏妖怪80	普通npc	\image\enemy\079	2	100	60														
宝藏妖怪90	普通npc	\image\enemy\056	2	110	60														
金刚门僧人10	普通npc	\image\enemy\028	3	160	60														
金刚门僧人20	普通npc	\image\enemy\028	3	160	60														
金刚门僧人30	普通npc	\image\enemy\028	3	160	60														
金刚门僧人40	普通npc	\image\enemy\028	3	160	60														
金刚门僧人50	普通npc	\image\enemy\028	3	160	60														
金刚门僧人60	普通npc	\image\enemy\028	3	160	60														
金刚门僧人70	普通npc	\image\enemy\028	3	160	60														
金刚门僧人80	普通npc	\image\enemy\028	3	160	60														
金刚门僧人90	普通npc	\image\enemy\028	3	160	60														
武当弃徒10	普通npc	\image\enemy\076	2	130	60														
武当弃徒20	普通npc	\image\enemy\076	2	130	60														
武当弃徒30	普通npc	\image\enemy\076	2	130	60														
武当弃徒40	普通npc	\image\enemy\077	2	130	60														
武当弃徒50	普通npc	\image\enemy\078	2	130	60														
武当弃徒60	普通npc	\image\enemy\079	2	130	60														
武当弃徒70	普通npc	\image\enemy\080	2	130	60														
武当弃徒80	普通npc	\image\enemy\081	2	130	60														
武当弃徒90	普通npc	\image\enemy\082	2	130	60														
采花贼10	普通npc	\image\enemy\039	2	140	60														
采花贼20	普通npc	\image\enemy\039	2	140	60														
采花贼30	普通npc	\image\enemy\039	2	140	60														
采花贼40	普通npc	\image\enemy\039	2	140	60														
采花贼50	普通npc	\image\enemy\039	2	140	60														
采花贼60	普通npc	\image\enemy\039	2	140	60														
采花贼70	普通npc	\image\enemy\039	2	140	60														
采花贼80	普通npc	\image\enemy\039	2	140	60														
采花贼90	普通npc	\image\enemy\039	2	140	60														
扶桑武士10	普通npc	\image\enemy\033	2	140	60														
扶桑武士20	普通npc	\image\enemy\033	2	140	60														
扶桑武士30	普通npc	\image\enemy\033	2	140	60														
扶桑武士40	普通npc	\image\enemy\033	2	140	60														
扶桑武士50	普通npc	\image\enemy\033	2	140	60														
扶桑武士60	普通npc	\image\enemy\033	2	140	60														
扶桑武士70	普通npc	\image\enemy\033	2	140	60														
扶桑武士80	普通npc	\image\enemy\033	2	140	60														
扶桑武士90	普通npc	\image\enemy\033	2	140	60														
六扇门密探10	普通npc	\image\enemy\098	2	140	60														
六扇门密探20	普通npc	\image\enemy\098	2	140	60														
六扇门密探30	普通npc	\image\enemy\098	2	140	60														
六扇门密探40	普通npc	\image\enemy\098	2	140	60														
六扇门密探50	普通npc	\image\enemy\098	2	140	60														
六扇门密探60	普通npc	\image\enemy\098	2	140	60														
六扇门密探70	普通npc	\image\enemy\098	2	140	60														
六扇门密探80	普通npc	\image\enemy\098	2	140	60														
六扇门密探90	普通npc	\image\enemy\098	2	140	60														
木柱	普通npc	\image\passby\128	2	140	60														
剑台30	普通npc	\image\enemy\129	2	140	60														
剑台40	普通npc	\image\enemy\129	2	140	60														
剑台50	普通npc	\image\enemy\129	2	140	60														
剑台60	普通npc	\image\enemy\129	2	140	60														
剑台70	普通npc	\image\enemy\129	2	140	60														
剑台80	普通npc	\image\enemy\129	2	140	60														
剑台90	普通npc	\image\enemy\129	2	140	60														
剑台对话	普通npc	\image\enemy\129	2	140	60														
盘龙柱	普通npc	\image\enemy\130	2	280	60														
低级藏剑护院	普通npc	\image\enemy\021	2	140	60														
中级藏剑护院	普通npc	\image\enemy\021	2	140	60														
高级藏剑护院	普通npc	\image\enemy\021	2	140	60														
低级老女仆	普通npc	\image\enemy\091	2	140	60														
中级老女仆	普通npc	\image\enemy\091	2	140	60														
高级老女仆	普通npc	\image\enemy\091	2	140	60														
低级铜剑护卫	普通npc	\image\enemy\021	2	140	60														
中级铜剑护卫	普通npc	\image\enemy\021	2	140	60														
高级铜剑护卫	普通npc	\image\enemy\021	2	140	60														
低级银剑护卫	普通npc	\image\enemy\021	2	140	60														
中级银剑护卫	普通npc	\image\enemy\021	2	140	60														
高级银剑护卫	普通npc	\image\enemy\021	2	140	60														
低级金剑护卫	普通npc	\image\enemy\021	2	140	60														
中级金剑护卫	普通npc	\image\enemy\021	2	140	60														
高级金剑护卫	普通npc	\image\enemy\021	2	140	60														
低级圣剑护卫	普通npc	\image\enemy\021	2	140	60														
中级圣剑护卫	普通npc	\image\enemy\021	2	140	60														
高级圣剑护卫	普通npc	\image\enemy\021	2	140	60														
低级天剑护卫	普通npc	\image\enemy\021	2	140	60														
中级天剑护卫	普通npc	\image\enemy\021	2	140	60														
高级天剑护卫	普通npc	\image\enemy\021	2	140	60														
低级魔剑之魂	普通npc	\image\enemy\099	2	140	60														
中级魔剑之魂	普通npc	\image\enemy\099	2	140	60														
高级魔剑之魂	普通npc	\image\enemy\099	2	140	60														
低级万剑之魂	普通npc	\image\enemy\099	2	140	60														
中级万剑之魂	普通npc	\image\enemy\099	2	140	60														
高级万剑之魂	普通npc	\image\enemy\099	2	140	60														
低级剑魔之徒	普通npc	\image\enemy\021	2	140	60														
中级剑魔之徒	普通npc	\image\enemy\021	2	140	60														
高级剑魔之徒	普通npc	\image\enemy\021	2	140	60														
低级燃命剑魂	普通npc	\image\enemy\099	2	140	60														
中级燃命剑魂	普通npc	\image\enemy\099	2	140	60														
高级燃命剑魂	普通npc	\image\enemy\099	2	140	60														
北绿林山贼	普通npc	\image\enemy\017	2	140	60														
北绿林山大王	普通npc	\image\enemy\019	2	140	60														
心腹密探	普通npc	\image\enemy\020	2	140	60														
绿林高手	普通npc	\image\enemy\027	3	140	60														
幻影武士	普通npc	\image\enemy\083	2	140	60														
枪神赢天	普通npc	\image\enemy\083	2	200	100														
