NPC显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	爬起	攻击1	攻击2	暴击
xxx	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
车轮霸王	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
血爪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
苗族小姑娘1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
苗族小姑娘2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
荒漠刀客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
药王	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
城门卫兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
城市流氓	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
官府衙役	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
超级泼妇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
江湖俊杰	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
江湖豪杰	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南苗人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
苗族少女	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
六扇门高手1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
六扇门高手2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
六扇门高手3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蓝刀鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
辽国武将对话	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
辽国武将	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
坐地乞丐	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
游方相士	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通少年男1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通少年男2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通少年男3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
村妇1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
村妇2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
村妇3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
管家	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教教主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教圣女	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教弟子	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
收集商人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
游方医生	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
御厨	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
云游道人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
驯兽师	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
礼仪老师	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剃头师父	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
武林盟传人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
公告栏	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
瘦富家老头	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中年瘦官吏1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中年瘦官吏2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中年瘦官吏3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
职能武林盟主1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
职能武林盟主2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
书生	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
健康的余太君	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
超级贵妇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通贵妇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
习武大小姐	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
侠女	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
农家老头	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
村中少年	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
农家老太	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
民家少女	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
教书的	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
挑担的	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
卖货的	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
糖葫芦	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老板娘	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
渔民	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋将军	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋江	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
唐门掌门新	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
暗器房主管	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火器房主管	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
唐门门人新	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑掌门新	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑副掌门新	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑长老新	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑门人新	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
五毒掌门新	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方将军	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方男性1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方男性2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方男性3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方老头1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方老头2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方妇女1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方妇女2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方少女1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
北方少女2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南男性	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南女性	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西北男性	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西北女性	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
传教士	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西洋贵妇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
波斯商人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
波斯舞伎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
切换	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
瀑布	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
林间鸟叫	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
河水	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
箱子	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
maptrap8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山羊	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小老虎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小熊	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
猎户	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
暮雪剑客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
暮雪枪客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
拦路贼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
时迁	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏红花	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
桔梗	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
田七	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
能打开的箱子	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
破袋子	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
躺在地上的腐尸	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
官差	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
官兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
王伦	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
二混	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
梁中书	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高逑	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋河	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
李鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
夏无离	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
陆风	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
信使	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
流寇头目	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
竹叶青	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大野猪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
流浪汉	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
官府爪牙	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
看门狗30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
看门狗40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
看门狗50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
看门狗60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
看门狗70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
看门狗80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
看门狗90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
护院家丁30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
护院家丁40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
护院家丁50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
护院家丁60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
护院家丁70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
护院家丁80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
护院家丁90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑山庄外院总管30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑山庄外院总管40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑山庄外院总管50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑山庄外院总管60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑山庄外院总管70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑山庄外院总管80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑山庄外院总管90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄教头30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄教头40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄教头50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄教头60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄教头70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄教头80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄教头90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄内院总管30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄内院总管40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄内院总管50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄内院总管60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄内院总管70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄内院总管80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山庄内院总管90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老女仆30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老女仆40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老女仆50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老女仆60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老女仆70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老女仆80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老女仆90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大小姐30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大小姐40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大小姐50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大小姐60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大小姐70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大小姐80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大小姐90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
连环邬守卫30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
连环邬守卫40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
连环邬守卫50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
连环邬守卫60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
连环邬守卫70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
连环邬守卫80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
连环邬守卫90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高级山庄弟子30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高级山庄弟子40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高级山庄弟子50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高级山庄弟子60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高级山庄弟子70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高级山庄弟子80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
高级山庄弟子90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大庄主30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大庄主40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大庄主50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大庄主60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大庄主70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大庄主80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大庄主90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金剑30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金剑40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金剑50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金剑60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金剑70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金剑80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金剑90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木剑30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木剑40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木剑50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木剑60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木剑70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木剑80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木剑90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
水剑30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
水剑40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
水剑50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
水剑60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
水剑70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
水剑80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
水剑90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火剑30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火剑40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火剑50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火剑60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火剑70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火剑80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火剑90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
土剑30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
土剑40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
土剑50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
土剑60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
土剑70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
土剑80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
土剑90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑阁总管30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑阁总管40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑阁总管50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑阁总管60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑阁总管70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑阁总管80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
藏剑阁总管90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
落魄书生30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
落魄书生40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
落魄书生50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
落魄书生60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
落魄书生70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
落魄书生80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
落魄书生90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
琅琊玉府总管30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
琅琊玉府总管40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
琅琊玉府总管50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
琅琊玉府总管60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
琅琊玉府总管70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
琅琊玉府总管80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
琅琊玉府总管90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铸工30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铸工40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铸工50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铸工60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铸工70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铸工80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铸工90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
断天锤30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
断天锤40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
断天锤50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
断天锤60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
断天锤70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
断天锤80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
断天锤90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天问	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘客30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘客40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘客50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘客60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘客70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘客80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘客90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
插剑的石台	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
书画obj	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蚩火刀客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天阴武士	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天阴箭手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天阴杀手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蚩火蛊师	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蚩火教徒	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蚩火教高手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
章伟刚	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
姚立诚	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
雷胜尸体	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
雷胜护卫尸体	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
倒地书童	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
九头金凤	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
萧寒	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
九尾银狐	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西夏将领1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西夏将领2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西夏将领3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
野利霸岩	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
毒药箱	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
岗哨	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
粮草辎重	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西夏咒师	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
采矿	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
伐木	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
抽丝	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
采药	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
制皮	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
收种	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋万	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
李立	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
顾大嫂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人火30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人火40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人火50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人火60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人火70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人火80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人火90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人冰30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人冰40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人冰50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人冰60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人冰70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人冰80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人冰90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人睡眠30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人睡眠40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人睡眠50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人睡眠60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人睡眠70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人睡眠80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人睡眠90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人混乱30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人混乱40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人混乱50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人混乱60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人混乱70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人混乱80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人混乱90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人眩晕30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人眩晕40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人眩晕50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人眩晕60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人眩晕70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人眩晕80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
透明人眩晕90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
箱子钱	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
箱子经验	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
箱子物品中	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
箱子物品高	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通箱子30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通箱子40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通箱子50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通箱子60	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通箱子70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通箱子80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通箱子90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
