Npc显示类型	模型	贴图	动画	偏色	插槽1	武器名称1	插槽2	武器名称2	头像序号
糖葫芦	078.mesh	078a.Mtl	078a.Ani		S_HR	078aw			
老板娘	079.mesh	079a.Mtl	079a.Ani						
渔民	080.mesh	080a.Mtl	080a.Ani						
宋将军	081.mesh	081a.Mtl	081a.Ani		S_HR	mon_063w			
宋江	082.mesh	082a.Mtl	082a.Ani		S_HR	082aw			
唐门掌门新	083.mesh	083a.Mtl	083a.Ani		S_HL	083aw			
暗器房主管	084.mesh	084a.Mtl	084a.Ani						
火器房主管	085.mesh	085a.Mtl	085a.Ani						
唐门门人新	086.mesh	086a.Mtl	086a.Ani						
昆仑掌门新	087.mesh	087a.Mtl	087a.Ani		S_back	087aw			
昆仑副掌门新	088.mesh	088a.Mtl	088a.Ani						
昆仑长老新	089.mesh	089a.Mtl	089a.Ani						
昆仑门人新	090.mesh	090a.Mtl	090a.Ani						
五毒掌门新	091.mesh	091a.Mtl	091a.Ani						
北方将军	092.mesh	092a.Mtl	092a.Ani		S_HR	064_武器长锤			
北方男性1	093.mesh	093a.Mtl	093a.Ani						
北方男性2	094.mesh	094a.Mtl	094a.Ani						
北方男性3	095.mesh	095a.Mtl	095a.Ani						
北方老头1	096.mesh	096a.Mtl	096a.Ani						
北方老头2	096.mesh	097a.Mtl	097a.Ani						
北方妇女1	098.mesh	098a.Mtl	098a.Ani						
北方妇女2	098.mesh	099a.Mtl	099a.Ani						
北方少女1	100.mesh	100a.Mtl	100a.Ani						
北方少女2	100.mesh	101a.Mtl	101a.Ani						
西南男性	102.mesh	102a.Mtl	102a.Ani						
西南女性	103.mesh	103a.Mtl	103a.Ani		103a	WQ103			
西北男性	104.mesh	104a.Mtl	104a.Ani						
西北女性	105.mesh	105a.Mtl	105a.Ani						
传教士	106.mesh	106a.Mtl	106a.Ani						
西洋贵妇	107.mesh	107a.Mtl	107a.Ani						
波斯商人	108.mesh	108a.Mtl	108a.Ani						
波斯舞伎	109.mesh	109a.Mtl	109a.Ani						
切换	切换.3e								
瀑布									
林间鸟叫									
河水									
箱子	009b.mesh	009b.mtl	009b.Ani						
maptrap1									
maptrap2									
maptrap3									
maptrap4									
maptrap5									
maptrap6									
maptrap7									
maptrap8									
山羊	107.mesh	107a.Mtl	107a.Ani						
小老虎	108.mesh	108a.Mtl	108a.Ani						
小熊	109.mesh	109a.Mtl	109a.Ani						
猎户	084.mesh	084b.Mtl	084b.Ani						
暮雪剑客	023.mesh	023a.Mtl	023a.Ani		023a	普通剑01			
暮雪枪客	023.mesh	023b.Mtl	023b.Ani		023b	WQ083g			
拦路贼	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
时迁	110.mesh	110.Mtl	110.Ani						
藏红花	110.mesh	110a.Mtl	110a.Ani						
桔梗	111.mesh	111a.Mtl	111a.Ani						
田七	112.mesh	112a.Mtl	112a.Ani						
能打开的箱子	113.mesh	113a.Mtl	113a.Ani						
破袋子	114.mesh	114a.Mtl	114a.Ani						
躺在地上的腐尸	046.mesh	046a.Mtl	046a.Ani						
官差	037a.mesh	037a.Mtl	037a.Ani						
官兵	037b.mesh	037b.Mtl	037b.Ani						
王伦	039.mesh	039b.Mtl	039b.Ani						
二混	033.mesh	033a.Mtl	033a.Ani						
梁中书	087.mesh	087a.Mtl	087a.Ani						
高逑	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
宋河	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
李鬼	019.mesh	019b.Mtl	019b.Ani		019b	WQ019b			
夏无离	039.mesh	039c.Mtl	039c.Ani		039c	WQ039c			
陆风	087.mesh	087a.Mtl	087a.Ani						
信使	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
流寇头目	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
竹叶青	015.mesh	015b.Mtl	015b.Ani						
大野猪	075.mesh	075a.Mtl	075a.Ani						
流浪汉	018.mesh	018b.Mtl	018b.Ani						
官府爪牙	017.mesh	017f.Mtl	017f.Ani						
看门狗30	004.mesh	004a.Mtl	004a.Ani						
看门狗40	004.mesh	004a.Mtl	004a.Ani						
看门狗50	004.mesh	004a.Mtl	004a.Ani						
看门狗60	004.mesh	004a.Mtl	004a.Ani						
看门狗70	004.mesh	004a.Mtl	004a.Ani						
看门狗80	004.mesh	004a.Mtl	004a.Ani						
看门狗90	004.mesh	004a.Mtl	004a.Ani						
护院家丁30	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
护院家丁40	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
护院家丁50	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
护院家丁60	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
护院家丁70	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
护院家丁80	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
护院家丁90	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
藏剑山庄外院总管30	066.mesh	066b.Mtl	066a.Ani		S_HR	066剑			
藏剑山庄外院总管40	066.mesh	066b.Mtl	066a.Ani		S_HR	066剑			
藏剑山庄外院总管50	066.mesh	066b.Mtl	066a.Ani		S_HR	066剑			
藏剑山庄外院总管60	066.mesh	066b.Mtl	066a.Ani		S_HR	066剑			
藏剑山庄外院总管70	066.mesh	066b.Mtl	066a.Ani		S_HR	066剑			
藏剑山庄外院总管80	066.mesh	066b.Mtl	066a.Ani		S_HR	066剑			
藏剑山庄外院总管90	066.mesh	066b.Mtl	066a.Ani		S_HR	066剑			
山庄教头30	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
山庄教头40	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
山庄教头50	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
山庄教头60	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
山庄教头70	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
山庄教头80	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
山庄教头90	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
山庄内院总管30	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
山庄内院总管40	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
山庄内院总管50	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
山庄内院总管60	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
山庄内院总管70	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
山庄内院总管80	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
山庄内院总管90	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
老女仆30	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
老女仆40	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
老女仆50	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
老女仆60	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
老女仆70	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
老女仆80	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
老女仆90	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
大小姐30	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
大小姐40	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
大小姐50	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
大小姐60	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
大小姐70	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
大小姐80	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
大小姐90	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
连环邬守卫30	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
连环邬守卫40	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
连环邬守卫50	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
连环邬守卫60	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
连环邬守卫70	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
连环邬守卫80	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
连环邬守卫90	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
高级山庄弟子30	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
高级山庄弟子40	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
高级山庄弟子50	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
高级山庄弟子60	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
高级山庄弟子70	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
高级山庄弟子80	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
高级山庄弟子90	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
大庄主30	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
大庄主40	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
大庄主50	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
大庄主60	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
大庄主70	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
大庄主80	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
大庄主90	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
金剑30	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
金剑40	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
金剑50	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
金剑60	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
金剑70	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
金剑80	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
金剑90	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
木剑30	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
木剑40	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
木剑50	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
木剑60	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
木剑70	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
木剑80	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
木剑90	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
水剑30	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
水剑40	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
水剑50	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
水剑60	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
水剑70	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
水剑80	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
水剑90	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
火剑30	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
火剑40	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
火剑50	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
火剑60	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
火剑70	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
火剑80	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
火剑90	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
土剑30	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
土剑40	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
土剑50	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
土剑60	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
土剑70	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
土剑80	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
土剑90	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
藏剑阁总管30	140.mesh	140b.Mtl	140a.Ani		S_HR	066剑			
藏剑阁总管40	140.mesh	140b.Mtl	140a.Ani		S_HR	066剑			
藏剑阁总管50	140.mesh	140b.Mtl	140a.Ani		S_HR	066剑			
藏剑阁总管60	140.mesh	140b.Mtl	140a.Ani		S_HR	066剑			
藏剑阁总管70	140.mesh	140b.Mtl	140a.Ani		S_HR	066剑			
藏剑阁总管80	140.mesh	140b.Mtl	140a.Ani		S_HR	066剑			
藏剑阁总管90	140.mesh	140b.Mtl	140a.Ani		S_HR	066剑			
落魄书生30									
落魄书生40									
落魄书生50									
落魄书生60									
落魄书生70									
落魄书生80									
落魄书生90									
琅琊玉府总管30									
琅琊玉府总管40									
琅琊玉府总管50									
琅琊玉府总管60									
琅琊玉府总管70									
琅琊玉府总管80									
琅琊玉府总管90									
铸工30									
铸工40									
铸工50									
铸工60									
铸工70									
铸工80									
铸工90									
断天锤30									
断天锤40									
断天锤50									
断天锤60									
断天锤70									
断天锤80									
断天锤90									
天问									
神秘客30	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
神秘客40	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
神秘客50	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
神秘客60	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
神秘客70	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
神秘客80	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
神秘客90	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
机关30									
机关40									
机关50									
机关60									
机关70									
机关80									
机关90									
剑魂30	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
剑魂40	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
剑魂50	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
剑魂60	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
剑魂70	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
剑魂80	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
剑魂90	142.mesh	142a.Mtl	142a.Ani		S_HR	142aw			
透明人	128.mesh	128a.Mtl	128a.Ani						
插剑的石台									
书画obj									
蚩火刀客	034.mesh	034a.Mtl	034a.Ani		034a	WQ034a			
天阴武士	035b.mesh	035b.Mtl	035b.Ani						
天阴箭手	035.mesh	035d.Mtl	035d.Ani		035d_1	WQ035d弓	035d_2	WQ035d箭鞘	
天阴杀手	036.mesh	036a.Mtl	036a.Ani		036a	WQ036a			
蚩火蛊师	034.mesh	034c.Mtl	034c.Ani		034c	WQ034c			
蚩火教徒	034.mesh	034a.Mtl	034a.Ani		034a	WQ034a			
蚩火教高手	034.mesh	034a.Mtl	034a.Ani		034a	WQ034a			
章伟刚	019.mesh	019a.Mtl	019a.Ani		019a	WQ019a			
姚立诚	019.mesh	019a.Mtl	019a.Ani		019a	WQ019a			
雷胜尸体	119.mesh	119a.Mtl	119a.Ani						
雷胜护卫尸体	120.mesh	120a.Mtl	120a.Ani						
倒地书童	121.mesh	121a.Mtl	121a.Ani						
九头金凤	076.mesh	076a.Mtl	076a.Ani		S_HR	076_剑			
萧寒	023.mesh	023a.Mtl	023a.Ani		023a	普通剑01			
九尾银狐	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
西夏将领1	038.mesh	038a.Mtl	038a.Ani		S_HR	037aw			
西夏将领2	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
西夏将领3	027.mesh	027b.Mtl	027b.Ani		027b	WQ027b			
野利霸岩	041.mesh	041b.Mtl	041b.Ani		041b	鬼头刀01			
毒药箱	113.mesh	113a.Mtl	113a.Ani						
岗哨	126.mesh	126a.Mtl	126a.Ani						
粮草辎重									
西夏咒师	028.mesh	028c.Mtl	028c.Ani						
采矿	113.mesh	113a.Mtl	113a.Ani		113a	矿镐			
伐木	114.mesh	114a.Mtl	114a.Ani		114a	斧头			
抽丝	115.mesh	115a.Mtl	115a.Ani						
采药	116.mesh	116a.Mtl	116a.Ani		116a	药锄			
制皮	117.mesh	117a.Mtl	117a.Ani		S_HR	制皮刀	117a	兽皮	
收种	118.mesh	118a.Mtl	118a.Ani		S_HR	锄头			
宋万	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
李立	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顾大嫂	091.mesh	091b.Mtl	091b.Ani		091b	WQ091b			
透明人火30	128.mesh	128a.Mtl	128a.Ani						
透明人火40	128.mesh	128a.Mtl	128a.Ani						
透明人火50	128.mesh	128a.Mtl	128a.Ani						
透明人火60	128.mesh	128a.Mtl	128a.Ani						
透明人火70	128.mesh	128a.Mtl	128a.Ani						
透明人火80	128.mesh	128a.Mtl	128a.Ani						
透明人火90	128.mesh	128a.Mtl	128a.Ani						
透明人冰30	128.mesh	128a.Mtl	128a.Ani						
透明人冰40	128.mesh	128a.Mtl	128a.Ani						
透明人冰50	128.mesh	128a.Mtl	128a.Ani						
透明人冰60	128.mesh	128a.Mtl	128a.Ani						
透明人冰70	128.mesh	128a.Mtl	128a.Ani						
透明人冰80	128.mesh	128a.Mtl	128a.Ani						
透明人冰90	128.mesh	128a.Mtl	128a.Ani						
透明人睡眠30	128.mesh	128a.Mtl	128a.Ani						
透明人睡眠40	128.mesh	128a.Mtl	128a.Ani						
透明人睡眠50	128.mesh	128a.Mtl	128a.Ani						
透明人睡眠60	128.mesh	128a.Mtl	128a.Ani						
透明人睡眠70	128.mesh	128a.Mtl	128a.Ani						
透明人睡眠80	128.mesh	128a.Mtl	128a.Ani						
透明人睡眠90	128.mesh	128a.Mtl	128a.Ani						
透明人混乱30	128.mesh	128a.Mtl	128a.Ani						
透明人混乱40	128.mesh	128a.Mtl	128a.Ani						
透明人混乱50	128.mesh	128a.Mtl	128a.Ani						
透明人混乱60	128.mesh	128a.Mtl	128a.Ani						
透明人混乱70	128.mesh	128a.Mtl	128a.Ani						
透明人混乱80	128.mesh	128a.Mtl	128a.Ani						
透明人混乱90	128.mesh	128a.Mtl	128a.Ani						
透明人眩晕30	128.mesh	128a.Mtl	128a.Ani						
透明人眩晕40	128.mesh	128a.Mtl	128a.Ani						
透明人眩晕50	128.mesh	128a.Mtl	128a.Ani						
透明人眩晕60	128.mesh	128a.Mtl	128a.Ani						
透明人眩晕70	128.mesh	128a.Mtl	128a.Ani						
透明人眩晕80	128.mesh	128a.Mtl	128a.Ani						
透明人眩晕90	128.mesh	128a.Mtl	128a.Ani						
箱子钱	113.mesh	113a.Mtl	113a.Ani						
箱子经验	113.mesh	113a.Mtl	113a.Ani						
箱子物品中	113.mesh	113a.Mtl	113a.Ani						
箱子物品高	113.mesh	113a.Mtl	113a.Ani						
普通箱子30	113.mesh	113a.Mtl	113a.Ani						
普通箱子40	113.mesh	113a.Mtl	113a.Ani						
普通箱子50	113.mesh	113a.Mtl	113a.Ani						
普通箱子60	113.mesh	113a.Mtl	113a.Ani						
普通箱子70	113.mesh	113a.Mtl	113a.Ani						
普通箱子80	113.mesh	113a.Mtl	113a.Ani						
普通箱子90	113.mesh	113a.Mtl	113a.Ani						
客户端树桩	122.mesh	122a.Mtl	122a.Ani						
血咒祭坛									
坟墓									
泥人									
甑子丹	126.mesh	126a.Mtl	126a.Ani		126a	126w			
赵有德									
田不光									
唐峰	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
唐礼	076.mesh	076b.Mtl	076b.Ani						
蒙面人	020.mesh	020b.Mtl	020b.Ani						
田不光									
窃贼头目									
天阴杀手头领	036.mesh	036a.Mtl	036a.Ani		036a	WQ036a			
明智和尚	028.mesh	028b.Mtl	028b.Ani		S_HR	mon_028bw			
法正	028.mesh	028c.Mtl	028c.Ani						
乌盟部祭祀									
流氓大牛	017.mesh	017f.Mtl	017a.Ani						
无赖李三	017.mesh	017g.Mtl	017c.Ani						
葡国女巫									
九尾妖狐									
武二	089.mesh	089b.Mtl	089b.Ani		089a	WQ089a			
张杨	098a.mesh	098a.Mtl	098a.Ani						
剑狂	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
紫虚道长									
唐肥	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
百年尸妖	046.mesh	046a.Mtl	046a.Ani						
萧霸	038b.mesh	038b.Mtl	038b.Ani						
歹徒	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
歹徒头目	086.mesh	086b.Mtl	086b.Ani		086a_1	WQ086b	086a_2	WQ086b	
上古火麒麟	054.mesh	054a.Mtl	054a.Ani						
鱼怪头目	055.mesh	055a.Mtl	055a.Ani		055a	WQ055a			
伏牛山大王	086.mesh	086b.Mtl	086b.Ani		086a_1	WQ086b	086a_2	WQ086b	
泰宏绝的尸体									
蚩火教徒的尸体									
杀手10	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手11	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手12	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手13	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手14	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手15	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手20	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手21	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手22	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手23	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手24	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手25	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手30	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手31	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手32	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手33	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手34	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手35	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手40	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手41	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手42	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手43	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手44	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手45	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
杀手50	024.mesh	024a.Mtl	024a.Ani						
杀手51	024.mesh	024a.Mtl	024a.Ani						
杀手52	024.mesh	024a.Mtl	024a.Ani						
杀手53	024.mesh	024a.Mtl	024a.Ani						
杀手54	024.mesh	024a.Mtl	024a.Ani						
杀手55	024.mesh	024a.Mtl	024a.Ani						
杀手60	024.mesh	024a.Mtl	024a.Ani						
杀手61	024.mesh	024a.Mtl	024a.Ani						
杀手62	024.mesh	024a.Mtl	024a.Ani						
杀手63	024.mesh	024a.Mtl	024a.Ani						
杀手64	024.mesh	024a.Mtl	024a.Ani						
杀手65	024.mesh	024a.Mtl	024a.Ani						
杀手70	024.mesh	024a.Mtl	024a.Ani						
杀手71	024.mesh	024a.Mtl	024a.Ani						
杀手72	024.mesh	024a.Mtl	024a.Ani						
杀手73	024.mesh	024a.Mtl	024a.Ani						
杀手74	024.mesh	024a.Mtl	024a.Ani						
杀手75	024.mesh	024a.Mtl	024a.Ani						
杀手80	024.mesh	024a.Mtl	024a.Ani						
杀手81	024.mesh	024a.Mtl	024a.Ani						
杀手82	024.mesh	024a.Mtl	024a.Ani						
杀手83	024.mesh	024a.Mtl	024a.Ani						
杀手84	024.mesh	024a.Mtl	024a.Ani						
杀手85	024.mesh	024a.Mtl	024a.Ani						
杀手90	024.mesh	024a.Mtl	024a.Ani						
杀手91	024.mesh	024a.Mtl	024a.Ani						
杀手92	024.mesh	024a.Mtl	024a.Ani						
杀手93	024.mesh	024a.Mtl	024a.Ani						
杀手94	024.mesh	024a.Mtl	024a.Ani						
杀手95	024.mesh	024a.Mtl	024a.Ani						
杀手同伴10	020.mesh	020b.Mtl	020b.Ani						
杀手同伴20	020.mesh	020b.Mtl	020b.Ani						
杀手同伴30	020.mesh	020b.Mtl	020b.Ani						
杀手同伴40	020.mesh	020b.Mtl	020b.Ani						
杀手同伴50	020.mesh	020d.Mtl	020d.Ani		020d	WQ020d			
杀手同伴60	020.mesh	020d.Mtl	020d.Ani		020d	WQ020d			
杀手同伴70	020.mesh	020d.Mtl	020d.Ani		020d	WQ020d			
杀手同伴80	020.mesh	020d.Mtl	020d.Ani		020d	WQ020d			
杀手同伴90	020.mesh	020d.Mtl	020d.Ani		020d	WQ020d			
顶级杀手10	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手11	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手12	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手13	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手14	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手15	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手20	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手21	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手22	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手23	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手24	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手25	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手30	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手31	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手32	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手33	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手34	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手35	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手40	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手41	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手42	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手43	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手44	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手45	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
顶级杀手50	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手51	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手52	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手53	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手54	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手55	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
顶级杀手60	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
