武器显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	爬起	攻击1	攻击2
笛2a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛2b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛3a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛3b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛4a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛5a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛5b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛6a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛6b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛7a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛8a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛8b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛9a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笛10b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝2a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝2b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝3a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝3b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝4a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝5a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝5b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝6a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝6b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝7a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝8a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝8b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝9a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
灵枝10b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林刀10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林棍10	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
少林禅10	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
峨眉剑10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
峨眉琴10	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
丐帮棍10	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
武当剑10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
武当笔10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
杨门枪10	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
杨门弓10	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
五毒刀10	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
五毒爪10	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
昆仑剑10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教刀10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教笔10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教爪10	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
翠烟扇10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
翠烟笛10	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林刀11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林棍11	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
少林禅11	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
峨眉剑11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
峨眉琴11	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
丐帮棍11	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
武当剑11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
武当笔11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
杨门枪11	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
杨门弓11	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
五毒刀11	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
五毒爪11	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
昆仑剑11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教刀11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教笔11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教爪11	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
翠烟扇11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
翠烟笛11	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林刀12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林棍12	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
少林禅12	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
峨眉剑12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
峨眉琴12	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
丐帮棍12	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
武当剑12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
武当笔12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
杨门枪12	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
杨门弓12	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
五毒刀12	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
五毒爪12	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
昆仑剑12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教刀12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教笔12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教爪12	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
翠烟扇12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
翠烟笛12	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林刀13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林禅13	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
峨眉剑13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
峨眉琴13	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
丐帮棍13	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
武当剑13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
武当笔13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
杨门枪13	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
杨门弓13	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
五毒刀13	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
五毒爪13	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
昆仑剑13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教刀13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教笔13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教爪13	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
翠烟扇13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
翠烟笛13	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林刀14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
少林禅14	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
峨眉剑14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
峨眉琴14	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
丐帮棍14	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
武当剑14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
武当笔14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
杨门枪14	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
杨门弓14	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
五毒刀14	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
五毒爪14	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
昆仑剑14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教刀14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教笔14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
明教爪14	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
翠烟扇14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
翠烟笛14	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
荒火鎏金	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
颂殇	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
孤狼	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
