武器显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	攻击1	攻击2
双刀3b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀4a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀4b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀5a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀5b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀6a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀6b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀7a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀7b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀8a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀8b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪1a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪1b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪2a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪2b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪3a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪3b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪4a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪4b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪5a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪5b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪6a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪6b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪7a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪7b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪8a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
爪8b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
笛2a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛2b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛3a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛3b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛4a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛5a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛5b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛6a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛6b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛7a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛8a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛8b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛9a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笛10b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝2a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝2b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝3a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝3b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝4a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝5a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝5b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝6a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝6b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝7a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝8a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝8b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝9a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
灵枝10b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林刀10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林棍10	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
少林禅10	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
峨眉剑10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
峨眉琴10	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
丐帮棍10	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
武当剑10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
武当笔10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
杨门枪10	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
杨门弓10	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
五毒刀10	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
五毒爪10	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
昆仑剑10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教刀10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教笔10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教爪10	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
翠烟扇10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
翠烟笛10	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林刀11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林棍11	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
少林禅11	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
峨眉剑11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
峨眉琴11	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
丐帮棍11	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
武当剑11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
武当笔11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
杨门枪11	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
杨门弓11	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
五毒刀11	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
五毒爪11	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
昆仑剑11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教刀11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教笔11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教爪11	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
翠烟灵枝11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
翠烟笛11	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林刀12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林棍12	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
少林禅12	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
峨眉剑12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
峨眉琴12	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
丐帮棍12	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
武当剑12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
武当笔12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
杨门枪12	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
杨门弓12	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
五毒刀12	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
五毒爪12	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
昆仑剑12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教刀12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教笔12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教爪12	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
翠烟灵枝12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
翠烟笛12	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林刀13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林禅13	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
峨眉剑13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
峨眉琴13	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
丐帮棍13	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
武当剑13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
武当笔13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
杨门枪13	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
杨门弓13	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
五毒刀13	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
五毒爪13	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
昆仑剑13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教刀13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教笔13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教爪13	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
翠烟灵枝13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
翠烟笛13	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林刀14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
少林禅14	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
峨眉剑14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
峨眉琴14	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
丐帮棍14	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
武当剑14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
武当笔14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
杨门枪14	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
杨门弓14	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
五毒刀14	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
五毒爪14	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
昆仑剑14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教刀14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教笔14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
明教爪14	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
翠烟灵枝14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
翠烟笛14	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
荒火鎏金	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
颂殇	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
孤狼	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
