CÊp	T¨ng søc m¹nh v« lé tuyÕn	T¨ng linh ho¹t v« lé tuyÕn	T¨ng néi c«ng v« lé tuyÕn	T¨ng g©n cèt v« lé tuyÕn	T¨ng Linh ho¹t v« lé tuyÕn	T¨ng søc m¹nh ThiÕu L©m	T¨ng linh ho¹t ThiÕu L©m	T¨ng néi c«ng ThiÕu L©m	T¨ng g©n cèt ThiÕu L©m	T¨ng Linh ho¹t ThiÕu L©m	T¨ng søc m¹nh ThiÕu L©m tôc gia	T¨ng linh ho¹t ThiÕu L©m tôc gia	T¨ng néi c«ng ThiÕu L©m tôc gia	T¨ng g©n cèt ThiÕu L©m tôc gia	T¨ng Linh ho¹t ThiÕu L©m tôc gia	T¨ng søc m¹nh ThiÕu L©m thiÒn t¨ng	T¨ng linh ho¹t ThiÕu L©m thiÒn t¨ng	T¨ng néi c«ng ThiÕu L©m thiÒn t¨ng	T¨ng g©n cèt ThiÕu L©m thiÒn t¨ng	T¨ng Linh ho¹t ThiÕu L©m thiÒn t¨ng	T¨ng søc m¹nh ThiÕu L©m vâ t¨ng	T¨ng linh ho¹t ThiÕu L©m vâ t¨ng	T¨ng néi c«ng ThiÕu L©m vâ t¨ng	T¨ng g©n cèt ThiÕu L©m vâ t¨ng	T¨ng Linh ho¹t ThiÕu L©m vâ t¨ng	T¨ng søc m¹nh §­êng M«n	T¨ng linh ho¹t §­êng M«n	T¨ng néi c«ng §­êng M«n	T¨ng g©n cèt §­êng M«n	T¨ng Linh ho¹t §­êng M«n	T¨ng søc m¹nh phô §­êng M«n	T¨ng linh ho¹t phô §­êng M«n	T¨ng néi c«ng phô §­êng M«n	T¨ng c¨n c¬ phô §­êng M«n	T¨ng Linh ho¹t phô §­êng M«n	T¨ng søc m¹nh Nga My	T¨ng linh ho¹t Nga My	T¨ng néi c«ng Nga My	T¨ng g©n cèt Nga My	T¨ng Linh ho¹t Nga My	T¨ng søc m¹nh Nga My PhËt Gia	T¨ng linh ho¹t Nga My PhËt Gia	T¨ng néi c«ng Nga My PhËt Gia	T¨ng g©n cèt Nga My PhËt Gia	T¨ng Linh ho¹t Nga My PhËt Gia	T¨ng søc m¹nh Nga My Tôc Gia	T¨ng linh ho¹t Nga My Tôc Gia	T¨ng néi c«ng Nga My Tôc Gia	T¨ng g©n cèt Nga My Tôc Gia	T¨ng Linh ho¹t Nga My Tôc Gia	T¨ng søc m¹nh C¸i Bang	T¨ng linh ho¹t C¸i Bang	T¨ng néi c«ng C¸i Bang	T¨ng g©n cèt C¸i Bang	T¨ng Linh ho¹t C¸i Bang	T¨ng søc m¹nh C¸i Bang TÜnh y	T¨ng linh ho¹t C¸i Bang TÜnh y	T¨ng néi c«ng C¸i Bang TÜnh y	T¨ng g©n cèt C¸i Bang TÜnh y	T¨ng Linh ho¹t C¸i Bang TÜnh y	T¨ng søc m¹nh C¸i Bang ¤ Y	T¨ng linh ho¹t C¸i Bang ¤ Y	T¨ng néi c«ng C¸i Bang ¤ Y	T¨ng g©n cèt C¸i Bang ¤ Y	T¨ng Linh ho¹t C¸i Bang ¤ Y	T¨ng søc m¹nh Vâ §ang	T¨ng linh ho¹t Vâ §ang	T¨ng néi c«ng Vâ §ang	T¨ng g©n cèt Vâ §ang	T¨ng Linh ho¹t Vâ §ang	T¨ng søc m¹nh Vâ §ang ®¹o gia	T¨ng linh ho¹t Vâ §ang ®¹o gia	T¨ng néi c«ng Vâ §ang ®¹o gia	T¨ng g©n cèt Vâ §ang ®¹o gia	T¨ng Linh ho¹t Vâ §ang ®¹o gia	T¨ng søc m¹nh Vâ §ang tôc gia	T¨ng linh ho¹t Vâ §ang tôc gia	T¨ng néi c«ng Vâ §ang tôc gia	T¨ng g©n cèt Vâ §ang tôc gia	T¨ng Linh ho¹t Vâ §ang tôc gia	T¨ng søc m¹nh D­¬ng M«n	T¨ng linh ho¹t D­¬ng M«n	T¨ng néi c«ng D­¬ng M«n	T¨ng g©n cèt D­¬ng M«n	T¨ng Linh ho¹t D­¬ng M«n	T¨ng søc m¹nh D­¬ng M«n th­¬ng kþ	T¨ng linh ho¹t D­¬ng M«n th­¬ng kþ	T¨ng néi c«ng D­¬ng M«n th­¬ng kþ	T¨ng g©n cèt D­¬ng M«n th­¬ng kþ	T¨ng Linh ho¹t D­¬ng M«n th­¬ng kþ	T¨ng søc m¹nh D­¬ng M«n cung kþ	T¨ng linh ho¹t D­¬ng M«n cung kþ	T¨ng néi c«ng D­¬ng M«n cung kþ	T¨ng g©n cèt D­¬ng M«n cung kþ	T¨ng Linh ho¹t D­¬ng M«n cung kþ	T¨ng søc m¹nh Ngò §éc	T¨ng linh ho¹t Ngò §éc	T¨ng néi c«ng Ngò §éc	T¨ng g©n cèt Ngò §éc	T¨ng Linh ho¹t Ngò §éc	T¨ng søc m¹nh Ngò §éc tµ hiÖp	T¨ng linh ho¹t Ngò §éc tµ hiÖp	T¨ng néi c«ng Ngò §éc tµ hiÖp	T¨ng g©n cèt Ngò §éc tµ hiÖp	T¨ng Linh ho¹t Ngò §éc tµ hiÖp	T¨ng søc m¹nh Ngò §éc cæ s­	T¨ng linh ho¹t Ngò §éc cæ s­	T¨ng néi c«ng Ngò §éc cæ s­	T¨ng g©n cèt Ngò §éc cæ s­	T¨ng Linh ho¹t Ngò §éc cæ s­	C«n L«n søc m¹nh t¨ng	C«n L«n nhanh nhÑn t¨ng	C«n L«n néi c«ng t¨ng	C«n L«n g©n cèt t¨ng	C«n L«n linh ho¹t t¨ng	C«n L«n Thiªn S­ søc m¹nh t¨ng	C«n L«n Thiªn S­ nhanh nhÑn t¨ng	C«n L«n Thiªn S­ néi c«ng t¨ng	C«n L«n Thiªn S­ g©n cèt t¨ng	C«n L«n Thiªn S­ linh ho¹t t¨ng	Minh Gi¸o søc m¹nh t¨ng	Minh Gi¸o nhanh nhÑn t¨ng	Minh Gi¸o néi c«ng t¨ng	Minh Gi¸o g©n cèt t¨ng	Minh Gi¸o linh ho¹t t¨ng	Minh Gi¸o Th¸nh ChiÕn søc m¹nh t¨ng	Minh Gi¸o Th¸nh ChiÕn nhanh nhÑn t¨ng	Minh Gi¸o Th¸nh ChiÕn néi c«ng t¨ng	Minh Gi¸o Th¸nh ChiÕn g©n cèt t¨ng	Minh Gi¸o Th¸nh ChiÕn linh ho¹t t¨ng	Minh Gi¸o TrËn Binh søc m¹nh t¨ng	Minh Gi¸o TrËn Binh nhanh nhÑn t¨ng	Minh Gi¸o TrËn Binh néi c«ng t¨ng	Minh Gi¸o TrËn Binh g©n cèt t¨ng	Minh Gi¸o TrËn Binh linh ho¹t t¨ng	Minh Gi¸o HuyÕt Nh©n søc m¹nh t¨ng	Minh Gi¸o HuyÕt Nh©n nhanh nhÑn t¨ng	Minh Gi¸o HuyÕt Nh©n néi c«ng t¨ng	Minh Gi¸o HuyÕt Nh©n g©n cèt t¨ng	Minh Gi¸o HuyÕt Nh©n linh ho¹t t¨ng	Thóy Yªn søc m¹nh t¨ng	Thóy Yªn nhanh nhÑn t¨ng	Thóy Yªn néi c«ng t¨ng	Thóy Yªn g©n cèt t¨ng	Thóy Yªn linh ho¹t t¨ng	Thóy Yªn Vò Tiªn søc m¹nh t¨ng	Thóy Yªn Vò Tiªn nhanh nhÑn t¨ng	Thóy Yªn Vò Tiªn néi c«ng t¨ng	Thóy Yªn Vò Tiªn g©n cèt t¨ng	Thóy Yªn Vò Tiªn linh ho¹t t¨ng	Thóy Yªn Linh N÷ søc m¹nh t¨ng	Thóy Yªn Linh N÷ nhanh nhÑn t¨ng	Thóy Yªn Linh N÷ néi c«ng t¨ng	Thóy Yªn Linh N÷ g©n cèt t¨ng	Thóy Yªn Linh N÷ linh ho¹t t¨ng	§­êng M«n NhËm HiÖp søc m¹nh t¨ng	§­êng M«n NhËm HiÖp nhanh nhÑn t¨ng	§­êng M«n NhËm HiÖp néi c«ng t¨ng	§­êng M«n NhËm HiÖp g©n cèt t¨ng	§­êng M«n NhËm HiÖp linh ho¹t t¨ng	C«n L«n KiÕm T«n søc m¹nh t¨ng	C«n L«n KiÕm T«n nhanh nhÑn t¨ng	C«n L«n KiÕm T«n néi c«ng t¨ng	C«n L«n KiÕm T«n g©n cèt t¨ng	C«n L«n KiÕm T«n linh ho¹t t¨ng
42	0	0	0	0	0	0	0	0	0	0	7	4	0	21	0	0	0	21	10	5	0	10	16	6	0	0	0	0	0	0	4	23	9	0	0	0	0	0	0	0	0	0	16	10	9	0	16	14	5	0	0	0	0	0	0	21	5	5	6	0	0	16	4	5	9	0	0	0	0	0	0	0	21	6	9	0	9	9	0	16	0	0	0	0	0	23	0	9	4	0	4	23	4	4	0	0	0	0	0	0	9	16	9	0	0	0	0	9	9	16	0	0	0	0	0	0	0	21	6	9	0	0	0	0	0	21	5	0	6	5	0	9	9	0	16	0	23	4	9	0	0	0	0	0	0	9	23	0	4	0	4	0	0	9	23	9	0	0	4	23	4	23	0	9	0
43	0	0	0	0	0	0	0	0	0	0	7	4	0	22	0	0	0	21	10	6	0	10	16	7	0	0	0	0	0	0	4	24	9	0	0	0	0	0	0	0	0	0	16	10	10	0	16	15	5	0	0	0	0	0	0	21	6	5	6	0	0	17	4	5	9	0	0	0	0	0	0	0	22	6	9	0	10	9	0	16	0	0	0	0	0	24	0	9	4	0	4	24	4	4	0	0	0	0	0	0	9	16	9	0	0	0	0	9	9	16	0	0	0	0	0	0	0	22	6	9	0	0	0	0	0	21	5	0	6	6	0	10	9	0	16	0	24	4	9	0	0	0	0	0	0	9	24	0	4	0	4	0	0	9	24	9	0	0	4	24	4	24	0	9	0
44	0	0	0	0	0	0	0	0	0	0	7	4	0	23	0	0	0	22	10	6	0	10	17	7	0	0	0	0	0	0	5	24	9	0	0	0	0	0	0	0	0	0	17	10	10	0	17	15	5	0	0	0	0	0	0	22	6	5	6	0	0	17	5	5	9	0	0	0	0	0	0	0	23	6	9	0	10	9	0	17	0	0	0	0	0	24	0	9	5	0	5	24	5	5	0	0	0	0	0	0	9	17	9	0	0	0	0	9	9	17	0	0	0	0	0	0	0	23	6	9	0	0	0	0	0	22	5	0	6	6	0	10	9	0	17	0	24	5	9	0	0	0	0	0	0	9	24	0	5	0	5	0	0	9	24	9	0	0	5	24	5	24	0	9	0
45	0	0	0	0	0	0	0	0	0	0	7	4	0	24	0	0	0	22	11	6	0	10	18	7	0	0	0	0	0	0	5	25	9	0	0	0	0	0	0	0	0	0	18	10	10	0	18	15	5	0	0	0	0	0	0	22	6	6	6	0	0	18	5	5	9	0	0	0	0	0	0	0	24	6	9	0	10	9	0	18	0	0	0	0	0	25	0	9	5	0	5	25	5	5	0	0	0	0	0	0	9	18	9	0	0	0	0	9	9	18	0	0	0	0	0	0	0	24	6	9	0	0	0	0	0	22	6	0	6	6	0	10	9	0	18	0	25	5	9	0	0	0	0	0	0	9	25	0	5	0	5	0	0	9	25	9	0	0	5	25	5	25	0	9	0
46	0	0	0	0	0	0	0	0	0	0	8	4	0	24	0	0	0	23	11	6	0	11	18	7	0	0	0	0	0	0	5	25	10	0	0	0	0	0	0	0	0	0	18	11	10	0	18	15	6	0	0	0	0	0	0	23	6	6	6	0	0	18	5	5	10	0	0	0	0	0	0	0	24	7	9	0	10	10	0	18	0	0	0	0	0	25	0	10	5	0	5	25	5	5	0	0	0	0	0	0	10	18	10	0	0	0	0	10	10	18	0	0	0	0	0	0	0	24	7	9	0	0	0	0	0	23	6	0	6	6	0	10	10	0	18	0	25	5	10	0	0	0	0	0	0	10	25	0	5	0	5	0	0	10	25	10	0	0	5	25	5	25	0	10	0
47	0	0	0	0	0	0	0	0	0	0	8	4	0	25	0	0	0	23	12	6	0	11	18	8	0	0	0	0	0	0	5	26	10	0	0	0	0	0	0	0	0	0	18	11	11	0	18	16	6	0	0	0	0	0	0	23	6	6	7	0	0	19	5	5	10	0	0	0	0	0	0	0	25	7	9	0	11	10	0	18	0	0	0	0	0	26	0	10	5	0	5	26	5	5	0	0	0	0	0	0	10	18	10	0	0	0	0	10	10	18	0	0	0	0	0	0	0	25	7	9	0	0	0	0	0	23	6	0	7	6	0	11	10	0	18	0	26	5	10	0	0	0	0	0	0	10	26	0	5	0	5	0	0	10	26	10	0	0	5	26	5	26	0	10	0
48	0	0	0	0	0	0	0	0	0	0	8	4	0	26	0	0	0	24	12	6	0	11	19	8	0	0	0	0	0	0	5	27	10	0	0	0	0	0	0	0	0	0	19	11	11	0	19	16	6	0	0	0	0	0	0	24	6	6	7	0	0	19	5	6	10	0	0	0	0	0	0	0	26	7	9	0	11	10	0	19	0	0	0	0	0	27	0	10	5	0	5	27	5	5	0	0	0	0	0	0	10	19	10	0	0	0	0	10	10	19	0	0	0	0	0	0	0	26	7	9	0	0	0	0	0	24	6	0	7	6	0	11	10	0	19	0	27	5	10	0	0	0	0	0	0	10	27	0	5	0	5	0	0	10	27	10	0	0	5	27	5	27	0	10	0
49	0	0	0	0	0	0	0	0	0	0	8	4	0	27	0	0	0	24	12	7	0	12	19	8	0	0	0	0	0	0	5	27	11	0	0	0	0	0	0	0	0	0	19	12	11	0	19	17	6	0	0	0	0	0	0	24	7	6	7	0	0	19	5	6	11	0	0	0	0	0	0	0	27	7	9	0	11	11	0	19	0	0	0	0	0	27	0	11	5	0	5	27	5	5	0	0	0	0	0	0	11	19	11	0	0	0	0	11	11	19	0	0	0	0	0	0	0	27	7	9	0	0	0	0	0	24	6	0	7	7	0	11	11	0	19	0	27	5	11	0	0	0	0	0	0	11	27	0	5	0	5	0	0	11	27	11	0	0	5	27	5	27	0	11	0
50	0	0	0	0	0	0	0	0	0	0	8	4	0	28	0	0	0	25	12	7	0	12	19	8	0	0	0	0	0	0	5	28	11	0	0	0	0	0	0	0	0	0	19	12	12	0	19	17	7	0	0	0	0	0	0	25	7	6	7	0	0	20	5	6	11	0	0	0	0	0	0	0	28	7	9	0	12	11	0	19	0	0	0	0	0	28	0	11	5	0	5	28	5	5	0	0	0	0	0	0	11	19	11	0	0	0	0	11	11	19	0	0	0	0	0	0	0	28	7	9	0	0	0	0	0	25	6	0	7	7	0	12	11	0	19	0	28	5	11	0	0	0	0	0	0	11	28	0	5	0	5	0	0	11	28	11	0	0	5	28	5	28	0	11	0
51	0	0	0	0	0	0	0	0	0	0	9	4	0	28	0	0	0	25	13	7	0	12	20	8	0	0	0	0	0	0	6	28	11	0	0	0	0	0	0	0	0	0	20	12	12	0	20	17	7	0	0	0	0	0	0	25	7	7	7	0	0	20	6	6	11	0	0	0	0	0	0	0	28	7	10	0	12	11	0	20	0	0	0	0	0	28	0	11	6	0	6	28	6	6	0	0	0	0	0	0	11	20	11	0	0	0	0	11	11	20	0	0	0	0	0	0	0	28	7	10	0	0	0	0	0	25	7	0	7	7	0	12	11	0	20	0	28	6	11	0	0	0	0	0	0	11	28	0	6	0	6	0	0	11	28	11	0	0	6	28	6	28	0	11	0
52	0	0	0	0	0	0	0	0	0	0	9	5	0	28	0	0	0	26	13	7	0	12	21	8	0	0	0	0	0	0	6	29	11	0	0	0	0	0	0	0	0	0	21	12	12	0	21	17	7	0	0	0	0	0	0	26	7	7	7	0	0	21	6	6	11	0	0	0	0	0	0	0	28	7	11	0	12	11	0	21	0	0	0	0	0	29	0	11	6	0	6	29	6	6	0	0	0	0	0	0	11	21	11	0	0	0	0	11	11	21	0	0	0	0	0	0	0	28	7	11	0	0	0	0	0	26	7	0	7	7	0	12	11	0	21	0	29	6	11	0	0	0	0	0	0	11	29	0	6	0	6	0	0	11	29	11	0	0	6	29	6	29	0	11	0
53	0	0	0	0	0	0	0	0	0	0	9	5	0	29	0	0	0	26	13	7	0	12	21	9	0	0	0	0	0	0	6	29	12	0	0	0	0	0	0	0	0	0	21	13	12	0	21	18	7	0	0	0	0	0	0	26	7	7	8	0	0	21	6	6	12	0	0	0	0	0	0	0	29	7	11	0	12	12	0	21	0	0	0	0	0	29	0	12	6	0	6	29	6	6	0	0	0	0	0	0	12	21	12	0	0	0	0	12	12	21	0	0	0	0	0	0	0	29	7	11	0	0	0	0	0	26	7	0	8	7	0	12	12	0	21	0	29	6	12	0	0	0	0	0	0	12	29	0	6	0	6	0	0	12	29	12	0	0	6	29	6	29	0	12	0
54	0	0	0	0	0	0	0	0	0	0	9	5	0	30	0	0	0	27	13	7	0	13	21	9	0	0	0	0	0	0	6	30	12	0	0	0	0	0	0	0	0	0	21	13	13	0	21	19	7	0	0	0	0	0	0	27	7	7	8	0	0	22	6	6	12	0	0	0	0	0	0	0	30	7	11	0	13	12	0	21	0	0	0	0	0	30	0	12	6	0	6	30	6	6	0	0	0	0	0	0	12	21	12	0	0	0	0	12	12	21	0	0	0	0	0	0	0	30	7	11	0	0	0	0	0	27	7	0	8	7	0	13	12	0	21	0	30	6	12	0	0	0	0	0	0	12	30	0	6	0	6	0	0	12	30	12	0	0	6	30	6	30	0	12	0
55	0	0	0	0	0	0	0	0	0	0	9	5	0	31	0	0	0	27	13	8	0	13	22	9	0	0	0	0	0	0	6	31	12	0	0	0	0	0	0	0	0	0	22	13	13	0	22	19	7	0	0	0	0	0	0	27	8	7	8	0	0	22	6	7	12	0	0	0	0	0	0	0	31	7	11	0	13	12	0	22	0	0	0	0	0	31	0	12	6	0	6	31	6	6	0	0	0	0	0	0	12	22	12	0	0	0	0	12	12	22	0	0	0	0	0	0	0	31	7	11	0	0	0	0	0	27	7	0	8	8	0	13	12	0	22	0	31	6	12	0	0	0	0	0	0	12	31	0	6	0	6	0	0	12	31	12	0	0	6	31	6	31	0	12	0
56	0	0	0	0	0	0	0	0	0	0	10	5	0	31	0	0	0	28	13	8	0	14	22	9	0	0	0	0	0	0	6	31	13	0	0	0	0	0	0	0	0	0	22	14	13	0	22	19	8	0	0	0	0	0	0	28	8	7	8	0	0	22	6	7	13	0	0	0	0	0	0	0	31	8	11	0	13	13	0	22	0	0	0	0	0	31	0	13	6	0	6	31	6	6	0	0	0	0	0	0	13	22	13	0	0	0	0	13	13	22	0	0	0	0	0	0	0	31	8	11	0	0	0	0	0	28	7	0	8	8	0	13	13	0	22	0	31	6	13	0	0	0	0	0	0	13	31	0	6	0	6	0	0	13	31	13	0	0	6	31	6	31	0	13	0
57	0	0	0	0	0	0	0	0	0	0	10	5	0	32	0	0	0	28	14	8	0	15	22	9	0	0	0	0	0	0	6	32	13	0	0	0	0	0	0	0	0	0	22	14	14	0	22	20	8	0	0	0	0	0	0	28	8	8	8	0	0	23	6	7	13	0	0	0	0	0	0	0	32	8	11	0	14	13	0	22	0	0	0	0	0	32	0	13	6	0	6	32	6	6	0	0	0	0	0	0	13	22	13	0	0	0	0	13	13	22	0	0	0	0	0	0	0	32	8	11	0	0	0	0	0	28	8	0	8	8	0	14	13	0	22	0	32	6	13	0	0	0	0	0	0	13	32	0	6	0	6	0	0	13	32	13	0	0	6	32	6	32	0	13	0
58	0	0	0	0	0	0	0	0	0	0	10	5	0	33	0	0	0	29	14	8	0	15	23	9	0	0	0	0	0	0	7	32	13	0	0	0	0	0	0	0	0	0	23	14	14	0	23	20	8	0	0	0	0	0	0	29	8	8	8	0	0	23	7	7	13	0	0	0	0	0	0	0	33	8	11	0	14	13	0	23	0	0	0	0	0	32	0	13	7	0	7	32	7	7	0	0	0	0	0	0	13	23	13	0	0	0	0	13	13	23	0	0	0	0	0	0	0	33	8	11	0	0	0	0	0	29	8	0	8	8	0	14	13	0	23	0	32	7	13	0	0	0	0	0	0	13	32	0	7	0	7	0	0	13	32	13	0	0	7	32	7	32	0	13	0
59	0	0	0	0	0	0	0	0	0	0	10	5	0	34	0	0	0	29	15	8	0	15	24	9	0	0	0	0	0	0	7	33	13	0	0	0	0	0	0	0	0	0	24	14	14	0	24	20	8	0	0	0	0	0	0	29	8	8	9	0	0	24	7	7	13	0	0	0	0	0	0	0	34	8	11	0	14	13	0	24	0	0	0	0	0	33	0	13	7	0	7	33	7	7	0	0	0	0	0	0	13	24	13	0	0	0	0	13	13	24	0	0	0	0	0	0	0	34	8	11	0	0	0	0	0	29	8	0	9	8	0	14	13	0	24	0	33	7	13	0	0	0	0	0	0	13	33	0	7	0	7	0	0	13	33	13	0	0	7	33	7	33	0	13	0
60	0	0	0	0	0	0	0	0	0	0	10	5	0	35	0	0	0	30	15	8	0	15	24	10	0	0	0	0	0	0	7	33	14	0	0	0	0	0	0	0	0	0	24	15	14	0	24	21	8	0	0	0	0	0	0	30	8	8	9	0	0	24	7	7	14	0	0	0	0	0	0	0	35	8	11	0	14	14	0	24	0	0	0	0	0	33	0	14	7	0	7	33	7	7	0	0	0	0	0	0	14	24	14	0	0	0	0	14	14	24	0	0	0	0	0	0	0	35	8	11	0	0	0	0	0	30	8	0	9	8	0	14	14	0	24	0	33	7	14	0	0	0	0	0	0	14	33	0	7	0	7	0	0	14	33	14	0	0	7	33	7	33	0	14	0
61	0	0	0	0	0	0	0	0	0	0	11	5	0	35	0	0	0	30	15	9	0	16	24	10	0	0	0	0	0	0	7	34	14	0	0	0	0	0	0	0	0	0	24	15	15	0	24	21	9	0	0	0	0	0	0	30	9	8	9	0	0	25	7	7	14	0	0	0	0	0	0	0	35	9	11	0	15	14	0	24	0	0	0	0	0	34	0	14	7	0	7	34	7	7	0	0	0	0	0	0	14	24	14	0	0	0	0	14	14	24	0	0	0	0	0	0	0	35	9	11	0	0	0	0	0	30	8	0	9	9	0	15	14	0	24	0	34	7	14	0	0	0	0	0	0	14	34	0	7	0	7	0	0	14	34	14	0	0	7	34	7	34	0	14	0
62	0	0	0	0	0	0	0	0	0	0	11	6	0	35	0	0	0	31	15	9	0	16	25	10	0	0	0	0	0	0	7	35	14	0	0	0	0	0	0	0	0	0	25	15	15	0	25	21	9	0	0	0	0	0	0	31	9	8	9	0	0	25	7	8	14	0	0	0	0	0	0	0	35	9	12	0	15	14	0	25	0	0	0	0	0	35	0	14	7	0	7	35	7	7	0	0	0	0	0	0	14	25	14	0	0	0	0	14	14	25	0	0	0	0	0	0	0	35	9	12	0	0	0	0	0	31	8	0	9	9	0	15	14	0	25	0	35	7	14	0	0	0	0	0	0	14	35	0	7	0	7	0	0	14	35	14	0	0	7	35	7	35	0	14	0
63	0	0	0	0	0	0	0	0	0	0	11	6	0	36	0	0	0	31	16	9	0	17	25	10	0	0	0	0	0	0	7	35	15	0	0	0	0	0	0	0	0	0	25	16	15	0	25	22	9	0	0	0	0	0	0	31	9	9	9	0	0	25	7	8	15	0	0	0	0	0	0	0	36	9	12	0	15	15	0	25	0	0	0	0	0	35	0	15	7	0	7	35	7	7	0	0	0	0	0	0	15	25	15	0	0	0	0	15	15	25	0	0	0	0	0	0	0	36	9	12	0	0	0	0	0	31	9	0	9	9	0	15	15	0	25	0	35	7	15	0	0	0	0	0	0	15	35	0	7	0	7	0	0	15	35	15	0	0	7	35	7	35	0	15	0
64	0	0	0	0	0	0	0	0	0	0	12	6	0	36	0	0	0	32	16	9	0	17	25	11	0	0	0	0	0	0	7	36	15	0	0	0	0	0	0	0	0	0	25	16	16	0	25	23	9	0	0	0	0	0	0	32	9	9	9	0	0	26	7	8	15	0	0	0	0	0	0	0	36	9	13	0	16	15	0	25	0	0	0	0	0	36	0	15	7	0	7	36	7	7	0	0	0	0	0	0	15	25	15	0	0	0	0	15	15	25	0	0	0	0	0	0	0	36	9	13	0	0	0	0	0	32	9	0	9	9	0	16	15	0	25	0	36	7	15	0	0	0	0	0	0	15	36	0	7	0	7	0	0	15	36	15	0	0	7	36	7	36	0	15	0
65	0	0	0	0	0	0	0	0	0	0	12	7	0	36	0	0	0	32	17	9	0	17	26	11	0	0	0	0	0	0	8	36	15	0	0	0	0	0	0	0	0	0	26	16	16	0	26	23	9	0	0	0	0	0	0	32	9	9	10	0	0	26	8	8	15	0	0	0	0	0	0	0	36	10	13	0	16	15	0	26	0	0	0	0	0	36	0	15	8	0	8	36	8	8	0	0	0	0	0	0	15	26	15	0	0	0	0	15	15	26	0	0	0	0	0	0	0	36	10	13	0	0	0	0	0	32	9	0	10	9	0	16	15	0	26	0	36	8	15	0	0	0	0	0	0	15	36	0	8	0	8	0	0	15	36	15	0	0	8	36	8	36	0	15	0
66	0	0	0	0	0	0	0	0	0	0	12	7	0	37	0	0	0	33	17	9	0	17	27	11	0	0	0	0	0	0	8	37	15	0	0	0	0	0	0	0	0	0	27	16	16	0	27	23	9	0	0	0	0	0	0	33	9	9	10	0	0	27	8	8	15	0	0	0	0	0	0	0	37	10	13	0	16	15	0	27	0	0	0	0	0	37	0	15	8	0	8	37	8	8	0	0	0	0	0	0	15	27	15	0	0	0	0	15	15	27	0	0	0	0	0	0	0	37	10	13	0	0	0	0	0	33	9	0	10	9	0	16	15	0	27	0	37	8	15	0	0	0	0	0	0	15	37	0	8	0	8	0	0	15	37	15	0	0	8	37	8	37	0	15	0
67	0	0	0	0	0	0	0	0	0	0	13	7	0	37	0	0	0	33	17	10	0	18	27	11	0	0	0	0	0	0	8	37	16	0	0	0	0	0	0	0	0	0	27	17	16	0	27	23	10	0	0	0	0	0	0	33	10	9	10	0	0	27	8	8	16	0	0	0	0	0	0	0	37	10	14	0	16	16	0	27	0	0	0	0	0	37	0	16	8	0	8	37	8	8	0	0	0	0	0	0	16	27	16	0	0	0	0	16	16	27	0	0	0	0	0	0	0	37	10	14	0	0	0	0	0	33	9	0	10	10	0	16	16	0	27	0	37	8	16	0	0	0	0	0	0	16	37	0	8	0	8	0	0	16	37	16	0	0	8	37	8	37	0	16	0
68	0	0	0	0	0	0	0	0	0	0	13	7	0	38	0	0	0	34	17	10	0	18	27	12	0	0	0	0	0	0	8	38	16	0	0	0	0	0	0	0	0	0	27	17	17	0	27	24	10	0	0	0	0	0	0	34	10	9	10	0	0	28	8	8	16	0	0	0	0	0	0	0	38	10	14	0	17	16	0	27	0	0	0	0	0	38	0	16	8	0	8	38	8	8	0	0	0	0	0	0	16	27	16	0	0	0	0	16	16	27	0	0	0	0	0	0	0	38	10	14	0	0	0	0	0	34	9	0	10	10	0	17	16	0	27	0	38	8	16	0	0	0	0	0	0	16	38	0	8	0	8	0	0	16	38	16	0	0	8	38	8	38	0	16	0
69	0	0	0	0	0	0	0	0	0	0	13	8	0	38	0	0	0	34	18	10	0	18	28	12	0	0	0	0	0	0	8	39	16	0	0	0	0	0	0	0	0	0	28	17	17	0	28	24	10	0	0	0	0	0	0	34	10	10	10	0	0	28	8	9	16	0	0	0	0	0	0	0	38	10	15	0	17	16	0	28	0	0	0	0	0	39	0	16	8	0	8	39	8	8	0	0	0	0	0	0	16	28	16	0	0	0	0	16	16	28	0	0	0	0	0	0	0	38	10	15	0	0	0	0	0	34	10	0	10	10	0	17	16	0	28	0	39	8	16	0	0	0	0	0	0	16	39	0	8	0	8	0	0	16	39	16	0	0	8	39	8	39	0	16	0
70	0	0	0	0	0	0	0	0	0	0	14	8	0	38	0	0	0	35	18	10	0	19	28	12	0	0	0	0	0	0	8	39	17	0	0	0	0	0	0	0	0	0	28	18	17	0	28	25	10	0	0	0	0	0	0	35	10	10	10	0	0	28	8	9	17	0	0	0	0	0	0	0	38	10	16	0	17	17	0	28	0	0	0	0	0	39	0	17	8	0	8	39	8	8	0	0	0	0	0	0	17	28	17	0	0	0	0	17	17	28	0	0	0	0	0	0	0	38	10	16	0	0	0	0	0	35	10	0	10	10	0	17	17	0	28	0	39	8	17	0	0	0	0	0	0	17	39	0	8	0	8	0	0	17	39	17	0	0	8	39	8	39	0	17	0
