CollectionIndex	GroupName	ItemGDP	ItemName	Part	AttributeIndex	AttributeLevel	EnchantLevel	PopCostVMoney	PopCostItem_0	PopCostItem_1	PopCostItem_2
277	Linh viªn: t¨ng th©n ph¸p, t¨ng linh ho¹t	0;148;66	H-Linh Viªn-Lv4	1;0;0	13545	1	1		2;1;30499;3	2;1;30666;3	
278		0;148;82	H-Linh Viªn-Lv5	1;0;0	13545	2	1		2;1;30499;30	2;1;30667;6	
279		0;148;98	H-Linh Viªn-Lv6	1;0;0	13545	3	1		2;1;30499;200	2;1;30668;9	
280		0;149;67	C-Linh Viªn-Lv4	0;1;0	13545	1	1		2;1;30499;3	2;1;30666;3	
281		0;149;84	C-Linh Viªn-Lv5	0;1;0	13545	2	1		2;1;30499;30	2;1;30667;6	
282		0;149;101	C-Linh Viªn-Lv6	0;1;0	13545	3	1		2;1;30499;200	2;1;30668;9	
283		0;150;66	T-Linh Viªn-Lv4	0;0;1	13545	1	1		2;1;30499;3	2;1;30666;3	
284		0;150;82	T-Linh Viªn-Lv5	0;0;1	13545	2	1		2;1;30499;30	2;1;30667;6	
285		0;150;98	T-Linh Viªn-Lv6	0;0;1	13545	3	1		2;1;30499;200	2;1;30668;9	
286	H¶i vËn: t¨ng néi c«ng, t¨ng th©n ph¸p	0;148;67	H-H¶i VËn-Lv4	1;0;0	13546	1	1		2;1;30499;3	2;1;30666;3	
287		0;148;83	H-H¶i VËn-Lv5	1;0;0	13546	2	1		2;1;30499;30	2;1;30667;6	
288		0;148;99	H-H¶i VËn-Lv6	1;0;0	13546	3	1		2;1;30499;200	2;1;30668;9	
289		0;149;68	C-H¶i VËn-Lv4	0;1;0	13546	1	1		2;1;30499;3	2;1;30666;3	
290		0;149;85	C-H¶i VËn-Lv5	0;1;0	13546	2	1		2;1;30499;30	2;1;30667;6	
291		0;149;102	C-H¶i VËn-Lv6	0;1;0	13546	3	1		2;1;30499;200	2;1;30668;9	
292		0;150;67	T-H¶i VËn-Lv4	0;0;1	13546	1	1		2;1;30499;3	2;1;30666;3	
293		0;150;83	T-H¶i VËn-Lv5	0;0;1	13546	2	1		2;1;30499;30	2;1;30667;6	
294		0;150;99	T-H¶i VËn-Lv6	0;0;1	13546	3	1		2;1;30499;200	2;1;30668;9	
295	H¶i t©m: t¨ng néi c«ng#t¨ng linh ho¹t	0;148;68	H-H¶i T©m-Lv4	1;0;0	13547	1	1		2;1;30499;3	2;1;30666;3	
296		0;148;84	H-H¶i T©m-Lv5	1;0;0	13547	2	1		2;1;30499;30	2;1;30667;6	
297		0;148;100	H-H¶i T©m-Lv6	1;0;0	13547	3	1		2;1;30499;200	2;1;30668;9	
298		0;149;69	C-H¶i T©m-Lv4	0;1;0	13547	1	1		2;1;30499;3	2;1;30666;3	
299		0;149;86	C-H¶i T©m-Lv5	0;1;0	13547	2	1		2;1;30499;30	2;1;30667;6	
300		0;149;103	C-H¶i T©m-Lv6	0;1;0	13547	3	1		2;1;30499;200	2;1;30668;9	
301		0;150;68	T-H¶i T©m-Lv4	0;0;1	13547	1	1		2;1;30499;3	2;1;30666;3	
302		0;150;84	T-H¶i T©m-Lv5	0;0;1	13547	2	1		2;1;30499;30	2;1;30667;6	
303		0;150;100	T-H¶i T©m-Lv6	0;0;1	13547	3	1		2;1;30499;200	2;1;30668;9	
