Index	Level	TaskID	TaskValue	TaskInfo
103	10	140	1	<color=green>Nh.vô C«ng T«n Th­<color>:B»ng h÷u kh«ng ph¶i ®i T­¬ng D­¬ng b¸o cho<color=yellow>C«ng T«n Th­ (191.182)<color> biÕt viÖc liªn quan ®Õn mËt th­ cña Thiªn ¢m Gi¸o ®ã sao?
104	10	140	2	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®· høa gióp <color=yellow>C«ng T«n Th­ (191.182)<color> göi th­ cho <color=yellow>Ch­ëng m«n Vâ §ang Tö H¹c Ch©n Nh©n (228.207)<color> ®ã sao?
105	10	140	3	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®· høa gióp <color=yellow>Ch­ëng m«n Vâ §ang Tö H¹c Ch©n Nh©n (228.207) t×m th­ kiÕm nhÞ ®ång ®ã sao? Linh B¶o s¬n lµ con ®­êng thiÕt yÕu ®i lªn ThiÕu L©m, h·y ®Õn ®ã xem thÕ nµo
106	10	140	4	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®· høa gióp <color=yellow>Th­ kiÕm nhÞ ®ång (227.217)<color> trªn Linh B¶o s¬n nãi t×nh h×nh hiÖn t¹i cho s­ phô lµ <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> nghe ®ã sao?
107	10	140	5	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®· høa víi <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> ®¸nh b¹i hæ d÷ trªn Linh B¶o s¬n, mang vÒ 10 Hæ cèt ®ã sao?
108	10	140	6	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· thu thËp ®ñ 10 khóc x­¬ng hæ, sao vÉn ch­a vÒ gÆp <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> vËy?
109	10	140	7	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· cã ®­îc thuèc trÞ néi th­¬ng, h·y mau ®i Linh B¶o s¬n,  trÞ th­¬ng cho <color=yellow>Th­ kiÕm nhÞ ®ång (227.217)<color>.
110	10	140	8	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i vÒ Vâ §ang, nãi cho <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> biÕt nguyªn nh©n xung ®ét gi÷a NhÞ §ång vµ LiÖp Hé ®ã sao?
111	10	140	9	<color=green>Nh.vô C«ng T«n Th­<color>:B»ng h÷u kh«ng ph¶i b¸o cho <color=yellow>C«ng T«n Th­ (191.182)<color> biÕt tin Th­ KiÕm NhÞ §ång ®· nghe ®­îc ®ã sao?
112	10	140	10	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®· høa víi <color=yellow>C«ng T«n Th­ (191.182)<color> dß xem thùc h­ cña thî s¨n ®ã sao? §¸nh b¹i thî s¨n, cã thÓ t×m thÊy manh mèi vÒ vô c­íp tiªu.
113	10	140	11	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u lÊy ®­îc tiªu kú trªn ng­êi thî s¨n, h·y mau ®­a cho <color=yellow>C«ng T«n Th­<color> xem.
114	10	140	12	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i nhËn lêi gióp <color=yellow>C«ng T«n Th­ (191.182) ë T­¬ng D­¬ng<color> ®i gi¸o huÊn thî s¨n, mang vÒ <color=yellow>10 mãn hµng ®· mÊt<color> ®ã sao?
115	10	140	13	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· thu thËp ®ñ hµng, h·y mau vÒ gÆp <color=yellow>C«ng T«n Th­ (191.182)<color>.
116	10	140	14	<color=green>Nh.vô C«ng T«n Th­<color>: Sè hµng ®ã ®· bÞ Mé TuyÕt S¬n Trang c­íp mÊt, B»ng h÷u kh«ng ph¶i ®­a nã cho <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> x¸c nhËn sao?
117	10	140	15	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u muèn trµ trén vµo Mé TuyÕt s¬n trang, cÇn ph¶i biÕt ¸m hiÖu, h·y ®i gi¸o huÊn <color=yellow>Mé TuyÕt KiÕm Kh¸ch vµ Mé TuyÕt Th­¬ng Kh¸ch<color> xem xem cã thÓ t×m ra ¸m hiÖu kh«ng (phÝa T©y B¾c Vâ §ang ph¸i)
118	10	140	16	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· hái ra ¸m hiÖu cña tæ chøc Mé TuyÕt s¬n trang, h·y mau t×m Gia ®inh (204.192) ®Ó trµ trén vµo s¬n trang.
119	10	140	17	<color=green>Nh.vô C«ng T«n Th­<color>: ¸m hiÖu vÉn ch­a ®ñ, cßn ph¶i cã lÖnh bµi, h·y ®¸nh b¹i <color=yellow>Mé tuyÕt KiÕm Kh¸ch vµ Mé tuyÕt th­¬ng kh¸ch<color>.(Mé tuyÕt s¬n trang ë phÝa T©y B¾c Vâ §ang ph¸i)
120	10	140	18	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· lÊy ®­îc lÖnh bµi Mé TuyÕt s¬n trang, h·y mau ®i t×m <color=yellow>Kim Phông (186.183)<color>.
121	10	140	19	<color=green>Nh.vô C«ng T«n Th­<color>: Qu¶ nhiªn Mé TuyÕt s¬n trang ®· ¨n trém b¶o vËt cña Vâ §ang, b»ng h÷u h·y mau th«ng b¸o cho <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> biÕt.
122	10	140	20	<color=green>Nh.vô C«ng T«n Th­<color>: Chñ m­u lÊy b¶o vËt lµ Ng©n Hå th× ra Èn nÊp ë ThÊt Tinh ®éng (228.188), b»ng h÷u h·y ®i b¾t vÒ.
123	10	140	21	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· ®¸nh b¹i Ng©n Hå, h·y mau vÒ gÆp <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color>.
124	10	140	22	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®Õn T­¬ng D­¬ng gÆp <color=yellow>C«ng T«n Th­ (191.182)<color> ®Ó nhËn d¹ng thÎ bµi ®ã sao?
125	10	140	23	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i míi ®Õn Mé TuyÕt s¬n trang t×m <color=yellow>Kim Phông (186.183)<color> th¸m thÝnh tin t×nh b¸o liªn quan qu©n T©y H¹ ®ã sao?
126	10	140	24	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· bÞ lé th©n phËn, hiÖn giê chØ cßn c¸ch giao chiÕn víi <color=yellow>Kim Phông (186.183)<color>
127	10	140	25	<color=green>Nh.vô C«ng T«n Th­<color>: õ, B»ng h÷u ®· cã mËt th­, sao vÉn ch­a ®Õn KiÕm M«n Quan ®­a cho <color=yellow>Th¸c B¹t Kú (164.187)<color>?
128	10	140	26	<color=green>Nh.vô C«ng T«n Th­<color>: Qu©n tiªn phong cña T©y H¹ ®· ®Õn KiÕm M«n Quan, HiÖn giê ®· gi¶ trang thµnh qu©n Tèng, B»ng h÷u kh«ng ph¶i muèn ®¸nh b¹i chóng sao? H·y mau ®i tiªu diÖt 20 tªn qu©n T©y H¹ gi¶ d¹ng thµnh <color=yellow>Tèng qu©n tö sÜ vµ Tèng ®ao binh<color>.
129	10	140	28	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· tiªu diÖt qu©n tiªn phong T©y H¹, h·y mau ®Õn T­¬ng D­¬ng gÆp <color=yellow>C«ng T«n Th­ (191.182)<color> th«ng b¸o t×nh h×nh.
130	10	140	29	<color=green>Nh.vô C«ng T«n Th­<color>: NÕu b»ng h÷u lÊy ®­îc trËn ®å xuÊt qu©n T©y H¹ lÇn nµy th× qu©n Tèng sÏ dÔ dµng giµnh chiÕn th¾ng, h·y mau ®Õn KiÕm M«n Quan, nghÜ c¸ch lÊy trËn ®å qu©n T©y H¹ tõ <color=yellow>Tèng qu©n tö sÜ vµ Tèng ®ao binh<color> gi¶ d¹ng.
131	10	140	30	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· lÊy ®­îc Bè trËn ®å T©y H¹, h·y mau vÒ gÆp <color=yellow>C«ng T«n Th­ (191.182)<color>
132	10	140	31	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i nhËn lêi víi <color=yellow>C«ng T«n Th­ (191.182)<color> ®i thÝch s¸t 3 tªn T©y H¹ T­íng LÜnh ®ã sao?
133	10	140	32	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· tiªu diÖt 3 tªn T©y H¹ t­íng lÜnh, h·y mau vÒ gÆp <color=yellow>C«ng T«n Th­ (191.182)<color>.
134	10	140	33	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®Õn KiÕm C¸c Thôc §¹o ®Ó ph¸ nhuÖ khÝ T©y H¹ nhÊt phÈm ®­êng sao? §ao TuyÖt, KiÕm Cuång lµ mét trong sè ®ã. H·y ®i lÊy 10 NhÊt PhÈm bµi vÒ cho <color=yellow>C«ng T«n Th­<color>.
135	10	140	34	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· thu thËp ®ñ 10 NhÊt phÈm bµi, h·y mau vÒ gÆp <color=yellow>C«ng T«n Th­<color>.
136	10	140	35	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u h·y ®Õn KiÕm M«n Quan t×m <color=yellow>Th¸c B¹t Kú (164.187)<color>, lµm theo kÕ cña C«ng T«n Th­.
137	10	140	36	<color=green>Nh.vô C«ng T«n Th­<color>: Kh«ng ngê mét trong 10 ®¹i Kim Cang cña nhÊt phÈm ®­êng ®· ®Õn Trung Nguyªn, b»ng h÷u h·y mau ®Õn KiÕm C¸c Thôc §¹o, ®¸nh b¹i Gia LuËt B¸ Nham (188.200).
138	10	140	37	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· ®¸nh b¹i Gia LuËt B¸ Nham råi ­? H·y mau vÒ gÆp <color=yellow>C«ng T«n Th­ (191.182)<color>.
139	10	140	38	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®Õn §­êng M«n gÆp <color=yellow>§éc Si (199.176)<color> ®Ó nhËn diÖn d­îc liÖu trong b×nh sø sao?
140	10	140	39	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i høa gióp <color=yellow>§éc Si (199.176)<color> t×m 10 Mª hån h­¬ng (tõ N÷ HiÖp Kh¸ch ë Tróc Ty ®éng), 10 Hoµng liªn (tõ kü n¨ng canh t¸c), 5 NhiÔu minh ®Ëu (tõ kü n¨ng canh t¸c) ®ã sao?
141	10	140	40	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· kiÕm ®ñ Mª hån h­¬ng, cßn 10 Hoµng liªn (tõ kü n¨ng canh t¸c), 5 NhiÔu minh ®Ëu (tõ kü n¨ng canh t¸c) khi nµo ®ñ, h·y ®Õn §­êng M«n gÆp <color=yellow>§éc Si (199.176)<color>.
142	10	140	41	<color=green>Nh.vô C«ng T«n Th­<color>: <color=yellow>§éc Si (199.176)<color> nãi thuèc gi¶i ch¾c ch¾n ë trªn ng­êi bá ®éc, h·y mau ®Õn KiÕm C¸c Thôc §¹o nghÜ c¸ch ®¸nh b¹i §ao tuyÖt, KiÕm cuång.
143	10	140	42	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· t×m ®­îc thuèc gi¶i Bi t« thanh phong, h·y mau vÒ gÆp <color=yellow>C«ng T«n Th­ (191.182)<color>.
144	10	140	43	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®Õn KiÕm C¸c Thôc §¹o tiªu hñy 5 r­¬ng ®éc d­îc cña qu©n T©y H¹ ®ã sao? Sao cßn ë ®©y!
145	10	140	44	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· tiªu hñy r­¬ng ®éc d­îc, cßn kh«ng mau vÒ gÆp <color=yellow>C«ng T«n Th­ (191.182)<color>.
146	10	140	45	<color=green>Nh.vô C«ng T«n Th­<color>: Kh«ng ngê giÆc Liªu khiªu khÝch ng­êi T©y H¹ tÊn c«ng §¹i Tèng ta. B»ng h÷u h·y ®Õn Phôc Ng­u s¬n t×m  <color=yellow>®¸m S¬n tÆc (169.166)<color> dß la tin tøc.
147	10	140	46	<color=green>Nh.vô C«ng T«n Th­<color>: Th× ra muèn <color=yellow>L¹c ph¸ch s¬n tÆc (169.166)<color> hîp t¸c, tr­íc ph¶i b¸o thï cho hä tr­íc. B»ng h÷u h·y ®i tiªu diÖt 15 tªn Liªu th­¬ng qu©n, 15 tªn Liªu §ao binh, 15 tªn Liªu tiÔn binh.
148	10	140	47	<color=green>Nh.vô C«ng T«n Th­<color>: Th× ra muèn <color=yellow>L¹c ph¸ch s¬n tÆc (169.166)<color> hîp t¸c, tr­íc ph¶i b¸o thï cho hä tr­íc. B»ng h÷u h·y ®i tiªu diÖt 15 tªn Liªu th­¬ng qu©n, 15 tªn Liªu §ao binh, 15 tªn Liªu tiÔn binh.
149	10	140	48	<color=green>Nh.vô C«ng T«n Th­<color>: Th× ra muèn <color=yellow>L¹c ph¸ch s¬n tÆc (169.166)<color> hîp t¸c, tr­íc ph¶i b¸o thï cho hä tr­íc. B»ng h÷u h·y ®i tiªu diÖt 15 tªn Liªu th­¬ng qu©n, 15 tªn Liªu §ao binh, 15 tªn Liªu tiÔn binh.
150	10	140	49	<color=green>Nh.vô C«ng T«n Th­<color>: Th× ra muèn <color=yellow>L¹c ph¸ch s¬n tÆc (169.166)<color> hîp t¸c, tr­íc ph¶i b¸o thï cho hä tr­íc. B»ng h÷u h·y ®i tiªu diÖt 15 tªn Liªu th­¬ng qu©n, 15 tªn Liªu §ao binh, 15 tªn Liªu tiÔn binh.
151	10	140	50	<color=green>Nh.vô C«ng T«n Th­<color>: Kh«ng ngê, Phôc Ng­u s¬n cã ®¸m tµ t¨ng T©y h¹, dïng tµ ph¸p h¹i ng­êi, b»ng h÷u h·y ®Õn Vâ §ang gÆp <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> xem cã c¸ch g× ph¸ gi¶i kh«ng
152	10	140	51	<color=green>Nh.vô C«ng T«n Th­<color>: Muèn ph¸ gi¶i tµ ph¸p, ph¶i t×m 10 h¾c s¾c thiªn nh·n ch©u (tõ tµ t¨ng Phôc Ng­u s¬n), 5 chÐn h¾c khuyÓn linh huyÕt (C«n ®å ngoµi thµnh) cho <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color>, b»ng h÷u cßn kh«ng mau ®Õn ®ã.
153	10	140	52	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· thu thËp ®ñ H¾c s¾c thiªn nh·n ch©u, kh«ng biÕt H¾c khuyÓn linh huyÕt (tõ C«n ®å ngoµi thµnh) kiÕm ®ñ ch­a, NÕu ®ñ råi, h·y mau lªn Vâ §ang gÆp <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color>.
154	10	140	53	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u nhËn ®­îc Thiªn linh ph¸ tµ ch©u, h·y mau t×m <color=yellow>L¹c ph¸ch S¬n tÆc (169.166)<color> ®Ó gi¶i cøu huynh ®Ö h¾n.
155	10	140	54	<color=green>Nh.vô C«ng T«n Th­<color>: L¹c ph¸ch S¬n tÆc ®· vÏ xong ®Þa ®å Phôc Ng­u S¬n vµ b¶n ®å bè trÝ qu©n Liªu, b»ng h÷u h·y mau ®Õn T­¬ng D­¬ng gÆp <color=yellow>C«ng T«n Th­ (191.182)<color> bµn ®èi s¸ch.
156	10	144	1	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u muèn ph¸ gi¶i tµ ph¸p cña tµ t¨ng, xem ra ph¶i lªn Vâ §ang gÆp <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> bµn c¸ch ®èi phã.
157	10	144	2	<color=green>Nh.vô C«ng T«n Th­<color>: <color=yellow>Tö H¹c Ch©n Nh©n (228.207)<color> nãi muèn ph¸ gi¶i tµ ph¸p, ph¶i t×m 10 HuyÒn H¹c Linh huyÕt (tõ thî s¨n NhÞ Long S¬n), 10 BÝch HuyÕt Sa (tõ M·ng KhÊu ë H¾c Phong §éng L­¬ng S¬n B¹c), b»ng h÷u sao cßn ch­a ®i.
158	10	144	3	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u ®· cã Ph¸ chó thñy, h·y mau ®Õn Phôc Ng­u S¬n ®¸nh b¹i 3 tªn Tµ t¨ng thñ lÜnh - <color=yellow>T©y H¹ ph¸p s­ (180.196; 169.193; 181.187)<color>.
159	10	141	1	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i ®Õn T­¬ng D­¬ng gÆp <color=yellow>QuËn Thó (190.187)<color> ®Ó th­¬ng nghÞ viÖc c«ng ®¸nh dinh tr¹i qu©n Liªu ®ã sao?
160	10	141	2	<color=green>Nh.vô C«ng T«n Th­<color>: B»ng h÷u kh«ng ph¶i lªn Phôc Ng­u S¬n ®Ó tiªu hñy <color=yellow>2 LÇu canh qu©n Liªu (193.190; 169.178)<color> sao?
161	10	141	3	<color=green>Nh.vô C«ng T«n Th­<color>:B»ng h÷u ®· ph¸ hñy 2 c¸i th¸p canh, h·y mau ®Õn T­¬ng D­¬ng gÆp <color=yellow>QuËn Thó (190.187)<color>.
162	10	141	4	<color=green>Nh.vô C«ng T«n Th­<color>: ChØ cÇn ®èt s¹ch l­¬ng th¶o, qu©n Liªu sÏ kh«ng ®¸nh ®· thua, b»ng h÷u mau ®Õn Phôc Ng­u S¬n ®èt s¹ch l­¬ng th¶o (192.167).
163	10	140	56	<color=green>Nh.vô C«ng T«n Th­<color>: Cuèi cïng ®¸nh lui ®­îc qu©n Liªu vµ T©y H¹, b»ng h÷u cã c«ng rÊt lín, h·y mau vÒ gÆp <color=yellow>C«ng T«n Th­ (191.182)<color>.
164	10	140	57	<color=green>Nh.vô C«ng T«n Th­<color>: Th× ra tÊt c¶ ®Òu lµ do b¶n S¬n Hµ X· T¾c, h·y lªn Phôc Ng­u S¬n t×m <color=yellow>L¹c ph¸ch S¬n tÆc(169.166)<color> hái râ viÖc nµy.
165	10	140	58	<color=green>Nh.vô C«ng T«n Th­<color>: §i <color=yellow>Long Hæ §éng ë Phôc Ng­u s¬n<color> t×m <color=yellow>§Çu lÜnh S¬n tÆc (187.207)<color> cã ë ®ã kh«ng!
166	10	121	101	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i høa gióp Ph¹m Träng Yªm (195.182) ®Õn §­êng M«n gÆp <color=yellow>§­êng Kþ (202.171)<color> lÊy Lang Cèt töu ®ã sao?
167	10	121	102	<color=green>Nh.vô Ph¹m Träng Yªm<color>: Kh«ng ngê §­êng Kþ ®· quªn, b»ng h÷u h·y gióp t×m <color=yellow>10 Thanh Lang cèt, 10 Thæ Lang cèt<color> cho §­êng Kþ.
168	10	121	103	<color=green>Nh.vô Ph¹m Träng Yªm<color>: ChØ cã Thanh Lang cèt ch­a ®ñ, b»ng h÷u h·y nghÜ c¸ch ®¸nh b¹i c­êng tÆc B¸ch NhËt TiÔn lÊy vÒ <color=yellow>8 ®ãa Tö Tinh hoa<color>.
169	10	122	1	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®· lÊy ®­îc Lang cèt töu, h·y mau vÒ Nam Thµnh §« gÆp <color=yellow>Ph¹m Träng Yªm (195.182)<color>.
170	10	122	2	<color=green>Nh.vô Ph¹m Träng Yªm<color>: <color=yellow>Th¸i Thó Thµnh §« (224.217)<color> cã viÖc ph¶i t×m Ph¹m l·o tiªn sinh nhê b»ng h÷u ®i thay?
171	10	122	3	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®· gÆp Th¸i Thó Thµnh §«, h·y mau vÒ Nam Thµnh §« gÆp<color=yellow>Ph¹m Träng Yªm (195.182)<color>.
172	10	123	1	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u lªn C¸i Bang th¸m thÝnh tin tøc vÒ b¶n S¬n Hµ X· T¾c, <color=yellow>Hång ThÊt (190.202)<color> lµ ng­êi biÕt rÊt râ, h·y mau ®i hái.
173	10	123	2	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i høa gióp Hång ThÊt ®Õn D· Tr­ Th«n hái th¨m <color=yellow>®Ö tö C¸i Bang (212.194)<color> ®ã sao?
174	10	123	3	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i høa gióp ®Ö tö C¸i Bang t×m l¹i Hµnh lý bÞ mÊt ®ã sao? GÇn C¸i Bang cã nhiÒu <color=yellow>Trém vÆt vµ Phi tÆc<color> cã lÏ lµ do chóng lÊy.
175	10	123	4	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®· t×m ®­îc gãi ®å, h·y mau vÒ gÆp <color=yellow>®Ö tö C¸i Bang (212.194)<color>.
176	10	123	5	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®· t×m ®­îc ®Ö tö C¸i Bang, h·y vÒ C¸i Bang gÆp <color=yellow>Hång ThÊt (190, 202)<color>.
177	10	123	6	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®­îc Hång ThÊt (190.202) b¸o tin, h·y mau <color=yellow>nhê Hång ThÊt ®­a vÒ Nam Thµnh §«<color> gÆp Ph¹m Träng Yªm (195.182).
178	10	123	7	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®· ®­îc Hång ThÊt ®­a vÒ Thµnh §«, h·y mau ®Õn <color=yellow>Nam Thµnh §« gÆp Ph¹m Träng Yªm (195.182)<color>.
179	10	150	1	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i ®Õn Nam Thµnh §« gÇn lèi vµo Giang T©n Th«n t×m <color=yellow>Gia C¸t Kú (197.197)<color> gióp ®ì ®ã sao?
180	10	150	2	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i v× muèn gÆp h¶o h¸n cña C¸i Bang lµ TrÇn Phi D­¬ng, ®Þnh ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>N¹n d©n Gi¸p (228.227)<color> ®ã sao? VÉn cßn ë ®©y sao?
181	10	150	3	<color=green>Nh.vô Ph¹m Träng Yªm<color>: Th× ra muèn N¹n d©n Gi¸p tiÕt lé, b»ng h÷u ph¶i t×m 20 b×nh Thiªu Töu (®¸nh L­u manh ngoµi thµnh).
182	10	150	4	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®­a Thiªu töu cho c¸c N¹n d©n kh¸c ch­a? <color=yellow>N¹n d©n Êt (206.226), N¹n d©n BÝnh (208.218), N¹n d©n §inh (233.214)<color> ®· nhËn ®­îc r­îu ch­a?
183	10	150	5	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®· ®­a r­îu xong, sao vÉn ch­a vÒ Thµnh §« gÆp N¹n d©n Gi¸p (228.227) hái tin tøc vÒ TrÇn Phi D­¬ng.
184	10	150	6	<color=green>Nh.vô Ph¹m Träng Yªm<color>: Cuèi cïng ®· biÕt ®­îc tung tÝch cña TrÇn Phi D­¬ng, b»ng h÷u mau ®Õn <color=yellow>KiÕm C¸c Thôc §¹o<color> (160.184).
185	10	150	7	<color=green>Nh.vô Ph¹m Träng Yªm<color>: TrÇn Phi D­¬ng bÞ néi th­¬ng, ®Ó trÞ th­¬ng, xem ra b»ng h÷u ph¶i ®i t×m <color=yellow>10 hæ cèt<color>. (®¸nh Hæ d÷ ë Linh B¶o S¬n, ThiÕu L©m)
186	10	150	8	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i ®· nhËn lêi gióp TrÇn Phi D­¬ng ®Õn Kim Quang §éng ®o¹t l¹i ph¸p khÝ ®­a cho <color=yellow>Gia C¸t Kú (197.197)<color> ë Nam Thµnh §« ®ã sao?
187	10	150	9	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i høa gióp Gia C¸t Kú thu phôc <color=yellow>25 Oan hån Hñ Thi vµ 15 Oan hån Hµnh thi<color> ®ã sao?
188	10	150	10	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i lªn ThiÕu L©m gÆp Cao t¨ng nhê gióp siªu ®é cho nh÷ng ng­êi d©n Giang T©n th«n ®ã sao? Nghe nãi <color=yellow>V« Danh T¨ng (209.109)<color> cña ThiÕu L©m phËt ph¸p tinh th©m, b»ng h÷u h·y ®Õn thØnh gi¸o xem sao!
189	10	150	11	<color=green>Nh.vô Ph¹m Träng Yªm<color>: §Ó siªu ®é ng­êi d©n Giang T©n th«n, cÇn cã 1 sè di vËt. B»ng h÷u kh«ng ph¶i ®Õn Giang T©n Th«n t×m <color=yellow>5 ®ãa Väng Giang Hång<color> ®ã sao?
190	10	150	12	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i ®ang chê §¹i s­ V« Danh T¨ng (209, 109) lÊy Táa Yªu Chung cho m­în ®ã sao? H·y mau xem ®¹i s­ lÊy vÒ ch­a?
191	10	150	13	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u ®· siªu ®é ng­êi d©n Giang T©n Th«n, h·y mau vÒ Nam Thµnh §« gÆp <color=yellow>Gia C¸t Kú (197.197)<color>.
192	10	150	14	<color=green>Nh.vô Ph¹m Träng Yªm<color>: §Ó ®äc ®­îc néi dung mËt th­ cña TrÇn Phi D­¬ng, b»ng h÷u mau ®Õn Giang T©n th«n lÊy vÒ <color=yellow>4 sîi l«ng Qu¹ ®en<color> (ë ThÊt Tinh §éng Vâ §ang còng cã)
193	10	150	15	<color=green>Nh.vô Ph¹m Träng Yªm<color>: Kh«ng ngê vËt quan träng cña TrÇn Phi D­¬ng ®· bÞ bän ng­êi ¤ M«ng Bé ®o¹t lÊy, b»ng h÷u h·y mau ®Õn <color=yellow>¤ M«ng Bé ë phÝa nam §­êng M«n<color> gÆp <color=yellow>ThiÕu n÷ ¤ M«ng Bé, ¤ M«ng Téc Nh©n vµ ¤ M«ng dòng sÜ<color> ®ßi l¹i.
194	10	150	16	<color=green>Nh.vô Ph¹m Träng Yªm<color>: B»ng h÷u kh«ng ph¶i ®· t×m ®­îc bøc th­ ®ã sao? VÉn cßn 4 trang th­ ch­a t×m ®­îc, h·y tiÕp tôc lªn <color=yellow>¤ M«ng Bé ë phÝa nam §­êng M«n<color> gÆp <color=yellow>ThiÕu n÷ ¤ M«ng Bé, ¤ M«ng Téc Nh©n vµ ¤ M«ng dòng sÜ<color> ®ßi l¹i.
195	10	150	17	<color=green>Nh.vô Ph¹m Träng Yªm<color>: Th× ra lµ th­ ®iÒu tra th©n thÕ TrÇn Phi D­¬ng, b»ng h÷u h·y mau lªn <color=yellow>L­¬ng S¬n B¹c gÆp Tèng Giang (189.172)<color> hái cho cÆn kÎ.
