ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey
693	Thanh Dùc Bøc V­¬ng - Minh HuyÕt B¶o Giíi	0;102;27143;1	2	3	27			30000;30041;30046;30198		shimen5
694	Thanh Dùc Bøc V­¬ng - Minh HuyÕt B¶o Giíi	0;102;27144;1	2	4	27			30000;30041;30046;30198		shimen5
695	Thanh Dùc Bøc V­¬ng - Minh HuyÕt Thóy Giíi	0;102;27145;1	1	1	27			30000;30041;30046;30198		shimen5
696	Thanh Dùc Bøc V­¬ng - Minh HuyÕt Thóy Giíi	0;102;27146;1	1	2	27			30000;30041;30046;30198		shimen5
697	Thanh Dùc Bøc V­¬ng - Minh HuyÕt Thóy Giíi	0;102;27147;1	2	3	27			30000;30041;30046;30198		shimen5
698	Thanh Dùc Bøc V­¬ng - Minh HuyÕt Thóy Giíi	0;102;27148;1	2	4	27			30000;30041;30046;30198		shimen5
699	B¸ch Hoa T«n Gi¶ - ThÊm T©m Thóy Giíi	0;102;29141;1	2	3	29			30000;30041;30046;30198		shimen5
700	B¸ch Hoa T«n Gi¶ - ThÊm T©m Thóy Giíi	0;102;29142;1	2	4	29			30000;30041;30046;30198		shimen5
701	B¸ch Hoa T«n Gi¶ - Nh­ ý B¶o Giíi	0;102;29145;1	2	3	29			30000;30041;30046;30198		shimen5
702	B¸ch Hoa T«n Gi¶ - Nh­ ý B¶o Giíi	0;102;29146;1	2	4	29			30000;30041;30046;30198		shimen5
703	Linh §éng T«n Gi¶ - TÞnh V©n Thóy Giíi	0;102;30141;1	2	3	30			30000;30041;30046;30198		shimen5
704	Linh §éng T«n Gi¶ - TÞnh V©n Thóy Giíi	0;102;30142;1	2	4	30			30000;30041;30046;30198		shimen5
705	Linh §éng T«n Gi¶ - Thanh V©n Toµn Giíi	0;102;30145;1	2	3	30			30000;30041;30046;30198		shimen5
706	Linh §éng T«n Gi¶ - Thanh V©n Toµn Giíi	0;102;30146;1	2	4	30			30000;30041;30046;30198		shimen5
707	§¹t Ma Thñ Täa §Õ ThÝch §ao	0;3;241;1	1	1	2			30000;30042;30047;30199		shimen5
708	§¹t Ma Thñ Täa §Õ ThÝch §ao	0;3;242;1	1	2	2			30000;30042;30047;30199		shimen5
709	§¹t Ma Thñ Täa §Õ ThÝch C«n	0;5;241;1	1	1	2			30000;30042;30047;30199		shimen5
710	§¹t Ma Thñ Täa §Õ ThÝch C«n	0;5;242;1	1	2	2			30000;30042;30047;30199		shimen5
711	Tµng Kinh Thñ To¹ HuyÒn Tr­îng	0;8;341;1	1	1	3			30000;30042;30047;30199		shimen5
712	Tµng Kinh Thñ To¹ HuyÒn Tr­îng	0;8;342;1	1	2	3			30000;30042;30047;30199		shimen5
713	La H¸n Thñ To¹ ChÝnh Gi¸c Thñ	0;0;441;1	1	1	4			30000;30042;30047;30199		shimen5
714	La H¸n Thñ To¹ ChÝnh Gi¸c Thñ	0;0;442;1	1	2	4			30000;30042;30047;30199		shimen5
715	Thiªn Thñ ThÇn VÖ TiÒm Èn Ch©m	0;1;641;1	1	1	6			30000;30042;30047;30199		shimen5
716	Thiªn Thñ ThÇn VÖ TiÒm Èn Ch©m	0;1;642;1	1	2	6			30000;30042;30047;30199		shimen5
717	Thiªn Thñ ThÇn VÖ TiÒm Èn Ch©m	0;1;643;1	2	3	6			30000;30042;30047;30199		shimen5
718	Thiªn Thñ ThÇn VÖ TiÒm Èn Ch©m	0;1;644;1	2	4	6			30000;30042;30047;30199		shimen5
719	Kim Quang Th¸nh N÷ PhËt LÖ KiÕm	0;2;841;1	2	3	8			30000;30042;30047;30199		shimen5
720	Kim Quang Th¸nh N÷ PhËt LÖ KiÕm	0;2;842;1	2	4	8			30000;30042;30047;30199		shimen5
721	Thiªn ¢m Th¸nh N÷ PhËt VËn CÇm	0;10;941;1	2	3	9			30000;30042;30047;30199		shimen5
722	Thiªn ¢m Th¸nh N÷ PhËt VËn CÇm	0;10;942;1	2	4	9			30000;30042;30047;30199		shimen5
723	ChÊp Ph¸p Phï T«n Thñ	0;0;1141;1	1	1	11			30000;30042;30047;30199		shimen5
724	ChÊp Ph¸p Phï T«n Thñ	0;0;1142;1	1	2	11			30000;30042;30047;30199		shimen5
725	ChÊp Ph¸p Phï T«n Thñ	0;0;1143;1	2	3	11			30000;30042;30047;30199		shimen5
726	ChÊp Ph¸p Phï T«n Thñ	0;0;1144;1	2	4	11			30000;30042;30047;30199		shimen5
727	Ch­ëng Bæng Long Chóng C«n	0;5;1241;1	1	1	12			30000;30042;30047;30199		shimen5
728	Ch­ëng Bæng Long Chóng C«n	0;5;1242;1	1	2	12			30000;30042;30047;30199		shimen5
729	Ch­ëng Bæng Long Chóng C«n	0;5;1243;1	2	3	12			30000;30042;30047;30199		shimen5
730	Ch­ëng Bæng Long Chóng C«n	0;5;1244;1	2	4	12			30000;30042;30047;30199		shimen5
731	Th­îng Thanh ThÇn Kh«ng KiÕm	0;2;1441;1	1	1	14			30000;30042;30047;30199		shimen5
732	Th­îng Thanh ThÇn Kh«ng KiÕm	0;2;1442;1	1	2	14			30000;30042;30047;30199		shimen5
733	Th­îng Thanh ThÇn Kh«ng KiÕm	0;2;1443;1	2	3	14			30000;30042;30047;30199		shimen5
734	Th­îng Thanh ThÇn Kh«ng KiÕm	0;2;1444;1	2	4	14			30000;30042;30047;30199		shimen5
735	Tö Tiªu Ngù Kh«ng Bót	0;9;1541;1	1	1	15			30000;30042;30047;30199		shimen5
736	Tö Tiªu Ngù Kh«ng Bót	0;9;1542;1	1	2	15			30000;30042;30047;30199		shimen5
737	Tö Tiªu Ngù Kh«ng Bót	0;9;1543;1	2	3	15			30000;30042;30047;30199		shimen5
738	Tö Tiªu Ngù Kh«ng Bót	0;9;1544;1	2	4	15			30000;30042;30047;30199		shimen5
739	TrÊn Qu©n V« Song Th­¬ng	0;6;1741;1	1	1	17			30000;30042;30047;30199		shimen5
740	TrÊn Qu©n V« Song Th­¬ng	0;6;1742;1	1	2	17			30000;30042;30047;30199		shimen5
741	TrÊn Qu©n V« Song Th­¬ng	0;6;1743;1	2	3	17			30000;30042;30047;30199		shimen5
742	TrÊn Qu©n V« Song Th­¬ng	0;6;1744;1	2	4	17			30000;30042;30047;30199		shimen5
743	Chinh Lç B¸ Gi¶ Cung	0;4;1841;1	1	1	18			30000;30042;30047;30199		shimen5
744	Chinh Lç B¸ Gi¶ Cung	0;4;1842;1	1	2	18			30000;30042;30047;30199		shimen5
745	Chinh Lç B¸ Gi¶ Cung	0;4;1843;1	2	3	18			30000;30042;30047;30199		shimen5
746	Chinh Lç B¸ Gi¶ Cung	0;4;1844;1	2	4	18			30000;30042;30047;30199		shimen5
747	Diªm La T«n Gi¶ Ma Hån NhÉn	0;7;2041;1	1	1	20			30000;30042;30047;30199		shimen5
748	Diªm La T«n Gi¶ Ma Hån NhÉn	0;7;2042;1	1	2	20			30000;30042;30047;30199		shimen5
749	Diªm La T«n Gi¶ Ma Hån NhÉn	0;7;2043;1	2	3	20			30000;30042;30047;30199		shimen5
750	Diªm La T«n Gi¶ Ma Hån NhÉn	0;7;2044;1	2	4	20			30000;30042;30047;30199		shimen5
751	Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0;11;2141;1	1	1	21			30000;30042;30047;30199		shimen5
752	Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0;11;2142;1	1	2	21			30000;30042;30047;30199		shimen5
753	Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0;11;2143;1	2	3	21			30000;30042;30047;30199		shimen5
754	Cæ §éc T«n Gi¶ PhÖ Thiªn Tr¶o	0;11;2144;1	2	4	21			30000;30042;30047;30199		shimen5
755	Hång M«ng Ch©n Nh©n HuyÒn Quang B¶o KiÕm 	0;2;23141;1	1	1	23			30000;30042;30047;30199		shimen5
756	Hång M«ng Ch©n Nh©n HuyÒn Quang B¶o KiÕm 	0;2;23142;1	1	2	23			30000;30042;30047;30199		shimen5
757	Kim Mao S­ V­¬ng §å Long B¶o §ao 	0;3;25141;1	1	1	25			30000;30042;30047;30199		shimen5
758	Kim Mao S­ V­¬ng §å Long B¶o §ao 	0;3;25142;1	1	2	25			30000;30042;30047;30199		shimen5
759	Kim Mao S­ V­¬ng §å Long B¶o §ao 	0;3;25143;1	2	3	25			30000;30042;30047;30199		shimen5
760	Kim Mao S­ V­¬ng §å Long B¶o §ao 	0;3;25144;1	2	4	25			30000;30042;30047;30199		shimen5
761	B¹ch Mi ¦ng V­¬ng Quang Minh Th¸nh Bót 	0;9;26141;1	1	1	26			30000;30042;30047;30199		shimen5
762	B¹ch Mi ¦ng V­¬ng Quang Minh Th¸nh Bót 	0;9;26142;1	1	2	26			30000;30042;30047;30199		shimen5
763	B¹ch Mi ¦ng V­¬ng Quang Minh Th¸nh Bót 	0;9;26143;1	2	3	26			30000;30042;30047;30199		shimen5
764	B¹ch Mi ¦ng V­¬ng Quang Minh Th¸nh Bót 	0;9;26144;1	2	4	26			30000;30042;30047;30199		shimen5
765	Thanh Dùc Bøc V­¬ng §iÖp HuyÕt Lîi Tr¶o 	0;11;27141;1	1	1	27			30000;30042;30047;30199		shimen5
766	Thanh Dùc Bøc V­¬ng §iÖp HuyÕt Lîi Tr¶o 	0;11;27142;1	1	2	27			30000;30042;30047;30199		shimen5
767	Thanh Dùc Bøc V­¬ng §iÖp HuyÕt Lîi Tr¶o 	0;11;27143;1	2	3	27			30000;30042;30047;30199		shimen5
768	Thanh Dùc Bøc V­¬ng §iÖp HuyÕt Lîi Tr¶o 	0;11;27144;1	2	4	27			30000;30042;30047;30199		shimen5
769	B¸ch Hoa T«n Gi¶ B¨ng T©m Vò PhiÕn	0;13;29141;1	2	3	29			30000;30042;30047;30199		shimen5
770	B¸ch Hoa T«n Gi¶ B¨ng T©m Vò PhiÕn	0;13;29142;1	2	4	29			30000;30042;30047;30199		shimen5
771	Linh §éng T«n Gi¶ Phi V©n Linh §Þch	0;12;30141;1	2	3	30			30000;30042;30047;30199		shimen5
772	Linh §éng T«n Gi¶ Phi V©n Linh §Þch	0;12;30142;1	2	4	30			30000;30042;30047;30199		shimen5
920	H¹o NguyÖt-§é N¹n T«n Gi¶ M·o	0;103;3064;1	1	1	2		1	30069		haoyuezhuangbei
921	H¹o NguyÖt-§é N¹n T«n Gi¶ M·o	0;103;3065;1	1	2	2		1	30069		haoyuezhuangbei
922	H¹o NguyÖt-§é KiÕp T«n Gi¶ M·o	0;103;3066;1	1	1	4		1	30069		haoyuezhuangbei
923	H¹o NguyÖt-§é KiÕp T«n Gi¶ M·o	0;103;3067;1	1	2	4		1	30069		haoyuezhuangbei
924	H¹o NguyÖt-§é ¸ch T«n Gi¶ M·o	0;103;3068;1	1	1	3		1	30069		haoyuezhuangbei
925	H¹o NguyÖt-§é ¸ch T«n Gi¶ M·o	0;103;3069;1	1	2	3		1	30069		haoyuezhuangbei
926	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3070;1	1	1	6		1	30069		haoyuezhuangbei
927	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3071;1	1	2	6		1	30069		haoyuezhuangbei
928	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3072;1	2	3	6		1	30069		haoyuezhuangbei
929	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3073;1	2	4	6		1	30069		haoyuezhuangbei
930	H¹o NguyÖt-PhËt V©n Th¸nh C« Tr©m	0;103;3074;1	2	3	8		1	30069		haoyuezhuangbei
931	H¹o NguyÖt-PhËt V©n Th¸nh C« Tr©m	0;103;3075;1	2	4	8		1	30069		haoyuezhuangbei
932	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Tr©m	0;103;3076;1	2	3	9		1	30069		haoyuezhuangbei
933	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Tr©m	0;103;3077;1	2	4	9		1	30069		haoyuezhuangbei
934	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3078;1	1	1	11		1	30069		haoyuezhuangbei
935	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3079;1	1	2	11		1	30069		haoyuezhuangbei
936	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3080;1	2	3	11		1	30069		haoyuezhuangbei
937	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3081;1	2	4	11		1	30069		haoyuezhuangbei
938	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3082;1	1	1	12		1	30069		haoyuezhuangbei
939	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3083;1	1	2	12		1	30069		haoyuezhuangbei
940	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3084;1	2	3	12		1	30069		haoyuezhuangbei
941	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3085;1	2	4	12		1	30069		haoyuezhuangbei
942	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3086;1	1	1	14		1	30069		haoyuezhuangbei
943	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3087;1	1	2	14		1	30069		haoyuezhuangbei
944	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3088;1	2	3	14		1	30069		haoyuezhuangbei
945	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3089;1	2	4	14		1	30069		haoyuezhuangbei
946	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3090;1	1	1	15		1	30069		haoyuezhuangbei
947	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3091;1	1	2	15		1	30069		haoyuezhuangbei
948	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3092;1	2	3	15		1	30069		haoyuezhuangbei
949	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3093;1	2	4	15		1	30069		haoyuezhuangbei
950	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3094;1	1	1	17		1	30069		haoyuezhuangbei
951	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3095;1	1	2	17		1	30069		haoyuezhuangbei
952	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3096;1	2	3	17		1	30069		haoyuezhuangbei
953	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3097;1	2	4	17		1	30069		haoyuezhuangbei
954	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3098;1	1	1	18		1	30069		haoyuezhuangbei
955	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3099;1	1	2	18		1	30069		haoyuezhuangbei
956	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3100;1	2	3	18		1	30069		haoyuezhuangbei
957	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3101;1	2	4	18		1	30069		haoyuezhuangbei
958	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3102;1	1	1	20		1	30069		haoyuezhuangbei
959	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3103;1	1	2	20		1	30069		haoyuezhuangbei
960	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3104;1	2	3	20		1	30069		haoyuezhuangbei
961	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3105;1	2	4	20		1	30069		haoyuezhuangbei
962	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3106;1	1	1	21		1	30069		haoyuezhuangbei
963	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3107;1	1	2	21		1	30069		haoyuezhuangbei
964	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3108;1	2	3	21		1	30069		haoyuezhuangbei
965	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3109;1	2	4	21		1	30069		haoyuezhuangbei
966	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Qu¸n	0;103;3110;1	1	1	23		1	30069		haoyuezhuangbei
967	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Qu¸n	0;103;3111;1	1	2	23		1	30069		haoyuezhuangbei
968	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3112;1	1	1	25		1	30069		haoyuezhuangbei
969	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3113;1	1	2	25		1	30069		haoyuezhuangbei
970	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3114;1	2	3	25		1	30069		haoyuezhuangbei
971	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3115;1	2	4	25		1	30069		haoyuezhuangbei
972	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3116;1	1	1	26		1	30069		haoyuezhuangbei
973	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3117;1	1	2	26		1	30069		haoyuezhuangbei
974	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3118;1	2	3	26		1	30069		haoyuezhuangbei
975	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3119;1	2	4	26		1	30069		haoyuezhuangbei
976	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3120;1	1	1	27		1	30069		haoyuezhuangbei
977	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3121;1	1	2	27		1	30069		haoyuezhuangbei
978	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3122;1	2	3	27		1	30069		haoyuezhuangbei
979	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3123;1	2	4	27		1	30069		haoyuezhuangbei
980	H¹o NguyÖt-Tª V©n Tiªn Tö Tr©m	0;103;3124;1	2	3	29		1	30069		haoyuezhuangbei
981	H¹o NguyÖt-Tª V©n Tiªn Tö Tr©m	0;103;3125;1	2	4	29		1	30069		haoyuezhuangbei
982	H¹o NguyÖt-Phi H¹ Tiªn Tö Tr©m	0;103;3126;1	2	3	30		1	30069		haoyuezhuangbei
983	H¹o NguyÖt-Phi H¹ Tiªn Tö Tr©m	0;103;3127;1	2	4	30		1	30069		haoyuezhuangbei
984	H¹o NguyÖt-§é N¹n T«n Gi¶ Bµo	0;100;3064;1	1	1	2		1	30070		haoyuezhuangbei
985	H¹o NguyÖt-§é N¹n T«n Gi¶ Bµo	0;100;3065;1	1	2	2		1	30070		haoyuezhuangbei
986	H¹o NguyÖt-§é KiÕp T«n Gi¶ Bµo	0;100;3066;1	1	1	4		1	30070		haoyuezhuangbei
987	H¹o NguyÖt-§é KiÕp T«n Gi¶ Bµo	0;100;3067;1	1	2	4		1	30070		haoyuezhuangbei
988	H¹o NguyÖt-§é ¸ch T«n Gi¶ Bµo	0;100;3068;1	1	1	3		1	30070		haoyuezhuangbei
989	H¹o NguyÖt-§é ¸ch T«n Gi¶ Bµo	0;100;3069;1	1	2	3		1	30070		haoyuezhuangbei
990	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3070;1	1	1	6		1	30070		haoyuezhuangbei
991	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3071;1	1	2	6		1	30070		haoyuezhuangbei
992	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3072;1	2	3	6		1	30070		haoyuezhuangbei
993	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3073;1	2	4	6		1	30070		haoyuezhuangbei
994	H¹o NguyÖt-PhËt V©n Th¸nh C« Y	0;100;3074;1	2	3	8		1	30070		haoyuezhuangbei
995	H¹o NguyÖt-PhËt V©n Th¸nh C« Y	0;100;3075;1	2	4	8		1	30070		haoyuezhuangbei
996	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Y	0;100;3076;1	2	3	9		1	30070		haoyuezhuangbei
997	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Y	0;100;3077;1	2	4	9		1	30070		haoyuezhuangbei
998	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3078;1	1	1	11		1	30070		haoyuezhuangbei
999	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3079;1	1	2	11		1	30070		haoyuezhuangbei
1000	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3080;1	2	3	11		1	30070		haoyuezhuangbei
1001	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3081;1	2	4	11		1	30070		haoyuezhuangbei
1002	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3082;1	1	1	12		1	30070		haoyuezhuangbei
1003	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3083;1	1	2	12		1	30070		haoyuezhuangbei
1004	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3084;1	2	3	12		1	30070		haoyuezhuangbei
1005	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3085;1	2	4	12		1	30070		haoyuezhuangbei
1006	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3086;1	1	1	14		1	30070		haoyuezhuangbei
1007	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3087;1	1	2	14		1	30070		haoyuezhuangbei
1008	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3088;1	2	3	14		1	30070		haoyuezhuangbei
1009	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3089;1	2	4	14		1	30070		haoyuezhuangbei
1010	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3090;1	1	1	15		1	30070		haoyuezhuangbei
1011	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3091;1	1	2	15		1	30070		haoyuezhuangbei
1012	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3092;1	2	3	15		1	30070		haoyuezhuangbei
1013	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3093;1	2	4	15		1	30070		haoyuezhuangbei
1014	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3094;1	1	1	17		1	30070		haoyuezhuangbei
1015	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3095;1	1	2	17		1	30070		haoyuezhuangbei
1016	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3096;1	2	3	17		1	30070		haoyuezhuangbei
1017	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3097;1	2	4	17		1	30070		haoyuezhuangbei
1018	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3098;1	1	1	18		1	30070		haoyuezhuangbei
1019	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3099;1	1	2	18		1	30070		haoyuezhuangbei
1020	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3100;1	2	3	18		1	30070		haoyuezhuangbei
1021	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3101;1	2	4	18		1	30070		haoyuezhuangbei
1022	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3102;1	1	1	20		1	30070		haoyuezhuangbei
1023	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3103;1	1	2	20		1	30070		haoyuezhuangbei
1024	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3104;1	2	3	20		1	30070		haoyuezhuangbei
1025	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3105;1	2	4	20		1	30070		haoyuezhuangbei
1026	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3106;1	1	1	21		1	30070		haoyuezhuangbei
1027	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3107;1	1	2	21		1	30070		haoyuezhuangbei
1028	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3108;1	2	3	21		1	30070		haoyuezhuangbei
1029	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3109;1	2	4	21		1	30070		haoyuezhuangbei
1030	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Bµo	0;100;3110;1	1	1	23		1	30070		haoyuezhuangbei
1031	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Bµo	0;100;3111;1	1	2	23		1	30070		haoyuezhuangbei
1032	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3112;1	1	1	25		1	30070		haoyuezhuangbei
1033	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3113;1	1	2	25		1	30070		haoyuezhuangbei
1034	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3114;1	2	3	25		1	30070		haoyuezhuangbei
1035	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3115;1	2	4	25		1	30070		haoyuezhuangbei
1036	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3116;1	1	1	26		1	30070		haoyuezhuangbei
1037	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3117;1	1	2	26		1	30070		haoyuezhuangbei
1038	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3118;1	2	3	26		1	30070		haoyuezhuangbei
1039	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3119;1	2	4	26		1	30070		haoyuezhuangbei
1040	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3120;1	1	1	27		1	30070		haoyuezhuangbei
1041	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3121;1	1	2	27		1	30070		haoyuezhuangbei
1042	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3122;1	2	3	27		1	30070		haoyuezhuangbei
1043	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3123;1	2	4	27		1	30070		haoyuezhuangbei
1044	H¹o NguyÖt-Tª V©n Tiªn Tö Y	0;100;3124;1	2	3	29		1	30070		haoyuezhuangbei
1045	H¹o NguyÖt-Tª V©n Tiªn Tö Y	0;100;3125;1	2	4	29		1	30070		haoyuezhuangbei
1046	H¹o NguyÖt-Phi H¹ Tiªn Tö Y	0;100;3126;1	2	3	30		1	30070		haoyuezhuangbei
1047	H¹o NguyÖt-Phi H¹ Tiªn Tö Y	0;100;3127;1	2	4	30		1	30070		haoyuezhuangbei
1048	H¹o NguyÖt-§é N¹n T«n Gi¶ Trang	0;101;3064;1	1	1	2		1	30071		haoyuezhuangbei
1049	H¹o NguyÖt-§é N¹n T«n Gi¶ Trang	0;101;3065;1	1	2	2		1	30071		haoyuezhuangbei
1050	H¹o NguyÖt-§é KiÕp T«n Gi¶ Trang	0;101;3066;1	1	1	4		1	30071		haoyuezhuangbei
1051	H¹o NguyÖt-§é KiÕp T«n Gi¶ Trang	0;101;3067;1	1	2	4		1	30071		haoyuezhuangbei
1052	H¹o NguyÖt-§é ¸ch T«n Gi¶ Trang	0;101;3068;1	1	1	3		1	30071		haoyuezhuangbei
1053	H¹o NguyÖt-§é ¸ch T«n Gi¶ Trang	0;101;3069;1	1	2	3		1	30071		haoyuezhuangbei
1054	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Trang	0;101;3070;1	1	1	6		1	30071		haoyuezhuangbei
