desc	group_id	rate	award_name	award_type	item_g	item_d	item_p	num	neet_body	need_route	bind	expire_hours	msg_type	runtime_stat_id	script	func
3v3_free_WLlibao_2	32	50000	C©y b¸t nh· nhá	3	2	0	504	1			4					
	32	50000	C©y B¸t Nh·	3	2	0	398	1			4					
	32	50000	Th¸nh VËt S­ M«n	3	2	1	30311	1			4	168				
	32	100000	TiÓu truyÒn c«ng ®¬n	3	2	1	30312	1			4	168				
	32	100000	TruyÒn C«ng §¬n	3	2	1	30313	1			4	168				
	32	100000	TruyÒn C«ng Kim §¬n	3	2	1	30688	1			4	168				
	32	50000	Vâ l©m b¸o míi	3	2	1	30314	1			4	168				
	32	100000	M¶nh Tu Ch©n YÕu QuyÕt	3	2	1	30315	1			4	168				
	32	50000	VÐ TiÕu Y B¹c	3	2	1	30492	1			4					
	32	100000	VÐ TiÕu Y §ång	3	2	1	30493	1			4					
	32	48000	UÈn Linh 4 sao (NgÉu nhiªn)	1				28			4	168				
	32	1000	UÈn Linh 5 sao (NgÉu nhiªn)	1				29			4	168				
	32	1000	Linh §å Giíi ChØ	1				39			4					
	32	200000	L«i Viªm Th¹ch	3	2	1	30683	1								
3v3_IB_WLlibao_2	34	50000	C©y b¸t nh· nhá	3	2	0	504	1								
	34	50000	C©y B¸t Nh·	3	2	0	398	1								
	34	50000	Th¸nh VËt S­ M«n	3	2	1	30311	1				168				
	34	50000	TiÓu truyÒn c«ng ®¬n	3	2	1	30312	1				168				
	34	50000	TruyÒn C«ng §¬n	3	2	1	30313	1				168				
	34	90000	TruyÒn C«ng Kim §¬n	3	2	1	30688	1				168				
	34	50000	Vâ l©m b¸o míi	3	2	1	30314	1				168				
	34	50000	M¶nh Tu Ch©n YÕu QuyÕt	3	2	1	30315	1				168				
	34	80000	VÐ TiÕu Y §ång	3	2	1	30493	1								
	34	50000	VÐ TiÕu Y B¹c	3	2	1	30492	1								
	34	20000	VÐ TiÕu Y Vµng	3	2	1	30491	1								
	34	90000	UÈn Linh 4 sao (NgÉu nhiªn)	1				28				168				
	34	50000	UÈn Linh 5 sao (NgÉu nhiªn)	1				29				168				
	34	5000	UÈn Linh 6 sao (NgÉu nhiªn)	1				30				168	1			
	34	10000	Linh §å Giíi ChØ	1				39								
	34	255000	L«i Viªm Th¹ch	3	2	1	30683	1								
3v3_free_HXlibao_2	36	50000	C©y b¸t nh· nhá	3	2	0	504	1			4					
	36	50000	C©y B¸t Nh·	3	2	0	398	1			4					
	36	50000	Th¸nh VËt S­ M«n	3	2	1	30311	1			4	168				
	36	50000	TiÓu truyÒn c«ng ®¬n	3	2	1	30312	1			4	168				
	36	50000	TruyÒn C«ng §¬n	3	2	1	30313	1			4	168				
	36	90000	TruyÒn C«ng Kim §¬n	3	2	1	30688	1			4	168				
	36	50000	Vâ l©m b¸o míi	3	2	1	30314	1			4	168				
	36	50000	M¶nh Tu Ch©n YÕu QuyÕt	3	2	1	30315	1			4	168				
	36	110000	VÐ TiÕu Y §ång	3	2	1	30493	1			4					
	36	100000	VÐ TiÕu Y B¹c	3	2	1	30492	1			4					
	36	25000	VÐ TiÕu Y Vµng	3	2	1	30491	1			4					
	36	100000	UÈn Linh 4 sao (NgÉu nhiªn)	1				28			4	168				
	36	10000	UÈn Linh 5 sao (NgÉu nhiªn)	1				29			4	168				
	36	5000	UÈn Linh 6 sao (NgÉu nhiªn)	1				30			4	168	1			
	36	10000	NhÉn Linh §å_Nhãm ngÉu nhiªn	1				39			4					
	36	200000	L«i Viªm Th¹ch	3	2	1	30683	5								
3v3_IB_HXlibao_2	38	50000	C©y b¸t nh· nhá	3	2	0	504	1								
	38	50000	C©y B¸t Nh·	3	2	0	398	1								
	38	50000	Th¸nh VËt S­ M«n	3	2	1	30311	1				168				
	38	50000	TiÓu truyÒn c«ng ®¬n	3	2	1	30312	1				168				
	38	50000	TruyÒn C«ng §¬n	3	2	1	30313	1				168				
	38	90000	TruyÒn C«ng Kim §¬n	3	2	1	30688	1				168				
	38	50000	Vâ l©m b¸o míi	3	2	1	30314	1				168				
	38	50000	M¶nh Tu Ch©n YÕu QuyÕt	3	2	1	30315	1				168				
	38	100000	VÐ TiÕu Y §ång	3	2	1	30493	1								
	38	50000	VÐ TiÕu Y B¹c	3	2	1	30492	1								
	38	20000	VÐ TiÕu Y Vµng	3	2	1	30491	1								
	38	80000	UÈn Linh 4 sao (NgÉu nhiªn)	1				28				168				
	38	60000	UÈn Linh 5 sao (NgÉu nhiªn)	1				29				168				
	38	30000	UÈn Linh 6 sao (NgÉu nhiªn)	1				30				168	1			
	38	20000	Linh §å Giíi ChØ	1				39								
	38	200000	L«i Viªm Th¹ch	3	2	1	30683	10								
lingtu_ring	39	500000	Linh §å Giíi (tr¸i)	3	0	102	30221	1								
	39	500000	Linh §å Giíi (ph¶i)	3	0	102	30222	1								
EY_jinbaoxiang_2_free	42	150000	Tø Linh Quy Nguyªn §¬n	3	2	1	30352	1			4	168				
	42	100000	Båi Nguyªn §¬n	3	2	1	30351	1			4	168				
	42	200000	TÈy TrÇn §an	3	2	1	30613	1								
	42	350000	Kinh M¹ch §ång Nh©n	3	2	1	30730	1			4					
	42	100000	Ch©n khÝ	6				100								
	42	30000	Ch©n khÝ	6				200								
	42	20000	Ch©n khÝ	6				400								
	42	50000	Tô Linh Hoµn	3	2	1	30458	1			4	168				
EY_jinbaoxiang_2_IB	43	100000	Tø Linh Quy Nguyªn §¬n	3	2	1	30352	1				168				
	43	50000	Båi Nguyªn §¬n	3	2	1	30351	1				168				
	43	250000	TÈy TrÇn §an	3	2	1	30613	1								
	43	350000	Kinh M¹ch §ång Nh©n	3	2	1	30730	1								
	43	100000	Ch©n khÝ	6				100								
	43	40000	Ch©n khÝ	6				200								
	43	20000	Ch©n khÝ	6				400								
	43	10000	Ch©n khÝ	6				1000								
	43	50000	Tô Linh Hoµn	3	2	1	30458	1				168				
	43	20000	§¹i Tô Linh Hoµn	3	2	1	30459	1				168				
	43	10000	Tô Linh Tiªn §¬n	3	2	1	30460	1				168				
EY_baoxiang_2	44	500000	Tø Linh Quy Nguyªn §¬n	3	2	1	30352	1			4	168				
	44	350000	Båi Nguyªn §¬n	3	2	1	30351	1			4	168				
	44	100000	Kinh M¹ch §ång Nh©n	3	2	1	30730	1			4					
	44	50000	Tô Linh Hoµn	3	2	1	30458	1			4	168				
EY_baoxiang_2_IB	45	150000	Tø Linh Quy Nguyªn §¬n	3	2	1	30352	1				168				
	45	100000	Båi Nguyªn §¬n	3	2	1	30351	1				168				
	45	200000	TÈy TrÇn §an	3	2	1	30613	1								
	45	350000	Kinh M¹ch §ång Nh©n	3	2	1	30730	1								
	45	100000	Ch©n khÝ	6				100								
	45	30000	Ch©n khÝ	6				200								
	45	20000	Ch©n khÝ	6				400								
	45	50000	Tô Linh Hoµn	3	2	1	30458	1				168				
