Condition_ID	Type	Value_1	Value_2	Value_3	Value_4	Value_5	Value_6	Remark		
30309	Killer	T©y H¹ T­íng LÜnh	1				Tiªu diÖt %d/1 T©y H¹ T­íng LÜnh			
30310	Killer	Xi Háa Yªu N÷	1				Tiªu diÖt %d/1 Xi Háa Yªu N÷			
30311	Killer	Ngù §éc ¢m C¬	1				Tiªu diÖt %d/1 Ngù §éc ¢m C¬			
30312	Killer	Xi Háa ¸c t¨ng	1				Tiªu diÖt %d/1 Xi Háa ¸c T¨ng			
30313	Killer	Xi Háa §¹i tr­ëng l·o	1				Tiªu diÖt %d/1 Xi Háa §¹i Tr­ëng L·o			
30314	Killer	A Tu La	1				Tiªu diÖt %d/1 A Tu La			
30315	Killer	Ma H« La Giµ	1				Tiªu diÖt %d/1 Ma H« La Giµ			
30316	Killer	§oµn Thõa ¢n	1				Tiªu diÖt %d/1 §oµn Thõa ¢n			
30317	Killer	Xu©n ThËp Tam n­¬ng	1				Tiªu diÖt %d/1 Xu©n ThËp Tam N­¬ng			
30318	Killer	Di Tu §¹i h¸n	1				Tiªu diÖt %d/1 CÇu Tu §¹i H¸n			
30319	Lv	10								
30320	Reborn	5	3							
30321	Killer	Xi Háa §ao Kh¸ch	20				Tiªu diÖt %d/20 Xi Háa §ao Kh¸ch			
30322	Item	2	1	30714	1	LÖnh bµi Xi Háa gi¸o	NhËn ®­îc %d/1 LÖnh Bµi Xi Háa Gi¸o			
30323	Item	2	1	30716	1	Chu«ng BiÕn Th©n	Cã ®­îc Chu«ng BiÕn Th©n			
30324	Item	2	1	30715	1	Thuèc Gi¶i	NhËn ®­îc %d/1 Thuèc gi¶i			
30325	Reborn	6	3							
30326	Killer	H¾c Y Tr¸ng SÜ	10				Tiªu diÖt %d/10 H¾c Y Tr¸ng SÜ			
30327	Item	2	1	30722	1	Thiªn Hoa T¸n	NhËn ®­îc %d/1 Thiªn Hoa T¸n			
30328	Killer	§µo Hoa §¶o Chñ Hoµng Long	1				Tiªu diÖt %d/1 §µo Hoa §¶o Chñ Hoµng Long			
30329	Killer	T©y Vùc Th­¬ng Lang B¸ V­¬ng	1				Tiªu diÖt %d/1 T©y Vùc Th­¬ng Lang B¸ V­¬ng			
30330	Killer	Ngäc S¬n Chi Linh Thiªn Cöu	1				Tiªu diÖt %d/1 Ngäc S¬n Chi Linh Thiªn Cöu			
30331	Killer	U Tr¹ch Chi ¶nh Minh Vâ	1				Tiªu diÖt %d/1 U Tr¹ch Chi ¶nh Minh Vâ			
30332	Item	2	1	30669	200	M¶nh MËt TÞch	Thu thËp %d/200 M¶nh MËt TÞch			
30333	Item	2	0	1083	2	Th¸i DÞch Hçn Nguyªn C«ng phæ	Thu thËp %d/2 Th¸i DÞch Hçn Nguyªn C«ng Phæ			
30334	Item	2	1	30345	2	ChuyÓn Sinh §¬n 	Thu thËp %d/2 ChuyÓn Sinh §¬n			
30335	Killer	L«i KiÕp Thó	1				Tiªu diÖt %d/1 L«i KiÕp Thó			
30336	Killer	Ng« ViÖt L·o Tæ	1				Tiªu diÖt %d/1 Ng« ViÖt L·o Tæ			
30337	Meridian	3	3							
30338	Exp	2000000000					Tiªu hao %d/2000000000 EXP			
30339	Killer	Trïng Qu¸i V­¬ng	199				Tiªu diÖt %d/199 Trïng Qu¸i V­¬ng			
30340	Killer	Kh«i Lçi §éc nh©n	30				Tiªu diÖt %d/30 Kh«i Lçi §éc Nh©n			
30341	Lv	90	6							
