Task_Name	Task_ID	Task_Flag	From_NPC	To_NPC	Ex_Condition	Finish_Condition	Task_Action	Task_Prize	Action_Room_Weight	Prize_Room_Weight	Cancel_Task	Skip_Task
V¹n KiÕm Tròng	205	1			30001	30274		30327&30368	1;0	1;0	-1	1
Tiªu diÖt Ba T­ Yªu C¬	206	1			30001	30275	30360	30325&30326	1;0	1;0	-1	1
Thu thËp Háa Yªn Th­¬ng	207	1			30001	30276		30328&30367	1;0	1;0	-1	1
Th¸i NhÊt Th¸p	208	1			30001	30277		30327&30368	1;0	1;0	-1	1
Tiªu diÖt Xi Háa §ao Kh¸ch	209	1			30001	30278	30361	30325&30326	1;0	1;0	-1	1
Thu thËp BÝch HuyÕt KiÕm	210	1			30001	30279		30328&30367	1;0	1;0	-1	1
ChiÕn tr­êng Tèng Liªu	211	1			30001	30280		30327&30368	1;0	1;0	-1	1
Tiªu diÖt Sa M¹c Hµnh Nh©n	212	1			30001	30281	30362	30325&30326	1;0	1;0	-1	1
Thu thËp Cöu Tiªu Ngäc Béi	213	1			30001	30282		30328&30367	1;0	1;0	-1	1
Quay l¹i Tµng KiÕm	214	1			30001	30283		30327&30368	1;0	1;0	-1	1
Tiªu diÖt Liªu Th­¬ng Qu©n	215	1			30001	30284	30363	30325&30326	1;0	1;0	-1	1
Thu thËp Minh Quang Gi¸p	216	1			30001	30285		30328&30367	1;0	1;0	-1	1
L­¬ng S¬n H¶o H¸n	217	1			30001	30286		30327&30368	1;0	1;0	-1	1
Gi¸o huÊn C«n §å	218	1			30001	30287	30364	30325&30326	1;0	1;0	-1	1
Thu thËp NhÊt Nguyªn Phôc Thñy §¬n	219	1			30001	30288		30328&30367	1;0	1;0	-1	1
Tö Quang C¸c	220	1			30001	30289		30327&30368	1;0	1;0	-1	1
Tiªu diÖt Th­¬ng Viªn	221	1			30001	30290	30365	30325&30326	1;0	1;0	-1	1
Thu thËp B¸nh Bao ThÞt	222	1			30001	30291		30328&30367	1;0	1;0	-1	1
Th¸i H­ MËt Th¸m	223	1			30001	30292		30327&30368	1;0	1;0	-1	1
Tiªu diÖt Vâ SÜ T©y H¹	224	1			30001	30293	30366	30325&30326	1;0	1;0	-1	1
Thu thËp Gi¸m §Þnh Phï cÊp 5	225	1			30001	30294		30328&30367	1;0	1;0	-1	1
Tiªu diÖt ¸c Lang	226	1			30319	30295&30296	30103&30104	30369	1;0	1;0	-1	-1
Tiªu diÖt Hå Ly	227	1			30319	30297	30377	30370	1;0	1;0	-1	-1
Tiªu diÖt Xi Háa XÝch Gi¸o §å	228	1			30319	30298	30378	30371	1;0	1;0	-1	-1
Tiªu diÖt Th­¬ng Viªn	229	1			30319	30299	30379	30372	1;0	1;0	-1	-1
Tiªu diÖt Miªu LÜnh Thæ Ty	230	1			30319	30300	30380	30373	1;0	1;0	-1	-1
Tiªu diÖt Ba T­ Yªu C¬	231	1			30319	30301	30381	30374	1;0	1;0	-1	-1
Tiªu diÖt Oa Quèc §ao Kh¸ch	232	1			30319	30302	30382	30375	1;0	1;0	-1	-1
Tiªu diÖt Tú Bµ Tiªn Tö	233	1			30319	30303	30383	30376	1;0	1;0	-1	-1
Quay VÒ Chèn Cò	234	1			30319	30304&30305&30306	30384&30385&30386	30399	1;0	1;0	-1	-1
Quay VÒ Chèn Cò	235	1			30319	30307&30308&30309	30387&30388&30389	30399	1;0	1;0	-1	-1
Quay VÒ Chèn Cò	236	1			30319	30310&30311&30312	30390&30391&30392	30399	1;0	1;0	-1	-1
Quay VÒ Chèn Cò	237	1			30319	30313&30314&30315&30316	30393&30394&30395&30396	30399	1;0	1;0	-1	-1
Quay VÒ Chèn Cò	238	1			30319	30317&30318	30397&30398	30399	1;0	1;0	-1	-1
T×m §æng Giµ La	239	0	B¾c §Èu L·o Nh©n	§æng Giµ La	30341			30401	1;0	1;0	10	-1
Tiªu diÖt Xi Háa §ao Kh¸ch	240	0	§æng Giµ La	§æng Giµ La	30002&30341	30321	30424	30402	1;0	1;0	10	-1
Tiªu diÖt Kh«i Lçi §éc Nh©n	241	0	§æng Giµ La	§æng Giµ La	30002&30341	30322&30340	30436	30403	1;0	1;0	10	-1
T×m Th­¬ng ¦ng	242	0	§æng Giµ La	Th­¬ng ¦ng	30002&30341			30404	1;0	1;0	10	-1
T×m B¾c §Èu L·o Nh©n	243	0	Th­¬ng ¦ng	B¾c §Èu L·o Nh©n	30002&30341			30405&30400	1;0	1;0	10	-1
Gi¶i cøu Th­¬ng ¦ng	244	0	B¾c §Èu L·o Nh©n	Th­¬ng ¦ng	30002&30341			30406	1;0	1;0	10	-1
§¸nh b¹i Xi Háa Gi¸o Chñ	245	0	Th­¬ng ¦ng	Th­¬ng ¦ng	30002&30341	30324	30425	30407	1;0	1;0	10	-1
Trë vÒ §¹i Lý	246	0	Th­¬ng ¦ng	§æng Giµ La	30002&30341		30438	30408	1;0	1;0	10	-1
Tr¶ lêi B¾c §Èu L·o Nh©n	247	0	§æng Giµ La	B¾c §Èu L·o Nh©n	30002&30341		30439	30409&30410&30437	1;0	1;0	10	-1
T×m Xa Th¸i Qu©n	248	0	Nh¹c BÊt QuÇn	Xa Th¸i Qu©n	30325&30337			30415	1;0	1;0	10	-1
§¸nh b¹i H¾c Y Tr¸ng SÜ	249	0	Xa Th¸i Qu©n	Xa Th¸i Qu©n	30002&30341&30337	30326	30426	30416	1;0	1;0	10	-1
T×m Tèng Qu©n Tr­ëng Hé VÖ	250	0	Xa Th¸i Qu©n	Tèng qu©n tr­ëng hé vÖ	30002&30341&30337			30417	1;0	1;0	10	-1
§¸nh b¹i Ng« ViÖt L·o Tæ	251	0	Tèng qu©n tr­ëng hé vÖ	Tèng qu©n tr­ëng hé vÖ	30002&30341&30337	30336	30433	30418	1;0	1;0	10	-1
T×m D­¬ng NghiÖp	252	0	Tèng qu©n tr­ëng hé vÖ	D­¬ng NghiÖp	30002&30341&30337			30419	1;0	1;0	10	-1
T×m D­¬ng NguyÖt S­ Th¸i	253	0	D­¬ng NghiÖp	D­¬ng NguyÖt s­ th¸i	30002&30341&30337			30420	1;0	1;0	10	-1
Tiªu diÖt Trïng Qu¸i V­¬ng	254	0	D­¬ng NguyÖt s­ th¸i	D­¬ng NghiÖp	30002&30341&30337	30327&30339	30435	30421	1;0	1;0	10	-1
§¹i Khiªu ChiÕn	255	0	D­¬ng NghiÖp	D­¬ng NghiÖp	30002&30341&30337	30328&30329&30330&30331	30427&30428&30429&30430	30422	1;0	1;0	10	-1
Thu thËp nguyªn liÖu	256	0	D­¬ng NghiÖp	Nh¹c BÊt QuÇn	30002&30341&30337	30332&30333&30334&30338		30423	1;0	1;0	10	-1
KhiÕu ChiÕn L«i KiÕp Thó	257	0	Nh¹c BÊt QuÇn	Nh¹c BÊt QuÇn	30002&30341&30337	30335	30414&30434	30431	1;0	1;0	10	-1
