Tªn thùc vËt	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	§ãi	Tuæi thä	§éc	HuyÕt	Linh	Ma	§éc hiÖn t¹i	M¸u hiÖn t¹i	Linh hiÖn t¹i	Ma hiÖn t¹i	N¨ng lùc cao nhÊt cña Cæ mÉu
§»ng Xµ tr©m	0	103	46	1200		3	-2	-1	-2					
Minh §iÖp kÕt	0	103	47	1400		3	-1	-2	-1					
Kim Phông Tr©m	0	103	48	1400		3	-1	-2	-1					
§Þa KiÖt	0	103	49	1600		4	-2	-1	-2					
§o¹t hån	0	103	50	1600		4	-2	-1	-2					
NhËt MiÖn	0	103	51	1800		4	-1	-2	-1					
ThÇn ¤	0	103	52	1800		4	-1	-2	-1					
Tu La	0	103	53	2000		5	-2	-2	0					
Chu T­íc	0	103	54	2000		5	-2	-2	0					
§µo Méc thoa	0	103	55	400		1	-2	-2	-2					
Th¸i V¨n Méc tr©m	0	103	56	400		1	-2	-2	-2					
TrÇm Méc Thóc tr©m	0	103	57	600		1	-2	-1	-2					
Ng©n Linh Tr©m	0	103	58	600		1	-2	-1	-2					
Quû DiÖn Thóc c©n	0	103	59	800		2	-2	-1	-2					
Thanh Lam c©n	0	103	60	800		2	-2	-1	-2					
Lam §iÖp Thóc c©n	0	103	61	1000		2	-1	-2	-1					
B¹ch Hång Tr©m	0	103	62	1000		2	-1	-2	-1					
Thiªn C¬ Thóc tr©m	0	103	63	1200		3	-2	-1	-2					
Thiªn La Thoa	0	103	64	1200		3	-2	-1	-2					
Thiªn Phong Thóc tr©m	0	103	65	1400		3	-1	-2	-1					
V©n Méng Thoa	0	103	66	1400		3	-1	-2	-1					
Phi §iÓu	0	103	67	1600		4	-2	-1	-2					
Hång Cèc	0	103	68	1600		4	-2	-1	-2					
B¶o T­îng	0	103	69	1800		4	-1	-2	-1					
Phong L«i	0	103	70	1800		4	-1	-2	-1					
Vu Hµm	0	103	71	2000		5	-2	-2	0					
Tr­êng sinh	0	103	72	2000		5	-2	-2	0					
Kim Cang D­¬ng Qu¸n	0	103	251	3000	500	8	-2	-1	-2					
Kim Cang Dao Qu¸n	0	103	271	5000	1000	15	-4	-2	-4					
Kim Cang D­¬ng Qu¸n	0	103	252	3000	500	8	-2	-1	-2					
Kim Cang Dao Qu¸n	0	103	272	5000	1000	15	-4	-2	-4					
Nh­ Lai D­¬ng Qu¸n	0	103	351	3000	500	8	-2	-1	-2					
Nh­ Lai Dao Qu¸n	0	103	371	5000	1000	15	-4	-2	-4					
Nh­ Lai D­¬ng Qu¸n	0	103	352	3000	500	8	-2	-1	-2					
Nh­ Lai Dao Qu¸n	0	103	372	5000	1000	15	-4	-2	-4					
La H¸n D­¬ng Qu¸n	0	103	451	3000	500	8	-2	-1	-2					
La H¸n Dao Qu¸n	0	103	471	5000	1000	15	-4	-2	-4					
La H¸n D­¬ng Qu¸n	0	103	452	3000	500	8	-2	-1	-2					
La H¸n Dao Qu¸n	0	103	472	5000	1000	15	-4	-2	-4					
HiÖp Kh¸ch D­¬ng Qu¸n	0	103	651	3000	500	8	-2	-1	-2					
HiÖp Kh¸ch Dao Qu¸n	0	103	671	5000	1000	15	-4	-2	-4					
HiÖp Kh¸ch D­¬ng Qu¸n	0	103	652	3000	500	8	-2	-1	-2					
HiÖp Kh¸ch Dao Qu¸n	0	103	672	5000	1000	15	-4	-2	-4					
HiÖp Kh¸ch D­¬ng Qu¸n	0	103	653	3000	500	8	-2	-1	-2					
HiÖp Kh¸ch Dao Qu¸n	0	103	673	5000	1000	15	-4	-2	-4					
HiÖp Kh¸ch D­¬ng Qu¸n	0	103	654	3000	500	8	-2	-1	-2					
HiÖp Kh¸ch Dao Qu¸n	0	103	674	5000	1000	15	-4	-2	-4					
Quan ¢m D­¬ng Qu¸n	0	103	853	3000	500	8	-2	-1	-2					
Quan ¢m Dao Qu¸n	0	103	873	5000	1000	15	-4	-2	-4					
Quan ¢m D­¬ng Qu¸n	0	103	854	3000	500	8	-2	-1	-2					
Quan ¢m Dao Qu¸n	0	103	874	5000	1000	15	-4	-2	-4					
Ngäc N÷ D­¬ng  Qu¸n	0	103	953	3000	500	8	-2	-1	-2					
Ngäc N÷ Dao Qu¸n	0	103	973	5000	1000	15	-4	-2	-4					
Ngäc N÷ D­¬ng  Qu¸n	0	103	954	3000	500	8	-2	-1	-2					
Ngäc N÷ Dao Qu¸n	0	103	974	5000	1000	15	-4	-2	-4					
Gi¸ng Long D­¬ng Qu¸n	0	103	1151	3000	500	8	-2	-1	-2					
Gi¸ng Long Dao Qu¸n	0	103	1171	5000	1000	15	-4	-2	-4					
Gi¸ng Long D­¬ng Qu¸n	0	103	1152	3000	500	8	-2	-1	-2					
Gi¸ng Long Dao Qu¸n	0	103	1172	5000	1000	15	-4	-2	-4					
Gi¸ng Long D­¬ng Qu¸n	0	103	1153	3000	500	8	-2	-1	-2					
Gi¸ng Long Dao Qu¸n	0	103	1173	5000	1000	15	-4	-2	-4					
Gi¸ng Long D­¬ng Qu¸n	0	103	1154	3000	500	8	-2	-1	-2					
Gi¸ng Long Dao Qu¸n	0	103	1174	5000	1000	15	-4	-2	-4					
Phong Ma D­¬ng Qu¸n	0	103	1251	3000	500	8	-2	-1	-2					
Phong Ma Dao Qu¸n	0	103	1271	5000	1000	15	-4	-2	-4					
Phong Ma D­¬ng Qu¸n	0	103	1252	3000	500	8	-2	-1	-2					
Phong Ma Dao Qu¸n	0	103	1272	5000	1000	15	-4	-2	-4					
Phong Ma D­¬ng Qu¸n	0	103	1253	3000	500	8	-2	-1	-2					
Phong Ma Dao Qu¸n	0	103	1273	5000	1000	15	-4	-2	-4					
Phong Ma D­¬ng Qu¸n	0	103	1254	3000	500	8	-2	-1	-2					
Phong Ma Dao Qu¸n	0	103	1274	5000	1000	15	-4	-2	-4					
Ch©n Vò D­¬ng Qu¸n	0	103	1451	3000	500	8	-2	-1	-2					
Ch©n Vò Dao Qu¸n	0	103	1471	5000	1000	15	-4	-2	-4					
Ch©n Vò D­¬ng Qu¸n	0	103	1452	3000	500	8	-2	-1	-2					
Ch©n Vò Dao Qu¸n	0	103	1472	5000	1000	15	-4	-2	-4					
Ch©n Vò D­¬ng Qu¸n	0	103	1453	3000	500	8	-2	-1	-2					
Ch©n Vò Dao Qu¸n	0	103	1473	5000	1000	15	-4	-2	-4					
Ch©n Vò D­¬ng Qu¸n	0	103	1454	3000	500	8	-2	-1	-2					
Ch©n Vò Dao Qu¸n	0	103	1474	5000	1000	15	-4	-2	-4					
NhÊt D­¬ng Qu¸n	0	103	1551	3000	500	8	-2	-1	-2					
NhÊt D­¬ng Dao Qu¸n	0	103	1571	5000	1000	15	-4	-2	-4					
NhÊt D­¬ng Qu¸n	0	103	1552	3000	500	8	-2	-1	-2					
NhÊt D­¬ng Dao Qu¸n	0	103	1572	5000	1000	15	-4	-2	-4					
NhÊt D­¬ng Qu¸n	0	103	1553	3000	500	8	-2	-1	-2					
NhÊt D­¬ng Dao Qu¸n	0	103	1573	5000	1000	15	-4	-2	-4					
NhÊt D­¬ng Qu¸n	0	103	1554	3000	500	8	-2	-1	-2					
NhÊt D­¬ng Dao Qu¸n	0	103	1574	5000	1000	15	-4	-2	-4					
Xa Kþ ChiÕn SÜ Qu¸n	0	103	1751	3000	500	8	-2	-1	-2					
Xa Kþ T­íng Qu©n Qu¸n	0	103	1771	5000	1000	15	-4	-2	-4					
Xa Kþ ChiÕn SÜ Qu¸n	0	103	1752	3000	500	8	-2	-1	-2					
Xa Kþ T­íng Qu©n Qu¸n	0	103	1772	5000	1000	15	-4	-2	-4					
Xa Kþ ChiÕn SÜ Qu¸n	0	103	1753	3000	500	8	-2	-1	-2					
Xa Kþ T­íng Qu©n Qu¸n	0	103	1773	5000	1000	15	-4	-2	-4					
Xa Kþ ChiÕn SÜ Qu¸n	0	103	1754	3000	500	8	-2	-1	-2					
Xa Kþ T­íng Qu©n Qu¸n	0	103	1774	5000	1000	15	-4	-2	-4					
D­¬ng §Þnh Qu¸n	0	103	1851	3000	500	8	-2	-1	-2					
D­¬ng An Qu¸n	0	103	1871	5000	1000	15	-4	-2	-4					
D­¬ng §Þnh Qu¸n	0	103	1852	3000	500	8	-2	-1	-2					
D­¬ng An Qu¸n	0	103	1872	5000	1000	15	-4	-2	-4					
D­¬ng §Þnh Qu¸n	0	103	1853	3000	500	8	-2	-1	-2					
D­¬ng An Qu¸n	0	103	1873	5000	1000	15	-4	-2	-4					
D­¬ng §Þnh Qu¸n	0	103	1854	3000	500	8	-2	-1	-2					
D­¬ng An Qu¸n	0	103	1874	5000	1000	15	-4	-2	-4					
U Lung L­u V©n Qu¸n	0	103	2051	3000	500	8	-2	-1	-2					
U Minh Thiªn Qu©n Qu¸n	0	103	2071	5000	1000	15	-4	-2	-4					
U Lung L­u V©n Qu¸n	0	103	2052	3000	500	8	-2	-1	-2					
U Minh Thiªn Qu©n Qu¸n	0	103	2072	5000	1000	15	-4	-2	-4					
U Lung L­u V©n Qu¸n	0	103	2053	3000	500	8	-2	-1	-2					
U Minh Thiªn Qu©n Qu¸n	0	103	2073	5000	1000	15	-4	-2	-4					
U Lung L­u V©n Qu¸n	0	103	2054	3000	500	8	-2	-1	-2					
U Minh Thiªn Qu©n Qu¸n	0	103	2074	5000	1000	15	-4	-2	-4					
Miªu Cæ Qu¸n	0	103	2151	3000	500	8	-2	-1	-2					
Miªu T©m Qu¸n	0	103	2171	5000	1000	15	-4	-2	-4					
Miªu Cæ Qu¸n	0	103	2152	3000	500	8	-2	-1	-2					
Miªu T©m Qu¸n	0	103	2172	5000	1000	15	-4	-2	-4					
Miªu Cæ Qu¸n	0	103	2153	3000	500	8	-2	-1	-2					
Miªu T©m Qu¸n	0	103	2173	5000	1000	15	-4	-2	-4					
Miªu Cæ Qu¸n	0	103	2154	3000	500	8	-2	-1	-2					
Miªu T©m Qu¸n	0	103	2174	5000	1000	15	-4	-2	-4					
Kim Cang Ngäc Qu¸n	0	103	281	6000	1500	20	-4	-2	-4					
Kim Cang Ngäc Qu¸n	0	103	282	6000	1500	20	-4	-2	-4					
Nh­ Lai Ngäc Qu¸n	0	103	381	6000	1500	20	-4	-2	-4					
Nh­ Lai Ngäc Qu¸n	0	103	382	6000	1500	20	-4	-2	-4					
La H¸n Ngäc Qu¸n	0	103	481	6000	1500	20	-4	-2	-4					
La H¸n Ngäc Qu¸n	0	103	482	6000	1500	20	-4	-2	-4					
HiÖp Kh¸ch To¸i Ngäc Qu¸n	0	103	681	6000	1500	20	-4	-2	-4					
HiÖp Kh¸ch To¸i Ngäc Qu¸n	0	103	682	6000	1500	20	-4	-2	-4					
HiÖp Kh¸ch To¸i Ngäc Qu¸n	0	103	683	6000	1500	20	-4	-2	-4					
HiÖp Kh¸ch To¸i Ngäc Qu¸n	0	103	684	6000	1500	20	-4	-2	-4					
Quan ¢m Ngäc Qu¸n	0	103	883	6000	1500	20	-4	-2	-4					
Quan ¢m Ngäc Qu¸n	0	103	884	6000	1500	20	-4	-2	-4					
Ngäc N÷ Qu¸n	0	103	983	6000	1500	20	-4	-2	-4					
Ngäc N÷ Qu¸n	0	103	984	6000	1500	20	-4	-2	-4					
Gi¸ng Long Ngäc Qu¸n	0	103	1181	6000	1500	20	-4	-2	-4					
Gi¸ng Long Ngäc Qu¸n	0	103	1182	6000	1500	20	-4	-2	-4					
Gi¸ng Long Ngäc Qu¸n	0	103	1183	6000	1500	20	-4	-2	-4					
Gi¸ng Long Ngäc Qu¸n	0	103	1184	6000	1500	20	-4	-2	-4					
Phong Ma Ngäc Qu¸n	0	103	1281	6000	1500	20	-4	-2	-4					
Phong Ma Ngäc Qu¸n	0	103	1282	6000	1500	20	-4	-2	-4					
Phong Ma Ngäc Qu¸n	0	103	1283	6000	1500	20	-4	-2	-4					
Phong Ma Ngäc Qu¸n	0	103	1284	6000	1500	20	-4	-2	-4					
Ch©n Vò Ngäc Qu¸n	0	103	1481	6000	1500	20	-4	-2	-4					
Ch©n Vò Ngäc Qu¸n	0	103	1482	6000	1500	20	-4	-2	-4					
Ch©n Vò Ngäc Qu¸n	0	103	1483	6000	1500	20	-4	-2	-4					
Ch©n Vò Ngäc Qu¸n	0	103	1484	6000	1500	20	-4	-2	-4					
NhÊt D­¬ng Ngäc Qu¸n	0	103	1581	6000	1500	20	-4	-2	-4					
NhÊt D­¬ng Ngäc Qu¸n	0	103	1582	6000	1500	20	-4	-2	-4					
NhÊt D­¬ng Ngäc Qu¸n	0	103	1583	6000	1500	20	-4	-2	-4					
NhÊt D­¬ng Ngäc Qu¸n	0	103	1584	6000	1500	20	-4	-2	-4					
Xa Kþ To¸i Ngäc Qu¸n	0	103	1781	6000	1500	20	-4	-2	-4					
Xa Kþ To¸i Ngäc Qu¸n	0	103	1782	6000	1500	20	-4	-2	-4					
Xa Kþ To¸i Ngäc Qu¸n	0	103	1783	6000	1500	20	-4	-2	-4					
Xa Kþ To¸i Ngäc Qu¸n	0	103	1784	6000	1500	20	-4	-2	-4					
D­¬ng To¸i Qu¸n	0	103	1881	6000	1500	20	-4	-2	-4					
D­¬ng To¸i Qu¸n	0	103	1882	6000	1500	20	-4	-2	-4					
D­¬ng To¸i Qu¸n	0	103	1883	6000	1500	20	-4	-2	-4					
D­¬ng To¸i Qu¸n	0	103	1884	6000	1500	20	-4	-2	-4					
HiÖp ThiÕu bè y	0	100	1	400		-2	1	-2	-2					
H¾c T¹o bè y	0	100	2	400		-2	1	-2	-2					
Tö C©m Bè Y	0	100	3	600		-2	1	-2	-1					
Bµn Long Tó	0	100	4	600		-2	1	-2	-1					
Th­¬ng Lang y	0	100	5	800		-2	2	-2	-1					
YÓm T©m gi¸p	0	100	6	800		-2	2	-2	-1					
ThÇn Hµnh phôc	0	100	7	1000		-1	2	-1	-2					
Thanh S­¬ng bµo	0	100	8	1000		-1	2	-1	-2					
Tham Lang y	0	100	9	1200		-2	3	-2	-1					
XÝch §ång trô	0	100	10	1200		-2	3	-2	-1					
NhuyÔn Kim y	0	100	11	1400		-1	3	-1	-2					
Th­¬ng  Lan y	0	100	12	1400		-1	3	-1	-2					
Lam K×nh b× gi¸p	0	100	13	1600		-2	4	-2	-1					
XÝch Long bµo	0	100	14	1600		-2	4	-2	-1					
Thiªn Lang y	0	100	15	1800		-1	4	-1	-2					
B¨ng Tµm Trï sam	0	100	16	1800		-1	4	-1	-2					
S¬n Quû huyÕt y	0	100	17	2000		-2	5	-2	0					
Thiªn Gi¸ng bµo	0	100	18	2000		-2	5	-2	0					
HiÖp ThiÕu y	0	100	19	400		-2	1	-2	-2					
ThiÕt Hé Kiªn	0	100	20	400		-2	1	-2	-2					
Thó Hé Kiªn	0	100	21	600		-2	1	-2	-1					
CÈm Ti C©n	0	100	22	600		-2	1	-2	-1					
Hµo HiÖp y	0	100	23	800		-2	2	-2	-1					
Kim Ngäc Trï sam	0	100	24	800		-2	2	-2	-1					
Lôc L©m trang	0	100	25	1000		-1	2	-1	-2					
Hoµng Hæ y	0	100	26	1000		-1	2	-1	-2					
ThÇn Ng­u Hé gi¸p	0	100	27	1200		-2	3	-2	-1					
Tö Thanh S­¬ng Hoa sam	0	100	28	1200		-2	3	-2	-1					
Di Nhiªm Kh¸ch y	0	100	29	1400		-1	3	-1	-2					
Thiªn NhÉn y	0	100	30	1400		-1	3	-1	-2					
ThÇn S¸ch Kim gi¸p	0	100	31	1600		-2	4	-2	-1					
L«i Ng©n Gi¸p	0	100	32	1600		-2	4	-2	-1					
Tinh Cang HuyÒn Kim gi¸p	0	100	33	1800		-1	4	-1	-2					
Háa Chu Th¸nh sam	0	100	34	1800		-1	4	-1	-2					
HuyÕt Hµ Quû V­¬ng gi¸p	0	100	35	2000		-2	5	-2	0					
Long B¸ ¤ kim y	0	100	36	2000		-2	5	-2	0					
Th¸i Th­êng	0	100	37	400		-2	1	-2	-2					
Tö L¨ng Th­êng	0	100	38	400		-2	1	-2	-2					
Tö Nhung Th­êng	0	100	39	600		-2	1	-2	-1					
T©m Ên Th­êng	0	100	40	600		-2	1	-2	-1					
Vò LuyÖn Th­êng	0	100	41	800		-2	2	-2	-1					
Thiªn Ma Th­êng	0	100	42	800		-2	2	-2	-1					
LuyÖn Gi¸p Th­êng	0	100	43	1000		-1	2	-1	-2					
Ho¸n Hoa Th­êng	0	100	44	1000		-1	2	-1	-2					
CÈm Anh Th­êng	0	100	45	1200		-2	3	-2	-1					
N÷ KiÖt Th­êng	0	100	46	1200		-2	3	-2	-1					
Thanh Linh Th­êng	0	100	47	1400		-1	3	-1	-2					
Hång Nghª Th­êng	0	100	48	1400		-1	3	-1	-2					
L©n Quang gi¸p	0	100	49	1600		-2	4	-2	-1					
Hå C¬ Vò y	0	100	50	1600		-2	4	-2	-1					
Minh Quang gi¸p	0	100	51	1800		-1	4	-1	-2					
Nghª Th­êng Vò y	0	100	52	1800		-1	4	-1	-2					
Thiªn y	0	100	53	2000		-2	5	-2	0					
Phi Thiªn Th¸i Th­êng	0	100	54	2000		-2	5	-2	0					
Vò Th­êng	0	100	55	400		-2	1	-2	-2					
Hång V©n Th­êng	0	100	56	400		-2	1	-2	-2					
Tö Kinh sam	0	100	57	600		-2	1	-2	-1					
Linh VËn Th­êng	0	100	58	600		-2	1	-2	-1					
C©n Qu¾c sam	0	100	59	800		-2	2	-2	-1					
Phong Vò Th­êng	0	100	60	800		-2	2	-2	-1					
MËt V©n Sam	0	100	61	1000		-1	2	-1	-2					
Vâ §Êu Th­êng	0	100	62	1000		-1	2	-1	-2					
Thiªn Tµm gi¸p y	0	100	63	1200		-2	3	-2	-1					
û La Th­êng	0	100	64	1200		-2	3	-2	-1					
Thiªn C«ng §Êu y	0	100	65	1400		-1	3	-1	-2					
Linh Lung Th­êng	0	100	66	1400		-1	3	-1	-2					
Thó V­¬ng §Êu y	0	100	67	1600		-2	4	-2	-1					
Th¸i Hoa Th­êng	0	100	68	1600		-2	4	-2	-1					
NghÞch V©n §Êu y	0	100	69	1800		-1	4	-1	-2					
CÈm V©n Th­êng	0	100	70	1800		-1	4	-1	-2					
V« Song §Êu y	0	100	71	2000		-2	5	-2	0					
Ngò S¾c Nghª Th­êng	0	100	72	2000		-2	5	-2	0					
Thñy Háa phiÕn	0	200	1	500		-1	-1	-1	-1					
§¬n ®Ønh	0	200	2	500		-1	-1	-1	-1					
¤ kim chïy	0	200	3	500		-1	-1	-1	-1					
B¸ch LuyÖn Hµnh l­	0	200	4	500		-1	-1	-1	-1					
L·nh NguyÖt tiÔn	0	200	5	500		-1	-1	-1	-1					
V« Ng©n ch©m	0	200	6	500		-1	-1	-1	-1					
Bµo §inh Th¸i ®ao	0	200	7	500		-1	-1	-1	-1					
CÊm §ång B¨ng Gi¸m	0	200	8	500		-1	-1	-1	-1					
Thiªn Hµo bót	0	200	9	500		-1	-1	-1	-1					
Cuèc chim	0	200	11	500		-1	-1	-1	-1					
ChÕ B× ®ao	0	200	12	500		-1	-1	-1	-1					
Cuèc	0	200	13	500		-1	-1	-1	-1					
ThiÕt phñ	0	200	14	500		-1	-1	-1	-1					
Con thoi	0	200	15	500		-1	-1	-1	-1					
Cuèc thuèc	0	200	16	500		-1	-1	-1	-1					
Kim Cang c¶o	0	200	17	1000		-1	-1	-1	-1					
Thæ V­¬ng ®ao	0	200	18	1000		-1	-1	-1	-1					
Cuèc HuyÒn Méc	0	200	19	1000		-1	-1	-1	-1					
LiÖt Háa phñ	0	200	20	1000		-1	-1	-1	-1					
Ngäc N÷ thoa	0	200	21	1000		-1	-1	-1	-1					
Cuèc H¾c Thñy	0	200	22	1000		-1	-1	-1	-1					
Cuèc Céng C«ng	0	200	23	1500		1	1	0	0					
L«i ThÇn ®ao	0	200	24	1500		0	1	1	0					
Cuèc Viªm §Õ	0	200	25	1500		0	0	1	1					
Bµn Cæ phñ	0	200	26	1500		1	0	1	0					
Chøc N÷ thoa	0	200	27	1500		0	1	0	1					
Cuèc ThÇn N«ng	0	200	28	1500		1	0	0	1					
BiÖn Kinh phï th¹ch	0	200	29	500		-1	-1	-1	-1					
Thµnh §« phï th¹ch	0	200	30	500		-1	-1	-1	-1					
TuyÒn Ch©u phï th¹ch	0	200	31	500		-1	-1	-1	-1					
T­¬ng D­¬ng phï th¹ch	0	200	32	500		-1	-1	-1	-1					
Phông T­êng phï th¹ch	0	200	33	500		-1	-1	-1	-1					
§¹i Lý phï th¹ch	0	200	34	500		-1	-1	-1	-1					
D­¬ng Ch©u phï th¹ch	0	200	35	500		-1	-1	-1	-1					
Kim Cang D­¬ng Th­êng	0	100	251	3000	500	-2	8	-2	-1					
Kim Cang Dao Th­êng	0	100	271	5000	1000	-4	15	-4	-2					
Kim Cang D­¬ng Th­êng	0	100	252	3000	500	-2	8	-2	-1					
Kim Cang Dao Th­êng	0	100	272	5000	1000	-4	15	-4	-2					
Nh­ Lai D­¬ng Th­êng	0	100	351	3000	500	-2	8	-2	-1					
Nh­ Lai Dao Th­êng	0	100	371	5000	1000	-4	15	-4	-2					
Nh­ Lai D­¬ng Th­êng	0	100	352	3000	500	-2	8	-2	-1					
Nh­ Lai Dao Th­êng	0	100	372	5000	1000	-4	15	-4	-2					
La H¸n D­¬ng Th­êng	0	100	451	3000	500	-2	8	-2	-1					
La H¸n Dao Th­êng	0	100	471	5000	1000	-4	15	-4	-2					
La H¸n D­¬ng Th­êng	0	100	452	3000	500	-2	8	-2	-1					
La H¸n Dao Th­êng	0	100	472	5000	1000	-4	15	-4	-2					
HiÖp Kh¸ch D­¬ng Th­êng	0	100	651	3000	500	-2	8	-2	-1					
HiÖp Kh¸ch Dao Th­êng	0	100	671	5000	1000	-4	15	-4	-2					
HiÖp Kh¸ch D­¬ng Th­êng	0	100	652	3000	500	-2	8	-2	-1					
HiÖp Kh¸ch Dao Th­êng	0	100	672	5000	1000	-4	15	-4	-2					
HiÖp Kh¸ch D­¬ng Th­êng	0	100	653	3000	500	-2	8	-2	-1					
HiÖp Kh¸ch Dao Th­êng	0	100	673	5000	1000	-4	15	-4	-2					
HiÖp Kh¸ch D­¬ng Th­êng	0	100	654	3000	500	-2	8	-2	-1					
HiÖp Kh¸ch Dao Th­êng	0	100	674	5000	1000	-4	15	-4	-2					
Quan ¢m D­¬ng Th­êng	0	100	853	3000	500	-2	8	-2	-1					
Quan ¢m Dao Th­êng	0	100	873	5000	1000	-4	15	-4	-2					
Quan ¢m D­¬ng Th­êng	0	100	854	3000	500	-2	8	-2	-1					
Quan ¢m Dao Th­êng	0	100	874	5000	1000	-4	15	-4	-2					
Ngäc N÷ D­¬ng  Th­êng	0	100	953	3000	500	-2	8	-2	-1					
Ngäc N÷ Dao Th­êng	0	100	973	5000	1000	-4	15	-4	-2					
Ngäc N÷ D­¬ng  Th­êng	0	100	954	3000	500	-2	8	-2	-1					
Ngäc N÷ Dao Th­êng	0	100	974	5000	1000	-4	15	-4	-2					
Gi¸ng Long D­¬ng Th­êng	0	100	1151	3000	500	-2	8	-2	-1					
Gi¸ng Long Dao Th­êng	0	100	1171	5000	1000	-4	15	-4	-2					
Gi¸ng Long D­¬ng Th­êng	0	100	1152	3000	500	-2	8	-2	-1					
Gi¸ng Long Dao Th­êng	0	100	1172	5000	1000	-4	15	-4	-2					
Gi¸ng Long D­¬ng Th­êng	0	100	1153	3000	500	-2	8	-2	-1					
Gi¸ng Long Dao Th­êng	0	100	1173	5000	1000	-4	15	-4	-2					
Gi¸ng Long D­¬ng Th­êng	0	100	1154	3000	500	-2	8	-2	-1					
Gi¸ng Long Dao Th­êng	0	100	1174	5000	1000	-4	15	-4	-2					
Phong Ma D­¬ng Th­êng	0	100	1251	3000	500	-2	8	-2	-1					
Phong Ma Dao Th­êng	0	100	1271	5000	1000	-4	15	-4	-2					
Phong Ma D­¬ng Th­êng	0	100	1252	3000	500	-2	8	-2	-1					
Phong Ma Dao Th­êng	0	100	1272	5000	1000	-4	15	-4	-2					
Phong Ma D­¬ng Th­êng	0	100	1253	3000	500	-2	8	-2	-1					
Phong Ma Dao Th­êng	0	100	1273	5000	1000	-4	15	-4	-2					
Phong Ma D­¬ng Th­êng	0	100	1254	3000	500	-2	8	-2	-1					
Phong Ma Dao Th­êng	0	100	1274	5000	1000	-4	15	-4	-2					
Ch©n Vò D­¬ng Th­êng	0	100	1451	3000	500	-2	8	-2	-1					
Ch©n Vò Dao Th­êng	0	100	1471	5000	1000	-4	15	-4	-2					
Ch©n Vò D­¬ng Th­êng	0	100	1452	3000	500	-2	8	-2	-1					
Ch©n Vò Dao Th­êng	0	100	1472	5000	1000	-4	15	-4	-2					
Ch©n Vò D­¬ng Th­êng	0	100	1453	3000	500	-2	8	-2	-1					
Ch©n Vò Dao Th­êng	0	100	1473	5000	1000	-4	15	-4	-2					
Ch©n Vò D­¬ng Th­êng	0	100	1454	3000	500	-2	8	-2	-1					
Ch©n Vò Dao Th­êng	0	100	1474	5000	1000	-4	15	-4	-2					
NhÊt D­¬ng Th­êng	0	100	1551	3000	500	-2	8	-2	-1					
NhÊt D­¬ng Dao Th­êng	0	100	1571	5000	1000	-4	15	-4	-2					
NhÊt D­¬ng Th­êng	0	100	1552	3000	500	-2	8	-2	-1					
NhÊt D­¬ng Dao Th­êng	0	100	1572	5000	1000	-4	15	-4	-2					
NhÊt D­¬ng Th­êng	0	100	1553	3000	500	-2	8	-2	-1					
NhÊt D­¬ng Dao Th­êng	0	100	1573	5000	1000	-4	15	-4	-2					
NhÊt D­¬ng Th­êng	0	100	1554	3000	500	-2	8	-2	-1					
NhÊt D­¬ng Dao Th­êng	0	100	1574	5000	1000	-4	15	-4	-2					
Xa Kþ ChiÕn SÜ Th­êng	0	100	1751	3000	500	-2	8	-2	-1					
Xa Kþ T­íng Qu©n Th­êng	0	100	1771	5000	1000	-4	15	-4	-2					
Xa Kþ ChiÕn SÜ Th­êng	0	100	1752	3000	500	-2	8	-2	-1					
Xa Kþ T­íng Qu©n Th­êng	0	100	1772	5000	1000	-4	15	-4	-2					
Xa Kþ ChiÕn SÜ Th­êng	0	100	1753	3000	500	-2	8	-2	-1					
Xa Kþ T­íng Qu©n Th­êng	0	100	1773	5000	1000	-4	15	-4	-2					
Xa Kþ ChiÕn SÜ Th­êng	0	100	1754	3000	500	-2	8	-2	-1					
Xa Kþ T­íng Qu©n Th­êng	0	100	1774	5000	1000	-4	15	-4	-2					
D­¬ng §Þnh Th­êng	0	100	1851	3000	500	-2	8	-2	-1					
D­¬ng An Th­êng	0	100	1871	5000	1000	-4	15	-4	-2					
D­¬ng §Þnh Th­êng	0	100	1852	3000	500	-2	8	-2	-1					
D­¬ng An Th­êng	0	100	1872	5000	1000	-4	15	-4	-2					
D­¬ng §Þnh Th­êng	0	100	1853	3000	500	-2	8	-2	-1					
D­¬ng An Th­êng	0	100	1873	5000	1000	-4	15	-4	-2					
D­¬ng §Þnh Th­êng	0	100	1854	3000	500	-2	8	-2	-1					
D­¬ng An Th­êng	0	100	1874	5000	1000	-4	15	-4	-2					
U Lung L­u V©n Th­êng	0	100	2051	3000	500	-2	8	-2	-1					
U Minh Thiªn Qu©n Th­êng	0	100	2071	5000	1000	-4	15	-4	-2					
U Lung L­u V©n Th­êng	0	100	2052	3000	500	-2	8	-2	-1					
U Minh Thiªn Qu©n Th­êng	0	100	2072	5000	1000	-4	15	-4	-2					
U Lung L­u V©n Th­êng	0	100	2053	3000	500	-2	8	-2	-1					
U Minh Thiªn Qu©n Th­êng	0	100	2073	5000	1000	-4	15	-4	-2					
U Lung L­u V©n Th­êng	0	100	2054	3000	500	-2	8	-2	-1					
U Minh Thiªn Qu©n Th­êng	0	100	2074	5000	1000	-4	15	-4	-2					
Miªu Cæ Th­êng	0	100	2151	3000	500	-2	8	-2	-1					
