Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
Tèng b¶o vËt6	2	0	345	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt cña §¹i Tèng.		NhiÖm vô	\script\task\WeekEnd\Item_Callboss_6.lua	1	0	1		
Tèng b¶o vËt7	2	0	346	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt cña §¹i Tèng.		NhiÖm vô	\script\task\WeekEnd\Item_Callboss_7.lua	1	0	1		
Tèng b¶o vËt8	2	0	347	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt cña §¹i Tèng.		NhiÖm vô	\script\task\WeekEnd\Item_Callboss_8.lua	1	0	1		
Tèng b¶o vËt9	2	0	348	1	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	B¶o vËt cña §¹i Tèng.		NhiÖm vô	\script\task\WeekEnd\Item_Callboss_9.lua	1	0	1		
LÔ bao Hoµng Kim	2	0	349	1	0	999												\image\item\other\holi_008a1.spr	\image\item\other\holi_008a0.spr	N¹p card cã quµ, nhÊp chuét ph¶i më ra sÏ nhiÒu ®iÒu bÊt ngê		ThÇn bİ	\script\item\luckybag.lua	1	0	1		
LÖnh bµi s­ m«n D­¬ng M«n	2	0	350	1	0	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	dïng ®Ó ra vµo mËt thÊt D­¬ng M«n		NhiÖm vô		1	0	0		
Lé thñy	2	0	351	1	0	99												\image\item\other\secr_020a1.spr	\image\item\other\secr_020a0.spr	Thu thËp tõ giät s­¬ng ®äng l¹i trªn l¸ c©y vµo s¸ng sím		NhiÖm vô			2	1		
Trång Hoa hång	2	0	352	1	0	1												\image\item\other\skius_007a1.spr	\image\item\other\skius_007a0.spr	Khi hai ng­êi t©m ®Çu ı hîp dïng mét h¹t hoa hång gieo xuèng sÏ në ra mét ®ãa hoa t×nh yªu tuyÖt ®Ñp.		NhiÖm vô	\script\online\qingrenyuanxiao\item\roseseed_item.lua		2	1		
B¶o kiÕm cña YÕn Xİch Hµ	2	0	353	1	0	1												\image\item\other\coll_030a1.spr	\image\item\other\coll_030a0.spr	Ph¸p khİ trõ yªu cña YÕn Xİch Hµ		NhiÖm vô			2	1		
Ngäc béi Ninh Th¸i ThÇn	2	0	354	1	0	1												\image\item\other\quest_013a1.spr	\image\item\other\quest_013a0.spr	Ngäc béi Ninh Th¸i ThÇn th­êng ®eo		NhiÖm vô	\script\online\qingrenyuanxiao\item\yupei_item.lua		2	1		
ChÌ mÌ ®en	2	0	355	1	0	1												\image\item\other\holi_002a1.spr	\image\item\other\holi_002a0.spr	B¸nh tr«i n­íc mïi vŞ th¬m ngon th­êng dïng trong dŞp lÔ tÕt		NhiÖm vô			2	1		
ThiÖp kim lan	2	0	356	1	0	1												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	Tİn vËt kÕt b¸i gi÷a L­¬ng S¬n B¸ vµ Chóc Anh §µi		NhiÖm vô			2	1		
Tr©m cña Chóc Anh §µi	2	0	357	1	0	1												\image\item\other\coll_041a1.spr	\image\item\other\coll_041a0.spr	Tr©m cña Chóc Anh §µi tÆng cho L­¬ng S¬n B¸		NhiÖm vô			2	1		
§éc d­îc cña Chu LÖ	2	0	358	1	0	1												\image\item\other\coll_103a1.spr	\image\item\other\coll_103a0.spr	§éc d­îc cña La MËt vµ Chu LÖ chuÈn bŞ cïng nhau tù tö v× t×nh		NhiÖm vô			2	1		
Hïng Hoµng Töu	2	0	359	1	0	1												\image\item\other\coll_012a1.spr	\image\item\other\coll_012a0.spr	Mü töu cã mïi vŞ ®Æc biÖt uèng vµo cã thÓ tr¸nh tµ		NhiÖm vô			2	1		
B¸nh lÔ	2	0	360	1	0	20												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Lo¹i b¸nh th¬m ngon dïng ®Ó lµm quµ tÆng		NhiÖm vô			2	1		
S«c«la	2	0	361	1	0	1												\image\item\other\holi_017a1.spr	\image\item\other\holi_017a0.spr	Khi 2 ng­êi kh¸c ph¸i t×nh ı t­¬ng th«ng tæ ®éi, nh©n vËt nam sö dông socola t×nh yªu, t¨ng ®é h¶o c¶m.		NhiÖm vô	\script\online\qingrenyuanxiao\item\chocolate_item.lua		0	1		
D­îc liÖu	2	0	362	1	0	15												\image\item\usable\medi_005a1.spr	\image\item\usable\medi_005a0.spr	D­îc liÖu quı hiÕm ®­îc c¸c th­¬ng nh©n t×m mua.		NhiÖm vô			2	1		
Hãa ®¬n	2	0	363	1	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	Ghi chĞp danh s¸ch tÊt c¶ c¸c vËt phÈm.		NhiÖm vô			2	1		
§éc chñng	2	0	364	1	0	20												\image\item\other\quest_054a1.spr	\image\item\other\quest_054a0.spr	Lo¹i thùc vËt ¨n thŞt, cùc kú nguy hiÓm.		NhiÖm vô			2	1		
D­îc huyÕt	2	0	365	1	0	1												\image\item\other\fulife_004a1.spr	\image\item\other\fulife_004a0.spr	M¸u cña ®ång tö cã thÓ dô ®­îc HuyÕt L©n §éc M·ng.		NhiÖm vô	\script\task\world\´óÀí\Lv20\ÑªÁÛ¶¾òş.lua		2	1		
Da h­¬u	2	0	366	1	0	10												\image\item\other\orskin_006a1.spr	\image\item\other\orskin_006a0.spr	Cã thÓ  may ¸o l«ng chèng l¹nh.		NhiÖm vô			2	1		
Miªu LÜnh Tİn tiªu	2	0	367	1	0	1												\image\item\other\quest_055a1.spr	\image\item\other\quest_055a0.spr	Dïng lµm tİn hiÖu ®Ó gäi sø gi¶ Miªu LÜnh.		NhiÖm vô	\script\task\world\´óÀí\Lv10\ÃçÁëÁ¦Ê¿.lua		2	1		
Béi §ao	2	0	368	1	0	10												\image\item\other\coll_144a1.spr	\image\item\other\coll_144a0.spr	T«i luyÖn tõ ¤ c­¬ng, t­îng tr­ng cho th©n phËn cña Thæ Ty		NhiÖm vô			2	1		
Th­ cña Miªu LÜnh	2	0	369	1	0	1												\image\item\other\coll_111a1.spr	\image\item\other\coll_111a0.spr	LÊy ®­îc tõ Tİn sø Miªu LÜnh.		NhiÖm vô			2	1		
Miªu LÜnh LÖnh bµi	2	0	370	1	0	1												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	Téc tr­ëng Miªu LÜnh lu«n mang theo bªn m×nh, trªn cã kh¾c vËt tæ		NhiÖm vô			2	1		
Nanh D¹ Hæ	2	0	371	1	0	10												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	Nanh cña Tö D¹ Hæ trong Phông Nh·n ®éng.		NhiÖm vô			2	1		
B¹ch §Çu §iªu Vò	2	0	372	1	0	10												\image\item\other\quest_056a1.spr	\image\item\other\quest_056a0.spr	L«ng d­íi cæ cña B¹ch §Çu §iªu, dïng lµm trang trİ.		NhiÖm vô			2	1		
Phông Hoµng Linh	2	0	373	1	0	1												\image\item\other\quest_057a1.spr	\image\item\other\quest_057a0.spr	Phông Hoµng Linh do M¹c Tam chÕ t¹o, dïng ®Ó dô Phông Hoµng trong Phông Nh·n ®éng.		NhiÖm vô	\script\task\world\´óÀí\Lv20\åÈÂ¥ÂŞ.lua		2	1		
C¸ sÊy kh«	2	0	374	1	0	1												\image\item\other\quest_058a1.spr	\image\item\other\quest_058a0.spr	Mãn ¨n truyÒn thèng cña BiÖn Kinh cùc kú th¬m ngon.		NhiÖm vô			2	1		
VŞt quay	2	0	375	1	0	1												\image\item\other\quest_059a1.spr	\image\item\other\quest_059a0.spr	Mãn ¨n næi tiÕng cña D­¬ng Ch©u.		NhiÖm vô			2	1		
Ngçng hÊp ®Ëu xanh	2	0	376	1	0	1												\image\item\other\quest_060a1.spr	\image\item\other\quest_060a0.spr	Mãn ¨n næi tiÕng TuyÒn Ch©u		NhiÖm vô			2	1		
B¸nh tæ	2	0	377	1	0	1												\image\item\other\quest_061a1.spr	\image\item\other\quest_061a0.spr	Mãn ¨n næi tiÕng T­¬ng D­¬ng, th¬m ngon h¶o h¹ng.		NhiÖm vô			2	1		
B¸nh İt mÆn	2	0	378	1	0	1												\image\item\other\holi_003a1.spr	\image\item\other\holi_003a0.spr	Mãn ¨n næi tiÕng Thµnh §«, mÒm dÎo th¬m ngon		NhiÖm vô			2	1		
M¶nh b¶n ®å §¹i Lı (cò)	2	0	379	1	0	10												\image\item\other\secr_009a1.spr	\image\item\other\secr_009a0.spr	Ghi chĞp l¹i nhiÒu t­ liÖu cña thµnh §¹i Lı nh­ng ®· bŞ H¾c Tinh Tinh lÊy ®i.		NhiÖm vô			2	1		
MËt hµm Xi Háa gi¸o	2	0	380	1	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	MËt hµm t×m ®­îc trªn m×nh cña A Tu La.		NhiÖm vô	\script\task\world\´óÀí\Lv20\ò¿»ğ½ÌÃÜº¯.lua		2	1		
ChiÕu th­ Tiªn Hoµng	2	0	381	1	0	1												\image\item\other\quest_062a1.spr	\image\item\other\quest_062a0.spr	ChiÕu th­ viÕt r»ng sau khi Tiªn Hoµng tho¸i vŞ do nhŞ hoµng tö §oµn Tè ThuËn kÕ vŞ. Kh«ng biÕt chiÕu th­ nµy lµ thËt hay gi¶ hay lµ t×m §æng Giµ La nhê gi¸m ®Şnh		NhiÖm vô			2	1		
Ph¸o hiÖu thiÕu d©y ch¸y	2	0	382	1	0	1												\image\item\other\holi_001a1.spr	\image\item\other\holi_001a0.spr	T×m ®­îc ph¸o hiÖu trªn m×nh KiÒn §¹t Bµ, nh­ng h×nh nh­ kh«ng cã kİp næ.		NhiÖm vô			2	1		
Kİp næ	2	0	383	1	0	1												\image\item\other\quest_063a1.spr	\image\item\other\quest_063a0.spr	T×m ®­îc kİp næ trªn m×nh KhÈn Na La		NhiÖm vô			2	1		
Ph¸o hiÖu	2	0	384	1	0	1												\image\item\other\holi_012a1.spr	\image\item\other\holi_012a0.spr	Tam hoµng tö §oµn Tè Kh¸nh dïng ®Ó liªn l¹c víi thñ h¹, ®èt ph¸o xong tam hoµng tö sÏ xuÊt hiÖn.		NhiÖm vô	\script\task\world\´óÀí\Lv80\Èı»Ê×Ó¶ÎËØÇì.lua		2	1		
Cæ Kinh	2	0	385	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Th­ tŞch nhËp m«n Ngò §éc Cæ S­, ghi l¹i nh÷ng kiÕn thøc c¬ b¶n cña Cæ S­		NhiÖm vô	\script\item\¹Æ¾­.lua	1	2	1		
TÈy Tñy linh ®¬n	2	0	386	1	0	1												\image\item\usable\heal_017a1.spr	\image\item\usable\heal_017a0.spr	Tiªn d­îc cã thÓ gióp tÈy l¹i ®iÓm tiÒn n¨ng			\script\online\qingming\item\xisuidan_item.lua		2	1		
 Mµn thÇu cóng tÕ	2	0	387	1	0	1												\image\item\usable\food_003a1.spr	\image\item\usable\food_003a0.spr	Mµn thÇu thÊy tÕ dïng lóc t¶o mé. NhÊp chuét ph¶i sö dông. 			\script\online\qingming08\item\mantou_item.lua		2	1		
 ThŞt gµ h¶o h¹n	2	0	388	1	0	1												\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	ThŞt gµ thÇy tÕ dïng lóc t¶o mé. NhÊp chuét ph¶i sö dông. 			\script\online\qingming08\item\jirou_item.lua		2	1		
 R­îu tÕ lÔ	2	0	389	1	0	1												\image\item\usable\food_011a1.spr	\image\item\usable\food_011a0.spr	R­îu l©u n¨m dïng lóc t¶o mé. NhÊp chuét ph¶i sö dông. 			\script\online\qingming08\item\laojiu_item.lua		2	1		
LÖnh bµi s­ m«n Ngò §éc	2	0	390	1	0	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	LÖnh bµi ®Ó ra vµo mËt thÊt Ngò §éc.		NhiÖm vô		1	0	0		
S¸ch c«ng lao Tô B¶o Trai	2	0	391	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi l¹i vËt phÈm ®­îc c¸c anh th­ kú n÷ thu thËp ®­îc.			\script\online\laborday06\item\recordbook_item.lua		2	0		
Thİ LuyÖn Qu¶	2	0	392	1	0	999												\image\item\other\secr_002a1.spr	\image\item\other\secr_002a0.spr	Sö dông cã thÓ n©ng cao vâ c«ng b¶n th©n			\script\item\shilianguo.lua	1	0	1		
Bét phÊn mµu ®en	2	0	393	1	0	1												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	Lo¹i bét phÊn thÇn bİ ®­îc ph¸t hiÖn trong qu¸ tr×nh luyÖn d­îc		NhiÖm vô			0	0		
Cñi l¹	2	0	394	1	0	1												\image\item\other\wood_001a1.spr	\image\item\other\wood_001a0.spr	Lo¹i cñi quı cã tİnh ®µn håi tèt do ®­îc nung trong löa nhiÖt ®é cao		NhiÖm vô			0	0		
Khu Ma Linh Phï	2	0	395	1	0	1												\image\item\other\secr_036a1.spr	\image\item\other\secr_036a0.spr	Cã thÓ diÖt trõ oan hån d· quû		NhiÖm vô			0	0		
H­íng dÉn ®ua ThuyÒn rång	2	0	396	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	H­íng dÉn quy t¾c thi ®Êu ThuyÒn rång		NhiÖm vô	\script\online\dragonboat06\item\introduce_book.lua		2	0		
Sæ tay chÕ t¹o vò khİ	2	0	397	1	0	999												\image\item\other\secr_037a1.spr	\image\item\other\secr_037a0.spr	Ghi l¹i ph­¬ng ph¸p chÕ t¹o vò khİ th­îng ®¼ng.		ThÇn bİ			0	0		
C©y B¸t Nh·	2	0	398	1	0	1												\image\item\other\Ê÷ÖÖa1.spr	\image\item\other\Ê÷ÖÖa0.spr	H¹t gièng c©y B¸t Nh· §a MËt.<enter><color=Gold>(Cã thÓ trång ë T©y Thµnh §«)		NhiÖm vô	\script\online\plant\seed_item.lua		0	1		
B¾c Lôc L©m lÖnh	2	0	399	1	0	1												\image\item\other\±±ÂÌÁÖÁîa1.spr	\image\item\other\±±ÂÌÁÖÁîa0.spr	HiÖu lÖnh cña Minh chñ s¬n tr¹i ph­¬ng B¾c kh«ng ai d¸m bÊt tu©n		NhiÖm vô			2	1		
Trôc ¶nh Th­¬ng	2	0	400	1	0	1												\image\item\other\ÖğÓ°Ç¹a1.spr	\image\item\other\ÖğÓ°Ç¹a0.spr	C©y th­¬ng cña Doanh Thiªn NhËm ®éi tr­ëng thŞ vÖ cña Hoµng ®Õ, tuy ®· søt mÎ nh­ng vÉn trµn ®Çy s¸t khİ		NhiÖm vô			2	1		
TuyÖt T×nh Th¹ch	2	0	401	1	0	1												\image\item\other\¾øÇéÊ¯a1.spr	\image\item\other\¾øÇéÊ¯a0.spr	Tİn vËt L·nh H­¬ng L¨ng sinh thêi tÆng cho ng­êi yªu.		NhiÖm vô			2	1		
LÖnh bµi tæng qu¶n ngo¹i viÖn	2	0	402	1	0	1												\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa1.spr	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa0.spr	Tæng ngo¹i qu¶ndïng ®Ó triÖu tËp Gia ®inh		NhiÖm vô			2	1		
LÖnh bµi tæng qu¶n néi viÖn	2	0	403	1	0	1												\image\item\other\ÄÚÔº×Ü¹ÜÑüÅÆa1.spr	\image\item\other\ÄÚÔº×Ü¹ÜÑüÅÆa0.spr	Dïng ®Ó triÖu tËp gia ®inh vµ tú n÷.		NhiÖm vô			2	1		
ViÖt N÷ kiÕm	2	0	404	1	0	1												\image\item\other\Ô½Å®½£a1.spr	\image\item\other\Ô½Å®½£a0.spr	Thanh kiÕm tiÓu th­ cña Tµng KiÕm s¬n trang yªu thİch nhÊt		NhiÖm vô			2	1		
Trang chñ kim Ên	2	0	405	1	0	1												\image\item\other\×¯Ö÷±¦Ó¡a1.spr	\image\item\other\×¯Ö÷±¦Ó¡a0.spr	Kim Ên cña §¹i Trang chñ cña Tµng KiÕm s¬n trang		NhiÖm vô			2	1		
Tr­ëng L·o ChØ Hoµn	2	0	406	1	0	1												\image\item\other\³¤ÀÏÖ¸»·a1.spr	\image\item\other\³¤ÀÏÖ¸»·a0.spr	ChØ hoµn ghi dÊu t©m t­ cña Tr­ëng l·o Tµng KiÕm		NhiÖm vô			2	1		
Tinh Tinh §Şa §å	2	0	407	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	TÊm mËt ®å thÇn bİ nµy cã thÓ t¸i hiÖn khung c¶nh Sao b¨ng l­ít qua d¶i Ng©n hµ		§· khãa	\script\online\qixi06\item\staratlas_item.lua		2	1		
Sao b¨ng r¬i xuèng trÇn gian	2	0	408	1	0	1												\image\item\other\ĞÇĞÇÀñ»¨a1.spr	\image\item\other\ĞÇĞÇÀñ»¨a0.spr	Sao b¨ng l¹c xuèng trÇn gian, thÊy râ câi trÇn thÕ phï phiÕm ®au khæ vµ mong ngµy quay vÒ d¶i Ng©n Hµ		§· khãa	\script\online\qixi06\item\star_item.lua		2	1		
H­íng dÉn ho¹t ®éng cóp thÕ giíi	2	0	409	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	World cup ë §øc mang l¹i cho mäi ng­êi niÒm vui bÊt tËn, c¶m gi¸c s¶ng kho¸i.		NhiÖm vô	\script\online\afterworldcup06\item\intro_book_item.lua		2	0		
ThÎ §øc (b¶ng A)	2	0	410	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi §øc		§· khãa			2	1		
ThÎ Costa Rica (b¶ng A)	2	0	411	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Costa Rica		NhiÖm vô			0	1		
ThÎ Ba Lan (b¶ng A)	2	0	412	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Ba Lan		NhiÖm vô			0	1		
ThÎ Ecuador (b¶ng A)	2	0	413	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Ecuador		NhiÖm vô			0	1		
ThÎ Anh (b¶ng B)	2	0	414	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Anh		§· khãa			2	1		
ThÎ Paraguay (b¶ng B)	2	0	415	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Paraguay		NhiÖm vô			0	1		
Trinidad vµ Tobago (b¶ng B)	2	0	416	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Trinidad vµ Tobago		NhiÖm vô			0	1		
ThÎ Thôy §iÓn (b¶ng B)	2	0	417	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Thôy §iÓn		NhiÖm vô			0	1		
ThÎ Argentina (b¶ng C)	2	0	418	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Argentina		§· khãa			2	1		
Bê BiÓn Ngµ (b¶ng C)	2	0	419	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Bê BiÓn Ngµ		NhiÖm vô			0	1		
ThÎ Nam T­ (b¶ng C)	2	0	420	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi		NhiÖm vô			0	1		
ThÎ Hµ Lan (b¶ng C)	2	0	421	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Hµ Lan		NhiÖm vô			0	1		
ThÎ Bå §µo Nha (b¶ng D)	2	0	422	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Bå §µo Nha		§· khãa			2	1		
ThÎ I Ran (b¶ng D)	2	0	423	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi I Ran		NhiÖm vô			0	1		
ThÎ Angola (b¶ng D)	2	0	424	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Angola		NhiÖm vô			0	1		
ThÎ Mehico (b¶ng D)	2	0	425	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Mehico		NhiÖm vô			0	1		
ThÎ ı (b¶ng E)	2	0	426	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi ı		§· khãa			2	1		
ThÎ Ghana (b¶ng E)	2	0	427	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Ghana		NhiÖm vô			0	1		
ThÎ Mü (b¶ng E)	2	0	428	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Mü		NhiÖm vô			0	1		
ThÎ Céng hßa SĞc (b¶ng E)	2	0	429	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Croatia		NhiÖm vô			0	1		
Brazil (b¶ng F)	2	0	430	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Brazil		§· khãa			2	1		
ThÎ Croatia (b¶ng F)	2	0	431	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Croatia		NhiÖm vô			0	1		
ThÎ óc (b¶ng F)	2	0	432	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi óc		NhiÖm vô			0	1		
ThÎ NhËt B¶n (b¶ng F)	2	0	433	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi NhËt B¶n		NhiÖm vô			0	1		
ThÎ Ph¸p (b¶ng G)	2	0	434	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Ph¸p		§· khãa			2	1		
ThÎ Thôy Sü (b¶ng G)	2	0	435	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Thôy Sü		NhiÖm vô			0	1		
ThÎ Hµn Quèc (b¶ng G)	2	0	436	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Hµn Quèc		NhiÖm vô			0	1		
ThÎ Togo (b¶ng G)	2	0	437	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Togo		NhiÖm vô			0	1		
ThÎ Ukraine (b¶ng H)	2	0	438	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Ukraine		§· khãa			2	1		
ThÎ T©y Ban Nha (b¶ng H)	2	0	439	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi T©y Ban Nha		NhiÖm vô			0	1		
ThÎ Tunisia (b¶ng H)	2	0	440	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi Tunisia		NhiÖm vô			0	1		
ThÎ ¶ RËp Xª ót (b¶ng H)	2	0	441	1	0	10												\image\item\other\32Ç¿¿¨Æ¬a1.spr	\image\item\other\32Ç¿¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña ®éi ¶ RËp Xª ót		NhiÖm vô			0	1		
thÎ Trung Quèc	2	0	442	1	0	10												\image\item\other\´óÖĞ»ª¿¨Æ¬a1.spr	\image\item\other\´óÖĞ»ª¿¨Æ¬a0.spr	ThÎ nhá t­îng tr­ng cho tinh thÇn cña §¹i Trung Hoa, vËt phÈm hiÕm cã cã gi¸ trŞ lín		§· khãa			2	1		
