T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	
B¸o Vµng	0	105	30014	0	0	0	800							110				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	Kim TiÒn B¸o, sinh sèng t¹i c¸c vïng nói s©u th¼m hoang s¬, uy dòng phi th­êng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
¤ V©n §¹p TuyÕt	0	105	30015	0	0	0	800							110				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	¤ V©n §¹p TuyÕt, th©n ®en vã b¹c, di chuyÓn tùa TuyÕt §iÓu Xuyªn V©n,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
§éc Gi¸c Thó	0	105	30016	0	0	0	800							110				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	§éc Gi¸c Thó, thÇn thó xinh ®Ñp thuÇn khiÕt, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Kim Kú L©n B¶o B¶o	0	105	30017	0	0	0	2500							10				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	Kim Kú L©n B¶o B¶o	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Thñy Kú L©n  B¶o B¶o	0	105	30018	0	0	0	2500							10				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	Thñy Kú L©n  B¶o B¶o	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Ngäc Kú L©n  B¶o B¶o	0	105	30019	0	0	0	2500							10				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	Ngäc Kú L©n  B¶o B¶o	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Háa Kú L©n  B¶o B¶o	0	105	30020	0	0	0	2500							10				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	Háa Kú L©n  B¶o B¶o	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Cæ D­¬ng Thó  B¶o B¶o	0	105	30021	0	0	0	2500							10				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	Cæ D­¬ng Thó  B¶o B¶o	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Kim Mao Ng­u B¶o B¶o	0	105	30022	0	0	0	2500							10				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	Kim Mao Ng­u B¶o B¶o	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Hång Mao Ng­u B¶o B¶o	0	105	30023	0	0	0	2500							10				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	Hång Mao Ng­u B¶o B¶o	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Lam Mao Ng­u B¶o B¶o	0	105	30024	0	0	0	2500							10				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	Lam Mao Ng­u B¶o B¶o	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¹ch Hæ B¶o B¶o	0	105	30025	0	0	0	2500							10				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	B¹ch Hæ B¶o B¶o	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Hoµng Hæ B¶o B¶o	0	105	30026	0	0	0	2500							10				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	Hoµng Hæ B¶o B¶o	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
H¾c Hæ B¶o B¶o	0	105	30027	0	0	0	2500							10				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	H¾c Hæ B¶o B¶o	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o Tr¾ng B¶o B¶o	0	105	30028	0	0	0	2500							10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o §en B¶o B¶o	0	105	30029	0	0	0	2500							10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o Vµng B¶o B¶o	0	105	30030	0	0	0	2500							10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
¤ V©n §¹p TuyÕt B¶o B¶o	0	105	30031	0	0	0	2500							10				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	¤ V©n §¹p TuyÕt B¶o B¶o	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
§éc Gi¸c Thó B¶o B¶o	0	105	30032	0	0	0	2500							10				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	§éc Gi¸c Thó B¶o B¶o	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
ChiÕn T­îng	0	105	30033	0	0	0	2500							10				\image\item\horse\³¤Ã«Ïóa1.spr	\image\item\horse\³¤Ã«Ïóa0.spr	ChiÕn T­îng, thó c­ìi chuyªn dông cña Nguyªn So¸i, uy phong lÉm liÖt, qu©n c«ng ®¹t trªn 25 v¹n ®iÓm cã thÓ c­ìi	Ïó	M· Bµi	\script\online_activites\silingmount\item\zhanxiang.lua	4	4	1			
ThuyÒn Thanh Long	0	105	30034	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		¶Ì±øÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\qinglong_script.lua	1	1	1			
ThuyÒn HuyÒn Vò	0	105	30035	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		Ë®À×ÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\xuanwu_script.lua	1	1	1			
ThuyÒn B¹ch Hæ	0	105	30036	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		Ë®ÅÚÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\baihu_script.lua	1	1	1			
ThuyÒn Chu T­íc	0	105	30037	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		ÍÁÅÚÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\zhuque_script.lua	1	1	1			
NguyÖt L­îng Thè	0	105	30038	0	0	0	2500							10				\image\item\horse\°×ÍÃ×Ó36.spr	\image\item\horse\°×ÍÃ×Ó120.spr	Thá tr¾ng xinh ®Ñp qu¸	°×ÍÃ×Ó	M· Bµi		1	4	1			
Thá ®en	0	105	30039	0	0	0	2500							10				\image\item\horse\ºÚÍÃ×Ó36.spr	\image\item\horse\ºÚÍÃ×Ó120.spr	Thá ®en ngé nghÜnh	ºÚÍÃ×Ó	M· Bµi		1	4	1			
Thá b«ng	0	105	30040	0	0	0	2500							10				\image\item\horse\»¨ÍÃ×Ó36.spr	\image\item\horse\»¨ÍÃ×Ó120.spr	Thá b«ng ®¸ng yªu qu¸	»¨ÍÃ×Ó	M· Bµi		1	4	1			
Xe TuÇn Léc mµu ®á	0	105	30041	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁa1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁa0.spr	Xe TuÇn Léc mµu ®á ®Ñp m¾t, v« cïng hoµnh tr¸ng ( cã thÓ mêi b¹n cïng c­ìi)	·ÉÌìÓùÂ¹£¨ºì£©	M· Bµi		1	4	1			
Xe TuÇn Léc  xanh lôc	0	105	30042	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁ2a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ2a0.spr	Xe TuÇn Léc xanh lôc ®Ñp m¾t, v« cïng hoµnh tr¸ng ( cã thÓ mêi b¹n cïng c­ìi)	·ÉÌìÓùÂ¹£¨ÂÌ£©	M· Bµi		1	4	1			
Xe TuÇn Léc mµu vµng	0	105	30043	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁ3a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ3a0.spr	Xe TuÇn Léc mµu vµng ®Ñp m¾t, v« cïng hoµnh tr¸ng ( cã thÓ mêi b¹n cïng c­ìi)	·ÉÌìÓùÂ¹£¨ÂÌ½ğ£©	M· Bµi		1	4	1			
Phi HiÓu	0	105	141	10	0	0	2500							10				\image\item\horse\ma037a1.spr	\image\item\horse\ma037a0.spr	Så ­ng kinh ph¸ hiÓu, kh­¬ng ®Şch tØnh biªn nh©n.	ÆÆÏş	M· Bµi		8	1	1		50000	999
L¹c §µ Tr¾ng	0	105	148	0	0	0	2500							10				\image\item\horse\ÂæÍÕ°×a1.spr	\image\item\horse\ÂæÍÕ°×a0.spr	§­îc gäi lµ "con tµu trªn sa m¹c". 	°×ÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	1	1		50000	999
L¹c §µ X¸m	0	105	149	0	0	0	2500							10				\image\item\horse\ÂæÍÕ»Òa1.spr	\image\item\horse\ÂæÍÕ»Òa0.spr	§­îc gäi lµ "con tµu trªn sa m¹c". 	»ÒÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	1	1		50000	999
Tam VÜ TuyÕt Hå	0	105	160	10	0	0	2500							10				\image\item\horse\jiuweihu03a1.spr	\image\item\horse\jiuweihu03a0.spr	Thó quı hiÕm trªn Thanh Kh­u S¬n, h×nh d¹ng gièng con hå ly nh­ng cã ba c¸i ®u«i.	ÈıÎ²ºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Háa hå	0	105	164	0	0	0	2500							10				\image\item\horse\jiuweihu01_honga1.spr	\image\item\horse\jiuweihu01_honga0.spr	Trªn nói cã hå ly, l«ng mµu ®á thÉm vµ rÊt t©m linh.	»ğºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
