Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
H¶i NguyÖt Sø Ph¸p ¢m Ngäc Giíi ChØ	0	102	9219	10	0	0	100						99021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Tôc Gia Nga My ®eo khi trë thµnh H¶i NguyÖt Sø		§· khãa		9	2	1	9	0					
H¶i NguyÖt Sø Ph¸p ¢m Ngäc Giíi ChØ	0	102	9229	10	0	0	100						99022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Tôc Gia Nga My ®eo khi trë thµnh H¶i NguyÖt Sø		§· khãa		9	2	1	9	0					
H¶i NguyÖt Sø Ph¸p ¢m Thóy Giíi ChØ	0	102	9239	10	0	0	100						99021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	§Ö tö Tôc Gia Nga My ®eo khi trë thµnh H¶i NguyÖt Sø		§· khãa		9	2	1	9	0					
H¶i NguyÖt Sø Ph¸p ¢m Thóy Giíi ChØ	0	102	9249	10	0	0	100						99022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	§Ö tö Tôc Gia Nga My ®eo khi trë thµnh H¶i NguyÖt Sø		§· khãa		9	2	1	9	0					
Trõ Gian Béi	0	102	1111	5	2000	0	50						11011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo		§· khãa		6	2	1	11	0					
Trõ Gian Béi	0	102	1112	5	2000	0	50						11012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo		§· khãa		6	2	1	11	0					
Trõ Gian Béi	0	102	1113	5	2000	0	50						11013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo		§· khãa		6	2	1	11	0					
Trõ Gian Béi	0	102	1114	5	2000	0	50						11014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo		§· khãa		6	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	1121	10	10000	0	100						11021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	1122	10	10000	0	100						11022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	1123	10	10000	0	100						11023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	1124	10	10000	0	100						11024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	1125	10	10000	0	100						11021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		8	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	1126	10	10000	0	100						11022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		8	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	1127	10	10000	0	100						11023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		8	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	1128	10	10000	0	100						11024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		8	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	11219	10	0	0	100						911021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	11229	10	0	0	100						911022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	11239	10	0	0	100						911023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Ngäc Béi	0	102	11249	10	0	0	100						911024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	11259	10	0	0	100						911021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	11269	10	0	0	100						911022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	11279	10	0	0	100						911023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Tø H¶i HiÖp Hµo Khİ Giíi ChØ	0	102	11289	10	0	0	100						911024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang TÜnh y th­êng ®eo, hµo khİ ngÊt trêi		§· khãa		9	2	1	11	0					
Trõng ¸c Béi	0	102	1211	5	2000	0	50						12011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö cao cÊp C¸i Bang ¤ Y th­êng ®eo		§· khãa		6	2	1	12	0					
Trõng ¸c Béi	0	102	1212	5	2000	0	50						12012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö cao cÊp C¸i Bang ¤ Y th­êng ®eo		§· khãa		6	2	1	12	0					
Trõng ¸c Béi	0	102	1213	5	2000	0	50						12013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö cao cÊp C¸i Bang ¤ Y th­êng ®eo		§· khãa		6	2	1	12	0					
Trõng ¸c Béi	0	102	1214	5	2000	0	50						12014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	§Ö tö cao cÊp C¸i Bang ¤ Y th­êng ®eo		§· khãa		6	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	1221	10	10000	0	100						12021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	1222	10	10000	0	100						12022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	1223	10	10000	0	100						12023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	1224	10	10000	0	100						12024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	1225	10	10000	0	100						12021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		8	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	1226	10	10000	0	100						12022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		8	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	1227	10	10000	0	100						12023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		8	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	1228	10	10000	0	100						12024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		8	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	12219	10	0	0	100						912021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	12229	10	0	0	100						912022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	12239	10	0	0	100						912023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Ngäc Béi	0	102	12249	10	0	0	100						912024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	12259	10	0	0	100						912021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	12269	10	0	0	100						912022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	12279	10	0	0	100						912023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
B¸t §¹i §Ö Tö Tô NghÜa Giíi ChØ	0	102	12289	10	0	0	100						912024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö C¸i Bang ¤ Y 8 tói		§· khãa		9	2	1	12	0					
NhËp Quan LÖnh	0	102	1411	5	2000	0	50						14011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa1.spr	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa0_120.spr	Lµ b»ng chøng ®Ö tö Vâ §ang ®¹o gia bÕ quan tu luyÖn		§· khãa		6	2	1	14	0					
NhËp Quan LÖnh	0	102	1412	5	2000	0	50						14012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa1.spr	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa0_120.spr	Lµ b»ng chøng ®Ö tö Vâ §ang ®¹o gia bÕ quan tu luyÖn		§· khãa		6	2	1	14	0					
NhËp Quan LÖnh	0	102	1413	5	2000	0	50						14013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa1.spr	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa0_120.spr	Lµ b»ng chøng ®Ö tö Vâ §ang ®¹o gia bÕ quan tu luyÖn		§· khãa		6	2	1	14	0					
NhËp Quan LÖnh	0	102	1414	5	2000	0	50						14014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa1.spr	\image\item\other\ÍâÔº×Ü¹ÜÑüÅÆa0_120.spr	Lµ b»ng chøng ®Ö tö Vâ §ang ®¹o gia bÕ quan tu luyÖn		§· khãa		6	2	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	1421	10	10000	0	100						14021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	1422	10	10000	0	100						14022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	1423	10	10000	0	100						14023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	1424	10	10000	0	100						14024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	1425	10	10000	0	100						14021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		8	2	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	1426	10	10000	0	100						14022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		8	2	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	1427	10	10000	0	100						14023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		8	2	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	1428	10	10000	0	100						14024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		8	2	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	14219	10	0	0	100						914021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	14229	10	0	0	100						914022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	14239	10	0	0	100						914023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
V« Ng· Tø T­îng Giíi ChØ	0	102	14249	10	0	0	100						914024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	14259	10	0	0	100						914021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	14269	10	0	0	100						914022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	14279	10	0	0	100						914023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
V« Ng· Tø T­îng ChØ Hoµn	0	102	14289	10	0	0	100						914024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang ®¹o gia ®eo khi ®¹t ®Õn c¶nh giíi v« ng·		§· khãa		9	2	1	14	0					
ThiÓu D­¬ng Béi	0	102	1511	5	2000	0	50						15011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	§Ö tö cao cÊp Vâ §ang tôc gia th­êng ®eo khi luyÖn Néi c«ng		§· khãa		6	2	1	15	0					
ThiÓu D­¬ng Béi	0	102	1512	5	2000	0	50						15012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	§Ö tö cao cÊp Vâ §ang tôc gia th­êng ®eo khi luyÖn Néi c«ng		§· khãa		6	2	1	15	0					
ThiÓu D­¬ng Béi	0	102	1513	5	2000	0	50						15013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	§Ö tö cao cÊp Vâ §ang tôc gia th­êng ®eo khi luyÖn Néi c«ng		§· khãa		6	2	1	15	0					
ThiÓu D­¬ng Béi	0	102	1514	5	2000	0	50						15014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	§Ö tö cao cÊp Vâ §ang tôc gia th­êng ®eo khi luyÖn Néi c«ng		§· khãa		6	2	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong ChØ	0	102	1521	10	10000	0	100						15021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong ChØ	0	102	1522	10	10000	0	100						15022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong ChØ	0	102	1523	10	10000	0	100						15023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong ChØ	0	102	1524	10	10000	0	100						15024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong Hoµn	0	102	1525	10	10000	0	100						15021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa		8	2	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong Hoµn	0	102	1526	10	10000	0	100						15022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa		8	2	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong Hoµn	0	102	1527	10	10000	0	100						15023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa		8	2	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong Hoµn	0	102	1528	10	10000	0	100						15024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa		8	2	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong ChØ	0	102	15219	10	0	0	100						915021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa		9	2	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong ChØ	0	102	15229	10	0	0	100						915022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa		9	2	1	15	0					
Nhµn V©n HiÖp §¹o Linh Phong ChØ	0	102	15239	10	0	0	100						915023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§Ö tö Vâ §ang tôc gia th­êng ®eo khi h¹ s¬n		§· khãa		9	2	1	15	0					
