Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Hµnh Gi¶ Giíi c«n	0	5	201	30	2	0	200	0	98;196		1	84	2001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_008a1.spr	\image\item\weapon\wea_sta_008a0.spr	Vò khİ cña ®Ö tö cÊp thÊp ThiÕu L©m tôc gia.	¹÷4a	§· khãa		4	2	1	2	0					
Hµnh Gi¶ Giíi c«n	0	5	202	30	2	0	200	0	98;196		1	84	2002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_008a1.spr	\image\item\weapon\wea_sta_008a0.spr	Vò khİ cña ®Ö tö cÊp thÊp ThiÕu L©m tôc gia.	¹÷4a	§· khãa		4	2	1	2	0					
Hçn Nguyªn C«n	0	5	211	40	5000	0	250	0	158;316		1	84	2011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_011a1.spr	\image\item\weapon\wea_sta_011a0.spr	§Ö tö cÊp cao ThiÕu L©m tôc gia sö dông	¹÷5b	§· khãa		6	2	1	2	0					
Hçn Nguyªn C«n	0	5	212	40	5000	0	250	0	158;316		1	84	2012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_011a1.spr	\image\item\weapon\wea_sta_011a0.spr	§Ö tö cÊp cao ThiÕu L©m tôc gia sö dông	¹÷5b	§· khãa		6	2	1	2	0					
§¹t Ma Kim Cang_ChiÕn ı C«n	0	5	221	50	15000	0	300	0	200;400		1	84	2021	76	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	Trang bŞ cña ®Ö tö ThiÕu L©m tôc gia.	¹÷7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	2	0					
§¹t Ma Kim Cang_ChiÕn ı C«n	0	5	222	50	15000	0	300	0	200;400		1	84	2022	76	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	Trang bŞ cña ®Ö tö ThiÕu L©m tôc gia.	¹÷7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	2	0					
§¹t Ma Kim Cang_ChiÕn ı C«n	0	5	2219	50	0	0	300	0	200;400		1	84	92021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	Trang bŞ cña ®Ö tö ThiÕu L©m tôc gia.	¹÷7a	§· khãa		9	2	1	2	0					
§¹t Ma Kim Cang_ChiÕn ı C«n	0	5	2229	50	0	0	300	0	200;400		1	84	92022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_014a1.spr	\image\item\weapon\wea_sta_014a0.spr	Trang bŞ cña ®Ö tö ThiÕu L©m tôc gia.	¹÷7a	§· khãa		9	2	1	2	0					
Khæ Hµnh Tr­îng	0	8	301	30	2	0	200	0	87;175	134;268	1	86	3001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_008a1.spr	\image\item\weapon\wea_can_008a0.spr	Trang bŞ cña ®Ö tö cÊp thÊp ThiÕu L©m thiÒn t¨ng	ÎıÕÈ4a	§· khãa		4	2	1	3	0					
Khæ Hµnh Tr­îng	0	8	302	30	2	0	200	0	87;175	134;268	1	86	3002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_008a1.spr	\image\item\weapon\wea_can_008a0.spr	Trang bŞ cña ®Ö tö cÊp thÊp ThiÕu L©m thiÒn t¨ng	ÎıÕÈ4a	§· khãa		4	2	1	3	0					
ThiÒn Tu Ph¸p Tr­îng	0	8	311	40	5000	0	250	0	143;287	204;408	1	86	3011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_011a1.spr	\image\item\weapon\wea_can_011a0.spr	§Ö tö cÊp cao ThiÕu L©m thiÒn t¨ng sö dông	ÎıÕÈ5b	§· khãa		6	2	1	3	0					
ThiÒn Tu Ph¸p Tr­îng	0	8	312	40	5000	0	250	0	143;287	204;408	1	86	3012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_011a1.spr	\image\item\weapon\wea_can_011a0.spr	§Ö tö cÊp cao ThiÕu L©m thiÒn t¨ng sö dông	ÎıÕÈ5b	§· khãa		6	2	1	3	0					
TruyÒn Kinh  ThiÒn TŞnh Tr­îng	0	8	321	50	15000	0	300	0	180;360	245;490	1	86	3021	76	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	Trang bŞ vò khİ cña TruyÒn Kinh Ph¸p S­ trªn cã kh¾c ThiÒn TŞnh Tr­îng	ÎıÕÈ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0					
TruyÒn Kinh  ThiÒn TŞnh Tr­îng	0	8	322	50	15000	0	300	0	180;360	245;490	1	86	3022	76	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	Trang bŞ vò khİ cña TruyÒn Kinh Ph¸p S­ trªn cã kh¾c ThiÒn TŞnh Tr­îng	ÎıÕÈ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0					
TruyÒn Kinh  ThiÒn TŞnh Tr­îng	0	8	3219	50	0	0	300	0	180;360	245;490	1	86	93021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	Trang bŞ vò khİ cña TruyÒn Kinh Ph¸p S­ trªn cã kh¾c ThiÒn TŞnh Tr­îng	ÎıÕÈ7a	§· khãa		9	2	1	3	0					
TruyÒn Kinh  ThiÒn TŞnh Tr­îng	0	8	3229	50	0	0	300	0	180;360	245;490	1	86	93022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	Trang bŞ vò khİ cña TruyÒn Kinh Ph¸p S­ trªn cã kh¾c ThiÒn TŞnh Tr­îng	ÎıÕÈ7a	§· khãa		9	2	1	3	0					
Sa Di Hé UyÓn	0	0	401	30	2	0	200	0	122;244	101;201	1	90	4001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_008a1.spr	\image\item\weapon\wea_han_008a0.spr	§Ö tö cÊp thÊp ThiÕu L©m Vâ T¨ng luyÖn quyÒn c­íc th­êng sö dông	¿ÕÊÖ	§· khãa		4	2	1	4	0					
Sa Di Hé UyÓn	0	0	402	30	2	0	200	0	122;244	101;201	1	90	4002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_008a1.spr	\image\item\weapon\wea_han_008a0.spr	§Ö tö cÊp thÊp ThiÕu L©m Vâ T¨ng luyÖn quyÒn c­íc th­êng sö dông	¿ÕÊÖ	§· khãa		4	2	1	4	0					
§Êu T¨ng QuyÒn S¸o	0	0	411	40	5000	0	250	0	202;404	171;341	1	90	4011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_011a1.spr	\image\item\weapon\wea_han_011a0.spr	§Ö tö cÊp cao ThiÕu L©m Vâ T¨ng th­êng sö dông.	¿ÕÊÖ	§· khãa		6	2	1	4	0					
§Êu T¨ng QuyÒn S¸o	0	0	412	40	5000	0	250	0	202;404	171;341	1	90	4012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_011a1.spr	\image\item\weapon\wea_han_011a0.spr	§Ö tö cÊp cao ThiÕu L©m Vâ T¨ng th­êng sö dông.	¿ÕÊÖ	§· khãa		6	2	1	4	0					
Hé Ph¸p La H¸n_§Êu Khİ Thñ	0	0	421	50	15000	0	300	0	245;490	210;420	1	90	4021	76	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	PhÇn th­ëng cho ®Ö tö Vâ T¨ng ThiÕu L©m tu luyÖn ®¹t ®Õn tuyÖt kü bİ truyÒn ThiÕu L©m	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0					
Hé Ph¸p La H¸n_§Êu Khİ Thñ	0	0	422	50	15000	0	300	0	245;490	210;420	1	90	4022	76	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	PhÇn th­ëng cho ®Ö tö Vâ T¨ng ThiÕu L©m tu luyÖn ®¹t ®Õn tuyÖt kü bİ truyÒn ThiÕu L©m	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0					
Hé Ph¸p La H¸n_§Êu Khİ Thñ	0	0	4219	50	0	0	300	0	245;490	210;420	1	90	94021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	PhÇn th­ëng cho ®Ö tö Vâ T¨ng ThiÕu L©m tu luyÖn ®¹t ®Õn tuyÖt kü bİ truyÒn ThiÕu L©m	¿ÕÊÖ	§· khãa		9	2	1	4	0					
Hé Ph¸p La H¸n_§Êu Khİ Thñ	0	0	4229	50	0	0	300	0	245;490	210;420	1	90	94022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	PhÇn th­ëng cho ®Ö tö Vâ T¨ng ThiÕu L©m tu luyÖn ®¹t ®Õn tuyÖt kü bİ truyÒn ThiÕu L©m	¿ÕÊÖ	§· khãa		9	2	1	4	0					
Trang Kh¸ch Phi §ao	0	1	601	30	2	0	200	0	74;148		1	80	6001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_008a1.spr	\image\item\weapon\wea_dar_008a0.spr	§Ö tö §­êng M«n cÊp thÊp luyÖn ¸m khİ th­êng sö dông	°µÆ÷	§· khãa		4	2	1	6	0					
Trang Kh¸ch Phi §ao	0	1	602	30	2	0	200	0	74;148		1	80	6002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_008a1.spr	\image\item\weapon\wea_dar_008a0.spr	§Ö tö §­êng M«n cÊp thÊp luyÖn ¸m khİ th­êng sö dông	°µÆ÷	§· khãa		4	2	1	6	0					
Trang Kh¸ch Phi §ao	0	1	603	30	2	0	200	0	74;148		1	80	6003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_008a1.spr	\image\item\weapon\wea_dar_008a0.spr	§Ö tö §­êng M«n cÊp thÊp luyÖn ¸m khİ th­êng sö dông	°µÆ÷	§· khãa		4	2	1	6	0					
Trang Kh¸ch Phi §ao	0	1	604	30	2	0	200	0	74;148		1	80	6004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_008a1.spr	\image\item\weapon\wea_dar_008a0.spr	§Ö tö §­êng M«n cÊp thÊp luyÖn ¸m khİ th­êng sö dông	°µÆ÷	§· khãa		4	2	1	6	0					
Hé vÖ tiªu	0	1	611	40	5000	0	250	0	114;228		1	80	6011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_011a1.spr	\image\item\weapon\wea_dar_011a0.spr	Mét lo¹i ¸m khİ, ®Ö tö §­êng M«n cÊp cao lu«n mang bªn m×nh.	°µÆ÷	§· khãa		6	2	1	6	0					
Hé vÖ tiªu	0	1	612	40	5000	0	250	0	114;228		1	80	6012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_011a1.spr	\image\item\weapon\wea_dar_011a0.spr	Mét lo¹i ¸m khİ, ®Ö tö §­êng M«n cÊp cao lu«n mang bªn m×nh.	°µÆ÷	§· khãa		6	2	1	6	0					
Hé vÖ tiªu	0	1	613	40	5000	0	250	0	114;228		1	80	6013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_011a1.spr	\image\item\weapon\wea_dar_011a0.spr	Mét lo¹i ¸m khİ, ®Ö tö §­êng M«n cÊp cao lu«n mang bªn m×nh.	°µÆ÷	§· khãa		6	2	1	6	0					
Hé vÖ tiªu	0	1	614	40	5000	0	250	0	114;228		1	80	6014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_011a1.spr	\image\item\weapon\wea_dar_011a0.spr	Mét lo¹i ¸m khİ, ®Ö tö §­êng M«n cÊp cao lu«n mang bªn m×nh.	°µÆ÷	§· khãa		6	2	1	6	0					
Bİ ®éc Ch©m	0	1	621	50	15000	0	300	0	145;290		1	80	6021	76	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0					
Bİ ®éc Ch©m	0	1	622	50	15000	0	300	0	145;290		1	80	6022	76	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0					
Bİ ®éc Ch©m	0	1	623	50	15000	0	300	0	145;290		1	80	6023	76	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0					
Bİ ®éc Ch©m	0	1	624	50	15000	0	300	0	145;290		1	80	6024	76	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0					
Bİ ®éc Ch©m	0	1	6219	50	0	0	300	0	145;290		1	80	96021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa		9	2	1	6	0					
Bİ ®éc Ch©m	0	1	6229	50	0	0	300	0	145;290		1	80	96022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa		9	2	1	6	0					
Bİ ®éc Ch©m	0	1	6239	50	0	0	300	0	145;290		1	80	96023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa		9	2	1	6	0					
Bİ ®éc Ch©m	0	1	6249	50	0	0	300	0	145;290		1	80	96024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_014a1.spr	\image\item\weapon\wea_dar_014a0.spr	§Ö tö §­êng M«n dïng lµm trang søc, bªn trong cã tÈm kŞch ®éc.	°µÆ÷	§· khãa		9	2	1	6	0					
Thanh T©m Tè KiÕm	0	2	801	30	2	0	200	0	78;156	142;284	1	86	8001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_008a1.spr	\image\item\weapon\wea_swd_008a0.spr	§Ö tö cÊp thÊp Nga My phËt gia luyÖn c«ng th­êng sö dông.	³¤½£4a	§· khãa		4	2	1	8	0					
Thanh T©m Tè KiÕm	0	2	802	30	2	0	200	0	78;156	142;284	1	86	8002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_008a1.spr	\image\item\weapon\wea_swd_008a0.spr	§Ö tö cÊp thÊp Nga My phËt gia luyÖn c«ng th­êng sö dông.	³¤½£4a	§· khãa		4	2	1	8	0					
ThÓ Vò Khinh KiÕm	0	2	811	40	5000	0	250	0	130;260	232;464	1	86	8011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_011a1.spr	\image\item\weapon\wea_swd_011a0.spr	Trang bŞ cña ®Ö tö cÊp cao Nga My phËt gia	³¤½£5b	§· khãa		6	2	1	8	0					
ThÓ Vò Khinh KiÕm	0	2	812	40	5000	0	250	0	130;260	232;464	1	86	8012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_011a1.spr	\image\item\weapon\wea_swd_011a0.spr	Trang bŞ cña ®Ö tö cÊp cao Nga My phËt gia	³¤½£5b	§· khãa		6	2	1	8	0					
Tö Tróc Sø Ph¸p V©n KiÕm	0	2	821	50	15000	0	300	0	160;320	280;560	1	86	8021	76	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	§Ö tö Nga My phËt gia th­êng sö dông	³¤½£7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	8	0					
Tö Tróc Sø Ph¸p V©n KiÕm	0	2	822	50	15000	0	300	0	160;320	280;560	1	86	8022	76	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	§Ö tö Nga My phËt gia th­êng sö dông	³¤½£7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	8	0					
Tö Tróc Sø Ph¸p V©n KiÕm	0	2	8219	50	0	0	300	0	160;320	280;560	1	86	98021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	§Ö tö Nga My phËt gia th­êng sö dông	³¤½£7a	§· khãa		9	2	1	8	0					
Tö Tróc Sø Ph¸p V©n KiÕm	0	2	8229	50	0	0	300	0	160;320	280;560	1	86	98022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	§Ö tö Nga My phËt gia th­êng sö dông	³¤½£7a	§· khãa		9	2	1	8	0					
T­ Khóc Tè CÇm	0	10	901	30	2	0	200	1	87;175	105;209	1	90	9001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_008a1.spr	\image\item\weapon\wea_qin_008a0.spr	§Ö tö cÊp thÊp Nga My tôc gia khi luyÖn khóc phæ, ©m s¾c hßa quyÖn uyÓn chuyÓn.	ÇÙ4a	§· khãa		4	2	1	9	0					
T­ Khóc Tè CÇm	0	10	902	30	2	0	200	1	87;175	105;209	1	90	9002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_008a1.spr	\image\item\weapon\wea_qin_008a0.spr	§Ö tö cÊp thÊp Nga My tôc gia khi luyÖn khóc phæ, ©m s¾c hßa quyÖn uyÓn chuyÓn.	ÇÙ4a	§· khãa		4	2	1	9	0					
Ph¹m ¢m CÇm	0	10	911	40	5000	0	250	1	143;287	169;337	1	90	9011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_011a1.spr	\image\item\weapon\wea_qin_011a0.spr	§Ö tö cÊp cao Nga My chän n¬i Yªn tÜnh ®Ó luyÖn, tiÕng ®µn cã thÓ tan ®i sÇu muén.	ÇÙ5b	§· khãa		6	2	1	9	0					
Ph¹m ¢m CÇm	0	10	912	40	5000	0	250	1	143;287	169;337	1	90	9012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_011a1.spr	\image\item\weapon\wea_qin_011a0.spr	§Ö tö cÊp cao Nga My chän n¬i Yªn tÜnh ®Ó luyÖn, tiÕng ®µn cã thÓ tan ®i sÇu muén.	ÇÙ5b	§· khãa		6	2	1	9	0					
H¶i NguyÖt Sø Ph¸p ¢m CÇm	0	10	921	50	15000	0	300	1	190;380	210;420	1	90	9021	76	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_014a1.spr	\image\item\weapon\wea_qin_014a0.spr	Vò khİ cña Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö	ÇÙ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	9	0					
H¶i NguyÖt Sø Ph¸p ¢m CÇm	0	10	922	50	15000	0	300	1	190;380	210;420	1	90	9022	76	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_014a1.spr	\image\item\weapon\wea_qin_014a0.spr	Vò khİ cña Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö	ÇÙ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	9	0					
H¶i NguyÖt Sø Ph¸p ¢m CÇm	0	10	9219	50	0	0	300	1	190;380	210;420	1	90	99021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_014a1.spr	\image\item\weapon\wea_qin_014a0.spr	Vò khİ cña Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö	ÇÙ7a	§· khãa		9	2	1	9	0					
H¶i NguyÖt Sø Ph¸p ¢m CÇm	0	10	9229	50	0	0	300	1	190;380	210;420	1	90	99022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_014a1.spr	\image\item\weapon\wea_qin_014a0.spr	Vò khİ cña Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö	ÇÙ7a	§· khãa		9	2	1	9	0					
B¸t sø	0	0	1101	30	2	0	200	0	122;244	101;201	1	90	11001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_008a1.spr	\image\item\weapon\wea_han_008a0.spr	§Ö tö cÊp thÊp C¸i Bang TÜnh y mang theo khi khÊt thùc.	¿ÕÊÖ	§· khãa		4	2	1	11	0					
B¸t sø	0	0	1102	30	2	0	200	0	122;244	101;201	1	90	11002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_008a1.spr	\image\item\weapon\wea_han_008a0.spr	§Ö tö cÊp thÊp C¸i Bang TÜnh y mang theo khi khÊt thùc.	¿ÕÊÖ	§· khãa		4	2	1	11	0					
B¸t sø	0	0	1103	30	2	0	200	0	122;244	101;201	1	90	11003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_008a1.spr	\image\item\weapon\wea_han_008a0.spr	§Ö tö cÊp thÊp C¸i Bang TÜnh y mang theo khi khÊt thùc.	¿ÕÊÖ	§· khãa		4	2	1	11	0					
B¸t sø	0	0	1104	30	2	0	200	0	122;244	101;201	1	90	11004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_008a1.spr	\image\item\weapon\wea_han_008a0.spr	§Ö tö cÊp thÊp C¸i Bang TÜnh y mang theo khi khÊt thùc.	¿ÕÊÖ	§· khãa		4	2	1	11	0					
Trõ Gian QuyÒn	0	0	1111	40	5000	0	250	0	202;404	171;341	1	90	11011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_011a1.spr	\image\item\weapon\wea_han_011a0.spr	§Ö tö cÊp cao C¸i Bang TÜnh y chuyªn dïng ®Ó trõ gian diÖt ¸c.	¿ÕÊÖ	§· khãa		6	2	1	11	0					
Trõ Gian QuyÒn	0	0	1112	40	5000	0	250	0	202;404	171;341	1	90	11012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_011a1.spr	\image\item\weapon\wea_han_011a0.spr	§Ö tö cÊp cao C¸i Bang TÜnh y chuyªn dïng ®Ó trõ gian diÖt ¸c.	¿ÕÊÖ	§· khãa		6	2	1	11	0					
Trõ Gian QuyÒn	0	0	1113	40	5000	0	250	0	202;404	171;341	1	90	11013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_011a1.spr	\image\item\weapon\wea_han_011a0.spr	§Ö tö cÊp cao C¸i Bang TÜnh y chuyªn dïng ®Ó trõ gian diÖt ¸c.	¿ÕÊÖ	§· khãa		6	2	1	11	0					
Trõ Gian QuyÒn	0	0	1114	40	5000	0	250	0	202;404	171;341	1	90	11014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_011a1.spr	\image\item\weapon\wea_han_011a0.spr	§Ö tö cÊp cao C¸i Bang TÜnh y chuyªn dïng ®Ó trõ gian diÖt ¸c.	¿ÕÊÖ	§· khãa		6	2	1	11	0					
Tø H¶i Y phôc	0	0	1121	50	15000	0	300	0	245;490	210;420	1	90	11021	76	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	Trang phôc cña ®Ö tö Tinh Y C¸i Bang khi khÊt thùc.	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
Tø H¶i Y phôc	0	0	1122	50	15000	0	300	0	245;490	210;420	1	90	11022	76	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	Trang phôc cña ®Ö tö Tinh Y C¸i Bang khi khÊt thùc.	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
Tø H¶i Y phôc	0	0	1123	50	15000	0	300	0	245;490	210;420	1	90	11023	76	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	Trang phôc cña ®Ö tö Tinh Y C¸i Bang khi khÊt thùc.	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
Tø H¶i Y phôc	0	0	1124	50	15000	0	300	0	245;490	210;420	1	90	11024	76	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	Trang phôc cña ®Ö tö Tinh Y C¸i Bang khi khÊt thùc.	¿ÕÊÖ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0					
