Tªn ®¹o cô	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	D­îc hiÖu lµ thay ®æi hay xÕp chång lªn	Cã ph¶i PK d­îc	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	Thêi gian lµm l¹nh	ID d­îc hiÖu
D­¬ng Ch©u Håi phï	1	5	7	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn D­¬ng Ch©u.		Phï ChØ		1				
NhŞ Long S¬n gi¸p m·	1	5	21	0	25	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn NhŞ Long S¬n.		Phï ChØ		2				
KiÕm M«n Quan gi¸p m·	1	5	22	0	25	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn KiÕm M«n Quan		Phï ChØ		2				
C« §¶o gi¸p m·	1	5	23	0	25	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn C« §¶o.		Phï ChØ		2				
Miªu LÜnh gi¸p m·	1	5	24	0	25	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn Miªu LÜnh		Phï ChØ		2				
D­îc V­¬ng Cèc gi¸p m·	1	5	25	0	25	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn D­îc V­¬ng		Phï ChØ		2				
C¬m chiªn trøng	1	1	14	0	90	999	state_add_strength	70	state_life_per10s_anytime	400	state_add_strength	70	state_life_per10s_anytime	400	300	1	-1	\image\item\usable\food_016a1.spr	\image\item\usable\food_016a0.spr	Dïng g¹o th­îng h¹ng xµo víi trøng, mïi vŞ hÊp dÉn.		Thùc vËt		5				104
B¸nh Bét vµng	1	1	15	0	120	999	state_add_strength	90	state_life_per10s_anytime	600	state_add_strength	90	state_life_per10s_anytime	600	300	1	-1	\image\item\usable\food_017a1.spr	\image\item\usable\food_017a0.spr	Sö dông nhanh chãng phôc håi søc kháe.		Thùc vËt		6				104
L¹c Mai	1	1	16	0	90	999	state_add_energy	70	state_neili_per10s_anytime	5	state_add_energy	70	state_neili_per10s_anytime	5	300	1	-1	\image\item\usable\food_015a1.spr	\image\item\usable\food_015a0.spr	D­îc hßa quyÖn tõ nhiÒu lo¹i hoa mai, h×nh nh­ s¸o tróc.		Thùc vËt		5				109
Minh NguyÖt D¹	1	1	17	0	120	999	state_add_energy	90	state_neili_per10s_anytime	6	state_add_energy	90	state_neili_per10s_anytime	6	300	1	-1	\image\item\usable\food_014a1.spr	\image\item\usable\food_014a0.spr	Mãn ¨n trong truyÒn thuyÕt, c¸ch chÕ biÕn vÉn cßn lµ ®iÒu bİ mËt!		Thùc vËt		6				109
Méc Lan Xu©n	1	1	18	0	90	999	state_add_vitality	60	state_life_max_point_add	800	state_add_vitality	60	state_life_max_point_add	800	300	1	-1	\image\item\usable\food_018a1.spr	\image\item\usable\food_018a0.spr	T­¬ng truyÒn ®Ó nhí Méc Lan, nh©n gian ®· lÊy tªn c« ®Æt tªn cho mét lo¹i r­¬u.		Thùc vËt		5				110
T©y B¾c Väng	1	1	19	0	120	999	state_add_vitality	80	state_life_max_point_add	1000	state_add_vitality	80	state_life_max_point_add	1000	300	1	-1	\image\item\usable\food_019a1.spr	\image\item\usable\food_019a0.spr	Tªn cña mét lo¹i r­îu phİa b¾c Tr­êng Thµnh.		Thùc vËt		6				110
Tèng anh hïng lÖnh (s¬)	1	5	26	0	25	999											-1	\image\item\other\holi_022a1.spr	\image\item\other\holi_022a0.spr	Méc bµi kh¾c '§¹i Tèng Anh Hïng LÖnh', sau khi sö dông cã thÓ ®Õn chç b¸o danh phe Tèng - Ngäc M«n Quan		Phï ChØ		1				
Tèng anh hïng lÖnh (cao)	1	5	27	0	25	999											-1	\image\item\other\holi_022a1.spr	\image\item\other\holi_022a0.spr	Méc bµi kh¾c '§¹i Tèng Anh Hïng,  LÖnh', sau khi sö dông cã thÓ ®Õn chç b¸o danh phe Tèng - L­¬ng Th¶o, Th«n TrÊn, Ph¸o §µi vµ Nh¹n M«n Quan		Phï ChØ		1				
Liªu anh hïng lÖnh (s¬)	1	5	28	0	25	999											-1	\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	Méc bµi kh¾c '§¹i Liªu Anh Hïng LÖnh', sau khi sö dông cã thÓ ®Õn chç b¸o danh phe Liªu - Ngäc M«n Quan		Phï ChØ		1				
 Liªu anh hïng lÖnh (cao)	1	5	29	0	25	999											-1	\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	Méc bµi kh¾c '§¹i Liªu Anh Hïng,  LÖnh', sau khi sö dông cã thÓ ®Õn chç b¸o danh phe Liªu - L­¬ng Th¶o, Th«n TrÊn, Ph¸o §µi vµ Nh¹n M«n Quan		Phï ChØ		1				
Phong Thi phï	1	6	1	0	0	999											-1	\image\item\other\secr_036a1.spr	\image\item\other\secr_036a0.spr	Tµ chó ®éc m«n cña Ngò §éc dïng khèng chÕ vµ ®iÒu khiÓn tö thi bÊt cø lóc nµo.		Phï ChØ	\script\item\fengshifu.lua	1				
B¸nh Trung Thu Liªn Dung	1	0	36	0	0	10	state_life_restore_per8f	300	state_neili_restore_per8f	6					30	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 300 ®iÓm sinh lùc vµ 6 ®iÓm néi lùc. Duy tr× trong 30 gi©y.					0	1		113
B¸nh Trung Thu Nh©n T¸o	1	0	37	0	0	10	state_life_restore_per8f	600							30	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 6 ®iÓm sinh lùc. Duy tr× trong 30 gi©y.					0	1		114
B¸nh Trung Thu Nh©n §Ëu	1	0	38	0	0	10	state_neili_restore_per8f	12							30	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 12 ®iÓm néi lùc, duy tr× trong 30 gi©y					0	1		115
Kim Mai Hµn H­¬ng NguyÖt	1	0	39	0	0	10	state_life_restore_per8f	100	state_neili_restore_per8f	2					1800	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 100 ®iÓm sinh lùc vµ 2 ®iÓm néi lùc, duy tr× trong 30 phót.					0	1		116
Kú H­¬ng Ngò Nh©n NguyÖt	1	0	40	0	0	10	state_life_restore_per8f	5000	state_neili_restore_per8f	100					10	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 5000 ®iÓm sinh lùc vµ 100 ®iÓm néi lùc, duy tr× trong 10 gi©y.					0	1		117
B¸nh Trung Thu Liªn Dung Giang S¬n	1	0	231	0	0	10	state_life_restore_per8f	300	state_neili_restore_per8f	6					30	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 300 ®iÓm sinh lùc vµ 6 ®iÓm néi lùc. Duy tr× trong 30 gi©y.					0	1		113
B¸nh Trung Thu Nh©n T¸o Giang S¬n	1	0	232	0	0	10	state_life_restore_per8f	600							30	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 6 ®iÓm sinh lùc. Duy tr× trong 30 gi©y.					0	1		114
B¸nh Trung Thu Nh©n §Ëu Giang S¬n	1	0	233	0	0	10	state_neili_restore_per8f	12							30	1		\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Mçi nöa gi©y phôc håi 12 ®iÓm néi lùc, duy tr× trong 30 gi©y					0	1		115
Hé t©m ®¬n	1	0	41	0	1	999	state_life_per_per8f	300							20		1	\image\item\usable\»¤ĞÄµ¤a1.spr	\image\item\usable\»¤ĞÄµ¤a0.spr	§¬n d­îc phæ th«ng, nhanh chãng phôc håi sinh lùc, nh©n sÜ giang hå th­êng dïng		Lo¹i PK		4			3240	199
Tôc mÖnh ®¬n	1	0	42	0	1	999	state_life_per_per8f	500							10		1	\image\item\usable\ĞøÃüµ¤a1.spr	\image\item\usable\ĞøÃüµ¤a0.spr	Cao thñ th­êng dïng, nhanh chãng håi phôc sinh lùc		Lo¹i PK		5			3240	199
Thiªn V­¬ng b¶o mÖnh ®¬n	1	0	43	0	1	999	state_life_per_per8f	1000							5		1	\image\item\usable\ÌìÍõ±£Ãüµ¤a1.spr	\image\item\usable\ÌìÍõ±£Ãüµ¤a0.spr	Th¸nh d­îc hiÕm cã, nhanh chãng håi phôc sinh lùc		Lo¹i PK		6			3240	199
Hµnh khİ t¸n	1	0	44	0	1	999	state_neili_per_per8f	300							20		1	\image\item\usable\ĞĞÆøÉ¢a1.spr	\image\item\usable\ĞĞÆøÉ¢a0.spr	§¬n d­îc phæ th«ng, nhanh chãng phôc håi néi lùc		Lo¹i PK		4			1080	198
V« th­êng t¸n	1	0	45	0	1	999	state_neili_per_per8f	500							10		1	\image\item\usable\ÎŞ³£É¢a1.spr	\image\item\usable\ÎŞ³£É¢a0.spr	Danh d­îc c¸c m«n c¸c ph¸i ®Òu cã, cã thÓ nhanh chãng phôc håi néi lùc		Lo¹i PK		5			1080	198
Cöu chuyÓn hïng xµ hoµn	1	0	46	0	1	999	state_neili_per_per8f	1000							5		1	\image\item\usable\¾Å×ªĞÜÉßÍèa1.spr	\image\item\usable\¾Å×ªĞÜÉßÍèa0.spr	ChÕ tõ gan cña cña Thiªn S¬n Linh Xµ vµ Tr­êng B¹ch T«ng Hïng, phôc håi toµn bé néi lùc		Lo¹i PK		6			1080	198
Tö Hoa ®¬n	1	0	47	0	1	999	state_life_per_per8f	300	state_neili_per_per8f	300					20		1	\image\item\usable\×Ï»ªµ¤a1.spr	\image\item\usable\×Ï»ªµ¤a0.spr	Danh d­îc c¸c m«n c¸c ph¸i ®Òu cã, cã thÓ nhanh chãng phôc håi sinh lùc vµ néi lùc		Lo¹i PK		4			3240	197
B¸ch Hoa Linh §¬n	1	0	48	0	1	999	state_life_per_per8f	500	state_neili_per_per8f	500					10		1	\image\item\usable\°Ù»¨Áéµ¤a1.spr	\image\item\usable\°Ù»¨Áéµ¤a0.spr	Danh d­îc cña Thóy Yªn m«n, cã thÓ nhanh chãng phôc håi sinh lùc vµ néi lùc		Lo¹i PK		5			3240	197
Diªu Tr× Tiªn §¬n	1	0	49	0	1	999	state_life_per_per8f	1000	state_neili_per_per8f	1000					5		1	\image\item\usable\Ñş³ØÏÉµ¤a1.spr	\image\item\usable\Ñş³ØÏÉµ¤a0.spr	ThÇn d­îc trªn C«n L«n s¬n, cã thÓ håi phôc toµn bé sinh lùc vµ néi lùc		Lo¹i PK		6			3240	197
Chİnh Nguyªn Håi T©m ®¬n	1	0	50	0	1	999	imme_clear_skill_interval	7			imme_clear_skill_interval	7				1	-1	\image\item\usable\ÕıÔª»ØĞÄµ¤a1.spr	\image\item\usable\ÕıÔª»ØĞÄµ¤a0.spr	Kú d­îc cña Nga My ph¸i, gióp tİch tô ch©n khİ nhanh chãng ®Ó thi triÓn vâ c«ng		Lo¹i PK		6	1	1	3240	189
Lôc D­¬ng Chİnh Khİ ®¬n	1	0	51	0	1	999	state_interval_ignore	100			state_interval_ignore	100			2	1	-1	\image\item\usable\ÁùÑôÕıÆøµ¤a1.spr	\image\item\usable\ÁùÑôÕıÆøµ¤a0.spr	Kú d­îc cña Vâ §ang ph¸i, gióp thi triÓn ThuÇn D­¬ng Ch©n Khİ nhanh chãng		Lo¹i PK		6	1	1	3240	188
Ngäc Hoµnh Hµnh V©n ®¬n	1	0	52	0	1	999	state_skill_use_range_add	100			state_skill_use_range_add	100			10	1	-1	\image\item\usable\ÓñºâĞĞÔÆµ¤a1.spr	\image\item\usable\ÓñºâĞĞÔÆµ¤a0.spr	Kú d­îc cña C«n L«n ph¸i, gióp thi triÓn vâ c«ng trªn ph¹m vi réng		Lo¹i PK		6	1	1	3240	188
Ngò ChuyÓn Linh B¶o ®¬n	1	0	53	0	1	999	state_cast_technique_rate	5			state_cast_technique_rate	5			10	1	-1	\image\item\usable\Îå×ªÁé±¦µ¤a1.spr	\image\item\usable\Îå×ªÁé±¦µ¤a0.spr	Kú d­îc cña ThiÕu L©m, gióp vâ c«ng thi triÓn t¨ng thªm uy lùc		Lo¹i PK		6	1	1	3240	188
ThÇn Gi¸p ®¬n	1	0	54	0	1	999	state_physical_parmor_poi_add	100			state_physical_parmor_poi_add	100			5	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	Kú d­îc cña §­êng M«n, lµm kinh m¹ch toµn th©n ®«ng l¹i, kh«ng chŞu tæn th­¬ng ngo¹i c«ng		Lo¹i PK		6	1	1	3240	187
ThÇn Tr¸o ®¬n	1	0	55	0	1	999	state_magic_parmor_poi_add	100			state_magic_parmor_poi_add	100			5	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	Kú d­îc cña Ngò §éc gi¸p, ph¸t ra luång khİ hé thÓ, gióp b¶n th©n kh«ng bŞ tæn th­¬ng néi c«ng		Lo¹i PK		6	1	1	3240	187
Th«ng C©n t¸n	1	0	56	0	1	999	state_attack_burst_dec_immune	100			state_attack_burst_dec_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ t¸c ®éng lµm chËm		Lo¹i PK		5	1	1	3240	186
Ho¹t HuyÕt t¸n	1	0	57	0	1	999	state_slow_immune	100			state_slow_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ gi¶m tèc ®é		Lo¹i PK		5	1	1	3240	186
S­íng L¹c t¸n	1	0	58	0	1	999	state_paralysis_immune	100			state_paralysis_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ tª liÖt		Lo¹i PK		5	1	1	3240	186
NhiÖm §èc t¸n	1	0	59	0	1	999	state_block_immune	100			state_block_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ phong chiªu		Lo¹i PK		5	1	1	3240	186
Cù Th¹ch t¸n	1	0	60	0	1	999	state_knockback_immune	100			state_knockback_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ ®Èy lui		Lo¹i PK		5	1	1	3240	186
Kim Cang t¸n	1	0	61	0	1	999	state_knockdown_immune	100			state_knockdown_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ ®¸nh ng·		Lo¹i PK		5	1	1	3240	186
§Ò ThÇn t¸n	1	0	62	0	1	999	state_sleep_immune	100			state_sleep_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ h«n mª		Lo¹i PK		5	1	1	3240	186
Ng­ng Hån t¸n	1	0	63	0	1	999	state_confusion_immune	100			state_confusion_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ hçn lo¹n		Lo¹i PK		5	1	1	3240	186
ThÇn Phong t¸n	1	0	64	0	1	999	state_fetter_immune	100			state_fetter_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ ®Şnh th©n		Lo¹i PK		5	1	1	3240	186
V« óy t¸n	1	0	65	0	1	999	state_vertigo_immune	100			state_vertigo_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ cho¸ng		Lo¹i PK		5	1	1	3240	186
§Şnh T©m t¸n	1	0	66	0	1	999	state_delude_immune	100			state_delude_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ mª hoÆc		Lo¹i PK		5	1	1	3240	186
Linh Lung Ch©n Nguyªn ®¬n	1	0	67	0	1	999	state_immune	100			state_immune	100			10	1	-1	\image\item\usable\ÁáççÕæÔªµ¤a1.spr	\image\item\usable\ÁáççÕæÔªµ¤a0.spr	Th¸nh d­îc cã thÓ gióp b¶n th©n kh«ng bŞ bÊt kú tr¹ng th¸i dŞ th­êng		Lo¹i PK		7	1	1	5400	186
ThÊt X¶o Linh ®¬n	1	0	68	0	1	999	state_dispear				state_dispear				3	1	-1	\image\item\usable\ÆßÇÉÁéµ¤a1.spr	\image\item\usable\ÆßÇÉÁéµ¤a0.spr	Th¸nh d­îc cã thÓ gióp b¶n th©n kh«ng chŞu bÊt kú ¶nh h­ëng cña thÕ giíi bªn ngoµi trong thêi gian ng¾n		Lo¹i PK		7	1	1	5400	180
V« Cùc Tiªn ®¬n	1	0	69	0	1	999	state_dispear				state_dispear				6	1	-1	\image\item\usable\ÎŞ¼«ÏÉµ¤a1.spr	\image\item\usable\ÎŞ¼«ÏÉµ¤a0.spr	ThÇn d­îc cã thÓ khiÕn b¶n th©n siªu tho¸t trÇn thÕ kh«ng chŞu ¶nh h­ëng cña thÕ giíi bªn ngoµi		Lo¹i PK		8	1	1	5400	180
Vâ §ang Håi phï	1	5	8	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Sö dông lËp tøc chuyÓn ®Õn Vâ §ang		Phï ChØ		1				
C¸i Bang Håi phï	1	5	9	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Sö dông lËp tøc chuyÓn ®Õn C¸i Bang		Phï ChØ		1				
ThiÕu L©m Håi phï	1	5	10	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Sö dông lËp tøc chuyÓn ®Õn ThiÕu L©m		Phï ChØ		1				
Nga My Håi phï	1	5	11	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Sö dông lËp tøc chuyÓn ®Õn Nga My		Phï ChØ		1				
§­êng M«n Håi phï	1	5	12	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Sö dông lËp tøc chuyÓn ®Õn §­êng M«n		Phï ChØ		1				
Ngò §éc Håi phï	1	5	13	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Sö dông lËp tøc chuyÓn ®Õn Ngò §éc		Phï ChØ		1				
D­¬ng M«n Håi phï	1	5	14	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Sö dông lËp tøc chuyÓn ®Õn Thiªn Ba D­¬ng Phñ		Phï ChØ		1				
Gi¸p M·_H¹nh Hoa th«n	1	5	30	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn H¹nh Hoa th«n		Phï ChØ		2				
Gi¸p M·_TÇng 1 Ngò §éc mª cung	1	5	31	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Ngò §éc mª cung		Phï ChØ		2				
Gi¸p M·_TÇng 2 Ngò §éc mª cung	1	5	32	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Ngò §éc mª cung		Phï ChØ		2				
Gi¸p M·_D· Tr­ L©m	1	5	33	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn D· Tr­ L©m		Phï ChØ		2				
Gi¸p M·_Long TuyÒn Th«n	1	5	34	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Long TuyÒn Th«n		Phï ChØ		2				
Gi¸p M·_Mé TuyÕt S¬n Trang	1	5	35	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Mé TuyÕt S¬n Trang		Phï ChØ		2				
Gi¸p M·_¤ M«ng Bé	1	5	36	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn ¤ M«ng Bé		Phï ChØ		2				
Gi¸p M·_V©n Méng Tr¹ch	1	5	37	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn V©n Méng Tr¹ch		Phï ChØ		2				
Gi¸p M·_Linh B¶o S¬n	1	5	38	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Linh B¶o S¬n		Phï ChØ		2				
Gi¸p M·_Giang T©n Th«n	1	5	39	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Giang T©n Th«n		Phï ChØ		2				
Gi¸p M·_Vò L¨ng S¬n	1	5	40	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Vò L¨ng S¬n		Phï ChØ		2				
Gi¸p M·_Ch©n nói Vò L¨ng	1	5	41	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Ch©n nói Vò L¨ng		Phï ChØ		2				
Gi¸p M·_Thanh Khª ®éng	1	5	42	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Thanh Khª ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 MËt thÊt ThiÕu L©m	1	5	43	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 ThiÕu L©m mËt thÊt		Phï ChØ		2				
Gi¸p M·_TÇng 2 MËt thÊt ThiÕu L©m	1	5	44	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 ThiÕu L©m mËt thÊt		Phï ChØ		2				
Gi¸p M·_T­êng V©n ®éng	1	5	45	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn T­êng V©n ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 D­¬ng Trung ®éng	1	5	46	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 D­¬ng Trung ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 D­¬ng Trung ®éng	1	5	47	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 D­¬ng Trung ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 3 D­¬ng Trung ®éng	1	5	48	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 3 D­¬ng Trung ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 B¨ng T©m ®éng	1	5	49	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 B¨ng T©m ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 B¨ng T©m ®éng	1	5	50	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 B¨ng T©m ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 Tróc Ty ®éng	1	5	51	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 Tróc Ty ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 Tróc Ty ®éng	1	5	52	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 Tróc Ty ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 1 ThÊt Tinh ®éng	1	5	53	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 1 ThÊt Tinh ®éng		Phï ChØ		2				
Gi¸p M·_TÇng 2 ThÊt Tinh ®éng	1	5	54	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn tÇng 2 ThÊt Tinh ®éng		Phï ChØ		2				
Gi¸p M·_Nh¹n M«n Quan	1	5	55	0	1	999											-1	\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a0.spr	Sö dông lËp tøc chuyÓn ®Õn Nh¹n M«n Quan		Phï ChØ		2				
