Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tam Tiªn sñi c¶o	2	1	251	1	1	100												\image\item\other\holi_006a1.spr	\image\item\other\holi_006a0.spr	Mïi vŞ th¬m ngon, cùc kú hÊp dÉn. Sö dông t¨ng 1000 ®iÓm kinh nghiÖm		§· khãa	\script\online\´º½Ú»î¶¯\item\shuijiao_sanxian.lua	1	1	1							
Sñi c¶o may m¾n	2	1	252	1	1	100												\image\item\other\holi_006a1.spr	\image\item\other\holi_006a0.spr	Mïi vŞ th¬m ngon, cùc kú hÊp dÉn. Cã thÓ t×m chñ tiÖm ®Ó ®æi MËt tŞch.		§· khãa	\script\online\´º½Ú»î¶¯\item\shuijiao_xingyun.lua	1	1	1							
Sñi c¶o Thñy Tinh	2	1	253	1	1	5												\image\item\other\holi_006a1.spr	\image\item\other\holi_006a0.spr	Mïi vŞ th¬m ngon, cùc kú hÊp dÉn. Cã thÓ ®Õn gÆp chñ tiÖm ®Ó ®æi §«ng Ph­¬ng Long Ch©u (Trang søc cùc phÈm)		§· khãa	\script\online\´º½Ú»î¶¯\item\shuijiao_shuijing.lua	1	1	1							
Bét m×	2	1	255	1	1	999												\image\item\happy\flour_a1.spr	\image\item\happy\flour_a0.spr	Nguyªn liÖu lµm sñi c¶o		Sinh ho¹t		1									
ThËp Tam H­¬ng	2	1	256	1	1	999												\image\item\usable\heal_027a1.spr	\image\item\usable\heal_027a0.spr	H­¬ng vŞ ®Æc tr­ng, nguyªn liÖu kh«ng thÓ thiÕu trong mãn sñi c¶o.		Sinh ho¹t		1									
ThŞt heo	2	1	257	1	1	999												\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	Ngon, bæ, rÎ ®­îc nhiÒu ng­êi ­a thİch		Sinh ho¹t		1									
ThŞt bß	2	1	258	1	1	999												\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	Mãn ¨n kho¸i khÈu cña nhiÒu ng­êi.		Sinh ho¹t		1									
T«m	2	1	259	1	1	999												\image\item\happy\shrimp_a1.spr	\image\item\happy\shrimp_a0.spr	Mãn ¨n kho¸i khÈu cña nhiÒu ng­êi.		Sinh ho¹t		1									
Cñ c¶i	2	1	260	1	1	999												\image\item\happy\radish_a1.spr	\image\item\happy\radish_a0.spr	Nguyªn liÖu thùc phÈm th«ng th­êng		Sinh ho¹t		1									
C¶i chua	2	1	261	1	1	999												\image\item\happy\sourgreen_a1.spr	\image\item\happy\sourgreen_a0.spr	Mãn ¨n truyÒn thèng cña ng­êi ph­¬ng B¾c		Sinh ho¹t		1									
C¶i tr¾ng	2	1	262	1	1	999												\image\item\happy\cabbage_a1.spr	\image\item\happy\cabbage_a0.spr	Mãn ¨n ®­îc nhiÒu ng­êi ­a thİch		Sinh ho¹t		1									
Rau cÇn	2	1	263	1	1	999												\image\item\happy\celery_a1.spr	\image\item\happy\celery_a0.spr	Mïi vŞ ®Æc tr­ng, ®­îc nhiÒu ng­êi yªu thİch.		Sinh ho¹t		1									
Rau hÑ	2	1	264	1	1	999												\image\item\happy\leek_a1.spr	\image\item\happy\leek_a0.spr	Mïi vŞ ®Æc tr­ng, ®­îc nhiÒu ng­êi yªu thİch.		Sinh ho¹t		1									
Bao l× x×	2	1	265	1	1	5												\image\item\other\holi_008a1.spr	\image\item\other\holi_008a0.spr	Bªn trong cã chøa phÈm vËt.		§· khãa	\script\online\´º½Ú»î¶¯\item\libao.lua	1	1	0							
B¸nh tæ h¹t sen	2	1	266	1	1	99												\image\item\other\holi_013a1.spr	\image\item\other\holi_013a0.spr	Mïi vŞ th¬m ngon, Sö dông ®­îc 5 ®iÓm kinh nghiÖm.		§· khãa	\script\online\´º½Ú»î¶¯\item\niangao_lrbg.lua	1	1	0							
B¸nh tæ nh©n thŞt	2	1	267	1	1	99												\image\item\other\holi_013a1.spr	\image\item\other\holi_013a0.spr	Mïi vŞ th¬m ngon, Sö dông ®­îc 300 ®iÓm tu luyÖn.		§· khãa	\script\online\´º½Ú»î¶¯\item\niangao_zrbt.lua	1	1	0							
B¸nh tæ nh©n t¸o	2	1	268	1	1	99												\image\item\other\holi_013a1.spr	\image\item\other\holi_013a0.spr	Mïi vŞ th¬m ngon, Sö dông nhËn ®­îc mét giê nh©n ®«i ®iÓm kinh nghiÖm.		§· khãa	\script\online\´º½Ú»î¶¯\item\niangao_hzjp.lua	1	1	0							
B¸nh tæ thËp cÈm	2	1	269	1	1	99												\image\item\other\holi_013a1.spr	\image\item\other\holi_013a0.spr	Mïi vŞ th¬m ngon, Sö dông t¨ng 20% tèc ®é di chuyÓn trong 10 phót.		§· khãa	\script\online\´º½Ú»î¶¯\item\niangao_sjjx.lua	1	1	0							
B¹ch C©u Hoµn	2	1	270	1	1	1												\image\item\other\baijua1.spr	\image\item\other\baijua0.spr	Dïng luyÖn c«ng lóc nghØ ng¬i.<enter><color=Gold>(ñy th¸c rêi m¹ng 8 giê)		ThÇn bİ	\script\item\baiju.lua	1	0	1							
Näc ong ®éc	2	1	271	1	8	999												\image\item\usable\heal_017a1.spr	\image\item\usable\heal_017a0.spr	§éc tÔ trİch tõ Ong ®éc		Thu thËp		1	0	0							
X¸c gi¸p trïng	2	1	272	1	8	999												\image\item\other\coll_120a1.spr	\image\item\other\coll_120a0.spr	X¸c gi¸p trïng sau khi chÕt		Thu thËp		1	0	0							
Ch©n rÕt	2	1	273	1	8	999												\image\item\other\coll_116a1.spr	\image\item\other\coll_116a0.spr	Vßi rÕt nhá dïng bµo chÕ thuèc		Thu thËp		1	0	0							
C¸nh muçi	2	1	274	1	10	999												\image\item\other\coll_018a1.spr	\image\item\other\coll_018a0.spr	C¸nh muçi bŞ g·y		Thu thËp		1	0	0							
DŞch nhÖn ®éc	2	1	275	1	10	999												\image\item\usable\heal_017a1.spr	\image\item\usable\heal_017a0.spr	Ch©n nhÖn ®éc.		Thu thËp		1	0	0							
MÇm Thùc nh©n th¶o	2	1	276	1	12	999												\image\item\usable\medi_008a1.spr	\image\item\usable\medi_008a0.spr	Lo¹i c©y cá kŞch ®éc.		Thu thËp		1	0	0							
§u«i §éc tİch	2	1	277	1	12	999												\image\item\other\coll_112a1.spr	\image\item\other\coll_112a0.spr	§u«i §éc tİch, chøa ®éc tè rÊt cao.		Thu thËp		1	0	0							
Ch×a khãa ®ång	2	1	278	1	13	999												\image\item\other\coll_128a1.spr	\image\item\other\coll_128a0.spr	Ch×a khãa lÊy ®­îc trªn ng­êi Xi Háa gi¸o ®å.		Thu thËp		1	0	0							
Ch×a khãa s¾t	2	1	279	1	13	999												\image\item\other\coll_128a1.spr	\image\item\other\coll_128a0.spr	Ch×a khãa lÊy ®­îc trªn ng­êi Xi Háa gi¸o ®å.		Thu thËp		1	0	0							
Ch×a khãa b¹c	2	1	280	1	13	999												\image\item\other\coll_128a1.spr	\image\item\other\coll_128a0.spr	Ch×a khãa lÊy ®­îc trªn ng­êi Xi Háa gi¸o ®å.		Thu thËp		1	0	0							
D©y tua	2	1	281	1	13	999												\image\item\other\coll_113a1.spr	\image\item\other\coll_113a0.spr	VËt phÈm ®ao kh¸ch Xi Háa lµm rít l¹i.		Thu thËp		1	0	0							
Xi Háa MËt Tİn	2	1	282	1	13	999												\image\item\other\coll_111a1.spr	\image\item\other\coll_111a0.spr	MËt th­ sø gi¶ Xi Háa lu«n ®em theo bªn m×nh.		Thu thËp		1	0	0							
Hé Ph¸p LÖnh Bµi	2	1	284	1	13	999												\image\item\other\skius_002a1.spr	\image\item\other\skius_002a0.spr	LÖnh bµi Hé Ph¸p Xi Háa gi¸o lu«n ®em bªn m×nh.		Thu thËp		1	0	0							
HuyÕt Nha vò	2	1	285	1	13	999												\image\item\other\coll_109a1.spr	\image\item\other\coll_109a0.spr	L«ng ¸c lµ r¬i ra.		Thu thËp		1	0	0							
HuyÕt bao	2	1	286	1	14	999												\image\item\other\quest_011a1.spr	\image\item\other\quest_011a0.spr	VÕt m¸u vÉn cßn ®äng l¹i trªn thi thÓ.		Thu thËp		1	0	0							
Mao Ng­u b×	2	1	287	1	14	999												\image\item\other\skin_003a1.spr	\image\item\other\skin_003a0.spr	Thuéc da cña tr©u lïn T©y T¹ng.		Thu thËp		1	0	0							
Tr­êng ®ao	2	1	288	1	15	999												\image\item\other\coll_144a1.spr	\image\item\other\coll_144a0.spr	Vò khİ cña Miªu LÜnh Hé Ên		Thu thËp		1	0	0							
Kh¨n tay	2	1	289	1	15	999												\image\item\other\coll_131a1.spr	\image\item\other\coll_131a0.spr	ThiÕu n÷ Miªu LÜnh th­êng dïng		Thu thËp		1	0	0							
Tranh ch÷	2	1	290	1	15	999												\image\item\other\coll_137a1.spr	\image\item\other\coll_137a0.spr	VËt bÊt ly th©n cña Miªu LÜnh Thæ Ty		Thu thËp		1	0	0							
Vò nhung	2	1	291	1	15	999												\image\item\other\orsilk_001a1.spr	\image\item\other\orsilk_001a0.spr	L«ng cña B¹ch §Çu §iªu		Thu thËp		1	0	0							
Da hæ	2	1	292	1	15	999												\image\item\other\orskin_005a1.spr	\image\item\other\orskin_005a0.spr	Da hæ		Thu thËp		1	0	0							
To¸i cèt	2	1	293	1	17	999												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	M¶nh x­¬ng ng­êi chÕt		Thu thËp		1	0	0							
¢m d­¬ng kİnh	2	1	294	1	17	999												\image\item\other\coll_071a1.spr	\image\item\other\coll_071a0.spr	Trang bŞ cña thÇy bãi		Thu thËp		1	0	0							
§¹i Cang ®ao	2	1	295	1	18	999												\image\item\other\coll_075a1.spr	\image\item\other\coll_075a0.spr	VËt bÊt ly th©n cña Xi Háa ®µn chñ		Thu thËp		1	0	0							
R¨ng Tinh Tinh	2	1	296	1	18	999												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	R¨ng cña ®¹i tinh tinh		Thu thËp		1	0	0							
Da voi	2	1	297	1	18	999												\image\item\other\skin_004a1.spr	\image\item\other\skin_004a0.spr	Cã thÓ may ¸o chèng rĞt		Thu thËp		1	0	0							
Thuèc næ	2	1	298	1	18	999												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	Nguyªn liÖu cña ph¶n qu©n ®· bŞ Èm ­ít.		Thu thËp		1	0	0							
Tµn kiÕm	2	1	299	1	18	999												\image\item\other\coll_030a1.spr	\image\item\other\coll_030a0.spr	Vò khİ cña ph¶n qu©n		Thu thËp		1	0	0							
Tö ®µn	2	1	300	1	18	999												\image\item\other\coll_083a1.spr	\image\item\other\coll_083a0.spr	Nguyªn liÖu cña ph¶n qu©n		Thu thËp		1	0	0							
Tµn th­¬ng	2	1	301	1	18	999												\image\item\other\coll_020a1.spr	\image\item\other\coll_020a0.spr	Vò khİ cña ph¶n qu©n		Thu thËp		1	0	0							
Phï Ên	2	1	302	1	20	999												\image\item\other\skius_012a1.spr	\image\item\other\skius_012a0.spr	Do c¸c t¨ng nh©n ®Ó l¹i.		Thu thËp		1	0	0							
G¨ng tay	2	1	303	1	20	999												\image\item\other\coll_074a1.spr	\image\item\other\coll_074a0.spr	Cã thÓ chèng l¹nh		Thu thËp		1	0	0							
PhËt Kinh	2	1	304	1	20	999												\image\item\other\coll_107a1.spr	\image\item\other\coll_107a0.spr	C¸c t¨ng nh©n lu«n ®em theo bªn ng­êi		Thu thËp		1	0	0							
§µ La tr­îng	2	1	305	1	20	999												\image\item\other\coll_142a1.spr	\image\item\other\coll_142a0.spr	ThiÒn tr­îng cña §µ La ni t¨ng.		Thu thËp		1	0	0							
Hép trang ®iÓm	2	1	306	1	8	999												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	C¸c thiÕu n÷ th­êng hay ®Ó mü phÈm		Thu thËp		1	0	0							
HuyÕt L©n	2	1	307	1	8	999												\image\item\other\coll_122a1.spr	\image\item\other\coll_122a0.spr	V¶y L©n mµu m¸u t­¬i.		Thu thËp		1	0	0							
Hñ Cèt	2	1	308	1	8	999												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	X­¬ng cèt cña Hñ cèt ®éc nh©n.		Thu thËp		1	0	0							
TiÓu §éc Nang	2	1	309	1	9	999												\image\item\other\coll_072a1.spr	\image\item\other\coll_072a0.spr	Tói ®éc cã chøa l­îng ®éc nhá.		Thu thËp		1	0	0							
Hoa Ban Hå §iÖp	2	1	310	1	9	999												\image\item\other\secr_025a1.spr	\image\item\other\secr_025a0.spr	B­¬m b­ím b¾t ®­îc.		Thu thËp		1	0	0							
Minh Háa Phï	2	1	311	1	9	999												\image\item\other\fu_001a1.spr	\image\item\other\fu_001a0.spr	VËt phÈm cña Ngôc Háa Nh©n th­êng dïng.		Thu thËp		1	0	0							
§¹i ThiÕt Ba	2	1	312	1	10	999												\image\item\other\coll_073a1.spr	\image\item\other\coll_073a0.spr	Vò khİ Xi Háa Gi¸o		Thu thËp		1	0	0							
Xi Háa Ên	2	1	313	1	10	999												\image\item\other\coll_079a1.spr	\image\item\other\coll_079a0.spr	Ên tİn cña Xi Háa gi¸o, t­îng tr­ng cho quyÒn lùc.		Thu thËp		1	0	0							
B¹ch L©n	2	1	314	1	10	999												\image\item\other\ormeta_011a1.spr	\image\item\other\ormeta_011a0.spr	Mét m¶nh x­¬ng ng­êi		Thu thËp		1	0	0							
L­¬ng kh«	2	1	315	1	10	999												\image\item\usable\edib_007a1.spr	\image\item\usable\edib_007a0.spr	Kh«ng thÓ sö dông.		Thu thËp		1	0	0							
To¸i th¹ch	2	1	316	1	10	999												\image\item\other\coll_009a1.spr	\image\item\other\coll_009a0.spr	Tinh th¹ch vì		Thu thËp		1	0	0							
Th« bè Tr­êng Bµo	2	1	317	1	10	999												\image\item\other\quest_049a1.spr	\image\item\other\quest_049a0.spr	Trang phôc cña c¸c vâ phu.		Thu thËp		1	0	0							
Cån	2	1	318	1	10	999												\image\item\other\coll_012a1.spr	\image\item\other\coll_012a0.spr	VËt tïy th©n cña Ngôc Háa cuång nh©n.		Thu thËp		1	0	0							
C¸nh Phông Hoµng	2	1	319	1	11	999												\image\item\other\quest_056a1.spr	\image\item\other\quest_056a0.spr	L«ng Phông Hoµng		Thu thËp		1	0	0							
Xi Háa Tr­êng Ên	2	1	320	1	11	999												\image\item\other\secr_030a1.spr	\image\item\other\secr_030a0.spr	Phï Ên cña ®¹i tr­ëng l·o Xi Háa		Thu thËp		1	0	0							
Xi Háa Th¸nh Ên	2	1	321	1	11	999												\image\item\other\secr_035a1.spr	\image\item\other\secr_035a0.spr	Phï Ên cña Xi Háa gi¸o Tæng ®µn chñ.		Thu thËp		1	0	0							
C¸nh A Tu La	2	1	322	1	11	999												\image\item\other\quest_056a1.spr	\image\item\other\quest_056a0.spr	C¸nh cña A Tu La		Thu thËp		1	0	0							
§Çu l©u Ma H« La Ca	2	1	323	1	12	999												\image\item\other\secr_017a1.spr	\image\item\other\secr_017a0.spr	§Çu l©u Ma H« La Ca		Thu thËp		1	0	0							
§oµn Thõa ¢n thñ th­	2	1	324	1	12	999												\image\item\other\secr_013a1.spr	\image\item\other\secr_013a0.spr	Sæ tay tïy th©n cña §oµn Thõa ¢n.		Thu thËp		1	0	0							
NhÊt D­¬ng ChØ Tµn ch­¬ng 1	2	1	325	1	12	999												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	M¶nh tµn ch­¬ng NhÊt D­¬ng ChØ, vâ l©m tuyÖt häc trong truyÒn thuyÕt, ch÷ ®· mê kh«ng cßn nh×n thÊy râ.		Thu thËp		1	0	0							
Bİch Ngäc giíi chØ	2	1	326	1	13	999												\image\item\other\quest_014a1.spr	\image\item\other\quest_014a0.spr	Lo¹i nhÉn th­êng		Thu thËp		1	0	0							
D©y thĞp	2	1	327	1	13	999												\image\item\other\coll_089a1.spr	\image\item\other\coll_089a0.spr	VËt tïy th©n cña Cµn §¹t bµ.		Thu thËp		1	0	0							
Trµng h¹t	2	1	328	1	14	999												\image\item\other\skius_004a1.spr	\image\item\other\skius_004a0.spr	C¸c vŞ cao t¨ng th­êng sö dông.		Thu thËp		1	0	0							
§Çu l©u KhÈn Na La	2	1	329	1	14	999												\image\item\other\secr_017a1.spr	\image\item\other\secr_017a0.spr	§Çu l©u KhÈn Na La		Thu thËp		1	0	0							
§¹i Tu Viªn Kİnh	2	1	330	1	14	999												\image\item\other\coll_082a1.spr	\image\item\other\coll_082a0.spr	Khİ vËt cña Long T­îng ph¸p t¨ng.		Thu thËp		1	0	0							
NhÊt D­¬ng ChØ Tµn ch­¬ng 2	2	1	331	1	15	999												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	M¶nh tµn ch­¬ng NhÊt D­¬ng ChØ, vâ l©m tuyÖt häc trong truyÒn thuyÕt, ch÷ ®· mê kh«ng cßn nh×n thÊy râ.		Thu thËp		1	0	0							
Chi Ma H­¬ng	2	1	332	1	1	5												\image\item\other\holi_002a1.spr	\image\item\other\holi_002a0.spr	H­¬ng vŞ ®Ëm ®µ ®Æc tr­ng kh«ng thÓ thiÕu trong ngµy tÕt Nguyªn Tiªu, mang ı nghÜa cña ngµy sum häp ®oµn viªn.		§· khãa	\script\online\qingrenyuanxiao\item\yuanxiao_item.lua	1	2	1							
T×nh Nh©n kÕt	2	1	333	1	1	1												\image\item\other\skius_001a1.spr	\image\item\other\skius_001a0.spr	Cã thÓ biÕt ®­îc duyªn sè cña m×nh.		§· khãa	\script\online\qingrenyuanxiao\item\qingrenjie_item.lua	1	2	1							
ThiÖp t×nh nh©n	2	1	334	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc c©u  I Love You cña ng­êi Êy!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard1_item.lua	1	2	1							
ThiÖp t×nh nh©n	2	1	335	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc c©u  I Love You cña ng­êi Êy!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard2_item.lua	1	2	1							
ThiÖp t×nh nh©n	2	1	336	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc c©u *I Love You* cña ng­êi Êy!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard3_item.lua	1	2	1							
ThiÖp t×nh nh©n	2	1	337	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc lêi chóc *LÔ t×nh nh©n vui vÎ*!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard4_item.lua	1	2	1							
ThiÖp t×nh nh©n	2	1	338	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc lêi chóc *LÔ t×nh nh©n vui vÎ*!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard5_item.lua	1	2	1							
ThiÖp t×nh nh©n	2	1	339	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc lêi chóc *LÔ t×nh nh©n vui vÎ*!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard6_item.lua	1	2	1							
ThiÖp xu©n	2	1	340	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc c©u chóc *N¨m míi vui vÎ*!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard7_item.lua	1	2	1							
ThiÖp xu©n	2	1	341	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	NhËn ®­îc c©u chóc *N¨m míi ph¸t tµi*!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard8_item.lua	1	2	1							
ThiÖp xu©n	2	1	342	1	1	5												\image\item\shengdan\chris_card_01a1.spr	\image\item\shengdan\chris_card_01a0.spr	Nh©n ®­îc c©u chóc *An khang thŞnh v­îng*!		ThÇn bİ	\script\online\qingrenyuanxiao\item\festivacard9_item.lua	1	2	1							
ThÇn N«ng §¬n	2	1	343	1	1	1												\image\item\other\shennong_a1.spr	\image\item\other\shennong_a0.spr	<enter><color=Gold>T¹i khu vùc thu thËp, cã thÓ ñy th¸c rêi m¹ng 8 giê vÉn thu thËp		ThÇn bİ	\script\item\shennongdan.lua	1	3	1							
§éc Long Sa	2	1	344	1	1	999												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	Lo¹i hång sa nhá nh­ng Èn chøa ®Çy khİ ®éc, cã thÓ khiÕn ®éc trïng mÉu sinh ra nhiÒu s©u ®éc ®éc hÖ.		ThÇn bİ		1	2	1							
HuyÕt H¶i §­êng	2	1	345	1	1	999												\image\item\usable\medi_012a1.spr	\image\item\usable\medi_012a0.spr	H­¬ng th¬m cã thÓ g©y chÕt ng­êi, cã thÓ khiÕn ®éc trïng mÉu sinh ra s©u ®éc huyÕt hÖ.		ThÇn bİ		1	2	1							
Khæng T­íc §¶m	2	1	346	1	1	999												\image\item\usable\medi_006a1.spr	\image\item\usable\medi_006a0.spr	Gan cña dŞ ®iÓu Khæng t­íc Nam Quèc, cùc kú ®éc.		ThÇn bİ		1	2	1							
Thùc Tinh Th¶o	2	1	347	1	1	999												\image\item\usable\medi_003a1.spr	\image\item\usable\medi_003a0.spr	Mäc trong rõng s©u d­íi cæ thô ngµn n¨m, cã thÓ khiÕn ®éc trïng mÉu sinh ra s©u ®éc ma hÖ.		ThÇn bİ		1	2	1							
Diªm Ba	2	1	348	1	1	999												\image\item\usable\heal_027a1.spr	\image\item\usable\heal_027a0.spr	Thøc ¨n cña ®éc trïng mÉu, cã thÓ kĞo dµi tuæi thä.		ThÇn bİ		1	2	1							
Tö Thanh Cao	2	1	349	1	1	999												\image\item\usable\heal_008a1.spr	\image\item\usable\heal_008a0.spr	D­îc cao ®iÒu chÕ d­îc liÖu h¶o h¹ng, ®­îc thªm vµo c¸c lo¹i cá ®éc cho ®éc trïng		ThÇn bİ		1	2	1							
Long Diªn T¸n	2	1	350	1	1	999												\image\item\usable\heal_031a1.spr	\image\item\usable\heal_031a0.spr	Cã thÓ biÕt ®­îc duyªn sè cña m×nh		ThÇn bİ		1	2	1							
ThÊt Th¸i Linh Chi	2	1	351	1	1	999												\image\item\usable\medi_007a1.spr	\image\item\usable\medi_007a0.spr	Chøa nhiÒu lo¹i tiªn th¶o tinh khİ, lµ thøc ¨n th­îng h¹ng gióp kĞo dµi tuæi thä ®éc trïng mÉu.		ThÇn bİ		1	2	1							
Thiªn Tiªn Ngäc Lé	2	1	352	1	1	999												\image\item\usable\heal_024a1.spr	\image\item\usable\heal_024a0.spr	Cæ thô hµng ngh×n n¨m hÊp thu tinh hoa cña trêi ®Êt míi cã thÓ t¹o thµnh, chØ dïng cho ®éc trïng mÉu.		ThÇn bİ		1	2	1							
V¹n §éc §¬n	2	1	353	1	1	999												\image\item\usable\heal_028a1.spr	\image\item\usable\heal_028a0.spr	Tiªn §¬n dïng tinh tóy cña v¹n ®éc chÕ thµnh, ng­êi tróng ph¶i khã toµn m¹ng sèng.		ThÇn bİ		1	2	1							
V¹n NhÉn §å Phæ	2	1	354	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o V¹n NhÉn hé thñ.		ThÇn bİ	\script\item\lifeskill\wanren.lua	8	0	0							
Háa Tinh §å Phæ	2	1	355	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o Háa Tinh b¶o kiÕm.		ThÇn bİ	\script\item\lifeskill\huojing.lua	8	0	0							
LiÖt DiÖm §å Phæ	2	1	356	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o LiÖt DiÖm thÇn c«n.		ThÇn bİ	\script\item\lifeskill\lieyan.lua	8	0	0							
M·n Thiªn Hoan Vò §å Phæ	2	1	357	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o ¸m khİ thÇn kú M·n Thiªn Hoa Vò.		ThÇn bİ	\script\item\lifeskill\mantian.lua	8	0	0							
Cæ §İnh §å Phæ	2	1	358	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o Cæ §İnh b¶o ®ao.		ThÇn bİ	\script\item\lifeskill\guding.lua	8	0	0							
Hi Nh©n CÇm Phæ	2	1	359	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o Hi Nh©n CÇm.		ThÇn bİ	\script\item\lifeskill\xiren.lua	8	0	0							
ThÇn Hµnh §å Phæ	2	1	360	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o ThÇn bót ThÇn Hµnh.		ThÇn bİ	\script\item\lifeskill\shenxing.lua	8	0	0							
A La H¸n Tr­îng §å Phæ	2	1	361	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o A La H¸n Tr­îng .		ThÇn bİ	\script\item\lifeskill\aluohan.lua	8	0	0							
§¹i Hµo L«i Th­¬ng §å Phæ	2	1	362	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o §¹i Hµo L«i Th­¬ng .		ThÇn bİ	\script\item\lifeskill\dahaolei.lua	8	0	0							
§å phæ ThÇn cung	2	1	363	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o ThÇn cung.		ThÇn bİ	\script\item\lifeskill\wangshi.lua	8	0	0							
M·nh Hæ §å Phæ	2	1	364	5	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp c¸ch chÕ t¹o M·nh Hæ Tr¶o.		ThÇn bİ	\script\item\lifeskill\menghu.lua	8	0	0							
