T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Biªn hiÖu bé trang bŞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
T©n n­¬ng lÔ phôc	0	109	207	10	0	0	10						6	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp n÷ gîi c¶m, chØ cã thÓ dïng trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	208	10	0	0	10						6	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp KiÒu n÷, chØ cã thÓ dïng trong thêi gian ng¾n	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	209	10	0	0	10						7	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam tiªu chuÈn, chØ cã thÓ dïng trong thêi gian ng¾n	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	210	10	0	0	10						7	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam kh«i ng«, chØ cã thÓ dïng trong thêi gian ng¾n	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	211	10	0	0	10						7	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp n÷ gîi c¶m, chØ cã thÓ dïng trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	212	10	0	0	10						7	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp KiÒu n÷, chØ cã thÓ dïng trong thêi gian ng¾n	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	213	10	0	0	10						1	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	214	10	0	0	10						1	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	215	10	0	0	10						1	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	216	10	0	0	10						1	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	217	10	0	0	10						2	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	218	10	0	0	10						2	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	219	10	0	0	10						2	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	220	10	0	0	10						2	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	221	10	0	0	10						3	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	222	10	0	0	10						3	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	223	10	0	0	10						3	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	224	10	0	0	10						3	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	225	10	0	0	10						4	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	226	10	0	0	10						4	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	227	10	0	0	10						4	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	228	10	0	0	10						4	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	229	10	0	0	10						5	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	230	10	0	0	10						5	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	231	10	0	0	10						5	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	232	10	0	0	10						5	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	233	10	0	0	10						6	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	234	10	0	0	10						6	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	235	10	0	0	10						6	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	236	10	0	0	10						6	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	237	10	0	0	10						7	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	238	10	0	0	10						7	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	239	10	0	0	10						7	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	240	10	0	0	10						7	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	538	10	0	0	10						8	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	539	10	0	0	10						8	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	540	10	0	0	10						8	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	541	10	0	0	10						8	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	550	10	0	0	10						8	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam tiªu chuÈn, chØ cã thÓ dïng trong thêi gian ng¾n	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	551	10	0	0	10						8	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam kh«i ng«, chØ cã thÓ dïng trong thêi gian ng¾n	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	552	10	0	0	10						8	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp n÷ gîi c¶m, chØ cã thÓ dïng trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	553	10	0	0	10						8	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp KiÒu n÷, chØ cã thÓ dïng trong thêi gian ng¾n	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	542	10	0	0	10						9	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	543	10	0	0	10						9	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	544	10	0	0	10						9	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	545	10	0	0	10						9	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	554	10	0	0	10						9	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam tiªu chuÈn, chØ cã thÓ dïng trong thêi gian ng¾n	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	555	10	0	0	10						9	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam kh«i ng«, chØ cã thÓ dïng trong thêi gian ng¾n	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	556	10	0	0	10						9	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp n÷ gîi c¶m, chØ cã thÓ dïng trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	557	10	0	0	10						9	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp KiÒu n÷, chØ cã thÓ dïng trong thêi gian ng¾n	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	546	10	0	0	10						10	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	547	10	0	0	10						10	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	Trang phôc cña t©n lang khi cö hµnh h«n lÔ	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	548	10	0	0	10						10	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi khi cö hµnh h«n lÔ	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	549	10	0	0	10						10	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	Trang phôc cña t©n n­¬ng khi cöhµnh h«n lÔ	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	558	10	0	0	10						10	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam tiªu chuÈn, chØ cã thÓ dïng trong thêi gian ng¾n	±ê×¼ÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n lang lÔ phôc	0	109	559	10	0	0	10						10	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°a0.spr	T©n lang mÆc trong lÔ c­íi, thİch hîp nam kh«i ng«, chØ cã thÓ dïng trong thêi gian ng¾n	¿ıÎàÄĞ½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	560	10	0	0	10						10	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp n÷ gîi c¶m, chØ cã thÓ dïng trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
T©n n­¬ng lÔ phôc	0	109	561	10	0	0	10						10	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨ÒÂ·ş£©a0.spr	T©n n­ong mÆc trong lÔ c­íi, thİch hîp KiÒu n÷, chØ cã thÓ dïng trong thêi gian ng¾n	½¿Ğ¡Å®½á»é×°01	Th­îng y	\script\item\wedding_cloth_body.lua	1	2	1		0					
Chñ h«n lÔ phôc	0	109	241	10	0	0	10						11	11	1	1		\image\item\cloth\Ö¤»éÍâ×°£¨ÄĞ£©a1.spr	\image\item\cloth\Ö¤»éÍâ×°£¨ÄĞ£©a0.spr	Trang phôc cña ng­êi chñ tr× h«n lÔ	±ê×¼ÄĞ½á»é×°02	Th­îng y	\script\item\wedding_compere_cloth.lua	1	2	1		0					
Chñ h«n lÔ phôc	0	109	242	10	0	0	10						11	11	1	2		\image\item\cloth\Ö¤»éÍâ×°£¨ÄĞ£©a1.spr	\image\item\cloth\Ö¤»éÍâ×°£¨ÄĞ£©a0.spr	Trang phôc cña ng­êi chñ tr× h«n lÔ	¿ıÎàÄĞ½á»é×°02	Th­îng y	\script\item\wedding_compere_cloth.lua	1	2	1		0					
Chñ h«n lÔ phôc	0	109	243	10	0	0	10						11	11	2	3		\image\item\cloth\Ö¤»éÍâ×°£¨Å®£©a1.spr	\image\item\cloth\Ö¤»éÍâ×°£¨Å®£©a0.spr	Trang phôc cña ng­êi chñ tr× h«n lÔ	ĞÔ¸ĞÅ®½á»é×°02	Th­îng y	\script\item\wedding_compere_cloth.lua	1	2	1		0					
Chñ h«n lÔ phôc	0	109	244	10	0	0	10						11	11	2	4		\image\item\cloth\Ö¤»éÍâ×°£¨Å®£©a1.spr	\image\item\cloth\Ö¤»éÍâ×°£¨Å®£©a0.spr	Trang phôc cña ng­êi chñ tr× h«n lÔ	½¿Ğ¡Å®½á»é×°02	Th­îng y	\script\item\wedding_compere_cloth.lua	1	2	1		0					
Thu Thi bµo	0	109	255	10	0	0	10							1	1	1		\image\item\cloth\ÇïÊ«ÅÛa1.spr	\image\item\cloth\ÇïÊ«ÅÛa0.spr	Nh©n gian nh­ ı, tø quı c¸t t­êng	±ê×¼ÄĞÍâ×°ÇûÌå16	§· khãa		1	2	1		0					
§«ng Hµn gi¸p	0	109	256	10	0	0	10							1	1	2		\image\item\cloth\¶¬º®¼×a1.spr	\image\item\cloth\¶¬º®¼×a0.spr	Nh©n gian nh­ ı, tø quı c¸t t­êng	¿ıÎàÄĞÍâ×°ÇûÌå16	§· khãa		1	2	1		0					
H¹ Vinh trang	0	109	257	10	0	0	10							1	2	3		\image\item\cloth\ÏÄÈÙ×°a1.spr	\image\item\cloth\ÏÄÈÙ×°a0.spr	Nh©n gian nh­ ı, tø quı c¸t t­êng	ĞÔ¸ĞÅ®Íâ×°ÇûÌå16	§· khãa		1	2	1		0					
