Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Bİ kiÕp ©m d­¬ng	Sè thø tù bİ kiÕp	Thªm c«ng kİch ngo¹i c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch néi c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch phô trî: 	TÇng thø 	Thªm phßng ngù phô trî:	TÇng thø	Sè phô lôc mËt tŞch	TÇng thø 	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	PhÈm chÊt mËt tŞch kü n¨ng	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Bèi c¶nh
Thiªn ¢m TrÊn Hån Phæ	0	112	106	1	10	0	102	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_073a1.spr	\image\item\book\book_073a0.spr	MËt tŞch Nga My, khiÕn ®èi ph­¬ng kh«ng thÓ thi triÓn vâ c«ng.		MËt tŞch		85	30				¢m gi¶, ı d·, kª khang u phÉn, phï qu¶ng l¨ng nhi tù tİch; chung kú kı ngé, tÊu l­u thuû dÜ tuyÖt cÇm. Nhiªn ca chung luËt ®é, thiÒu ©m tËn mü, nh· tÊu kh¾c hµi, th­îng kh¶ dô thiªn gi¸ng thÇn, h¹ kh¶ di phong biÕn tôc. Hån gi¶, thÇn d·, t©m dôc an tÜnh, lù dôc th©m viÔn . T©m tÜnh t¾c thÇn s¸ch sinh, lù viÔn t¾c kÕ m­u thµnh. Ma niÖm hçn sinh, m¹ch vÆn t©m lo¹n . Doanh doanh trµng trµng h×nh nh­ nga ®Çu d¹ chóc, h«n h«n ng¹c ng¹c v­u chi ®¨ng xóc hiÓu song, tri v·ng nhi bÊt tri ph¶n, tri tiÕn bÊt tri tho¸i. Thiªu nhiªn chi gian c«ng lùc tËn thÊt, thÇn chİ toµn h«n. NhËt mé ®å viÔn, v« bÊt ®¶o hµnh, thÓ m¹o nh­ th©n c­ ¸ch ®Şa, m«ng m«ng muéi muéi, vong thiªn ®Şa chi c­¬ng, ©m d­¬ng chi phßng, doanh doanh nhiªn xu©n nh­îc du hån, bÊt tri së chung, bÊt tri së v·ng.
Gi¸ng Long Ch­ëng Phæ	0	112	107	1	10	0	113	0	0	0	0	0	0	0	0	0	0	\image\item\book\½µÁúÃØ¼®a1.spr	\image\item\book\½µÁúÃØ¼®a0.spr	MËt tŞch C¸i Bang Gi¸ng Long ThËp B¸t Ch­ëng, thiªn h¹ v« song.		MËt tŞch		85	30				Gi¸ng Long ThËp B¸t Ch­ëng lµ tuyÖt häc C¸i Bang, chiªu thøc ®Òu cã nguån gèc tõ \'DŞch Kinh\', khİ m¹ch th«ng suèt ¾t néi lùc v« biªn, uy lùc v« song.
§¶ CÈu TrËn Phæ	0	112	108	1	10	0	124	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_075a1.spr	\image\item\book\book_075a0.spr	MËt tŞch C¸i Bang, t¹o nªn trËn thÕ lÊy yÕu th¾ng m¹nh.		MËt tŞch		85	30				Trong thiªn h¹, trËn ph¸p ®ßi hái sù ®ång lßng chung søc nhÊt chİnh lµ tuyÖt häc cña C¸i Bang - §¶ CÈu c«n trËn. Tuy tªn gäi th« tôc nh­ng §¶ CÈu c«n trËn uy lùc v« biªn, l­u chuyÓn tinh vi, chiªu thuËt huyÒn ¶o, tËn dông së tr­êng biÕn hãa kh«n l­êng cña §¶ CÈu c«n ph¸p, dïng sè l­îng ®«ng ®¶o ®Ó bï ®¾p khiÕm khuyÕt cho nhau.
Th¸i Cùc KiÕm Kinh	0	112	109	1	10	0	146	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_076a1.spr	\image\item\book\book_076a0.spr	MËt tŞch Vâ §ang, lÊy nhu kh¾c c­¬ng, c«ng thñ toµn diÖn.		MËt tŞch		85	30				Thiªn h¹ v¹n vËt sinh vu h÷u, h÷u sinh vu v«, hçn ®én v« cùc, hËu h÷u th¸i cùc. Th¸i cùc sinh L­ìng Nghi, L­ìng Nghi sinh Tø T­îng, Tø T­îng sinh B¸t Qu¸i, Th¸i Cùc ®éng nhi ¢m D­¬ng sinh, ¢m D­¬ng sinh nhi Ngò Hµnh thñy, Ngò Hµnh thñy nhi v¹n sù xuÊt. Vâ §ang dÜ ®¹o lËp ph¸i, dÜ Th¸i Cùc tù nhiªn nhi tu, tham nhËt nguyÖt l­u chuyÓn chi kú, ®o¹t thiªn ®Şa t¹o hãa chi c«ng. Vâ §ang tu hµnh gi¶, dÜ kiÕm ngù khİ, dÜ tu néi c«ng nhi tham thiªn ®Şa tù nhiªn.V« Th­îng Th¸i Cùc KiÕm ®¾c thÇn ®¾c kh«ng, tµng thiªn ®Şa nhËt nguyÖt chi thÇn, vËn Tø T­îng B¸t Qu¸i chi kh«ng; dÜ giao th¸c hîp ng­ng vi chÊt, dÜ tuÇn hoµn huyÔn hãa vi khİ; chÊt viÕt thñy háa méc kim, ©m d­¬ng t­¬ng gian chi ®èi trÜ; khİ viÕt méc háa kim thñy, ©m d­¬ng t­¬ng ©n chi l­u hµnh. KiÕm vò khİ ®éng tø ph­¬ng, kiÕm ¶nh m¹n nh­îc l­u quang, së ®¸o chi xø nh­îc viªm phong chi cuång t¶o, ba cËp chi ®Şa nh­îc diÖm l«i chi oanh minh, nh­îc thiªn vò chi b¹o liÖt, uy b¸ch s¬n s¾c tù tang, thiªn ®Şa ®ª ngang.
Th¸i Cùc T©m Kinh	0	112	110	1	10	0	159	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_077a1.spr	\image\item\book\book_077a0.spr	MËt tŞch Vâ §ang, lÊy nhu kh¾c c­¬ng.		MËt tŞch		85	30				§¹i diÔn chi sæ ngò thËp, kú dông tø thËp h÷u cöu, h­ kú nhÊt, thiªn ®Şa dŞch vŞ, cµn kh«n n÷u chuyÕn, biÕn ho¸ thuû sinh. DÜ h÷u h×nh chi ph¸p, nhËp v« h×nh chi ph¸p, väng khø thÇn ®éng, ®­¬ng c¬ duyªn së chİ, tù héi xóc cËp thÓ néi v« h×nh uÈn khİ chi së, thÇn c¬ ph¸t ®éng, t¸i dÜ v« t©m chi ı ng÷ chi gi¸ chi, ch©n khİ n·i sinh. Vâ §ang ch©n khİ canh thŞ ho¸ ®¹o gia ®iÓn tŞch nhi xuÊt, th­îng thiÖn nh­îc thuû, dÜ nhu kh¾c c­¬ng, h×nh thÇn hîp nhÊt, dÜ ı ngù lùc, viªn chuyÓn qu¸n xuyÕn.
Cöu ¢m Ch©n Kinh	0	107	151	1	10	0												\image\item\book\book_064a1.spr	\image\item\book\book_064a0.spr	MËt tŞch do T¶o §Şa T¨ng s¸ng chÕ ra, oai lùc danh chÊn thiªn h¹		MËt tŞch		90	0				
Cöu D­¬ng Ch©n Kinh	0	107	152	1	10	0												\image\item\book\book_065a1.spr	\image\item\book\book_065a0.spr	MËt tŞch do cao Thñ Hoµng Th­êng s¸ng chÕ ra, thiªn h¹ v« song.		MËt tŞch		90	0				
Cöu KiÕm Ch©n Kinh	0	107	153	1	10	0												\image\item\book\book_066a1.spr	\image\item\book\book_066a0.spr	MËt tŞch cao thñ §éc C« KiÕm, t×m s¬ hë cña ®èi ph­¬ng mµ c«ng kİch.		MËt tŞch		90	0				
T©y S¬n MËt tŞch	0	107	154	1	10	0												\image\item\book\book_067a1.spr	\image\item\book\book_067a0.spr	Ghi l¹i tuyÖt häc häc vâ c«ng cña cao thñ T©y S¬n C­ SÜ		MËt tŞch		95	0				
Ngò Hµnh MËt tŞch	0	107	155	1	10	0	495	50;100	20;30	50;100	20;30	50;100	20;30	50;100	20;30	40	0	\image\item\book\book_086a1.spr	\image\item\book\book_086a0.spr	MËt tŞch thÊt truyÒn tõ l©u, gÇn ®©y xuÊt hiÖn l¹i trªn giang hå, nh­ng kh«ng cßn nguyªn vÑn, rÊt khã tu luyÖn		MËt tŞch		55	0				
Toµn Long Th­¬ng Phæ	0	112	111	1	10	0	732	0	0	0	0	0	0	0	0	0	0	\image\item\book\×êÁúÇ¹Æ×a1.spr	\image\item\book\×êÁúÇ¹Æ×a0.spr	D­¬ng M«n MËt tŞch trÊn ph¸i, Toµn Long Th­¬ng Ph¸p lµ ®Ønh cao th­¬ng thuËt chiÕn trËn		MËt tŞch		85	30				D­¬ng m«n Liªn Hoµn Toµn Long Th­¬ng, kú uy d·, thÇn long chi khİ, kú lùc d·, liªn hoµn chi thÕ.
B¸ V­¬ng TiÔn Phæ	0	112	112	1	10	0	745	0	0	0	0	0	0	0	0	0	0	\image\item\book\°ÔÍõ¼ıÆ×a1.spr	\image\item\book\°ÔÍõ¼ıÆ×a0.spr	D­¬ng M«n MËt tŞch trÊn ph¸i, rÊt khã chèng ®ì		MËt tŞch		85	30				Tİch b¸ v­¬ng hµo khİ c¸i thÕ, sÊt s¸t phong v©n, t­îng thiªn t¾c ®Şa, ho¸ nh©n dŞ ®¹i, s¸ng chÕ thiªn h¹, ®¼ng liÖt ch­ hÇu, t©n thuéc tø h¶i, thêi khu«ng ngò hå, dÜ uy dŞ b¹o nhi tranh thiªn h¹, dÜ nghÜa phong quèc nhi x­ng b¸ v­¬ng, kú hµng d· tËt, kú thÕ d· nhiÕp, kú lùc d· m·nh, kú së h­íng gi¶, giai phi mü d·. D­¬ng gia qu©n uy nhiÕp tø di, thÕ trÊn b¸t ph­¬ng, khu chiÕn trµng nh­îc b¸ v­¬ng chi b¹ch c©u ®Çu dôc, phi hång thÖ v©n.
V« Thiªn B¶o §iÓn	0	112	113	1	10	0	775	0	0	0	0	0	0	0	0	0	0	\image\item\book\ÎŞÌì±¦µäa1.spr	\image\item\book\ÎŞÌì±¦µäa0.spr	Ngò §éc MËt tŞch trÊn ph¸i, ®ao th­¬ng bÊt nhËp, uy lùc v« biªn		MËt tŞch		85	30				V« Thiªn Ma C«ng lµ lo¹i ®éc kh«ng chİ m¹ng, ®éc ph¸t vÒ ®ªm, hîp o¸n khİ ®Ó triÖu gäi V¹n niªn Thi V­¬ng.
V« ¶nh Kinh	0	112	114	1	10	0	774	0	0	0	0	0	0	0	0	0	0	\image\item\book\ÎŞÓ°¾­a1.spr	\image\item\book\ÎŞÓ°¾­a0.spr	Ngò §éc MËt tŞch trÊn ph¸i, v« ¶nh ma cæ biÕn hãa khã l­êng		MËt tŞch		85	30				V« ¶nh Ma Cæ uy lùc v« cïng, v« ph­¬ng chèng ®ì, ®­îc khèng chÕ b»ng m¸u.
B¸ch Th¶o mËt tŞch	0	107	156	1	10	0	496	50;100	20;30	50;100	20;30	50;100	20;30	50;100	20;30	40	0	\image\item\book\book_013a1.spr	\image\item\book\book_013a0.spr	Kú th­ nµy lµ t©m huyÕt c¶ ®êi cña T©y Vùc D­îc v­¬ng, ghi chĞp c«ng hiÖu cña b¸ch th¶o trªn thÕ gian, bæ sung v« cïng.		MËt tŞch		80	20				
MËt tŞch ngò hµnh toµn tËp	0	107	157	1	10	0	495	50;100	20;30	50;100	20;30	50;100	20;30	50;100	20;30	40	0	\image\item\book\book_086a1.spr	\image\item\book\book_086a0.spr	MËt tŞch thÊt truyÒn ®· l©u, ®­îc Thµnh Hµnh Ngò §¹o cuèi nhµ §­êng s¸ng lËp, sau nhiÒu söa ch÷a bæ sung cña c¸c cao thñ, ch¾c ch¾n sÏ luyÖn thµnh c«ng.		MËt tŞch		55	40				
L¨ng Ba Vi Bé toµn tËp	0	112	158	1	10	0	477	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_058a1.spr	\image\item\book\book_058a0.spr	MËt tŞch ghi chĞp vÒ tuyÖt häc L¨ng Ba Vi Bé: v¹n qu©n bña v©y vÉn thong dong d¹o b­íc, ®©y lµ vâ c«ng bİ truyÒn cña Tiªu Dao ph¸i, ¾t h¼n sÏ luyÖn thµnh c«ng.		MËt tŞch		60	40	1			 ”L¨ng Ba Vi Bé\' lµ tuyÖt häc th­îng thõa cña Tiªu Dao ph¸i, lÊy 64 quÎ ph­¬ng vŞ trong DŞch Kinh lµm gèc, h×nh thµnh 1 vßng trßn B¸t Qu¸i, biÕn hãa kh«n l­êng, ng­êi ngé tİnh kh«ng cao sÏ kh«ng tu luyÖn ®­îc. L¨ng Ba Vi Bé quy tô vò trô vËt v¹n vµo 1 ®iÓm, ngµn con suèi vÒ 1 mèi nh­ng ®éng t¸c vÉn nhanh nhÑn thanh tho¸t, nh­ ®ang l­ít ®i trªn mÆt n­íc. Bé ph¸p nµy m­în søc m¹nh Cµn Kh«n, ngù khİ ë tõng b­íc ®i, lu©n chuyÓn nhÊt qu¸n. Nh­ng nÕu gi÷a chõng gÆp trë ng¹i, kinh m¹ch sÏ rèi lo¹n, néi lùc vµ khİ tİch tô khiÕn toµn th©n tª liÖt, nguy hiÓm kh«n l­êng. Ph¶i hÕt søc thËn träng.
Tø Linh ChiÕn ı Phæ	0	107	159	1	10	0	967	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_101a1.spr	\image\item\book\book_101a0.spr	Vâ c«ng tø ®¹i n÷ hiÖp s¸ng t¹o nªn, lÊy ch©n khİ hé thÓ tÊn c«ng ®Şch ®ång thêi t¨ng nĞ tr¸nh		MËt tŞch		55	0;60				
Tø Linh Thiªn ı Phæ	0	107	160	1	10	0	968	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_102a1.spr	\image\item\book\book_102a0.spr	Vâ c«ng tø ®¹i n÷ hiÖp s¸ng t¹o nªn, lÊy ch©n khİ hé thÓ tÊn c«ng ®Şch ®ång thêi triÖt tiªu ¶nh h­ëng th©n ph¸p		MËt tŞch		55	0;60				
Tø Linh Tö ı Phæ	0	107	161	1	10	0	969	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_103a1.spr	\image\item\book\book_103a0.spr	Vâ c«ng tø ®¹i n÷ hiÖp s¸ng t¹o nªn, lÊy ch©n khİ hé thÓ tÊn c«ng ®Şch, hiÖu qu¶ rÊt l©u		MËt tŞch		55	0;60				
Tø Linh ChiÕn ı Phæ	0	107	162	1	10	0	967	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_104a1.spr	\image\item\book\book_104a0.spr	Vâ c«ng tø ®¹i n÷ hiÖp s¸ng t¹o nªn, lÊy ch©n khİ hé thÓ tÊn c«ng ®Şch ®ång thêi t¨ng nĞ tr¸nh		MËt tŞch		55	40				
Tø Linh Thiªn Y Phæ	0	107	163	1	10	0	968	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_105a1.spr	\image\item\book\book_105a0.spr	Vâ c«ng tø ®¹i n÷ hiÖp s¸ng t¹o nªn, lÊy ch©n khİ hé thÓ tÊn c«ng ®Şch ®ång thêi triÖt tiªu ¶nh h­ëng th©n ph¸p		MËt tŞch		55	40				
Tø Linh Tö Y Phæ	0	107	164	1	10	0	969	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_106a1.spr	\image\item\book\book_106a0.spr	Vâ c«ng tø ®¹i n÷ hiÖp s¸ng t¹o nªn, lÊy ch©n khİ hé thÓ tÊn c«ng ®Şch, hiÖu qu¶ rÊt l©u		MËt tŞch		55	40				
Tø Linh V« Song Phæ	0	107	165	1	10	0	970	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_107a1.spr	\image\item\book\book_107a0.spr	Vâ c«ng tø ®¹i n÷ hiÖp s¸ng t¹o nªn, lÊy ch©n khİ hé thÓ tÊn c«ng ®Şch, hiÖu qu¶ rÊt l©u vµ triÖt tiªu ¶nh h­ëng th©n ph¸p		MËt tŞch		55	40				
Kim Cang B¸t Nh· Kinh	0	107	166	1	10	2	975;977	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_087a1.spr	\image\item\book\book_087a0.spr	MËt tŞch ThiÕu L©m tôc gia, ghi chĞp tuyÖt häc Kim Cang B¸t Nh· C«ng		MËt tŞch		70	0;60		2		
TiÒm Long TŞch DiÖt Kinh	0	107	167	1	10	2	978;980	10;20	0;10	60;120	30;50	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_088a1.spr	\image\item\book\book_088a0.spr	MËt tŞch ThiÕu L©m vâ t¨ng, ghi chĞp tuyÖt häc TiÒm Long TŞch DiÖt C«ng		MËt tŞch		70	0;60		4		
V« TrÇn Bå §Ò Kinh	0	107	168	1	10	2	981;983	10;20	0;10	60;120	30;50	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_089a1.spr	\image\item\book\book_089a0.spr	MËt tŞch ThiÕu L©m thiÒn t¨ng ghi chĞp tuyÖt häc V« TrÇn Bå §Ò C«ng		MËt tŞch		70	0;60		3		
Thiªn La Liªn Ch©u Lôc	0	107	169	1	10	1	984;985	60;120	30;50	10;20	0;10	60;120	30;50	50;100	20;40	20;30	10	\image\item\book\book_090a1.spr	\image\item\book\book_090a0.spr	MËt tŞch §­êng M«n ghi chĞp tuyÖt häc Thiªn La Liªn Ch©u Vâng.		MËt tŞch		70	0;60		6		
Nh­ ı Kim §Ønh MËt TŞch	0	107	170	1	10	1	986;987	10;20	0;10	20;40	10;20	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\book_091a1.spr	\image\item\book\book_091a0.spr	MËt tŞch Nga My phËt gia ghi chĞp tuyÖt häc Nh­ ı Kim §Ønh C«ng		MËt tŞch		70	0;60		8		
Bİch H¶i TuyÖt ¢m Phæ	0	107	171	1	10	1	988;991	40;80	20;40	50;100	30;50	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_092a1.spr	\image\item\book\book_092a0.spr	MËt tŞch Nga My tôc gia ghi chĞp cÇm khóc bİ truyÒn Bİch H¶i TuyÖt ¢m Khóc		MËt tŞch		70	0;60		9		
Hçn §én TrÊn Nh¹c MËt TŞch	0	107	172	1	10	2	992;995	60;120	30;50	10;20	0;10	50;100	20;40	50;100	20;40	20;30	10	\image\item\book\book_093a1.spr	\image\item\book\book_093a0.spr	MËt tŞch C¸i Bang TŞnh Y ghi chĞp tuyÖt häc Hçn §én TrÊn Nh¹c Ch­ëng		MËt tŞch		70	0;60		11		
Quü Thiªn Du Long MËt TŞch	0	107	173	1	10	2	996;998	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_094a1.spr	\image\item\book\book_094a0.spr	MËt tŞch C¸i Bang ¤ Y ghi chĞp tuyÖt häc Quı Thiªn Du Long C«n		MËt tŞch		70	0;60		12		
HuyÔn ¶nh Mª Tung MËt TŞch	0	107	174	1	10	0	999;1002	10;20	0;10	60;120	30;50	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_095a1.spr	\image\item\book\book_095a0.spr	MËt tŞch Vâ §ang ®¹o gia chi chĞp kiÕm ph¸p Hoan ¶nh Mª Tung KiÕm		MËt tŞch		70	0;60		14		
Qu©n Tö TiÖt Phong MËt TŞch	0	107	175	1	10	0	1003;1006	60;120	30;50	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_096a1.spr	\image\item\book\book_096a0.spr	MËt tŞch Vâ §ang tôc gia ghi chĞp bót ph¸p Qu©n Tö TiÖt Phong QuyÕt		MËt tŞch		70	0;60		15		
TrÊn Qu©n Phi Long Th­¬ng Phæ	0	107	176	1	10	1	1007;1009	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_097a1.spr	\image\item\book\book_097a0.spr	MËt tŞch D­¬ng M«n th­¬ng kş ghi chĞp tuyÖt häc TrÊn Qu©n Phi Long Th­¬ng		MËt tŞch		70	0;60		17		
Xuyªn V©n L¹c Hång MËt TŞch	0	107	177	1	10	1	1010;1012	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_098a1.spr	\image\item\book\book_098a0.spr	MËt tŞch D­¬ng M«n cung kş ghi chĞp tiÔn ph¸p Xuyªn V©n L¹c Hång TiÔn		MËt tŞch		70	0;60		18		
U Minh Phong Ma Lôc	0	107	178	1	10	1	1013;1014	60;120	30;50	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_099a1.spr	\image\item\book\book_099a0.spr	MËt tŞch Ngò §éc tµ hiÖp ghi chĞp tµ thuËt U Minh Phong Ma QuyÕt		MËt tŞch		70	0;60		20		
Linh Cæ HuyÔn Tµ Lôc	0	107	179	1	10	1	1015;1016	10;20	0;10	30;60	20;30	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\book_100a1.spr	\image\item\book\book_100a0.spr	MËt tŞch Ngò §éc cæ s­ ghi chĞp cæ thuËt Hoan Linh Cæ		MËt tŞch		70	0;60		21		
Kinh Phong MËt TŞch	0	107	180	1	10	0	1034	10;20	0;10	60;120	30;50	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_108a1.spr	\image\item\book\book_108a0.spr	Ghi chĞp bïa ph¸p thÇn bİ C«n L«n Thiªn S­ "Kinh Phong ThiÓm L«i QuyÕt" víi tinh tóy cña chiªu thøc		MËt tŞch		45	0;60		23		
Kinh Phong T©m Ph¸p	0	107	181	1	10	0	1034	10;20	0;10	20;40	10;20	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_109a1.spr	\image\item\book\book_109a0.spr	Ghi chĞp bïa ph¸p thÇn bİ C«n L«n Thiªn S­ "Kinh Phong ThiÓm L«i QuyÕt" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		45	0;60		23		
Tóy Méng MËt TŞch	0	107	188	1	10	0	1194	60;120	30;50	20;40	10;20	10;20	0;10	30;60	20;30	20;30	10	\image\item\book\book_116a1.spr	\image\item\book\book_116a0.spr	Ghi l¹i vò nghÖ kinh thiªn cña Thóy Yªn Vò Tiªn "Tóy Méng Ng©m" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		45	0;60		29		
Tóy M«ng T©m Ph¸p	0	107	189	1	10	0	1194	20;40	10;20	10;20	0;10	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_117a1.spr	\image\item\book\book_117a0.spr	Ghi l¹i vò nghÖ kinh thiªn cña Thóy Yªn Vò Tiªn "Tóy Méng Ng©m" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		45	0;60		29		
Phån Hoa MËt TŞch	0	107	190	1	10	0	1253	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_118a1.spr	\image\item\book\book_118a0.spr	Ghi l¹i chuyÓn thÕ kú thuËt cña Thóy Yªn Linh N÷ "Phån Hoa MËu" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		45	0;60		30		
Phån Hoa T©m Ph¸p	0	107	191	1	10	0	1253	40;80	20;40	10;20	0;10	40;80	20;40	60;120	30;50	20;30	10	\image\item\book\book_119a1.spr	\image\item\book\book_119a0.spr	Ghi l¹i chuyÓn thÕ kú thuËt cña Thóy Yªn Linh N÷ "Phån Hoa MËu" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		45	0;60		30		
Phong L«i Ch©u	0	112	192	1	10	0	1032	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_120a1.spr	\image\item\book\book_120a0.spr	MËt tŞch trÊn ph¸i C«n L«n, h« phong ho¸n vò, ngù kiÕm ®o¹n kh«ng		MËt tŞch		85	30		23		
Phông Minh Phæ	0	112	196	1	10	0	1196	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_124a1.spr	\image\item\book\book_124a0.spr	MËt tŞch trÊn ph¸i Thóy Yªn, phông hoµn triÒu nhËt, thiªn ®Şa kinh biÕn, b¸ch thó phôc thñ		MËt tŞch		85	30		29		
Hoa Tiªn T©m Kinh	0	112	197	1	10	0	1230	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_125a1.spr	\image\item\book\book_125a0.spr	MËt tŞch trÊn ph¸i Thóy Yªn, huyÒn hãa thÇn ®iªu, träng hiÓn hoa tiªn linh vËn		MËt tŞch		85	30		30		
Cöu Thiªn Phong L«i QuyÕt	0	107	198	1	10	0	1293;1295	10;20	0;10	60;120	30;50	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_126a1.spr	\image\item\book\book_126a0.spr	Ghi chĞp bïa ph¸p thÇn bİ C«n L«n Thiªn S­ "Cöu Thiªn Phong L«i QuyÕt" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		70	0;60		23		
Hång TrÇn Tóy Méng Phæ	0	107	202	1	10	0	1305;1307	60;120	30;50	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_130a1.spr	\image\item\book\book_130a0.spr	Ghi l¹i vò ®iÖu "Hång TrÇn Tóy Méng Ng©m" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		70	0;60		29		
Phong Hoa Thiªn DiÖp Phæ	0	107	203	1	10	0	1308;1310	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_131a1.spr	\image\item\book\book_131a0.spr	Ghi l¹i chuyÓn thÕ kú thuËt cña Thóy Yªn Linh N÷ "Phong Hoa Thiªn DiÖp" víi t©m ph¸p tinh tóy cña chiªu thøc		MËt tŞch		70	0;60		30		
Kim Cang B¸t Nh· Ch©n QuyÓn 	0	107	204	1	10	2	1426;1427	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\½ğ¸Õ°ãÈôÕæ¾ía1.spr	\image\item\book\½ğ¸Õ°ãÈôÕæ¾ía0.spr	MËt tŞch l­u tr÷ vâ c«ng huyÒn bİ cña ThiÕu L©m Tôc Gia “V« Song Kim Cang Bµn Nh­îc C«ng” cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Tôc Gia		MËt tŞch		70	0;60	1	2		
TiÒm Long Tóc DiÖt Ch©n QuyÓn	0	107	205	1	10	2	1428;1429	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\Ç±Áú¼ÅÃğÕæ¾ía1.spr	\image\item\book\Ç±Áú¼ÅÃğÕæ¾ía0.spr	MËt tŞch l­u tr÷ néi c«ng bİ truyÒn cña ThiÕu L©m Vâ T¨ng “V« Song TiÒm Long Tóc DiÖt C«ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i Vâ T¨ng		MËt tŞch		70	0;60	1	4		
V« TrÇn Bå §Ò Ch©n QuyÓn	0	107	206	1	10	2	1430;1431	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ÎŞ³¾ÆĞÌáÕæ¾ía1.spr	\image\item\book\ÎŞ³¾ÆĞÌáÕæ¾ía0.spr	MËt tŞch l­u tr÷ néi c«ng bİ truyÒn cña ThiÕu L©m ThiÒn T«ng“V« Song V« TrÇn Bå §Ò C«ng”cïng víi chiªu thøc tinh tóy cña nh¸nh ph¸i ThiÒn T«ng		MËt tŞch		70	0;60	1	3		
