Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Bİ §éc trang	0	101	622	50	15000	0	200	20;20					6022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö §­êng M«n khi hoµn thµnh nhiÖm vô Bİ MËt ®­îc phong hiÖu MËt §éc Thİch Kh¸ch.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	6	0					
Bİ §éc trang	0	101	623	50	15000	0	200	20;20					6023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö §­êng M«n khi hoµn thµnh nhiÖm vô Bİ MËt ®­îc phong hiÖu MËt §éc Thİch Kh¸ch.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	6	0					
Bİ §éc trang	0	101	624	50	15000	0	200	20;20					6024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö §­êng M«n khi hoµn thµnh nhiÖm vô Bİ MËt ®­îc phong hiÖu MËt §éc Thİch Kh¸ch.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	6	0					
Bİ §éc trang	0	101	6219	50	0	0	200	20;20					96021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö §­êng M«n khi hoµn thµnh nhiÖm vô Bİ MËt ®­îc phong hiÖu MËt §éc Thİch Kh¸ch.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	2	1	6	0					
Bİ §éc trang	0	101	6229	50	0	0	200	20;20					96022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö §­êng M«n khi hoµn thµnh nhiÖm vô Bİ MËt ®­îc phong hiÖu MËt §éc Thİch Kh¸ch.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	2	1	6	0					
Bİ §éc trang	0	101	6239	50	0	0	200	20;20					96023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö §­êng M«n khi hoµn thµnh nhiÖm vô Bİ MËt ®­îc phong hiÖu MËt §éc Thİch Kh¸ch.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	6	0					
Bİ §éc trang	0	101	6249	50	0	0	200	20;20					96024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö §­êng M«n khi hoµn thµnh nhiÖm vô Bİ MËt ®­îc phong hiÖu MËt §éc Thİch Kh¸ch.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	6	0					
Thanh T©m tó trang	0	101	801	30	2	0	120	8;15					8001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia khi luyÖn phËt ph¸p.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	8	0					
Thanh T©m tó trang	0	101	802	30	2	0	120	8;15					8002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia khi luyÖn phËt ph¸p.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	8	0					
Th¸i Vò Tó phôc	0	101	811	40	4000	0	150	10;18					8011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia khi luyÖn phËt ph¸p.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	8	0					
Th¸i Vò Tó phôc	0	101	812	40	4000	0	150	10;18					8012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	Trang phôc cña ®Ö tö Nga My phËt gia khi luyÖn phËt ph¸p.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	8	0					
Ph¸p V©n phôc	0	101	821	50	15000	0	200	12;24					8021	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cho ®Ö tö Nga My PhËt gia tr¶i qua tu luyÖn ®­îc phong lµ Tö Tróc Sø.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	8	0					
Ph¸p V©n phôc	0	101	822	50	15000	0	200	12;24					8022	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cho ®Ö tö Nga My PhËt gia tr¶i qua tu luyÖn ®­îc phong lµ Tö Tróc Sø.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	8	0					
Ph¸p V©n phôc	0	101	8219	50	0	0	200	12;24					98021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cho ®Ö tö Nga My PhËt gia tr¶i qua tu luyÖn ®­îc phong lµ Tö Tróc Sø.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	8	0					
Ph¸p V©n phôc	0	101	8229	50	0	0	200	12;24					98022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cho ®Ö tö Nga My PhËt gia tr¶i qua tu luyÖn ®­îc phong lµ Tö Tróc Sø.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	8	0					
T­ Khóc phôc	0	101	901	30	2	0	120	12;12					9001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	9	0					
T­ Khóc phôc	0	101	902	30	2	0	120	12;12					9002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	9	0					
Ph¹n ¢m phôc	0	101	911	40	4000	0	150	15;15					9011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	9	0					
Ph¹n ¢m phôc	0	101	912	40	4000	0	150	15;15					9012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	9	0					
Ph¸p ¢m phôc	0	101	921	50	15000	0	200	20;20					9021	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Nga My tôc gia khi ®­îc phong H¶i NguyÖt Sø.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	9	0					
Ph¸p ¢m phôc	0	101	922	50	15000	0	200	20;20					9022	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Nga My tôc gia khi ®­îc phong H¶i NguyÖt Sø.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	9	0					
Ph¸p ¢m phôc	0	101	9219	50	0	0	200	20;20					99021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Nga My tôc gia khi ®­îc phong H¶i NguyÖt Sø.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	9	0					
Ph¸p ¢m phôc	0	101	9229	50	0	0	200	20;20					99022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Nga My tôc gia khi ®­îc phong H¶i NguyÖt Sø.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	9	0					
ChÊp B¸t phôc	0	101	1101	30	2	0	120	15;8					11001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	2	1	11	0					
ChÊp B¸t phôc	0	101	1102	30	2	0	120	15;8					11002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	2	1	11	0					
ChÊp B¸t phôc	0	101	1103	30	2	0	120	15;8					11003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	11	0					
ChÊp B¸t phôc	0	101	1104	30	2	0	120	15;8					11004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	11	0					
Trõ Gian phôc	0	101	1111	40	4000	0	150	18;10					11011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y cÊp cao.	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0					
Trõ Gian phôc	0	101	1112	40	4000	0	150	18;10					11012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y cÊp cao.	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0					
Trõ Gian phôc	0	101	1113	40	4000	0	150	18;10					11013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y cÊp cao.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0					
Trõ Gian phôc	0	101	1114	40	4000	0	150	18;10					11014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang TÜnh y cÊp cao.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	11	0					
Hµo Khİ phôc	0	101	1121	50	15000	0	200	24;12					11021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	2	1	11	0					
Hµo Khİ phôc	0	101	1122	50	15000	0	200	24;12					11022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	11	0					
Hµo Khİ phôc	0	101	1123	50	15000	0	200	24;12					11023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	11	0					
Hµo Khİ phôc	0	101	1124	50	15000	0	200	24;12					11024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	11	0					
Hµo Khİ phôc	0	101	11219	50	0	0	200	24;12					911021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	2	1	11	0					
Hµo Khİ phôc	0	101	11229	50	0	0	200	24;12					911022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	2	1	11	0					
Hµo Khİ phôc	0	101	11239	50	0	0	200	24;12					911023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	11	0					
Hµo Khİ phôc	0	101	11249	50	0	0	200	24;12					911024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc cña c¸c ®Ö tö C¸i Bang TÜnh y khi v©n du thiªn h¹.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	11	0					
KhiÕu Hoa Khè	0	101	1201	30	2	0	120	12;12					12001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y khi hµnh tÈu giang hå.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	2	1	12	0					
KhiÕu Hoa Khè	0	101	1202	30	2	0	120	12;12					12002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y khi hµnh tÈu giang hå.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	2	1	12	0					
KhiÕu Hoa Khè	0	101	1203	30	2	0	120	12;12					12003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y khi hµnh tÈu giang hå.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	12	0					
KhiÕu Hoa Khè	0	101	1204	30	2	0	120	12;12					12004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y khi hµnh tÈu giang hå.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	12	0					
Trõng ¸c phôc	0	101	1211	40	4000	0	150	15;15					12011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y.	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0					
Trõng ¸c phôc	0	101	1212	40	4000	0	150	15;15					12012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y.	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0					
Trõng ¸c phôc	0	101	1213	40	4000	0	150	15;15					12013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0					
Trõng ¸c phôc	0	101	1214	40	4000	0	150	15;15					12014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	Trang phôc cña ®Ö tö C¸i Bang ¤ Y.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	12	0					
Tô NghÜa phôc	0	101	1221	50	15000	0	200	20;20					12021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	2	1	12	0					
Tô NghÜa phôc	0	101	1222	50	15000	0	200	20;20					12022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	12	0					
Tô NghÜa phôc	0	101	1223	50	15000	0	200	20;20					12023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	12	0					
Tô NghÜa phôc	0	101	1224	50	15000	0	200	20;20					12024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	12	0					
Tô NghÜa phôc	0	101	12219	50	0	0	200	20;20					912021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	2	1	12	0					
Tô NghÜa phôc	0	101	12229	50	0	0	200	20;20					912022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	2	1	12	0					
Tô NghÜa phôc	0	101	12239	50	0	0	200	20;20					912023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	12	0					
Tô NghÜa phôc	0	101	12249	50	0	0	200	20;20					912024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö C¸i Bang ¤ Y khi ®­îc phong lµm §Ö Tö T¸m Tói.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	12	0					
Thanh Tu phôc	0	101	1401	30	2	0	120	8;15					14001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	±ê×¼ÄĞÏÂÉí002	§· khãa		4	2	1	14	0					
Thanh Tu phôc	0	101	1402	30	2	0	120	8;15					14002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	¿ıÎàÄĞÏÂÉí001	§· khãa		4	2	1	14	0					
Thanh Tu phôc	0	101	1403	30	2	0	120	8;15					14003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	14	0					
Thanh Tu phôc	0	101	1404	30	2	0	120	8;15					14004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn kiÕm	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	14	0					
NhËp Quan phôc	0	101	1411	40	4000	0	150	10;18					14011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0					
NhËp Quan phôc	0	101	1412	40	4000	0	150	10;18					14012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0					
NhËp Quan phôc	0	101	1413	40	4000	0	150	10;18					14013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0					
NhËp Quan phôc	0	101	1414	40	4000	0	150	10;18					14014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Vâ §ang ®¹o gia khi nhËp thÊt	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	14	0					
Tø T­îng phôc	0	101	1421	50	15000	0	200	12;24					14021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	2	1	14	0					
Tø T­îng phôc	0	101	1422	50	15000	0	200	12;24					14022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	14	0					
Tø T­îng phôc	0	101	1423	50	15000	0	200	12;24					14023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	14	0					
