Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
T©n N­¬ng kh«i	0	108	149	10	0	0	10						3	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi n÷ gîi c¶m, chØ cã thÓ sö dông trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	150	10	0	0	10						3	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi KiÒu n÷, chØ cã thÓ sö dông trong thêi gian ng¾n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	151	10	0	0	10						4	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam tiªu chuÈn, chØ cã thÓ sö dông trong thêi gian ng¾n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	152	10	0	0	10						4	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam kh«i ng«, chØ cã thÓ sö dông trong thêi gian ng¾n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	153	10	0	0	10						4	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi n÷ gîi c¶m, chØ cã thÓ sö dông trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	154	10	0	0	10						4	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi KiÒu n÷, chØ cã thÓ sö dông trong thêi gian ng¾n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	155	10	0	0	10						5	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam tiªu chuÈn, chØ cã thÓ sö dông trong thêi gian ng¾n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	156	10	0	0	10						5	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam kh«i ng«, chØ cã thÓ sö dông trong thêi gian ng¾n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	157	10	0	0	10						5	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi n÷ gîi c¶m, chØ cã thÓ sö dông trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	158	10	0	0	10						5	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi KiÒu n÷, chØ cã thÓ sö dông trong thêi gian ng¾n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	159	10	0	0	10						6	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam tiªu chuÈn, chØ cã thÓ sö dông trong thêi gian ng¾n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	160	10	0	0	10						6	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam kh«i ng«, chØ cã thÓ sö dông trong thêi gian ng¾n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	161	10	0	0	10						6	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi n÷ gîi c¶m, chØ cã thÓ sö dông trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	162	10	0	0	10						6	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi KiÒu n÷, chØ cã thÓ sö dông trong thêi gian ng¾n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	163	10	0	0	10						7	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam tiªu chuÈn, chØ cã thÓ sö dông trong thêi gian ng¾n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	164	10	0	0	10						7	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n, thİch hîp víi nam kh«i ng«, chØ cã thÓ sö dông trong thêi gian ng¾n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	165	10	0	0	10						7	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi n÷ gîi c¶m, chØ cã thÓ sö dông trong thêi gian ng¾n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	166	10	0	0	10						7	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng che trong h«n lÔ, thİch hîp víi KiÒu n÷, chØ cã thÓ sö dông trong thêi gian ng¾n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	167	10	0	0	10						1	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	168	10	0	0	10						1	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	169	10	0	0	10						1	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	170	10	0	0	10						1	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	171	10	0	0	10						2	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	172	10	0	0	10						2	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	173	10	0	0	10						2	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	174	10	0	0	10						2	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	175	10	0	0	10						3	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	176	10	0	0	10						3	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	177	10	0	0	10						3	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	178	10	0	0	10						3	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	179	10	0	0	10						4	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	180	10	0	0	10						4	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	181	10	0	0	10						4	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	182	10	0	0	10						4	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	183	10	0	0	10						5	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	184	10	0	0	10						5	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	185	10	0	0	10						5	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	186	10	0	0	10						5	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	187	10	0	0	10						6	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	188	10	0	0	10						6	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	189	10	0	0	10						6	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	190	10	0	0	10						6	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	191	10	0	0	10						7	15	1	1		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	±ê×¼ÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n Lang m·o	0	108	192	10	0	0	10						7	15	1	2		\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a1.spr	\image\item\cloth\ĞÂÀÉÍâ×°(Ã±×Ó)a0.spr	T©n lang ®éi khi kÕt h«n	¿ıÎàÄĞ½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	193	10	0	0	10						7	13	2	3		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	ĞÔ¸ĞÅ®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
T©n N­¬ng kh«i	0	108	194	10	0	0	10						7	13	2	4		\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a1.spr	\image\item\cloth\ĞÂÄïÍâ×°£¨¸ÇÍ·£©a0.spr	T©n n­¬ng ®éi khi kÕt h«n	½¿Ğ¡Å®½á»éÍ·01	Ngo¹i trang	\script\item\wedding_cloth_head.lua	1	2	1		0					
Thu Thi qu¸n	0	108	195	10	0	0	10							1	1	1		\image\item\cap\ÇïÊ«¹Úa1.spr	\image\item\cap\ÇïÊ«¹Úa0.spr	Nh©n gian nh­ ı, tø quı c¸t t­êng	±ê×¼ÄĞÍâ×°Í·16	§· khãa		1	2	1		0					
§«ng Hµn m·o	0	108	196	10	0	0	10							1	1	2		\image\item\cap\¶¬º®Ã±a1.spr	\image\item\cap\¶¬º®Ã±a0.spr	Nh©n gian nh­ ı, tø quı c¸t t­êng	¿ıÎàÄĞÍâ×°Í·16	§· khãa		1	2	1		0					
H¹ Vinh kÕt	0	108	197	10	0	0	10							1	2	3		\image\item\cap\ÏÄÈÙ½áa1.spr	\image\item\cap\ÏÄÈÙ½áa0.spr	Nh©n gian nh­ ı, tø quı c¸t t­êng	ĞÔ¸ĞÅ®Íâ×°Í·16	§· khãa		1	2	1		0					
Xu©n No·n tr©m	0	108	198	10	0	0	10							1	2	4		\image\item\cap\´ºÅ¯ô¢a1.spr	\image\item\cap\´ºÅ¯ô¢a0.spr	Nh©n gian nh­ ı, tø quı c¸t t­êng	½¿Ğ¡Å®Íâ×°Í·16	§· khãa		1	2	1		0					
Hoµng Kim Kh«i_tiªu chuÈn	0	108	199	10	0	0	10							1	1	1		\image\item\cap\ÄĞ»Æ½ğ¿øa1.spr	\image\item\cap\ÄĞ»Æ½ğ¿øa0.spr	§Çu qu¸n léng lÉy, rùc rì l¹ th­êng.	±ê×¼ÄĞ»Æ½ğ¿ø	§· khãa		1	2	1		0					
Hoµng Kim Kh«i_kh«i ng«	0	108	200	10	0	0	10							1	1	2		\image\item\cap\ÄĞ»Æ½ğ¿øa1.spr	\image\item\cap\ÄĞ»Æ½ğ¿øa0.spr	§Çu qu¸n léng lÉy, rùc rì l¹ th­êng.	¿ıÎàÄĞ»Æ½ğ¿ø	§· khãa		1	2	1		0					
Hoµng Kim Kh«i_gîi c¶m	0	108	201	10	0	0	10							1	2	3		\image\item\cap\Å®»Æ½ğ¿øa1.spr	\image\item\cap\Å®»Æ½ğ¿øa0.spr	§Çu qu¸n léng lÉy, rùc rì l¹ th­êng.	ĞÔ¸ĞÅ®»Æ½ğ¿ø	§· khãa		1	2	1		0					
Hoµng Kim Kh«i_KiÒu n÷	0	108	202	10	0	0	10							1	2	4		\image\item\cap\Å®»Æ½ğ¿øa1.spr	\image\item\cap\Å®»Æ½ğ¿øa0.spr	§Çu qu¸n léng lÉy, rùc rì l¹ th­êng.	½¿Ğ¡Å®»Æ½ğ¿ø	§· khãa		1	2	1		0					
Danh Bé §Çu Qu¸n	0	108	300	10	0	0	100							1	1	1		\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÄĞa1.spr	\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÄĞa0.spr	§ån r»ng Lç Danh Bé QuyÒn trÊn Quan T©y ®· mÆc trang phôc uy dòng nµy	±ê×¼ÄĞ²¶¿ìÍ·	§· khãa		1	2	1		0					
Danh Bé §Çu Qu¸n	0	108	301	10	0	0	100							1	1	2		\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÄĞa1.spr	\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÄĞa0.spr	§ån r»ng Lç Danh Bé QuyÒn trÊn Quan T©y ®· mÆc trang phôc uy dòng nµy, ngay c¶ kİch cì còng gièng nhau	¿ıÎàÄĞ²¶¿ìÍ·	§· khãa		1	2	1		0					
Danh Bé §Çu Qu¸n	0	108	302	10	0	0	100							1	2	3		\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÅ®a1.spr	\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÅ®a0.spr	§ån r»ng Lç Danh Bé QuyÒn trÊn Quan T©y ®· mÆc trang phôc uy dòng nµy	ĞÔ¸ĞÅ®²¶¿ìÍ·	§· khãa		1	2	1		0					
Danh Bé §Çu Qu¸n	0	108	303	10	0	0	100							1	2	4		\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÅ®a1.spr	\image\item\cap\²¶¿ì×°Ã±×Ó¡ªÅ®a0.spr	§ån r»ng Lç Danh Bé QuyÒn trÊn Quan T©y ®· mÆc trang phôc uy dòng nµy	½¿Ğ¡Å®²¶¿ìÍ·	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (®á)	0	108	207	10	0	0	100							1	2	3		\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa1.spr	\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa0.spr	Linh Lung ®Çu qu¸n, mµu ®á biÓu t­îng cho ng­êi th«ng minh.	ĞÔ¸ĞÅ®Í·Ááççºì	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (vµng)	0	108	208	10	0	0	100							1	2	3		\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa1.spr	\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa0.spr	Linh Lung ®Çu qu¸n, mµu vµng biÓu t­îng cho ng­êi th«ng minh.	ĞÔ¸ĞÅ®Í·Ááçç»Æ	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (hång)	0	108	209	10	0	0	100							1	2	3		\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa1.spr	\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa0.spr	Linh Lung ®Çu qu¸n, mµu hång biÓu t­îng cho ng­êi th«ng minh.	ĞÔ¸ĞÅ®Í·Ááçç·Û	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (tİm)	0	108	210	10	0	0	100							1	2	3		\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa1.spr	\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa0.spr	Linh Lung ®Çu qu¸n, mµu tİm biÓu t­îng cho ng­êi th«ng minh.	ĞÔ¸ĞÅ®Í·Ááçç×Ï	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (lam)	0	108	211	10	0	0	100							1	2	3		\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa1.spr	\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa0.spr	Linh Lung ®Çu qu¸n, mµu lam biÓu t­îng cho ng­êi th«ng minh.	ĞÔ¸ĞÅ®Í·ÁáççÀ¶	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (lôc)	0	108	212	10	0	0	100							1	2	3		\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa1.spr	\image\item\cap\ÁáççÍ·¹ÚĞÔ¸Ğa0.spr	Linh Lung ®Çu qu¸n, mµu lôc biÓu t­îng cho ng­êi th«ng minh.	ĞÔ¸ĞÅ®Í·ÁáççÂÌ	§· khãa		1	2	1		0					
