名字	大类型	副类型	详细类别	重量	价格	最大叠加数量	在诀要表里的编号	保留	保留	保留	保留	保留	保留	保留	保留	保留（数字）	保留（数字）	在界面上显示的小图	在界面上显示的大图	Disc	保留字段（字符串）	丢落在地面的时候，使用哪一个物件资源	脚本文件	等级	是否能交易(0能1不能)	保留（数字）	保留（数字）	保留（数字）
炙阳剑气诀要	2	6	99	1	1	1	99											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>炙阳剑气<color=White>：施展速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
玄武剑阵诀要	2	6	100	1	1	1	100											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>玄武剑阵<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>，内力消耗降低 <color=Blue1>[=Value2]%<color=White>		诀要	\script\item\addenda.lua	7	0			
御剑诀诀要	2	6	101	1	1	1	101											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>御剑诀<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒		诀要	\script\item\addenda.lua	7	0			
正两仪剑法诀要	2	6	102	1	1	1	102											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>正两仪剑法<color=White>：附加攻击力 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
太乙三清剑诀要	2	6	103	1	1	1	103											\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=Gold>太乙三清剑<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
神门十三剑诀要	2	6	104	1	1	1	104											\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=Gold>神门十三剑<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
地宁玄阴剑诀要	2	6	105	1	1	1	105											\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=Gold>地宁玄阴剑<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
天清纯阳剑诀要	2	6	106	1	1	1	106											\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=Gold>天清纯阳剑<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
八卦剑气诀要	2	6	107	1	1	1	107											\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=Gold>八卦剑气<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
真武七截剑诀要	2	6	108	1	1	1	108											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>真武七截剑<color=White>：七星出现时范围内所有目标移动速度降低 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
武当笔法诀要	2	6	109	1	1	1	109											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>武当笔法<color=White>：使所有攻击都有 <color=Blue1>[=Value1]% <color=White>概率使目标麻痹3秒<color=White>		诀要	\script\item\addenda.lua	7	0			
太乙逍遥功诀要	2	6	110	1	1	1	110											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>太乙逍遥功<color=White>：降低减速效果的影响 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
六气化玉功诀要	2	6	111	1	1	1	111											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>六气化玉功<color=White>：使目标在8秒内 <color=Blue1>[=Value1]% <color=White>概率抵抗毒伤害<color=White>		诀要	\script\item\addenda.lua	7	0			
梯云纵诀要	2	6	112	1	1	1	112											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>梯云纵<color=White>：在梯云过程中内外功比例防御提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
七星诀诀要	2	6	113	1	1	1	113											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>七星诀<color=White>：第一式、第二式、第三式分别附加攻击力 <color=Blue1>[=Value1]、[=Value2]、[=Value3]<color=White>		诀要	\script\item\addenda.lua	7	0			
少阳诀诀要	2	6	114	1	1	1	114											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>少阳诀<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>，附加攻击力 <color=Blue1>[=Value2]<color=White>		诀要	\script\item\addenda.lua	7	0			
少阴诀诀要	2	6	115	1	1	1	115											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>少阴诀<color=White>：攻击范围扩大，收招速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
北斗七星阵诀要	2	6	116	1	1	1	116											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>北斗七星阵<color=White>：光环效果范围扩大 <color=Blue1>[=Value1]%<color=White>，内力消耗降低 <color=Blue1>[=Value2]%<color=White>		诀要	\script\item\addenda.lua	7	0			
残影诀诀要	2	6	117	1	1	1	117											\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=Gold>残影诀<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
乾坤诀诀要	2	6	118	1	1	1	118											\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=Gold>乾坤诀<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>，并提高攻击打断目标武功概率 <color=Blue1>[=Value2]%<color=White>		诀要	\script\item\addenda.lua	7	0			
上清无极功诀要	2	6	119	1	1	1	119											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>上清无极功<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家枪法诀要	2	6	120	1	1	1	120											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>杨家枪法总决<color=White>：枪攻击力下限增加 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家破风枪诀要	2	6	121	1	1	1	121											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>杨家破风枪<color=White>：第一式、第二式分别附加攻击力 <color=Blue1>[=Value1]、[=Value2]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家驭马术诀要	2	6	122	1	1	1	122											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>杨家驭马术<color=White>：内外功点数防御增加 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家奔狼枪诀要	2	6	123	1	1	1	123											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>杨家奔狼枪<color=White>：使目标在5秒内外功点数防御减少 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家战定诀诀要	2	6	124	1	1	1	124											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>杨家战定诀<color=White>：受伤动作时间缩短 <color=Blue1>[=Value1]%<color=White>，永久增加内力上限 <color=Blue1>[=Value3] <color=White>点<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家巧战诀诀要	2	6	125	1	1	1	125											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>杨家巧战诀<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家天衡枪诀要	2	6	126	1	1	1	126											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>杨家天衡枪<color=White>：转枪攻击在10秒内降低目标所有属性点 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家英雄气诀要	2	6	127	1	1	1	127											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>杨家英雄气<color=White>：使光环内所有友方受到的伤害削减 <color=Blue1>[=Value1]% <color=White>		诀要	\script\item\addenda.lua	7	0			
杨家倒海枪诀要	2	6	128	1	1	1	128											\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=Gold>杨家倒海枪<color=White>：<color=Blue1>[=Rate1]% <color=White>概率使目标眩晕2秒<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家御马术诀要	2	6	129	1	1	1	129											\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=Gold>杨家御马术<color=White>：使目标在5秒内外功比例防御削弱 <color=Blue1>[=Value1]%		诀要	\script\item\addenda.lua	7	0			
碧月飞星枪诀要	2	6	130	1	1	1	130											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>碧月飞星枪<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>，冲杀附加攻击力 <color=Blue1>[=Value2]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家弓法诀要	2	6	131	1	1	1	131											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>杨家弓法总决<color=White>：使所有攻击有 <color=Blue1>[=Value1]% <color=White>概率穿透		诀要	\script\item\addenda.lua	7	0			
杨家连射术诀要	2	6	132	1	1	1	132											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>杨家连射术<color=White>：每箭附加攻击力 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家阵疗术诀要	2	6	133	1	1	1	133											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>杨家阵疗术<color=White>：使目标内外功比例防御在4秒内增强 <color=Blue1>[=Value1]% <color=White>		诀要	\script\item\addenda.lua	7	0			
杨家回龙箭诀要	2	6	134	1	1	1	134											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>杨家回龙箭<color=White>：使目标在6秒内移动速度降低 <color=Blue1>[=Value1]% <color=White>		诀要	\script\item\addenda.lua	7	0			
杨家缠云箭诀要	2	6	135	1	1	1	135											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>杨家缠云箭<color=White>：<color=Blue1>[=Rate1]% <color=White>概率使目标被缠云箭射中时无法使用轻功<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家奇门盾诀要	2	6	136	1	1	1	136											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>杨家奇门盾<color=White>：持盾状态下 <color=Blue1>[=Value1]% <color=White>概率回避眩晕、混乱、睡眠<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家正气箭诀要	2	6	137	1	1	1	137											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>杨家正气箭<color=White>：<color=White>使目标10秒内迟缓 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家碎金箭诀要	2	6	138	1	1	1	138											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>杨家碎金箭<color=White>：5秒内使目标外功比例防御削减 <color=Blue1>[=Value1]%<color=White>，外功点数防御减少 <color=Blue1>[=Value2]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家幻神诀诀要	2	6	139	1	1	1	139											\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=Gold>杨家幻神诀<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>，并增加外功攻击力 <color=Blue1>[=Value2]<color=White>		诀要	\script\item\addenda.lua	7	0			
杨家续命诀诀要	2	6	140	1	1	1	140											\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=Gold>杨家续命诀<color=White>：永久生命上限增加 <color=Blue1>[=Value1]<color=White>，内力上限增加 <color=Blue1>[=Value2]<color=White>		诀要	\script\item\addenda.lua	7	0			
流光绝影箭诀要	2	6	141	1	1	1	141											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>流光绝影箭<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
五毒刀法诀要	2	6	142	1	1	1	142											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>五毒刀法<color=White>：定身、减速持续时间缩短 <color=Blue1>[=Value1]%<color=White>，内外功比例防御提高 <color=Blue1>[=Value3]%<color=White>		诀要	\script\item\addenda.lua	7	0			
引魂咒诀要	2	6	143	1	1	1	143											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>引魂咒<color=White>：目标比例防御削减 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
操尸术诀要	2	6	144	1	1	1	144											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>操尸术<color=White>：僵尸耐力提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
尸毒术诀要	2	6	145	1	1	1	145											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>尸毒术<color=White>：使目标10秒内武功使用间隔延长 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
尸爆大法诀要	2	6	146	1	1	1	146											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>尸爆大法<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
集尸邪气诀要	2	6	147	1	1	1	147											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>集尸邪气<color=White>：所有复活邪咒施展速度提高 <color=Blue1>[=Value1>]%<color=White>		诀要	\script\item\addenda.lua	7	0			
驭尸术诀要	2	6	148	1	1	1	148											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>驭尸术<color=White>：僵尸攻击力提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
万毒夺命刀诀要	2	6	149	1	1	1	149											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>万毒夺命刀<color=White>：最后一刀附带持续10秒的毒伤害 <color=Blue1>[=Value1] <color=White>点<color=White>		诀要	\script\item\addenda.lua	7	0			
阴邪吸魂气诀要	2	6	150	1	1	1	150											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>阴邪吸魂气<color=White>：间隔时间缩短 <color=Blue1>[=Value3/18] <color=White>秒<color=White>，施展过程中内外功比例防御提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
催尸邪气诀要	2	6	151	1	1	1	151											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>催尸邪气<color=White>：为僵尸恢复生命 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
邪灵大法诀要	2	6	152	1	1	1	152											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>邪灵大法<color=White>：使冤魂攻击附带持续10秒的毒伤害 <color=Blue1>[=Value1] <color=White>点<color=White>		诀要	\script\item\addenda.lua	7	0			
邪毒功诀要	2	6	153	1	1	1	153											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>邪毒功<color=White>：使僵尸有 <color=Blue1>[=Value1]% <color=White>概率回避绝大部分负面效果<color=White>		诀要	\script\item\addenda.lua	7	0			
尸裂魔功诀要	2	6	154	1	1	1	154											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>尸裂魔功<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
下蛊秘方诀要	2	6	155	1	1	1	155											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>下蛊秘方<color=White>：使用后有 <color=Blue1>[=Rate1]% <color=White>概率消除所有蛊术使用间隔<color=White>		诀要	\script\item\addenda.lua	7	0			
疯蛊诀要	2	6	156	1	1	1	156											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>疯蛊<color=White>：疯蛊、万蛊蚀天施展速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
养蛊秘术诀要	2	6	157	1	1	1	157											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>养蛊秘术<color=White>：制造食物速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
狂风爪诀要	2	6	158	1	1	1	158											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>狂风爪<color=White>：施展范围扩大 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
毒蛊诀要	2	6	159	1	1	1	159											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>毒蛊<color=White>：持续时间延长 <color=Blue1>[=Value5]%<color=White>，使目标力量降低 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
血鼎功诀要	2	6	160	1	1	1	160											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>血鼎功<color=White>：移动速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
血蛊诀要	2	6	161	1	1	1	161											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>血蛊<color=White>：持续时间延长 <color=Blue1>[=Value5]%<color=White>，使目标根骨降低 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
香蛊诀要	2	6	162	1	1	1	162											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>香蛊<color=White>：<color=Blue1>[=Rate1]% <color=White>概率受到攻击后2秒内自身外功比例防御提高20%、内功比例防御提高20%<color=White>		诀要	\script\item\addenda.lua	7	0			
尸蛊诀要	2	6	163	1	1	1	163											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>尸蛊<color=White>：持续时间延长 <color=Blue1>[=Value5]%<color=White>，使目标身法降低 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
妖蛊诀要	2	6	164	1	1	1	164											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>妖蛊<color=White>：每次抵消负面状态，每秒恢复自身生命 <color=Blue1>[=Value1-196608] <color=White>点，持续3秒		诀要	\script\item\addenda.lua	7	0			
心蛊诀要	2	6	165	1	1	1	165											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>心蛊<color=White>：持续时间延长 <color=Blue1>[=Value5]%<color=White>，使目标内功降低 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
万蛊蚀天诀要	2	6	166	1	1	1	166											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>万蛊蚀天<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>，内力消耗降低 <color=Blue1>[=Value2]%<color=White>		诀要	\script\item\addenda.lua	7	0			
幻蛊诀要	2	6	167	1	1	1	167											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>幻蛊<color=White>：使用武功时有 <color=Blue1>[=Value1]% <color=White>概率不计算间隔时间		诀要	\script\item\addenda.lua	7	0			
蠶蛊诀要	2	6	168	1	1	1	168											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>蠶蛊<color=White>：施展速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
雷祭诀要	2	6	169	1	1	1	169											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>雷祭<color=White>：使所有雷系攻击都有 <color=Blue1>[=Value1]% <color=White>概率使目标麻痹1秒<color=White>		诀要	\script\item\addenda.lua	7	0			
风祭诀要	2	6	170	1	1	1	170											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>风祭<color=White>：风系状态下承受伤害减半概率<color=Blue1>[=Value1]% <color=White>		诀要	\script\item\addenda.lua	7	0			
天雷符诀要	2	6	171	1	1	1	171											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>天雷符<color=White>：使目标内功比例防御在10秒内削减 <color=Blue1>[=Value1]%		诀要	\script\item\addenda.lua	7	0			
冰风诀诀要	2	6	172	1	1	1	172											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>冰风诀<color=White>：使目标在5秒内功点数防御减少 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
御风诀诀要	2	6	173	1	1	1	173											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>御风诀<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒，招一触发概率提高 <color=Blue1>[=Value2]%<color=White>		诀要	\script\item\addenda.lua	7	0			
狂雷符诀要	2	6	174	1	1	1	174											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>狂雷符<color=White>：施展后增加 <color=Blue1>[=Value1]<color=White>内功持续6秒		诀要	\script\item\addenda.lua	7	0			
扬沙诀诀要	2	6	175	1	1	1	175											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>扬沙诀<color=White>：生命上限提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
轰雷符诀要	2	6	176	1	1	1	176											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>轰雷符<color=White>：使目标10秒内武功使用间隔延长 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
罡风诀诀要	2	6	177	1	1	1	177											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>罡风诀<color=White>：使目标内外功攻击力在10秒内削减 <color=Blue1>[=Value1]%		诀要	\script\item\addenda.lua	7	0			
爆雷符诀要	2	6	178	1	1	1	178											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>爆雷符<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
仙风流散诀诀要	2	6	179	1	1	1	179											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>仙风流散诀<color=White>：当生命低于35%时，外功比例防御提高 <color=Blue1>[=Value1>]% <color=White>		诀要	\script\item\addenda.lua	7	0			
五雷正法符诀要	2	6	180	1	1	1	180											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>五雷正法符<color=White>：使用间隔缩短 <color=Blue1>[=Value1/18] <color=White>秒		诀要	\script\item\addenda.lua	7	0			
万雷碎星符诀要	2	6	181	1	1	1	181											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>万雷碎星符<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
玄风缠意诀诀要	2	6	182	1	1	1	182											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>玄风缠意诀<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
起舞诀要	2	6	219	1	1	1	219	1										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>光明笔法<color=White>：命中点数永久增加 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
灵猫韵诀要	2	6	220	1	1	1	220	2										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>金锁阵<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
舞云心法诀要	2	6	221	1	1	1	221	3										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>偃旗令<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0		29	
媚花诀要	2	6	222	1	1	1	222	4										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>玄水阵<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
断云诀诀要	2	6	223	1	1	1	223	5										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>封兵令<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
秋月赋诀要	2	6	224	1	1	1	224	6										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>盘木阵<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
天籁心经诀要	2	6	225	1	1	1	225	7										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>迅影令<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0		29	
蝶怨诀要	2	6	226	1	1	1	226	8										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>乾坤逆转<color=White>：交换后十目标移动速度减少 <color=Blue1>[=Value1]% <color=White>持续2秒		诀要	\script\item\addenda.lua	7	0		29	
天火艳阳诀要	2	6	227	1	1	1	227	9										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>业火阵<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
踏云巧步诀要	2	6	228	1	1	1	228	10										\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>土牢阵<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
梦蛇诀要	2	6	229	1	1	1	229	11										\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>五灵散元<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0		29	
落花诀诀要	2	6	230	1	1	1	230	1										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	нn cu鑙 c飊g k蘭 theo s竧 thng c duy tr?10 gi﹜ [<color=Gold>100<color=White>] 甶觤 <color=Blue1>#<color=White> t╪g m藅 t辌h c玭g k輈h ngo筰 c玭g 		Quy誸 Y誹	\script\item\addenda.lua	7	0		30	
桃花瘴诀要	2	6	231	1	1	1	231	2										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Gi穘 c竎h th阨 gian r髏 ng緉 [<color=Gold>5<color=White>] gi﹜ <color=Blue1>#<color=White> t╪g h?tr?m藅 t辌h c玭g k輈h		Quy誸 Y誹	\script\item\addenda.lua	7	0		30	
百花心经诀要	2	6	232	1	1	1	232	3										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi秏 th阨 gian gi穘 c竎h  [<color=Gold>5<color=White>] gi﹜ <color=Blue1>x<color=White> C玭g k輈h ngo筰 c玭g m藅 t辌h t╪g  		Quy誸 Y誹	\script\item\addenda.lua	7	0		30	
