ID	Name	Type	EffectDesc	BGDesc	AniPlaySpeed	AniBurstSkillOnHorse	AniEndSkillOnHorse	AniBurstSkillNotOnHorse	AniEndSkillNotOnHorse	LauncherBurstSFX_1	LauncherBurstSFXPos_1	LauncherBurstSFXWaittime_1	LauncherBurstSFX_2	LauncherBurstSFXPos_2	LauncherBurstSFXWaittime_2	LauncherEndSFX	LauncherEndSFXPos	LauncherEndSFXWaittime	TargetSFX	TargetSFXPos	PersistSFX_1	PersistSFXPos_1	PersistSFX_2	PersistSFXPos_2	LauncherBurstSound_1	LauncherBurstSoundWaittime_1	LauncherBurstSound_2	LauncherBurstSoundWaittime_2	TargetSound	PersistSound	Blade	BladeAni	BladeMtl	BlurNum	BlurInterval	Icon	Desc	NameColor	SubSkill1Name	SubSkill1Desc	SubSkill2Name	SubSkill2Desc	SubSkillOwnerID
308	Th©u Thiªn Ho¸n NhËt (chiªu 2)									Ø¤°ï\315_a(ÍµÌì»»ÈÕ).3e	1										Ø¤°ï\315_b(ÍµÌì»»ÈÕ).3e	1			Ø¤°ï\°ÔÍõĞ¶¼×A.wav		Ø¤°ï\ÍµÌì»»ÈÕB.wav	27															
123	§¶ CÈu Bæng Ph¸p	<color=Blue3> C«ng kİch ngo¹i c«ng (cao)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>Liªn tôc xuÊt c«n <enter>XuÊt thøc thø 1 <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn <enter><color=White>Thøc 2: <color=Blue1>[=247=damage_0] ®iÓm<enter><color=White>Gi¶m ph¶n ®ßn khi bŞ tÊn c«ng <color=Blue1>[=damage_1]%<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>5 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Th©n ph¸p, Linh ho¹t)		100			´ò¹·¹÷·¨		Ø¤°ï\316_a(´ò¹·¹÷·¨).3e	1														Ø¤°ï\´ò¹·¹÷·¨B.wav,Ø¤°ï\åĞÒ£ÓÎB.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	ºìÉ«.Mtl			´ò¹·¹÷·¨.spr	C«n ph¸p th­îng thõa, ®¸nh liªn tôc khiÕn ®èi ph­¬ng khã tho¸t	Gold	Bæng §¶ QuÇn KhuyÓn	<color=White>N©ng cao lùc c«ng kİch chİ mÖnh do <color=Blue1>Th©n ph¸p<color=White> vµ <color=Blue1>Linh ho¹t<color=White> mang ®Õn<enter><color=Blue1>§¸nh lui	Thiªn H¹ V« CÈu	<color=White>N©ng cao <color=Blue1>Th©n ph¸p <color=White>vµ <color=Blue1>Linh ho¹t <color=White>lùc ®¸nh quyÕt ®Şnh <enter><color=Blue1>§¸nh ng·	247
124	§¶ CÈu c«n ph¸p	<color=Gold> Vâ c«ng TrÊn ph¸i	<color=White>S¸t khİ tiªu hao <color=Red1>[=cost_momentum] <color=White>«<enter>Lo¹n vò c¸i bang c«n, hãa thµnh <color=Blue1>[=skill_missle_num] <color=White>§¹o C«n ¶nh<enter><color=White>Mçi c«n ¶nh g©y s¸t th­¬ng <color=Blue1>[=imme_0]%<enter><color=White>Víi NPC s¸t th­¬ng t¨ng thªm <color=Blue1>[=damage_0] <color=White>®iÓm{<enter><color=White>Cã tû lÖ gióp ®ång ®éi bŞ s¸t th­¬ng <color=Blue1>[=skill_display_persist_time]% <color=White>chia sÏ ®Õn c¸c ®ång ®éi l©n cËn}<enter><color=White>Trong lóc thi triÓn<color=Blue1>[=529=state_1]% <color=White>miÔn dŞch c¸c tr¹ng th¸i g©y h¹i{<enter><color=White>BŞ s¸t th­¬ng gi¶m <color=Blue1>[=529=state_3]%}<enter><color=White>Duy tr× <color=Green1>10 <color=White>gi©y<enter><color=White>S¸t th­¬ng chia sÏ duy tr× <color=Green1>10 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)	<enter>§¶ CÈu bæng ph¸p vµ §¶ CÈu bæng trËn vang danh thiªn h¹<enter>, giang hå nh©n sÜ ch­a ai ch­a biÕt ®Õn	100			:´ò¹·¹÷Õó·è¿ñµÄÎè¹÷,´ò¹·¹÷Õó·è¿ñµÄÎè¹÷		Ø¤°ï\´ò¹·¹÷Õó_a1.3e	1	-1							Ø¤°ï\´ò¹·¹÷Õó_c1.3e	1					Ø¤°ï\´ò¹·¹÷ÕóA.wav	-1								10	500	´ò¹·¹÷Õó.spr	C¸i Bang tuyÖt kü trÊn ph¸i.<enter>võa c«ng võa ®¸nh	Gold	MËt BÊt ThÊu Phong		Thiªn Y V« Phong		
125	Vâ §ang kiÕm kinh	<color=Purple> NhËp m«n	<color=White>Yªu cÇu vò khİ <color=Blue1>KiÕm<enter><color=White> Ngåi thiÒn mçi 10 gi©y néi lùc t¨ng <color=Blue1>[=state_0] <color=White>®iÓm<enter> Néi lùc tèi ®a t¨ng <color=Blue1>[=state_1]%<enter><color=White> Tèc ®é thi triÓn t¨ng <color=Blue1>[=state_7]%<color=Red1>(giíi h¹n10%){<enter><color=White> Tèc ®é håi phôc néi th­¬ng t¨ng <color=Blue1>[=state_2]%}<enter><color=Blue1> T¨ng phßng ngù hÖ ph¸i <enter><color=Blue1>T¨ng hiÖu qu¶ d­îc liÖu <enter><color=Gray>( Tèc ®é thi triÓn t¨ng. HiÖu qu¶ liªn quan th©n ph¸p)		100																															Îäµ±½£¾­.spr	Vâ §ang ®Ö tö ®¹o gia nhËp m«n t©m ph¸p, gióp håi phôc néi khİ	Gold					
126	Vâ §ang kiÕm ph¸p	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>KiÕm khİ tÊn c«ng theo ®­êng th¼ng<enter>Lùc tÊn c«ng <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn.<enter>Cµng xuÊt chiªu gi·n c¸ch cµng t¨ng<enter>Tèc ®é thi triÓn kh«ng bŞ ¶nh h­ëng bÊt cø hiÖu qu¶ nµo<enter><color=Gray>(Ngò hµnh Kh«ng)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		200			Á÷¹â½£·¨																							½£.blade	±ê×¼ÄĞ.Ani	°×É«1.Mtl			Îäµ±½£·¨.spr	Vâ §ang kiÕm ph¸p c¨n b¶n, dïng KiÕm khİ tÊn c«ng ®­êng th¼ng	Gold	Tiªn Nh©n ChØ Lé	<color=White>N©ng lùc ®¸nh <color=Blue1>20%<enter><color=White>Lùc ®¸nh t¨ng <color=Blue1>100 <color=White>®iÓm			
127	L­u Quang kiÕm ph¸p	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>TÊn c«ng theo ®­êng th¼ng<enter>Lùc tÊn c«ng <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn<enter>Cµng xuÊt chiªu gi·n c¸ch cµng t¨ng<enter><color=Gray>(Ngò hµnh Kim)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		200			Á÷¹â½£·¨																							½£.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			Á÷¹â½£·¨.spr	Vâ §ang kiÕm ph¸p s¬ cÊp (kim), ®¶ th­¬ng ®èi ph­¬ng theo ®­êng th¼ng	Gold	Quang DiÖu ThÇn Ch©u	<color=Blue1> §¸nh xuyªn thÊu <color=White>s¸t th­¬ng gi¶m 20%			
128	VŞ ¦¬ng kiÕm ph¸p	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>KiÕm khİ tÊn c«ng ®èi ph­¬ng ®¬n lÎ<enter>Lùc tÊn c«ng <color=Blue1>[=damage_0] ®iÓm, <enter><color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White> lÇn<enter>§ång thêi trong 2 gi©y lµm gi¶m tèc ®é ®èi ph­¬ng <color=Blue1>[=state_0]%<enter><color=White>Cµng tÊn c«ng gi·n c¸ch ph¸t chiªu cµng dµi<enter><color=Gray>(Ngò hµnh Méc)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			Î´Ñë½£·¨		Îäµ±\403_a(Î´Ñë½£·¨).3e	1																				½£.blade	±ê×¼ÄĞ.Ani	ÂÌÉ«.Mtl			Î´Ñë½£·¨.spr	Vâ §ang kiÕm ph¸p s¬ cÊp (méc), tÊn c«ng tÇm xa	Gold	ThuËn Thñy Th«i Ch©u	<color=White>Lùc tÊn c«ng+ <color=Blue1>10%<enter><color=White>Lùc tÊn c«ng+ <color=Blue1>30 <color=White>®iÓm			
129	Nhu V©n kiÕm ph¸p	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>KiÕm khİ tÊn c«ng ®­êng th¼ng<enter>Lùc tÊn c«ng <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn<enter>§ång thêi trong 2 gi©y khiÕn kÎ ®Şch bŞ lµm chËm <color=Blue1>[=state_1]%<enter><color=White>Cµng tÊn c«ng gi·n c¸ch ph¸t chiªu cµng dµi<enter><color=Gray>(Ngò hµnh Thñy)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			Á÷¹â½£·¨																							½£.blade	±ê×¼ÄĞ.Ani	À¶É«.Mtl			ÈáÔÆ½£·¨.spr	Vâ §ang kiÕm ph¸p s¬ cÊp (thñy), ®¸nh ®èi ph­¬ng theo ®­êng th¼ng	Gold	Phong Cuèn Tµn V©n	<color=White>Lùc tÊn c«ng+ <color=Blue1>10%<enter><color=White>Lùc tÊn c«ng+ <color=Blue1>30 <color=White>®iÓm			
130	LiÖt DiÖm kiÕm ph¸p	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>TÊn c«ng ®¬n lÎ <enter>Lùc tÊn c«ng <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn<enter>Cµng tÊn c«ng gi·n c¸ch cµng dµi<enter><color=Gray>(Ngò hµnh Háa)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		200			Î´Ñë½£·¨																							½£.blade	±ê×¼ÄĞ.Ani	ºìÉ«.Mtl			ÁÒÑæ½£·¨.spr	Vâ §ang kiÕm ph¸p s¬ cÊp (háa), ®¸nh ®èi ph­¬ng tÇm xa	Gold	L­ Trung Thñ Th¸n	<color=White>t¨ng søc c«ng kİch <color=Blue1>25%<enter><color=White>t¨ng søc c«ng kİch <color=Blue1>100 <color=White>®iÓm			
131	B«n L«i KiÕm QuyÕt	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter> KiÕm khİ sÊm sĞt nh¾m ®èi ph­¬ng <color=Blue1>[=damage_1?12:kİch,18:m¹nh kİch,27:träng kİch,36:Siªu träng kİch]lui{<enter><color=White>Lùc tÊn c«ng <color=Blue1>[=damage_0]}<enter><color=White> Gi·n c¸ch xuÊt chiªu <color=Green1>20 <color=White>gi©y<enter><color=Gray>( Ngò hµnh Thæ)<enter><color=Gray>(HiÖu qu¶ liªn quan néi c«ng)		100			µ¥ÊÖÀà½£±©»÷		Îäµ±\406_a(±¼À×½£·¨).3e	1																				½£.blade	±ê×¼ÄĞ.Ani	°×É«2.Mtl			±¼À×½£·¨.spr	Vâ §ang kiÕm ph¸p hÖ Thæ s¬ cÊp kiÕm quyÕt<enter>VËn khİ khiÕn xung quanh bŞ chÊn ®éng	Gold	Thiªn L«i §éng	<color=White>Lùc tÊn c«ng+ <color=Blue1>50%			
255	B«n L«i KiÕm QuyÕt (chiªu)									Îäµ±\406_a(±¼À×½£·¨).3e	1																																
132	V« Ng· T©m Ph¸p	<color=Red3> Hç trî phßng thñ chİnh diÖn (c­êng lùc c«ng ph¸p)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>Dïng néi khİ b¶o vÖ c¬ thÓ<enter>Néi lùc chèng s¸t th­¬ng <color=Blue1>[=state_0]%<enter><color=White>Mçi ®iÓm néi lùc kh¸ng ®­îc <color=Blue1>[=state_1/10] <color=White>®iÓm s¸t th­¬ng<enter><color=White>Duy tr× <color=Green1>240 <color=White>gi©y <enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>60<color=White> gi©y		100			ÎŞÎÒĞÄ·¨		Îäµ±\407_a(ÎŞÎÒĞÄ·¨).3e	1										Îäµ±\407_b(ÎŞÎÒĞÄ·¨).3e	1			Îäµ±\ÎŞÎÒĞÄ·¨.wav											ÎŞÎÒĞÄ·¨.spr	Vâ §ang ®éc m«n t©m ph¸p, dïng néi khİ chèng l¹i søc tÊn c«ng bªn ngoµi	Gold	Thiªn §Şa V« Ng·	<color=White>t¨ng tû lÖ gi¶m s¸t th­¬ng <color=Blue1>5%<enter><color=White>mçi ®iÓm néi lùc gi¶m thªm <color=Blue1>1.5 <color=White>®iÓm s¸t th­¬ng			
256	V« Ng· T©m Ph¸p (chiªu)									Îäµ±\407_a(ÎŞÎÒĞÄ·¨).3e	1										Îäµ±\407_b(ÎŞÎÒĞÄ·¨).3e	1			Îäµ±\ÎŞÎÒĞÄ·¨.wav																		
133	Th¸i Thanh kiÕm khİ	<color=Green3> C«ng kİch néi c«ng_trung cÊp	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>KiÕm khİ rîn ng­êi quĞt theo hµng ngang<enter>Lùc ®¸nh <color=Blue1>[=damage_0] ®iÓm, <color=White>ph¹m vi tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White> <enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>15 <color=White>gi©y<enter><color=Gray>(Ngò hµnh Kim)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			Ì«Çå½£Æø		Îäµ±\408_a(Ì«Çå½£Æø).3e	1														Îäµ±\Ì«Çå½£ÆøA.wav						½£.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			Ì«Çå½£Æø.spr	Vâ §ang kiÕm ph¸p Trung cÊp (Kim).<enter>KiÕm khİ dòng m·nh sµt th­¬ng trong ph¹m vi nhÊt ®Şnh	Gold	B¹ch Hång Kinh Thiªn	<color=White>KhiÕn môc tiªu gi¶m <color=Blue1>40% tèc ®é trong 5 gi©y			
257	Th¸i Thanh kiÕm khİ (chiªu)									Îäµ±\408_a(Ì«Çå½£Æø).3e	1														Îäµ±\Ì«Çå½£ÆøA.wav																		
134	TriÒn Méng KiÕm ı	<color=Red3> Hç trî tÊn c«ng phô diÖn	<color=White>Tiªu hao néi lùc <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>Tû lÖ nhÊt ®Şnh gi¶m tèc ®é di chuyÓn kÎ ®Şch <color=Blue1>[=state_0]%<color=Red1>(giíi h¹n 90%)<enter><color=White>duy tr× <color=Green1>[=skill_effect_persist_time] <color=White>gi©y<enter><color=White>Gi·n c¸ch sö dông <color=Green1>15 <color=White>gi©y<enter><color=Gray>(HiÖu qu¶ liªn quan linh ho¹t)		100			²øÃÎ½£Òâ		Îäµ±\409_a(²øÃÎ½£Òâ).3e	1								Îäµ±\409_c(²øÃÎ½£Òâ).3e	1					Îäµ±\²øÃÎ½£ÒâA.wav				Îäµ±\²øÃÎ½£ÒâB.wav							²øÃÎ½£Òâ.spr	Vâ §ang kiÕm ph¸p Trung cÊp (méc).<enter>KhiÕn ®èi ph­¬ng di chuyÓn chËm ch¹p	Gold	Thiªn Méng TriÒn Hån	<color=White>KĞo dµi thêi gian duy tr× <color=Blue1>30%			
259	TriÒn Méng KiÕm ı (chiªu)									Îäµ±\409_a(²øÃÎ½£Òâ).3e	1								Îäµ±\409_c(²øÃÎ½£Òâ).3e	1					Îäµ±\²øÃÎ½£ÒâA.wav				Îäµ±\²øÃÎ½£ÒâB.wav														
135	L¹c S­¬ng KiÕm ı	<color=Red3> Hç trî tÊn c«ng phô diÖn	<color=White>Tiªu hao néi lùc <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter> Tû lÖ nhÊt ®Şnh gi¶m tèc ®é ®¸nh vµ tèc ®é sö dông vâ c«ng <color=Blue1>[=state_1]%<color=Red1>(giíi h¹n 60%)<enter><color=White>duy tr× <color=Green1>[=skill_effect_persist_time] <color=White>gi©y<enter><color=White>Gi·n c¸ch sö dông <color=Green1>15 <color=White>gi©y<enter><color=Gray>(HiÖu qu¶ liªn quan linh ho¹t)		100			ÂäËª½£Òâ		Îäµ±\409_a(²øÃÎ½£Òâ).3e	1								Îäµ±\410_c(ÂäËª½£Òâ).3e	1					Îäµ±\²øÃÎ½£ÒâA.wav				Îäµ±\ÂäËª½£Òâ.wav							ÂäËª½£Òâ.spr	Vâ §ang kiÕm ph¸p Trung cÊp (thñy).<enter>KhiÕn ®éng t¸c ®èi ph­¬ng chËm ch¹p	Gold	Tö Vi Ng­ng Lé	<color=White>KĞo dµi thêi gian duy tr× <color=Blue1>30%			
260	L¹c S­¬ng KiÕm ı (chiªu)									Îäµ±\409_a(²øÃÎ½£Òâ).3e	1								Îäµ±\410_c(ÂäËª½£Òâ).3e	1					Îäµ±\²øÃÎ½£ÒâA.wav				Îäµ±\ÂäËª½£Òâ.wav														
136	Tİch D­¬ng kiÕm khİ	<color=Green3> C«ng kİch néi c«ng_trung cÊp	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>KiÕm khİ rîn ng­êi. <enter>Lùc ®¸nh <color=Blue1>[=damage_0]<enter><color=Gray>(Ngò hµnh Háa)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			ÖËÑô½£Æø		Îäµ±\411_a(ÖËÑô½£Æø).3e	1														Îäµ±\ÖËÑô½£ÆøA.wav						½£.blade	±ê×¼ÄĞ.Ani	ºìÉ«.Mtl			ÖËÑô½£Æø.spr	Vâ §ang kiÕm ph¸p Trung cÊp (háa).<enter>KiÕm khİ m¹nh mÏ bao v©y ®èi ph­¬ng	Gold	Tr­êng Hång Qu¸n NhËt	<color=White>Mçi gi©y <color=Blue1>200 <color=White>®iÓm s¸t th­¬ng kĞo dµi 5 gi©y			
261	Tİch D­¬ng kiÕm khİ (chiªu)									Îäµ±\411_a(ÖËÑô½£Æø).3e	1														Îäµ±\ÖËÑô½£ÆøA.wav																		
137	HuyÒn Vâ KiÕm TrËn	<color=Red3> Hç trî phßng thñ chİnh diÖn	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>Néi khİ t¹o thµnh <color=Blue1>[=skill_missle_num] <color=White>bøc t­êng b¶o vÖ<enter>S¸t th­¬ng <color=Blue1>[=damage_0] <color=White>®iÓm<enter><color=White>KiÕm khİ duy tr× <color=Green1>30 <color=White>gi©y<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>60 <color=White>gi©y<enter><color=Gray>(Ngò hµnh Thæ)<enter><color=Gray>(HiÖu qu¶ liªn quan Linh ho¹t)		100			ĞşÎä½£Õó		Îäµ±\412_a(ĞşÎä½£Õó).3e	1								Îäµ±\412_b_2(ĞşÎä½£Õó).3e	1											½£.blade	±ê×¼ÄĞ.Ani	°×É«2.Mtl			ĞşÎä½£Õó.spr	Vâ §ang kiÕm ph¸p Trung cÊp (thæ).<enter>ChÆn lùc ®¸nh bªn ngoµi	Gold	NguyÖt B¸n ThÇn Tinh	<color=White>H×nh thµnh kiÕm trËn mçi gi©y <color=Blue1>75% <color=White>lùc ®¸nh			
262	HuyÒn Vâ KiÕm TrËn (chiªu)									Îäµ±\412_a(ĞşÎä½£Õó).3e	1								Îäµ±\412_b_1(ĞşÎä½£Õó).3e	1																							
138	Ngù KiÕm QuyÕt	<color=Red3> Hç trî phßng thñ chİnh diÖn	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter><color=Blue1> Chíp nho¸ng di chuyÓn ®Õn vŞ trİ chØ ®Şnh.{<enter><color=White> §ång thêi trong[=skill_display_persist_time]gi©y n©ng phßng thñ <color=Blue1>100%}<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>[=skill_cast_interval/18] <color=White>gi©y		100			Óù½£¾÷		Îäµ±\413_a(Óù½£¾÷).3e	1		Îäµ±\413_b(Óù½£¾÷).3e	1											Îäµ±\Óù½£¾÷.wav						½£.blade	±ê×¼ÄĞ.Ani	°×É«1.Mtl			Óù½£¾÷.spr	Vâ §ang kiÕm ı thÇn bİ, chíp nho¸ng ®Õn n¬i chØ ®Şnh	Gold	Nh©n KiÕm Hîp NhÊt	<color=White>Trong 3 gi©y tèc ®é di chuyÓn t¨ng <color=Blue1>50%			
139	Chİnh L­ìng Nghi kiÕm ph¸p	<color=Green3> C«ng kİch néi c«ng_trung cÊp	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>2 ®­êng kiÕm khİ tÊn c«ng ®èi ph­¬ng<enter>Lùc tÊn c«ng <color=Blue1>[=damage_1] ®iÓm<enter><color=White>Hç trî vâ c«ng L­ìng Nghi <color=Blue1>[=damage_0]%<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>15 <color=White>gi©y<enter><color=Gray>(Ngò hµnh kh«ng)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			µ¥ÊÖÀà½£±©»÷		Îäµ±\414_a(ÕıÁ½ÒÇ½£·¨).3e	6	18	Îäµ±\414_a_2(ÕıÁ½ÒÇ½£·¨).3e	1	20										Îäµ±\ÕıÁ½ÒÇ½£·¨A.wav						½£.blade	±ê×¼ÄĞ.Ani	°×É«2.Mtl			ÕıÁ½ÒÇ½£·¨.spr	Vâ §ang kiÕm ph¸p kú dŞ, uy lùc v« biªn	Gold	L­ìng Nghi Sinh Huy	<color=White>N©ng cao hiÖu qu¶ l­ìng nghi <color=Blue1>25%<enter><color=Blue1>§¸nh lui 			
264	Chİnh L­ìng Nghi kiÕm ph¸p (chiªu)									Îäµ±\414_a(ÕıÁ½ÒÇ½£·¨).3e	6	18	Îäµ±\414_a_2(ÕıÁ½ÒÇ½£·¨).3e	1	20										Îäµ±\ÕıÁ½ÒÇ½£·¨A.wav																		
140	Th¸i Êt Tam Thanh kiÕm	<color=Green3> C«ng kİch Néi c«ng (cao cÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>Tam ®¹o kiÕm khİ tÊn c«ng ®èi ph­¬ng<enter>Lùc tÊn c«ng <color=Blue1>[=damage_0] ®iÓm<enter><color=Gray>(Ngò hµnh Kim)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			Ì«ÒÒÈıÇå½£		Îäµ±\415_a(Ì«ÒÒÈıÇå½£).3e	1														Îäµ±\Ì«ÒÒÈıÇå½£A.wav						½£.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			Ì«ÒÒÈıÇå½£.spr	KiÕm ph¸p cao cÊp hÖ Kim<enter>Ph¸t ra 3 ®­êng kiÕm khİ tÊn c«ng	Gold	§Èu ChuyÓn Tinh Hµ	<color=White>T¨ng søc tÊn c«ng <color=Blue1>50%<enter><color=White>T¨ng s¸t th­¬ng <color=Blue1>100<color=White> ®iÓm	NhÊt KiÕm Hãa Tam Thanh	<color=White>T¨ng søc tÊn c«ng <color=Blue1>75%<enter><color=White>T¨ng s¸t th­¬ng <color=Blue1>200 <color=White>®iÓm<enter><color=Blue1>§¸nh ng·	
266	Th¸i Êt Tam Thanh KiÕm (chiªu 1)									Îäµ±\415_a(Ì«ÒÒÈıÇå½£).3e	1														Îäµ±\Ì«ÒÒÈıÇå½£A.wav																		
267	Th¸i Êt Tam Thanh KiÕm (chiªu 2)									Îäµ±\415_a(Ì«ÒÒÈıÇå½£).3e	1														Îäµ±\Ì«ÒÒÈıÇå½£A.wav																		
141	ThÇn m«n thËp tam kiÕm	<color=Green3> C«ng kİch Néi c«ng (cao cÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>Liªn tôc xuÊt 13 chiªu kiÕm, s¸t th­¬ng trªn diÖn réng<enter>Thøc thø 1 <color=Blue1>[=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>10 <color=White>lÇn<enter>Thøc thø 2 <color=Blue1>[=269=damage_0] ®iÓm, <color=White>tÊn c«ng <color=Blue1>2 <color=White>lÇn<enter>Thøc thø 3 <color=Blue1>[=271=damage_0] ®iÓm<enter><color=White>KhiÕn ®èi ph­¬ng gi¶m lùc tÊn c«ng trong 10 gi©y <color=Blue1>[=271=state_0]%<enter><color=Gray>(Ngò hµnh Méc)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			ÉñÃÅÊ®Èı½£		Îäµ±\416_a(ÉñÃÅÊ®Èı½£).3e	1														Îäµ±\ÉñÃÅÊ®Èı½£A.wav						½£.blade	±ê×¼ÄĞ.Ani	ÂÌÉ«.Mtl			ÉñÃÅÊ®Èı½£.spr	KiÕm ph¸p cao cÊp hÖ Méc, chíp m¾t xuÊt 13 chiªu kiÕm tÊn c«ng vµo huyÖt ThÇn M«n ®èi ph­¬ng<enter>T¹m thêi v« hiÖu hãa vò khİ cña kÎ ®Şch	Gold	YÕn Tö Sao Thñy	<color=White>Lùc tÊn c«ng+ <color=Blue1>50%<enter><color=White>Gi¶m lùc tÊn c«ng ngo¹i c«ng cña ®èi ph­¬ng <color=Blue1>50% <color=White>duy tr× 15 gi©y	TiÕu Ng÷ Gi¶i Di	<color=White>Lùc tÊn c«ng+ <color=Blue1>80%<enter><color=White>Gi¶m lùc tÊn c«ng néi ngo¹i c«ng ®èi ph­¬ng <color=Blue1>75%<color=White>, duy tr× trong 15 gi©y	271
142	HuyÒn ¢m KiÕm	<color=Green3> C«ng kİch Néi c«ng (cao cÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>KiÕm khİ bao trïm ®èi ph­¬ng <enter>Lùc tÊn c«ng <color=Blue1>[=damage_0] ®iÓm<enter><color=Gray>(Ngò hµnh Thñy)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi lùc)		100			µØÄşĞşÒõ½£		Îäµ±\417_a(µØÄşĞşÒõ½£).3e	1														Îäµ±\µØÄşĞşÒõ½£A.wav						½£.blade	±ê×¼ÄĞ.Ani	À¶É«.Mtl			µØÄşĞşÒõ½£.spr	KiÕm ph¸p cao cÊp hÖ Thñy, lÊy ®Şa khİ chÕ ngù kiÕm khİ.<enter>Chİnh x¸c cùc cao	Gold	N¹i Hµ Håi M©u	<color=White>T¨ng søc tÊn c«ng <color=Blue1>50%<enter><color=White>T¨ng s¸t th­¬ng <color=Blue1>100<color=White> ®iÓm	Minh Phong LiÖt Ph¸ch	<color=White>T¨ng søc tÊn c«ng <color=Blue1>75%<enter><color=White>T¨ng s¸t th­¬ng <color=Blue1>200<color=White> ®iÓm <enter><color=White>Gi¶m <color=Blue1>20%<color=White> tèc ®é di chuyÓn cña môc tiªu trong 10 gi©y	346
