NpcTemplateName	RevivalName	CorpseType	AIType	AIInterval	Level	Life	WalkSpeed	AttackSeries	DefenceSeries	AttackRate	DodgeRate	AttackSpeed	PhysicalAttackMin	PhysicalAttackMax	PhysicalDefencePercent	PhysicalDefence	MagicAttackMin	MagicAttackMax	MagicDefencePercent	MagicDefence	SkillID_1	SkillLevel_1	SkillRate_1	SkillID_2	SkillLevel_2	SkillRate_2	SkillID_3	SkillLevel_3	SkillRate_3	SkillID_4	SkillLevel_4	SkillRate_4	PctCriticalPoint	PctCriticalDamage	PctDefCriticalPoint	PctDefCriticalDamage
N÷ cÇm tiªn	CÇm Tiªn Tö	1	1	6	1	9360	13	0	0	220	104	14	0	0	18	18	36	72	18	18	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
N÷ §Þch tiªn	§Þch tiªn Tö	1	1	6	1	10160	12	0	0	240	96	16	42	84	18	18	0	0	18	18	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
N÷ KiÕm tiªn	KiÕm tiªn Tö	1	1	6	1	9360	12	0	0	240	96	15	36	72	22	22	0	0	22	22	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
Tµ Tiªn Nh©n	Ng« ViÖt L·o Tæ	1	1	6	1	15600	18	0	0	400	160	12	0	0	15	20	45	90	15	20	634	12	100	703	3	0	703	4	0	777	2		0	0	0	0
S¬n TÆc §Çu Môc	B¾c Lôc L©m Minh Chñ	1	1	6	1	19520	13	0	0	320	88	14	54	108	24	30	0	0	24	30	624	12	100	701	3	0	701	4	0	777	2		0	0	0	0
HuyÒn Vâ Th­ong	Th­¬ng ThÇn Doanh Thiªn	1	1	6	1	15600	16	0	0	360	120	12	60	120	20	26	0	0	20	26	624	12	100	701	3	0	701	4	0	777	2		0	0	0	0
¢m Hån2	Oan Hån	2	1	6	1	9600	17	0	0	300	120	12	0	0	65	30	67	135	65	30	634	12	100	616	3	0	601	1	0	777	2		0	0	0	0
NghiÖt Hån	L·nh H­¬ng L¨ng	1	1	6	1	12000	20	0	0	400	160	9	0	0	50	50	75	150	50	50	634	12	100	616	3	0	601	1	0	777	2		0	0	0	0
Quû T­íng Qu©n	§Þa Ngôc Thi V­¬ng	2	2	6	1	2000000	10	0	0	10000	0	18	1	1	0	0	1	1	0	0	557	1	100							635	20		0	0	0	0
Ng­êi c©y	Ng­êi c©y	0	1	6	1	14400	10	0	0	160	0	24	0	0	40	50	31	63	40	50	704	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Yªu Hå3	XÝch LuyÖn Háa Hå	0	1	6	1	8800	17	0	0	300	80	15	40	81	25	25	0	0	25	25	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Phi Thiªn3	LiÖt Nhan Li Long	0	1	6	1	12800	12	0	0	200	40	18	0	0	35	45	39	78	35	45	634	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Sa M¹c Hµnh Nh©n	Sa M¹c Hµnh Nh©n	1	1	6	1	7800	12	0	0	240	64	18	30	60	22	20	0	0	22	20	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
KÎ ®µo mé	KÎ ®µo mé	1	1	6	1	8080	10	0	0	180	72	20	30	60	20	20	0	0	20	20	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
§äat B¶o Nh©n	§äat B¶o Nh©n	1	1	6	1	8600	10	0	0	220	80	18	0	0	24	20	33	66	24	20	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
Hång bµo sø gi¶3	T©y Vùc LiÖt Phô	1	1	6	1	6760	10	0	0	440	52	12	21	42	14	20	0	0	14	20	705	2	100	705	3	0	705	4	0	777	2		0	0	0	0
Cao thñ quan ngo¹i	Cao thñ quan ngo¹i	1	1	6	1	8320	13	0	0	200	70	15	45	90	14	20	0	0	14	20	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
T¶ hé ph¸p	Yªu c¬ Ba T­	1	1	6	1	6240	12	0	0	260	130	14	0	0	14	12	18	36	14	12	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
T©y B¾c Tr¸ng H¸n	T©y B¾c Tr¸ng H¸n	1	1	6	1	13000	10	0	0	120	40	20	36	72	12	14	0	0	12	14	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
T©y B¾c Yªn H¸n	T©y B¾c Yªn H¸n	1	1	6	1	6760	12	0	0	240	100	18	30	60	20	10	0	0	20	10	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
T©y H¹ Vâ SÜ	T©y H¹ Vâ SÜ	1	1	6	1	11440	10	0	0	200	60	20	0	0	15	15	45	90	20	20	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
T©y H¹ Dòng SÜ	T©y H¹ Dòng SÜ	1	1	6	1	11960	14	0	0	80	40	25	39	78	20	20	0	0	15	15	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
D­îc Nh©n	D­îc Nh©n	1	1	6	1	15600	10	0	0	60	20	20	22	45	35	30	0	0	35	30	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
NhÊt PhÈm §­êng MËt Sø	NhÊt PhÈm §­êng MËt Sø	1	1	6	1	6240	18	0	0	200	100	17	37	75	12	10	0	0	12	10	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
NhÊt PhÈm §­êng ¸m S¸y Sø	NhÊt PhÈm §­êng ¸m S¸y Sø	1	1	6	1	5200	20	0	0	240	120	15	0	0	10	12	42	84	10	12	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
H÷u hé ph¸p	¢m NhËt Sø 	1	1	6	1	11960	10	0	0	200	64	18	48	96	30	15	0	0	25	15	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
H¾c bµo sø gi¶1	Minh NhËt Sø	1	1	6	1	11960	10	0	0	200	64	18	0	0	25	15	48	96	30	15	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
Nam ®Ö tö1	Gian TÕ Minh gi¸o	1	1	6	1	10400	10	0	0	200	70	20	45	90	25	20	0	0	25	20	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
Nam ®Ö tö2	§Ö Tö Minh gi¸o	1	1	6	1	8840	10	0	0	240	60	22	0	0	20	25	45	90	20	25	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
KiÕm t­îng	KiÕm t­îng	1	1	6	1	14320	10	0	0	160	20	22	36	72	40	40	0	0	40	40	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
Th­¬ng t­îng	Th­¬ng t­îng	1	1	6	1	14560	10	0	0	160	20	16	33	66	35	55	0	0	35	55	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
§ång t­îng	§ång t­îng	1	1	6	1	13800	10	0	0	220	26	20	0	0	40	50	37	75	40	50	703	2	100	703	3	0	703	4	0	777	2		0	0	0	0
Cung t­îng	Cung t­îng	1	1	6	1	13280	10	0	0	200	20	18	30	60	40	45	0	0	40	45	701	2	100	701	3	0	701	4	0	777	2		0	0	0	0
