ID	Name	Type	LifeTime	Height	Speed	ZSpeed	ZAcceleration	CollidRangeW	CollidRangeH	DamageRangeW	DamageRangeH	Param1	Param2	AutoExplode	MoveKind	DamageNumLimit
30027	ChÝ MÖnh Ho¶ Ph¸o	0	2	10	0			13	13	13	13			1	0	
30028	Kh¸ng Cù Chi L·ng	0	2	1	0			5	5	5	5				0	
30029	ThiÕt Gi¸p Träng KÝch	0	2	60	0			1	1	1	1				0	
30030	C«ng kÝch bãng n­íc	0	36	75	20			3	7	3	7	9			1	
30031	Thõa Phong Ph¸ L·ng	0	2	15	30			7	7	7	7				1	
30032	ThuyÒn chØ huy t¶n x¹	0	54	90	20			3	6	3	6				1	
30033	§«ng Ph­¬ng BÊt B¹i thÇn tr©m	0	8	90	40			3	3	3	3				1	
30034	§«ng Ph­¬ng BÊt B¹i bÞ lùc	0	36	90	0			3	6	3	6				1	
30035	§«ng Ph­¬ng BÊt B¹i quang trô	0	8	90	20			7	7	7	7				1	
434	Oanh L«i Phï	0	2	10	0			7	7	7	7				0	
437	Ngò L«i ChÝnh ph¸p phï	0	130	1	0			13	13	13	13				0	
433	Cuång L«i Phï	0	9	10	0			5	5	5	5				0	
487	Lam Quang CÇu	0	90	1	10			5	5	5	5				1	
506	Nhu V©n ThiÓm Quang	0	180	6	10			5	5	13	13				1	
507	TuyÕt CÇu b¾n ra	0	90	1	0			7	7	7	7				0	
508	Ký hiÖu §¹i Kim §ao	0	54	10	0			23	23	23	23	9		1	0	
509	Th«n V©n Thó-SÊm toµn mµn h×nh	0	54	1	0			7	7	7	7				0	
510	Hoang Háa Chi CÇu-HiÖu øng ®¹n	0	18	10	0			13	13	13	13				0	
511	Th¸i NhÊt L­u Quang TuyÖt ¶nh	0	90	75	15			3	7	3	7				1	
512	Hoang Háa Chi CÇu 	0	36	1	0			13	13	13	13				0	
513	§¹i Kim §ao	0	15	1	0			7	7	7	7				0	
514	Phi ®ao	0	36	75	35			3	7	3	7				1	
515	L­u Quang TuyÖt ¶nh	0	27	60	100			3	7	3	7				1	
516	C¬ Giíi Thó Næ	0	30	60	0			15	15	15	15				0	
518	Hoang Háa LiÖt DiÖm-HiÖu øng ®¹n	0	18	10	0			13	13	13	13				0	
517	Duy tr× ch¸y lín	0	18	10	0			23	23	23	23	9		1	0	
519	Hoµnh T¶o Thiªn Qu©n	0	15	75	100			3	7	3	7				1	
