ID	Name	Type	EffectDesc	BGDesc	AniPlaySpeed	AniBurstSkillOnHorse	AniEndSkillOnHorse	AniBurstSkillNotOnHorse	AniEndSkillNotOnHorse	LauncherBurstSFX_1	LauncherBurstSFXPos_1	LauncherBurstSFXWaittime_1	LauncherBurstSFX_2	LauncherBurstSFXPos_2	LauncherBurstSFXWaittime_2	LauncherEndSFX	LauncherEndSFXPos	LauncherEndSFXWaittime	TargetSFX	TargetSFXPos	PersistSFX_1	PersistSFXPos_1	PersistSFX_2	PersistSFXPos_2	LauncherBurstSound_1	LauncherBurstSoundWaittime_1	LauncherBurstSound_2	LauncherBurstSoundWaittime_2	TargetSound	PersistSound	Blade	BladeAni	BladeMtl	BlurNum	BlurInterval	Icon	Desc	NameColor	SubSkill1Name	SubSkill1Desc	SubSkill2Name	SubSkill2Desc	SubSkillOwnerID																														
87	佛音战意	<color=Red3>主动正面攻击辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>提高范围内友方内功攻击力 <color=Blue1>[=state_0]%<enter><color=White>持续时间 <color=Green1>300 <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>15 <color=White>秒<enter><color=Gray>(效果关联 内功)		100			佛光战气		峨嵋\211_a(佛音战意).3e	1																				剑.blade	峨嵋.Ani	蓝色.Mtl			佛音战意.spr	峨嵋高级佛法,以佛音化为战意,提升范围内<enter>友方内功攻击力	Gold	意定在心	<color=White>额外提高效果 <color=Blue1>10%	无意无念	<color=White>额外提高效果 <color=Blue1>20%																															
232	佛音战意(招1)									峨嵋\211_a(佛音战意).3e	1																																																														
233	佛音战意(招2)									峨嵋\211_a(佛音战意).3e	1																																																														
88	大慈大悲咒	<color=Red2>主动回复辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>需要消耗1个 <color=Red1>舍利金丹<enter>使己方目标 <color=Blue1>复活{<enter><color=White>回复生命 <color=Blue1>[=imme_1] <color=White>点}{<enter><color=White>回复生命 <color=Blue1>[=imme_2]%}{<enter><color=White>并回复内力 <color=Blue1>[=imme_3]%}<enter><color=White>武功使用间隔 <color=Green1>30 <color=White>秒<enter><color=Gray>(效果关联 内功)		100			大慈大悲咒											峨嵋\212_c(大慈大悲咒).3e	1					峨嵋\不灭心法A.wav	18	峨嵋\莲华心经.wav	54	峨嵋\佛光战气A.wav		剑.blade	峨嵋.Ani	蓝色.Mtl			大慈大悲咒.spr	峨嵋顶级佛法,大慈大悲救苦救难,使目标<enter>原地复活	Gold	金丹显圣	<color=White>复活后生命回复提高 <color=Blue1>20%<enter><color=White>防御提高 <color=Blue1>15% <color=White>持续10秒	九气归真	<color=White>复活后生命 <color=Blue1>完全回复<enter><color=White>防御和移动速度提高 <color=Blue1>20% <color=White>持续10秒																															
342	大慈大悲咒(招1)																		峨嵋\212_c(大慈大悲咒).3e	1					峨嵋\不灭心法A.wav	18	峨嵋\莲华心经.wav	54	峨嵋\佛光战气A.wav																																												
343	大慈大悲咒(招2)																		峨嵋\212_c(大慈大悲咒).3e	1					峨嵋\不灭心法A.wav	18	峨嵋\莲华心经.wav	54	峨嵋\佛光战气A.wav																																												
89	万相神功	<color=Gold> 镇派武功	<color=White>消耗杀气 <color=Red1>[=cost_momentum] <color=White>格<enter>大慈大悲观世音菩萨附身度化世间万相<enter><color=White>使周围所有友方每 <color=Blue1>[=522=skill_diffuse_interval/18] <color=White>秒无敌 <color=Blue1>[=522=skill_effect_persist_time] <color=White>秒<enter><color=White>同时每3秒对敌方目标造成伤害 <color=Blue1>[=523=imme_0]% <color=White><enter>对NPC额外攻击力 <color=Blue1>[=523=damage_0] <color=White>点{<enter><color=White>菩萨附身期间提高内外功比例防御 <color=Blue1>[=state_4]%}{<enter><color=White>提高移动速度 <color=Blue1>[=state_9]%}<enter><color=White>可吸收内外功伤害 <color=Blue1>[=state_6] <color=White>点<enter><color=White>菩萨附身期间，自身 <color=Blue1>[=520=state_1]% <color=White>免疫所有负面状态<enter><color=White>效果持续时间 <color=Green1>30 <color=White>秒<enter><color=Gray>(五行 由武器决定)	<enter> Nga Mi ph?i lêy tu t?m ni?m Ph?t lμm t?n ch?. Tuy ?? t? m?n ph?i ??u lμ n÷ l-u nh-ng va ngh? so víi va l?m m?n ph?i th× kh?ng h? k?m cai	100			万相神功1		峨嵋\万相神功_a1.3e	1										峨嵋\万相神功_b1.3e	1			峨嵋\万相神功A1.wav		峨嵋\万相神功A2.wav		峨嵋\万相神功B1.wav	??á?\í??àé?1|B1.wav				10	500	万相神功.spr	峨嵋镇派佛法,佛法无边包揽世间万相,使范围内友方<enter>脱离苦海,自身杀气全无并不受任何外界扰乱	Gold	无有相生		万相同归																																
522	万相神功(子1)							万相神功2																																																																	
523	万相神功(子2)																																																																								
90	望月心法	<color=Purple>入门武功	<color=White>限制武器使用 <color=Blue1>琴<enter><color=White>打坐时每10秒增加内力回复 <color=Blue1>[=state_0] <color=White>点<enter>身法影响的闪避值提高 <color=Blue1>[=state_1]%<enter><color=White>将琴普通攻击转换为 <color=Blue1>内功系{<enter><color=White>提高内伤回复速度 <color=Blue1>[=state_2]%}<enter><color=Blue1>流派防御修正<enter><color=Blue1>流派药效修正		100																															望月心法.spr	峨嵋俗家弟子入门心法,有助于内气回复并能<enter>提升自身灵巧性	Gold																																			
91	随意曲	<color=Green3>主动低级内功攻击	<color=White>起始消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>每秒消耗内力 <color=Red1>[=cost_mana_per_second] <color=White>点<enter>散乱的琴音化成锋利的箭头随机攻击前方敌人<enter>攻击力 <color=Blue1>[=damage_0]<enter><color=White>每秒攻击上限 <color=Blue1>[=skill_missle_num] <color=White>次<enter><color=White>琴曲持续时间 <color=Green1>15 <color=White>秒<enter><color=White>琴曲弹奏间隔 <color=Green1>5 <color=White>秒<enter><color=Gray>(五行 无)<enter><color=Gray>(效果关联 内功)		100			:弹琴2a,弹琴2b		峨嵋\215_a(随意曲).3e	1	-1	其他\琴a_光球_蓝.3e												峨嵋\随意曲.wav+	18										随意曲.spr	峨嵋初级琴曲,用琴音随意伤害前方大片敌人	Gold	高山流水	<color=White>提高攻击力 <color=Blue1>20%<enter><color=White>同时发出 <color=Blue1>6道琴声																																	
92	曲艺精通	<color=Purple>被动武功	<color=White>琴曲弹奏间隔缩短 <color=Blue1>[=state_0/18] <color=White>秒		100																															曲艺精通.spr	峨嵋初级心法,更和谐的溶入琴音之中,使连<enter>续弹奏成为可能	Gold																																			
93	月蚀曲	<color=Red3>主动负面攻击辅助	<color=White>起始消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>每秒消耗内力 <color=Red1>[=cost_mana_per_second] <color=White>点<enter>诡异的琴音干扰敌人经脉<enter>使范围内敌人每次攻击时都会损失 <color=Blue1>[=state_0/10]% <color=White>的生命{<enter>同时提高目标攻击速度 <color=Blue1>[=state_1]%}<enter><color=White>每波攻击力 <color=Blue1>[=damage_0] <color=White>点<enter><color=White>对头目级的敌人无效<enter>琴曲持续时间 <color=Green1>14 <color=White>秒<enter><color=White>琴曲弹奏间隔 <color=Green1>5 <color=White>秒<enter><color=Gray>(效果关联 身法)		100			:弹琴1a,弹琴1b		峨嵋\214_b(月蚀曲).3e	1	-1	其他\琴a_强化7.3e						峨嵋\214_c(月蚀曲).3e	1					峨嵋\月蚀曲.wav+	18										月蚀曲.spr	峨嵋初级琴曲,琴音扰乱敌方经脉,使其<enter>使用武功会损失生命	Gold	天狗食月	<color=White>目标损失内力 <color=Blue1>5%																																	
94	断水心法	<color=Red3>主动正面防御辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>收回内气,立即中断琴音<enter>允许中断 <color=Blue1>[=skill_param1?1:随意曲 月蚀曲,5:随意曲 月蚀曲 静夜思,9:随意曲 月蚀曲 静夜思 阳关三叠,13:随意曲 月蚀曲 静夜思 阳关三叠 乌夜啼,17:随意曲 月蚀曲 静夜思 阳关三叠 乌夜啼 迷心飘香曲,20:任何琴曲]<enter><color=White>中断敌人的琴音时有一定概率失败<enter>武功使用间隔 <color=Green1>5 <color=White>秒		100			停琴1,停琴2																	峨嵋\断水心法.wav											断水心法.spr	峨嵋初级心法,可以随时中断琴音,恢复自我	Gold	水断愁消	<color=White>中断 <color=Blue1>任何琴音																																	
95	静夜思	<color=Red3>主动负面攻击辅助	<color=White>起始消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>每秒消耗内力 <color=Red1>[=cost_mana_per_second] <color=White>点<enter>静谧的琴音干扰敌人运功<enter>降低范围内敌人内外功攻击力 <color=Blue1>[=state_0]%{<enter><color=White>[=skill_display_persist_time?1:一]定概率使目标 <color=Blue1>昏睡 <color=Green1>2 <color=White>秒}<enter><color=White>琴曲持续时间 <color=Green1>15 <color=White>秒<enter><color=White>琴曲弹奏间隔 <color=Green1>10 <color=White>秒<enter><color=Gray>(效果关联 身法)		100			:弹琴1a,弹琴1b		峨嵋\216_b(静夜思).3e	1	-1	其他\琴a_发散_红.3e												峨嵋\静夜思.wav+	18										静夜思.spr	峨嵋中级琴曲,扰乱敌方攻击并催人入睡	Gold	月影银霜	<color=White>睡眠 <color=Blue1>4 <color=White>秒<enter><color=White>睡眠状态下比例防御降低 <color=Blue1>15%																																	
96	余音绕梁功	<color=Purple>被动武功	<color=White>延长琴曲每波效果 <color=Blue1>[=state_0]%		100																															余音绕梁功.spr	峨嵋中级心法,使琴曲余音绕梁,久久不绝	Gold																																			
97	阳关三叠	<color=Red3>主动负面防御辅助	<color=White>起始消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>每秒消耗内力 <color=Red1>[=cost_mana_per_second] <color=White>点<enter>杂乱的琴音扰乱敌人气息<enter>削弱范围内敌人内外功防御力 <color=Blue1>[=state_0]%{<enter><color=White>[=skill_display_persist_time?1:一]定概率使目标 <color=Blue1>混乱 <color=Green1>2 <color=White>秒}<enter><color=White>琴曲持续时间 <color=Green1>15 <color=White>秒<enter><color=White>琴曲弹奏间隔 <color=Green1>10 <color=White>秒<enter><color=Gray>(效果关联 身法)		100			:弹琴2a,弹琴2b		峨嵋\217_b(阳关三叠).3e	1	-1	其他\琴a_聚拢_紫.3e						峨嵋\217_c(阳关三叠).3e	1					峨嵋\阳关三叠.wav+	18										阳关三叠.spr	峨嵋中级琴曲,扰乱敌方防御并使动作混乱	Gold	桃迷柳乱	<color=White>混乱 <color=Blue1>4 <color=White>秒																																	
98	覆水心法	<color=Red3>主动正面防御辅助	<color=White>以 <color=Blue1>75% <color=White>的消耗重新演奏被打断的琴曲<enter>并使重奏的琴曲不被攻击打断<enter>允许重奏 <color=Blue1>[=skill_param1?1:随意曲 月蚀曲,5:随意曲 月蚀曲 静夜思,9:随意曲 月蚀曲 静夜思 阳关三叠,13:随意曲 月蚀曲 静夜思 阳关三叠 乌夜啼,17:随意曲 月蚀曲 静夜思 阳关三叠 乌夜啼 迷心飘香曲,20:任何琴曲]<enter><color=White>武功使用间隔 <color=Green1>15 <color=White>秒		100																															覆水心法.spr	峨嵋中级心法,重新演奏被打断的曲目<enter>节省内气	Gold	细水长流	<color=White>额外削减消耗 <color=Blue1>50%																																	
99	焚琴煮鹤诀	<color=Blue3>主动高级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>将琴砸出,伤害直线上所有敌人<enter>攻击力 <color=Blue1>[=damage_0]<enter><color=White>命中敌人后将损失琴自身耐久度 <color=Red1>2%<enter><color=White>武功使用间隔 <color=Green1>15 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 琴自身品质)		100			焚琴煮鹤诀																	峨嵋\焚琴煮鹤诀.wav											焚琴煮鹤诀.spr	峨嵋高级武功,将琴全力掷出,威力极大	Gold	残琴哀鹤	<color=White>提高武器攻击力 <color=Blue1>100%<enter><color=White>眩晕 <color=Blue1>1 <color=White>秒	鹤舞琴岚	<color=White>提高武器攻击力 <color=Blue1>200%<enter><color=White>眩晕 <color=Blue1>2 <color=White>秒																															
100	乌夜啼	<color=Red3>主动负面攻击辅助	<color=White>起始消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>每秒消耗内力 <color=Red1>[=cost_mana_per_second] <color=White>点<enter>凄美的琴音干扰敌人行动<enter>降低范围内敌人移动速度 <color=Blue1>[=state_0]%{<enter><color=White>同时降低内力上限 <color=Blue1>[=state_1]%}{<enter><color=White>[=skill_display_persist_time?1:一]定概率使目标 <color=Blue1>定身 <color=Green1>2 <color=White>秒}<enter><color=White>琴曲持续时间 <color=Green1>15 <color=White>秒<enter><color=White>琴曲弹奏间隔 <color=Green1>15 <color=White>秒<enter><color=Gray>(效果关联 身法)		100			:弹琴1a,弹琴1b		峨嵋\219_a(乌夜啼).3e	1	-1	其他\琴a_发散_紫.3e						峨嵋\219_c(乌夜啼).3e	1					峨嵋\乌夜啼.wav+	18										乌夜啼.spr	峨嵋高级琴曲,扰乱敌方内气并降低作战效率	Gold	寒风萧萧	<color=White>降低攻击速度 <color=Blue1>20% <color=White>持续5秒<enter><color=White>定身 <color=Blue1>4 <color=White>秒	三鸦绕树	<color=White>降低攻击速度 <color=Blue1>40% <color=White>持续8秒<enter><color=White>定身 <color=Blue1>5 <color=White>秒																															
101	迷心飘香曲	<color=Green3>主动高级内功攻击	<color=White>起始消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>每秒消耗内力 <color=Red1>[=cost_mana_per_second] <color=White>点<enter>狂野的琴音直接震伤敌人<enter>每波攻击力 <color=Blue1>[=damage_0]<enter><color=White>并有一定概率使目标 <color=Blue1>眩晕 <color=Green1>2 <color=White>秒<enter><color=White>琴曲持续时间 <color=Green1>15 <color=White>秒<enter><color=White>琴曲弹奏间隔 <color=Green1>15 <color=White>秒<enter><color=Gray>(效果关联 内功)		100			:超级弹琴a,超级弹琴b		峨嵋\220_a(迷心飘香曲).3e	1	-1	其他\琴a_发散_蓝.3e						峨嵋\220_c(迷心飘香曲).3e	1					峨嵋\迷心飘香曲.wav+	18										迷心飘香曲.spr	峨嵋顶级琴曲,用琴音大范围伤敌并致敌眩晕	Gold	花落留香	<color=White>提高攻击力 <color=Blue1>20%<enter><color=White>眩晕 <color=Blue1>1 <color=White>秒	香飘意乱	<color=White>提高攻击力 <color=Blue1>50%<enter><color=White>眩晕 <color=Blue1>2 <color=White>秒																															
102	天音镇魂曲	<color=Gold> 镇派武功	<color=White>消耗杀气 <color=Red1>[=cost_momentum] <color=White>格<enter>弹奏弥天镇魂音<enter><color=White>每秒对敌方目标造成伤害 <color=Blue1>[=imme_0]% <color=White><enter>对NPC额外攻击力 <color=Blue1>[=damage_0] <color=White>点<enter><color=White>同时每秒使周围所有敌方 <color=Blue0>[=state_0p]% <color=White>概率被封招 <color=Blue1>[=skill_effect_persist_time] <color=White>秒{<enter><color=White>每2秒向前发射[=525=skill_missle_num?1:一]道强劲琴波<enter><color=White>对敌方目标造成伤害 <color=Blue1>[=525=imme_0]% <color=White><enter>对NPC额外攻击力 <color=Blue1>[=525=damage_0] <color=White>点}<enter><color=White>弹奏期间，前8秒自身 <color=Blue1>[=524=state_1]% <color=White>免疫所有负面状态<enter><color=White>镇魂曲弹奏时间 <color=Green1>15 <color=White>秒<enter>无法用覆水心法重复<enter><color=Gray>(五行 由武器决定)	<enter>Ph?t b?n v? ?m, nhian tu gi? vi?t h?n, dü c?m ?m nhi?p nh?n t?m h?n d· 	100			:天音镇魂曲浮空过程动作,天音镇魂曲浮空弹琴		峨嵋\天音镇魂曲_a1.3e	1	-1							峨嵋\天音镇魂曲_c1.3e	1					峨嵋\天音镇魂曲.wav	18										天音镇魂曲.spr	峨嵋镇派琴曲,使敌方武功全失,不知所从	Gold	勾魂摄魄		天外飞仙																																
103	混天气功	<color=Purple>入门武功	<color=White>限制武器使用 <color=Blue1>护手<enter><color=White>打坐时每10秒增加生命回复 <color=Blue1>[=state_1] <color=White>点<enter>外功点数防御增加 <color=Blue1>[=state_0] <color=White>点{<enter>提高外伤回复速度 <color=Blue1>[=state_2]%}<enter><color=Blue1>流派防御修正<enter><color=Blue1>流派药效修正		100																															混天气功.spr	丐帮净衣弟子入门心法,有助于外伤回复	Gold																																			
104	丐帮掌法	<color=Purple>被动武功	<color=White>提高护手攻击力 <color=Blue1>[=state_1]%<enter><color=White>增加护手攻击力 <color=Blue1>[=state_2] <color=White>点		100																															丐帮掌法.spr	丐帮基本拳掌功法,提高用护手技巧	Gold																																			
105	通臂拳	<color=Red3>主动正面攻击辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>发动 <color=Blue1>通臂拳法<enter><color=White>普通攻击攻击力 <color=Blue1>[=334=damage_0]<enter><color=White>持续时间 <color=Green1>180 <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>60 <color=White>秒		100			通臂拳		其他\开启武器_聚拢.3e	6	12										6			丐帮\通臂拳A.wav,丐帮\通臂拳B.wav											通臂拳.spr	丐帮初级拳法,提高普通拳法攻击力	Gold	臂扫四海	<color=White>提高攻击力 <color=Blue1>10%			334																														
334	通臂拳法				100			通臂拳03																															臂扫四海																																		
106	千斤闸	<color=Purple>被动武功	<color=White>受攻击时受伤动作时间缩短 <color=Blue1>[=state_0]%<enter><color=Blue0>[=state_1]% <color=White>概率回避击退效果<enter><color=White>提高自身护甲值 <color=Blue1>[=state_2] <color=White>点<enter><color=Gray>(效果关联 根骨)		100			千斤闸		丐帮\303_a(千斤闸).3e	1														丐帮\千斤闸A.wav,丐帮\千斤闸B.wav											千斤闸.spr	丐帮中级心法,有如千斤之闸立于洪流,<enter>减少受伤动作	Gold	洪流砥柱	<color=White>提高外功比例防御 <color=Blue1>10%<enter><color=Blue1>击退免疫																																	
235	千斤闸(招)									丐帮\303_a(千斤闸).3e	1														丐帮\千斤闸A.wav,丐帮\千斤闸B.wav																																																
107	霸王拳	<color=Blue3>主动低级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>以最强的气势对单一敌人猛挥一拳<enter>攻击力 <color=Blue1>[=damage_0]<enter><color=White>有15%概率使目标 <color=Blue1>眩晕1秒<enter><color=White>武功使用间隔 <color=Green1>1 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 力量)		100			霸王拳02		丐帮\302_b(霸王拳).3e	6														丐帮\霸王拳A.wav,丐帮\霸王拳B.wav											霸王拳.spr	丐帮初级拳法,威力不凡并能以气势致敌眩晕	Gold	霸王降世	<color=White>提高攻击力 <color=Blue1>60%<enter><color=White>30%概率 <color=Blue1>眩晕1秒																																	
108	锁喉擒拿手	<color=Red3>主动负面攻击辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>快发一招 <color=Blue0>[=state_0p]% <color=White>概率缠住敌人<enter>双方都无法移动但可以使用任何武功<enter>发动者移动后失效<enter>持续时间 <color=Green1>[=skill_effect_persist_time] <color=White>秒<enter>武功使用间隔 <color=Green1>25 <color=White>秒		100			锁喉擒拿手																	丐帮\锁喉擒拿手.wav,丐帮\霸王拳B.wav											锁喉擒拿手.spr	丐帮中级拳法,刚柔并济,将敌人缠住	Gold	枯藤绕树	<color=White>降低攻击速度 <color=Blue1>20%																																	
109	逍遥游	<color=Purple>被动武功	<color=White>攻击速度提高 <color=Blue1>[=state_0]%<enter><color=White>命中值增加 <color=Blue1>[=state_1] <color=White>点<enter><color=White>降低迟缓效果的影响 <color=Blue1>[=state_2]%		100			逍遥游		丐帮\305_a(逍遥游).3e	1														丐帮\逍遥游A.wav,丐帮\逍遥游B.wav											逍遥游.spr	丐帮初级心法,无拘无束,使攻击更为敏捷	Gold	四海遨游	<color=White>提高完全闪避率 <color=Blue1>5%																																	
238	逍遥游(招)									丐帮\305_a(逍遥游).3e	1														丐帮\逍遥游A.wav,丐帮\逍遥游B.wav																																																
110	六合拳法	<color=Blue3>主动中级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>双拳猛挥攻击小片敌人<enter>攻击力 <color=Blue1>[=damage_0]<enter><color=White>有15%概率使目标 <color=Blue1>眩晕1秒<enter><color=White>武功使用间隔 <color=Green1>2 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 力量)		100			六合拳法		丐帮\302_b(霸王拳).3e	6														丐帮\六合拳法A.wav,丐帮\六合拳法B.wav											六合拳法.spr	丐帮中级拳法,以横扫六合之势攻击身前<enter>一片敌人	Gold	横扫六合	<color=White>提高攻击力 <color=Blue1>30%<enter><color=White>30%概率 <color=Blue1>眩晕1秒																																	
111	醉蝶	<color=Red3>主动正面攻击辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>每损失1%的生命将使攻击力提高 <color=Blue1>[=state_0/10]%<enter><color=White>增加命中值 <color=Blue1>[=state_1] <color=White>点{<enter><color=White>降低迟缓效果的影响 <color=Blue1>[=state_2]%}<enter><color=White>持续时间 <color=Green1>120 <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>60 <color=White>秒		100			醉蝶		丐帮\307_a(醉蝶).3e	1										丐帮\307_b(醉蝶).3e	1			丐帮\醉蝶A.wav,丐帮\六合拳法B.wav		丐帮\醉蝶B.wav	6								醉蝶.spr	丐帮高级心法,醉意之中受伤越重爆发出<enter>越大的伤害	Gold	醉蝶狂舞	<color=White>提高外功攻击力 <color=Blue1>5%	百花劝醉	<color=White>提高外功攻击力 <color=Blue1>5%<enter><color=White>提高移动速度 <color=Blue1>10%																															
240	醉蝶(招1)									丐帮\307_a(醉蝶).3e	1										丐帮\307_b(醉蝶).3e	1	其他\空手a_聚拢_金.3e		丐帮\醉蝶A.wav,丐帮\六合拳法B.wav		丐帮\醉蝶B.wav	6																																													
241	醉蝶(招2)									丐帮\307_a(醉蝶).3e	1										丐帮\307_b(醉蝶).3e	1	其他\空手a_闪电_蓝.3e		丐帮\醉蝶A.wav,丐帮\六合拳法B.wav		丐帮\醉蝶B.wav	6																																													
112	醉拳	<color=Blue3>主动高级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>借醉酒之态发出怒吼<enter>攻击前方所有敌人，攻击力 <color=Blue1>[=damage_0]<enter><color=White>并且 <color=Blue1>封锁敌人轻功<enter><color=White>同时有 <color=Blue0>[=damage_1p]% <color=White>概率将敌人 <color=Blue1>击退<enter><color=White>持续时间 <color=Green1>[=skill_effect_persist_time] <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>12 <color=White>秒<enter><color=Gray>(攻击力关联 力量)<enter><color=Gray>(震退距离关联 根骨)		100			醉拳		丐帮\308_a(醉拳).3e	1														丐帮\千斤闸A.wav,丐帮\千斤闸B.wav											醉拳.spr	丐帮高级拳法,似醉非醉,借醉意横扫敌人	Gold	顺手牵羊	<color=White>附加攻击力 <color=Blue1>200<enter><color=White>减速 <color=Blue1>30%	醉太白	<color=White>附加攻击力 <color=Blue1>400<enter><color=White>减速 <color=Blue1>50%																															
113	降龙十八掌	<color=Gold> 镇派武功	<color=White>消耗杀气 <color=Red1>[=cost_momentum] <color=White>格<enter>以极浑厚之内力催动掌风化为巨龙击出<enter>先出 <color=Blue1>[=skill_missle_num] <color=White>掌<enter>每掌对敌方目标造成伤害 <color=Blue1>[=imme_0]% <color=White><enter>掌风对NPC额外攻击力 <color=Blue1>[=damage_0] <color=White>点<enter>最后尽全身功力施展<color=Gold>亢龙有悔<enter><color=White>对敌方目标造成伤害 <color=Blue1>[=528=imme_0]% <color=White><enter>对NPC额外攻击力 <color=Blue1>[=528=damage_0] <color=White>点<enter><color=Gray>(五行 由武器决定)	<enter> Gi?ng Long Th?p B?t Ch-?ng lμ tuy?t h?c trên ph?i C?i Bang, chiau th?c dùa theo Kinh D?ch <enter>D?ng kinh d?ch ?· th?ng kinh m1ch ?ó ph?t huy néi lùc ti?m èn <enter>	100			降龙十八掌																	丐帮\醉拳A.wav,丐帮\醉拳A1.wav									10	500	降龙十八掌.spr	丐帮镇派拳法,天下闻名,独步江湖	Gold	亢龙有悔		飞龙在天																																
114	天行气功	<color=Purple>入门武功	<color=White>限制武器使用 <color=Blue1>棍<enter><color=White>提高棍普通攻击速度 <color=Blue1>[=state_0]%<enter><color=White>身法影响的闪避值提高 <color=Blue1>[=state_1]%{<enter><color=White>提高外伤回复速度 <color=Blue1>[=state_2]%}<enter><color=Blue1>流派防御修正<enter><color=Blue1>流派药效修正		100																															天行气功.spr	丐帮污衣弟子入门心法,提高身体敏捷度	Gold																																			
115	丐帮棍法	<color=Purple>被动武功	<color=White>提高棍攻击力 <color=Blue1>[=state_1]%<enter><color=White>增加棍伤害 <color=Blue1>[=state_2] <color=White>点<enter><color=Gray>(效果关联 身法)		100																															丐帮棍法.spr	丐帮基本使棍功法,提高用棍技巧	Gold																																			
116	驱蛇棍法	<color=Blue3>主动低级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter><color=White>对单一敌人连点数棍<enter>第一式攻击力 <color=Blue1>[=damage_0] <color=White>攻击 <color=Blue1>[=skill_missle_num] <color=White>次<enter>第二式攻击力 <color=Blue1>[=242=damage_0]<enter><color=White>武功使用间隔 <color=Green1>1 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 身法 洞察)		100			驱蛇棍法																	丐帮\驱蛇棍法.wav						长棍.blade	标准男.Ani	红色.Mtl			驱蛇棍法.spr	丐帮初级棍法,连续攻击单一敌人	Gold	拨草寻蛇	<color=White>每一式增加攻击力<color=Blue1>25%<enter><color=White>击退			242																														
117	乞天讨地	<color=Red3>主动正面防御辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>很随意的坐下休息,消除周围敌人的敌意<enter>等级低于 <color=Blue1>[=state_1] <color=White>级且不高于角色的<enter><color=Yellow>非玩家敌人 <color=White>停止攻击角色<enter>并在状态时间内加速气血回复<enter>持续时间 <color=Green1>10 <color=White>分钟<enter><color=Gray>(效果关联 洞察)		100			乞天讨地																	丐帮\乞天讨地.wav											乞天讨地.spr	丐帮初级技能,席地乞讨,可以避开野兽恶人<enter>的攻击,并可以加速自身回复	Gold																																			
118	泥鳅功	<color=Red3>主动正面防御辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>降低减速效果的影响 <color=Blue1>[=state_0]%<enter><color=White>降低迟缓效果的影响 <color=Blue1>[=state_1]%<enter><color=White>增加命中值 <color=Blue1>[=state_2] <color=White>点<enter><color=White>持续时间 <color=Green1>180 <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>60 <color=White>秒<enter><color=Gray>(效果关联 身法 洞察)		100			泥鳅功		丐帮\311_a(泥鳅功).3e	1														丐帮\泥鳅功A.wav		丐帮\泥鳅功B.wav,丐帮\通臂拳B.wav	18								泥鳅功.spr	丐帮中级心法,身如泥鳅滑不留手,在战场上<enter>来去自如	Gold	滑不留手	<color=White>增加闪避值 <color=Blue1>50 点																																	
244	泥鳅功(招)									丐帮\311_a(泥鳅功).3e	1										其他\棍a_聚拢_金.3e				丐帮\泥鳅功A.wav		丐帮\泥鳅功B.wav,丐帮\通臂拳B.wav	18																																													
