AttrId	AttrName	Rate	Event	Time	SkillId	Attr	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	DescColor	Desc
252	58√§”б		0			state_add_dexterity	15	20	25	30	35	40					Blue0	Th©n phЄp t®ng %d
253	59Ћƒ¬ъ		0			state_medicine_time_increase	10	14	18	22	26	30					Blue0	Hi÷u quґ thuиc k–o dµi %d%%
254	60÷–„Ґ		0			state_burst_enhance_rate	1	2	3	4	5	6					gold	Tиc Ѓй thi tri”n t®ng %d%%
255	61∆ш—®		0			state_neili_max_percent_add	10	14	18	22	26	30					gold	Іi”m nйi lщc t®ng %d%%
256	62 ѓєЎ		0			state_life_max_point_add	500	800	1100	1400	1700	2000					gold	Іi”m sinh lщc t®ng %d
257	63Ќ®є»					state_magic_armor_add	10	14	18	22	26	30					gold	Trё sи hй giЄp nйi phяng t®ng %d
258	64єЎ√≈					state_physical_armor_add	10	14	18	22	26	30					gold	Trё sи hй giЄp ngoєi phяng t®ng %d
259	65∆ш≥е				30125	SKILL_ATTR	1	2	3	4	5	6	7	8	9	10	gold	Kь n®ng bё Ѓйng: 
260	66ї™Є«		0			state_life_max_percent_add	5	8	11	14	17	20					gold	Giнi hєn Ѓi”m sinh lщc t®ng %d%%
261	20ѕ‘ Њ					DUMMY_ATTR	150	180	210	240	270	300					gold	T n cЂng cг tы l÷ t®ng Ѓйc sЄt %d
262	24ѕ‘ Њ					DUMMY_ATTR	120	144	168	192	216	240					gold	T n cЂng cг tы l÷ t®ng sЄt th≠ђng %d
263	27ѕ‘ Њ					DUMMY_ATTR	200	240	280	320	360	400					Blue0	SЄt th≠ђng Cж Ійc t®ng %d
264	28ѕ‘ Њ					DUMMY_ATTR	250	300	350	400	450	500					gold	T n cЂng cг tы l÷ t®ng sЄt th≠ђng Cж Ійc %d
265	38ѕ‘ Њ					DUMMY_ATTR	10	14	18	22	26	30					gold	T n cЂng cг tы l÷ t®ng ngoєi cЂng %d%%
266	53ѕ‘ Њ					DUMMY_ATTR	10	14	18	22	26	30					gold	T n cЂng cг tы l÷ t®ng nйi cЂng %d%%
267	»ќ¬ц∆р Љ–ІєыЋµ√ч						1	2	3	4	5	6	7	8	9	10	gold	Mл huy÷t vё NhЋm Mєch t«ng %d
268	ґљ¬ц∆р Љ–ІєыЋµ√ч						1	2	3	4	5	6	7	8	9	10	gold	Mл huy÷t vё Іиc Mєch t«ng %d
269	іш¬ц∆р Љ–ІєыЋµ√ч						1	2	3	4	5	6	7	8	9	10	gold	Mл huy÷t vё ІЄi Mєch t«ng %d
270	≥е¬ц∆р Љ–ІєыЋµ√ч						1	2	3	4	5	6	7	8	9	10	gold	Mл huy÷t vё Xung Mєch t«ng %d
