ID	Skill Name	Brief Introduction	Level Requirement	Required Prerequisite Skill	Required Reputation
1031	玄风缠意诀	昆仑高级风系符法，起九天玄风护体，<enter>胆敢冒犯之人则会被玄风围困	需要等级50级	需要学会1层罡风诀或1层仙风流散诀	
1032	无极风雷诀	昆仑镇派符法，狂风怒雷落地，妖孽无所遁形，灰飞烟灭	需要等级80级	需要学会本流派所有高级武功最高层	需要师门贡献度10000点
1053	圣火金炉功	明教入门心法,有助于回复生命,增加命中<enter>并能提高怒气格数限制			
1054	圣火刀法	明教初级刀法,使普通攻击同时能增加怒气	需要等级10级	需要学会1层圣火金炉功	
1055	金炉护体	明教初级武功,增加外攻点数防御<enter>被攻击有一定概率增加1格怒气	需要等级10级	需要学会1层圣火金炉功	
1056	烈炀斩	明教初级刀法,快速砍杀,连续两次攻击	需要等级10级	需要学会1层圣火刀法	
1057	炽炎击	明教初级武功,以炽炎铸刀,提升命中和攻击力	需要等级10级	需要学会1层圣火刀法	
1058	天劫焚	明教中级刀法,以灼热的刀刃灼伤敌人<enter>带有持续伤害	需要等级20级	需要学会1层烈炀斩或1层炽炎击	
1059	凝火璧	明教中级武功,举刀格挡增加比例防御	需要等级20级	需要学会1层金炉护体	
1060	狂焰奔	明教中级武功,能快速接近敌人,打断对方施展中的技能<enter>增加1格怒气	需要等级20级	需要学会1层凝火璧	
1061	炙风旋	明教中级刀法,挥舞刀锋震开身边的敌人	需要等级30级	需要学会1层天劫焚	
1062	霸煌断	明教中级刀法,攻击面前直线区域的所有敌人<enter>附带减速效果	需要等级30级	需要学会1层天劫焚	
1063	气化游龙	明教中级武功,减少被击动作时间<enter>增加抗晕概率	需要等级40级	需要学会1层狂焰奔	
1064	阳炎爆	明教高级刀法,能将外功攻击转为内功伤害打出	需要等级40级	需要学会1层炙风旋	
1065	暴杀劲	明教高级刀法,以削减自身比例防御为代价<enter>能削减敌人一定的比例防御	需要等级50级	需要学会1层霸煌断	
1066	乾坤大挪移	明教镇派绝学,发动时自身受伤减少<enter>持续伤害身边所有敌人	需要等级80级	需要学会本流派所有高级武功最高层	需要师门贡献度10000点
1083	光明逍遥功	明教入门心法,有助于回复内力和生命			
1084	光明笔法	明教初级武功,将普通攻击变为穿透攻击	需要等级10级	需要学会1层光明逍遥功	
1085	金锁阵	明教初级金系阵法,在阵内行走的敌人会受到损伤	需要等级10级	需要学会1层光明逍遥功	
1086	偃旗令	明教初级武功,放倒阵旗伤敌,并有奇效	需要等级10级	需要学会1层金锁阵	
1087	玄水阵	明教初级水系阵法,在阵内施展技能的敌人会受到损伤	需要等级10级	需要学会1层光明笔法或1层金锁阵	
1088	封兵令	明教中级武功,能封住敌人的武功	需要等级20级	需要学会1层偃旗令	
1089	盘木阵	明教中级木系阵法,使阵内的敌人技能施展速度下降<enter>且消耗增加	需要等级20级	需要学会1层玄水阵	
1090	迅影令	明教中级武功,使阵兵遁入暗处不被发现	需要等级20级	需要学会1层封兵令	
1091	乾坤逆转	明教中级武功,交换与敌人的位置,并且使敌人定身<enter>能提高自身防御	需要等级30级	需要学会1层迅影令	
1092	业火阵	明教中级火系阵法,对阵内的敌人持续伤害<enter>有概率性混乱	需要等级30级	需要学会1层盘木阵	
1093	土牢阵	明教高级土系阵法,降低阵内敌人的移动速度和点数防御	需要等级50级	需要学会1层五灵归元,1层业火阵	
1094	五灵散元	明教高级武功,定点攻击,并且能治疗周围友军	需要等级40级	需要学会1层光明笔法或1层金锁阵	
1095	五灵归元	明教高级武功,提升友方全属性	需要等级40级	需要学会1层五灵散元	
1096	光明五行阵	明教镇派阵法,能提高阵内友方的闪避<enter>并且杀伤阵内的敌人	需要等级80级	需要学会本流派所有高级武功最高层	需要师门贡献度10000点
1131	寒冰心法	明教血人入门心法,有助于回血			
1132	断骨爪	明教血人初级爪功,近身攻击敌人,造成流血效果	需要等级10级	需要学会1层寒冰心法	
1133	腐伤印	明教血人初级印法,如遇鲜血则不断腐蚀肉身	需要等级10级	需要学会1层寒冰心法	
1134	青翼步法	明教血人独门轻功,一跃便可飞行百步	需要等级10级	需要学会1层断骨爪	
1135	崩血印	明教血人初级印法,如遇鲜血则血脉炸裂,血花凌乱	需要等级10级	需要学会1层腐伤印	
1136	吸血印	明教血人中级印法,吸食鲜血回复自身	需要等级20级	需要学会1层崩血印	
1137	寒血印	明教血人中级印法,冰寒令敌人麻痹并可能无法施展任何技能	需要等级20级	需要学会1层腐伤印	
1138	刺骨印	明教血人中级印法,刺骨寒霜令敌人易伤,一定概率承受双倍伤害	需要等级20级	需要学会1层寒血印	
1139	追魂印	明教血人中级印法,每次移动就会受到重伤,步入黄泉	需要等级30级	需要学会1层吸血印	
1140	弑颈爪	明教血人高级爪功,飞行中割破敌人脖颈使其血流不止	需要等级30级	需要学会1层青翼步法	
1141	寒冰血障	明教血人高级武功,可把伤害化作血气回复自身	需要等级40级	需要学会1层刺骨印或1层追魂印	
1142	化血印	明教血人高级印法,如遇鲜血则消融血气内力和体力	需要等级40级	需要学会1层寒冰血障	
1143	殒殇印	明教血人高级印法,以自身鲜血化印伤敌并使敌人定身	需要等级50级	需要学会1层寒冰血障	
1213	寒冰绵掌	明教镇派武功,以寒冰之力伤敌<enter>并能从敌人身上吸取生命自用	需要等级80级	需要学会1层需要学会本流派所有高级武功最高层	需要师门贡献度10000点
1165	枫舞心法	翠烟舞仙入门心法,有助于内气回复<enter>并能提升自身灵巧性			
1166	起舞	翠烟舞仙基本舞蹈动作,表演其他舞蹈的前提	需要等级10级	需要学会1层枫舞心法	
1167	灵猫韵	翠烟舞仙初级舞蹈,灵巧的舞步令敌人眼花缭乱难以命中	需要等级10级	需要学会1层起舞	
1168	舞云心法	翠烟舞仙初级心法,身形柔软,避开伤害	需要等级10级	需要学会1层枫舞心法	
1169	媚花	翠烟舞仙初级舞蹈,美艳的舞步令敌人失去敌意并为其让路	需要等级10级	需要学会1层起舞	
1170	断云诀	翠烟舞仙中级心法,停止跳舞并提高移动速度	需要等级20级	需要学会1层枫舞心法	
1171	秋月赋	翠烟舞仙中级舞蹈,相思之苦感染敌人使其防御降低	需要等级20级	需要学会1层灵猫韵	
1172	天籁心经	翠烟舞仙中级心法,使自身抵抗混乱眩晕,并在危险时提高防御	需要等级30级	需要学会1层舞云心法	
1173	蝶怨	翠烟舞仙高级舞蹈,哀怨的舞蹈使敌人心情沉痛,行进缓慢	需要等级30级	需要学会1层媚花	
1174	天火艳阳	翠烟舞仙高级舞蹈,热烈的舞蹈使队友充满激情,斗志昂扬	需要等级40级	需要学会1层秋月赋	
1175	踏云巧步	翠烟舞仙高级舞蹈,轻盈的步法使自身瞬间移动	需要等级40级	需要学会1层断云诀或1层天籁心经	
1176	梦蛇	翠烟舞仙高级舞蹈,妖艳的舞蹈使敌人神情恍惚,反应迟钝	需要等级50级	需要学会1层蝶怨	
1196	鸾凤九天	翠烟舞仙镇派舞蹈,如百鸟朝凤般壮丽<enter>使友方群情激昂,敌人闻风丧胆	需要等级80级	需要学会本流派所有高级武功最高层	需要师门贡献度10000点
1217	百花玉露功	翠烟灵女入门心法,有助于回复内力<enter>提高洞察影响的闪避率及生命上限			
1218	喂养小貂	翠烟灵女饲养灵貂的秘法	需要等级10级	需要学会1层百花玉露功	
1219	落花诀	翠烟灵女初级武功,以笛声指挥灵貂攻击	需要等级10级	需要学会1层百花玉露功	
1220	桃花瘴	翠烟灵女初级武功,以笛声指挥灵貂施放毒烟	需要等级10级	需要学会1层百花玉露功	
1221	百花心经	翠烟灵女初级武功,灵貂根据喂食属性的不同发动特殊攻击	需要等级10级	需要学会1层百花玉露功	
1222	锁心诀	翠烟灵女中级武功,以笛声指挥灵貂攻击敌人<enter>并使之流血不止	需要等级20级	需要学会1层落花诀	
1223	还神术	翠烟灵女中级武功,灵貂以灵气治愈主人	需要等级20级	需要学会1层百花心经	
1224	灵动诀	翠烟灵女中级武功,灵貂护身,提高闪避几率和移动速度	需要等级20级	需要学会1层百花心经	
1225	迷巧诀	翠烟灵女中级武功,提高命中并使攻击附带定身效果	需要等级30级	需要学会1层桃花瘴	
1226	仙炉香	翠烟灵女中级武功,灵女和灵貂提升攻击力<enter>提高减速无效概率	需要等级30级	需要学会1层桃花瘴	
1227	百碟迎香诀	翠烟灵女高级武功,以笛声指挥灵貂猛袭敌阵	需要等级40级	需要学会1层锁心诀	
1228	蝶恋花	翠烟灵女高级武功,始终持续回复生命	需要等级40级	需要学会1层还神术或1层灵动诀	
1229	玉龙穿月诀	翠烟灵女高级武功,以笛声指挥灵貂高速穿梭<enter>攻击直线上的敌人	需要等级50级	需要学会1层迷巧诀或1层仙炉香	
1230	九尾花仙诀	翠烟灵女镇派武功,以笛声驱动灵貂幻化成九尾<enter>无人能敌	需要等级80级	需要学会本流派所有高级武功最高层	需要师门贡献度10000点
