题号	答案	问题	A	B	C	D
308	A	白色，无味，补血理气，清毒化瘀	雪莲子	蝉蜕	玉灵芝	麝香
309	A	上好的兔腿肉	兔肉	兔腿肉	兔子肉	兔儿肉
310	A	鲜活的松江鲈鱼，肉色鲜亮，将之烹煮，定会非常美味	鲈鱼	鲈鱼肉	松江鲈鱼	煮鲈鱼
311	A	狂熊的熊掌，肉质肥美，烹制佳肴的上品	熊掌	红烧熊掌	烧熊掌	上等熊掌
312	A	红色的高粱，米小而粘，味甜，米与壳呈红色	红高粱	白高粱	米高粱	高粱
313	A	北方名稻，米大而白，香润略带微甜，米与壳呈金色	金实稻	稻子	金稻子	北方稻
314	A	用来酿酒发酵的物品	酒曲	曲酒	酒酿	酒曲丸
315	A	烹煮菜肴时用来调味的物品	调料	佐料	辅料	调味品
316	A	食者行不待烛，则巨胜也，食之延寿，后天而死	光通麻	倾篱豆	绕明豆	融泽谷
317	A	见日则叶垂覆地，食者不老不疾	倾篱豆	绕明豆	融泽谷	甘蔗
318	A	其茎弱，自相萦缠，食者不老不疾	绕明豆	融泽谷	甘蔗	延精麦
319	A	扶桑之东有融泽国，产奇谷，食者延年，清腹一粒，历年不饥	融泽谷	光通麻	倾篱豆	绕明豆
320	A	南方山有甘蔗之林，其高百丈围三尺八寸，促节多汁，甜如蜜，可以节蛔虫	甘蔗	游龙粟	凤冠粟	摇枝粟
321	A	延寿益气，调畅六腑	延精麦	融泽谷	甘蔗	淳和麦
322	A	面以酿酒，一醉累月，食之凌冬不寒	淳和麦	延精麦	融泽谷	甘蔗
323	A	枝叶屈曲，如游龙，色白如银，食此粟，令人骨轻	游龙粟	融泽谷	光通麻	倾篱豆
324	A	似凤鸟之冠，食者多力	凤冠粟	游龙粟	融泽谷	光通麻
325	A	原产融泽国的奇粟，枝长而弱，无风常摇，食之益髓	摇枝粟	凤冠粟	游龙粟	融泽谷
326	A	南方树生奇菌，形如人耳，雨后乃出，味美	木耳	摇枝粟	凤冠粟	游龙粟
327	A	巨石上生菌，大如合篑，茎及盖黄白色，其下浅红，美倍诸菌	石菌	木耳	摇枝粟	凤冠粟
328	A	江淮有竹肉，如弹丸，味如白鸡	竹肉	倾篱豆	绕明豆	融泽谷
329	A	出摩伽陀国，叶长寸半，有细条，与叶齐，今作胡盘肉食，皆用之	胡椒	甘蔗	游龙粟	凤冠粟
330	A	玉米面制成，其色如金，其形如蜂窝，可以恢复体力	窝头	饭团	木耳	凤冠粟
331	A	白米煮熟，蘸以盐水捏成圆团，远行必备，方便快捷，入口即食	饭团	馒头	花卷	肉包
332	A	雪白粉嫩，热气腾腾，见之食指大动	馒头	花卷	肉包	素炒竹肉
333	A	将上好白面调味，制皮，成卷，蒸熟后可食，香郁可口，食之不厌	花卷	窝头	饭团	馒头
334	A	料虽寻常，而制者匠心独具，妙手烹制，美味超乎想象	肉包	饭团	馒头	花卷
335	A	优质腐竹，经劲火爆炒而成，香脆可口	素炒竹肉	家常四季豆	炒豌豆角	蒜茸生菜
336	A	寻常的家常菜，喷香可口，香气袭人	家常四季豆	炒豌豆角	蒜茸生菜	素炒竹肉
337	A	豌豆角爆炒而成，透着泥土气息，农家常菜	炒豌豆角	素炒竹肉	家常四季豆	蒜茸生菜
338	A	优质生菜配以蒜茸炒制而成，农家常菜	蒜茸生菜	素炒竹肉	家常四季豆	炒豌豆角
339	A	寻常酒肆常见酒酿，酒如其名，入口辛辣	烧刀子	女儿红	稻花香	醉生梦死
340	A	江南人家女儿满月时埋酒于地下，待女儿长大出阁时掘出饮用的好酒	女儿红	烧刀子	稻花香	醉生梦死
341	A	鄂州名酒，入口绵长，芳香四溢，文人骚客多爱“浮白”	稻花香	烧刀子	女儿红	醉生梦死
342	A	江南名酒，入口清畅，饮之灵智清明，一醉则眠半月之久	醉生梦死	稻花香	烧刀子	女儿红
343	A	粗布制成，用来包扎伤口，可稍稍止血，聊胜于无	绷带	金创散	止血散	白云散
344	A	普通丹药，市井常见疗伤药散，物美价廉	金创散	止血散	白云散	天香云锦续
345	A	江湖常用丹药，行脚远足必备之疗伤药散，多为江湖艺人大力推荐	止血散	金创散	白云散	天香云锦续
346	A	良药，以上好中草药调和白云溪灵异泉水制成，能有效调理伤患	白云散	止血散	金创散	天香云锦续
347	A	名药，峨嵋弟子行走江湖护身法宝之一，能快速治疗伤势	天香云锦续	白云散	止血散	金创散
348	A	圣药，相传自西域流入中原，能生肌止血，片刻间即可使重伤之人恢复正常	黑玉断续膏	天香云锦续	白云散	止血散
349	A	普通丹药，可略为恢复损耗的内力，寻常药铺有售	小还丹	还阳丹	大还丹	一元复始丹
350	A	江湖常用丹药，服此药丹田热气升起，精力弥漫，可助功力恢复	还阳丹	大还丹	一元复始丹	万物归元丹
351	A	良药，少林独家售卖，能有效的恢复损耗的内力，偶尔也能增加功力	大还丹	小还丹	还阳丹	一元复始丹
352	A	名药，使用者只要尚有一丝先天元气，便可迅速补充损耗的内力	一元复始丹	大还丹	小还丹	还阳丹
353	A	圣药，可推动已枯竭的内丹进行大周天搬运，飞速补充损耗的内力	万物归元丹	小还丹	还阳丹	一元复始丹
354	A	普通丹药，在调理伤势的同时，可略微补充损耗的内力	清心散	益气散	玉灵散	五花玉露丸
355	A	江湖常用丹药，能止血益气，对于生肌止血，调理内息都有一定的功效	益气散	玉灵散	五花玉露丸	生生造化散
356	A	良药，百草堂制，深得武林人士所喜，能有效补充损耗的内力，治疗伤病	玉灵散	清心散	益气散	生生造化散
357	A	名药，上好的草药药材混合花瓣上的露水调制而成，能大量补充损耗的内力和生命	五花玉露丸	玉灵散	清心散	生生造化散
358	A	圣药，有夺天地造化之能，飞速补充损耗的内力和生命	生生造化散	五花玉露丸	玉灵散	清心散
359	A	普通丹药，造价低廉，可略微止疼	白日丹	全生丹	召魂丹	渔神役使丹
360	A	江湖常用丹药，治疗跌打损伤药效尚可	全生丹	召魂丹	渔神役使丹	奔星却月丹
361	A	良药，无名道师所创，多为方外之人云游四方时所用	召魂丹	白日丹	全生丹	奔星却月丹
362	A	名药，将上好药材置于丹鼎中，精心炼制四十九日，方能制成	渔神役使丹	召魂丹	白日丹	全生丹
363	A	圣药，无论骨断筋折，棒打獒咬，立时可复，状态如初	奔星却月丹	渔神役使丹	召魂丹	白日丹
364	A	普通丹药，造价低廉，对内伤有轻微疗效	益阳散	清心散	益气散	玉灵散
365	A	江湖常用丹药，据《千金方》所述采用常见草药制成，治疗药效尚可	千金散	清心散	益气散	玉灵散
366	A	良药，如其名，损有余而补不足，治疗内伤药效颇佳	补天散	清心散	益气散	玉灵散
367	A	名药，采用七种灵虫七种奇花精心调配而成，能有效推动内息搬运吐纳，治疗内伤	七虫七花散	玉灵散	清心散	益气散
368	A	圣药，以数种珍惜药草调配而成，治疗内伤犹如炽阳化雪，迅速全愈	大日炎阳散	千金散	补天散	七虫七花散
369	A	普通丹药，内服可止蚊虫叮咬，止痒排毒	解毒丹	止水丹	排云丹	乾元正气丹
370	A	江湖常用丹药，主治腹泻体虚，可固本培元	止水丹	排云丹	乾元正气丹	天王补心丹
371	A	良药，对消炎去肿，去驱脓排毒皆有良效	排云丹	解毒丹	止水丹	天王补心丹
372	A	名药，内服外敷，对上百种草木蛇毒的治疗皆有奇效	乾元正气丹	排云丹	解毒丹	止水丹
373	A	圣药，药到毒消，神效无比，深为蜀中唐门所忌	天王补心丹	乾元正气丹	排云丹	解毒丹
374	A	神药，无论垂死之人所患何种伤病，都可立时痊愈	九转回魂丹	大日炎阳散	生生造化散	黑玉断续膏
375	A	味道鲜美的水饺，光看着就让人垂涎。使用后瞬间回复1500生命1500内力。	猪肉水饺	牛肉水饺	虾仁水饺	美味水饺
376	A	味道鲜美的水饺，光看着就让人垂涎。使用后10分钟内各属性增加20点。	牛肉水饺	猪肉水饺	虾仁水饺	美味水饺
377	A	味道鲜美的水饺，光看着就让人垂涎。使用后10分钟内，外攻和内攻各提高8%。	虾仁水饺	牛肉水饺	猪肉水饺	美味水饺
378	A	优质白米饭混合优质蛋拌炒，美味可口	蛋炒饭	炒蛋饭	蛋炒米饭	炒米饭
379	A	刻有“大宋英雄令（初级）”的木牌，使用后可到达雁门关初级战场宋方报名点	大宋英雄令（初级）	大宋英雄令（高级）	大辽英雄令（初级）	大辽英雄令（高级）
380	A	刻有“大宋英雄令（高级）”的木牌，使用后可到达雁门关高级战场宋方报名点	大宋英雄令（高级）	大宋英雄令（初级）	大辽英雄令（初级）	大辽英雄令（高级）
381	A	刻有“大辽英雄令（初级）”的木牌，使用后可到达雁门关初级战场辽方报名点	大辽英雄令（初级）	大宋英雄令（初级）	大宋英雄令（高级）	大辽英雄令（高级）
382	A	刻有“大辽英雄令（高级）”的木牌，使用后可到达雁门关高级战场辽方报名点	大辽英雄令（高级）	大宋英雄令（初级）	大宋英雄令（高级）	大辽英雄令（初级）
383	A	五毒独门邪咒，可以封印住尸体，并随时召唤出来。	封尸符	尸体符	封印符	封符
384	A	莲子蓉做馅的月饼，食用以后每半秒恢复生命300，持续30秒，每半秒恢复内力6，持续30秒。	莲蓉月饼	枣泥月饼	豆沙月饼	莲子月饼
385	A	美味红枣泥做馅的月饼，食用以后每半秒恢复生命600，持续30秒。	枣泥月饼	红枣月饼	莲蓉月饼	莲子月饼
386	A	香甜豆沙做馅月饼，食用以后，每半秒恢复内力12，持续30秒。	豆沙月饼	枣泥月饼	红枣月饼	莲蓉月饼
387	A	上等材料低温烘烤后长时间冷却所得月饼，食用以后每半秒恢复生命100，持续半小时，每半秒恢复内力2，持续半小时。	金梅寒香月	奇香五仁月		
388	A	上等果仁、果脯混杂做馅的月饼，香味扑鼻，食用以后每半秒恢复生命5000，持续10秒，每半秒恢复内力100，持续10秒。	奇香五仁月	金梅寒香月		
389	A	普通丹药，江湖人士打斗时常用，迅速补充些许生命	护心丹	续命丹	天王保命丹	行气散
390	A	名药，源处已无可稽考，高手喜用，迅速补充大量生命	续命丹	天王保命丹	行气散	无常散
391	A	圣药，万金难求，其效如其名，可使垂死之人脱离危险，迅速补充全部生命	天王保命丹	护心丹	续命丹	无常散
392	A	普通丹药，内力损耗太多时使用，迅速补充些许内力	行气散	小还丹	还阳丹	大还丹
393	A	名药，各派均有配制，虽配方稍有不同，但均为回复内力之用，迅速补充大量内力	无常散	千金散	清心散	益气散
394	A	圣药，取长白棕熊与天山灵蛇之胆炼制，大益大补，迅速补充全部内力	九转熊蛇丸	九转回魂丹	九转熊蛇丹	紫华丹
395	A	良药，原为武当山方士炼制，后传与世人，各门派必备之药，迅速补充些许生命和内力	紫华丹	正元回心丹	六阳正气丹	玉衡行云丹
396	A	名药，翠烟门百花林中百花精髓所炼，曾有武林高手受伤被翠烟侠女用此药所救，成就一段美好的爱情，迅速恢复大量生命和内力	百花灵丹	瑶池仙丹	正元回心丹	六阳正气丹
397	A	神药，昆仑山颠西王母瑶池，池底最深处之水聚集万千年昆仑仙灵，可炼制无上神药，迅速补充全部生命和内力	瑶池仙丹	玉衡行云丹	五转灵宝丹	六阳正气丹
398	A	奇药，峨嵋派秘制，顷刻集聚大量真气，使武功可以立即施展	正元回心丹	九转回魂丹	玉衡行云丹	五转灵宝丹
399	A	奇药，武当派秘制，激发数道纯阳真气，使武功施展无所束缚	六阳正气丹	正元回心丹	九转回魂丹	黑玉断续膏
400	A	奇药，昆仑派秘制，控制真气收放自如，使武功施展范围更广	玉衡行云丹	正元回心丹	黑玉断续膏	五转灵宝丹
401	A	奇药，少林派秘制，推动周身真气运转，使武功施展更具威力	五转灵宝丹	九转回魂丹	黑玉断续膏	六阳正气丹
402	A	奇药，唐门秘制，使周身筋脉瞬间凝聚，使自身不受外功损伤	神甲丹	紫华丹	神罩丹	续命丹
403	A	奇药，五毒教秘制，催发奇毒产生护体气罩，使自身不受内功损伤	神罩丹	神甲丹	紫华丹	续命丹
404	A	江湖常用丹药，名贵药材炼制，可使自身不被迟缓	通筋散	神风散	无畏散	定心散
405	A	江湖常用丹药，名贵药材炼制，可使自身不被减速	活血散	畅络散	任督散	巨石散
406	A	江湖常用丹药，名贵药材炼制，可使自身不被麻痹	畅络散	巨石散	金刚散	提神散
407	A	江湖常用丹药，名贵药材炼制，可使自身不被封招	任督散	凝魂散	神风散	无畏散
408	A	江湖常用丹药，名贵药材炼制，可使自身不被击退	巨石散	金刚散	提神散	凝魂散
409	A	江湖常用丹药，名贵药材炼制，可使自身不被击倒	金刚散	活血散	畅络散	任督散
410	A	江湖常用丹药，名贵药材炼制，可使自身不被昏睡	提神散	任督散	凝魂散	神风散
411	A	江湖常用丹药，名贵药材炼制，可使自身不被混乱	凝魂散	巨石散	金刚散	提神散
412	A	江湖常用丹药，名贵药材炼制，可使自身不被定身	神风散	金刚散	活血散	畅络散
413	A	江湖常用丹药，名贵药材炼制，可使自身不被眩晕	无畏散	提神散	任督散	凝魂散
414	A	江湖常用丹药，名贵药材炼制，可使自身不被迷惑	定心散	巨石散	金刚散	提神散
415	A	圣药，用百种奇花异虫于名山灵穴之中炼得，玲珑剔透如同珍宝，可使自身不受任何异常状态	玲珑真元丹	六阳正气丹	正元回心丹	九转回魂丹
416	A	圣药，世间最为珍惜的七大灵物精华，经历百日秘炼方得，可使自身短时间内完全不受任何外界影响	七巧灵丹	无极仙丹	百花灵丹	瑶池仙丹
417	A	神药，道家圣宝，传说为玄武大帝神力所化，可使自身超脱尘世，完全不受任何外界影响	无极仙丹	百花灵丹	七巧灵丹	瑶池仙丹
