account	jifen
0401010927961566	29616
zlcomnet4	29616
yuweiailsz	30543
kswz0009647	30642
67308888	31152
raykingdom	31365
6222842	32739
KSWZ0014521	32973
ksyxt1119008	33213
KSGW0014303	33336
kswz0013361	33570
whitexeqtr	33699
ksyxt0781661	33804
13517312328	34233
ksjx0028367	34269
wsaind888	34317
KSYXT1078486	34668
zhj20031132	34980
359655087	35242
yinzhe321	35952
ksyxt0766039	36048
linyang8	38400
yalzbu	38585
xuaiseng	38592
sunny198363	38823
KSJX0001224	40082
linyq123	40986
yjg7505	41568
qq105061532	42198
KSYXT1019762	43891
ksyxt1328953	45873
ksyxt1238204	46512
werr10004	47274
ksyxt1117298	49263
yugougongwu	51117
killme_333	51771
huangyimingjj	52623
nongxiaoying614	52800
03517054049	55574
chenjun6896	55758
KSTG4404251	58845
734252	59783
ksyxt0710183	61768
kswz0017057	66708
wxbtdqp	67056
wooyulong1234	68928
mimi20614	84960
ksyxt1320673	88379
shashadee	171132
