enum_core	string
LOC_G_ItemList_6	Hñy bá mËt m· thµnh c«ng!
LOC_G_ItemList_7	Hñy bá mËt m· thÊt b¹i: ch­a thiÕt lËp mËt m· r­¬ng!
LOC_G_ItemList_8	Hñy bá mËt m· thÊt b¹i: MËt m· kiÓm chøng thÊt b¹i!
LOC_G_ItemList_9	Thay ®æi mËt m· thµnh c«ng!
LOC_G_ItemList_10	Thay ®æi mËt m· thÊt b¹i: ch­a thiÕt lËp mËt m· r­¬ng, kh«ng thÓ thay ®æi!
LOC_G_ItemList_11	Thay ®æi mËt m· thÊt b¹i: mËt m· kiÓm chøng kh«ng ®óng!
LOC_G_ItemList_12	Khãa thµnh c«ng!
LOC_G_ItemList_13	Khãa thÊt b¹i: ch­a thiÕt lËp m· r­¬ng!
LOC_G_ItemList_14	Më khãa thµnh c«ng!
LOC_G_ItemList_15	Më khãa thÊt b¹i: ch­a thiÕt lËp m· r­¬ng!
LOC_G_ItemList_16	Më khãa thÊt b¹i: mËt m· kiÓm chøng thÊt b¹i!
LOC_G_ItemList_17	Ch­a ®ñ n¨ng lùc sö dông chøc n¨ng khãa trang bÞ!
LOC_G_ItemList_18	C­ìng chÕ më khãa thµnh c«ng!
LOC_G_ItemList_19	C­ìng chÕ më khãa thÊt b¹i: ch­a thiÕt lËp mËt khÈu!
LOC_G_ItemList_20	C­ìng chÕ më khãa thÊt b¹i: kh«ng ®ñ ng©n l­îng!
LOC_G_ItemList_21	Khãa thÊt b¹i: ch­a lùa chän r­¬ng muèn khãa!
LOC_G_ItemList_22	Khãa thÊt b¹i: MËt m· kiÓm chøng sai!
LOC_G_ItemList_23	Thay ®æi mËt m· thÊt b¹i: Ng©n l­îng cña b¹n kh«ng ®ñ!
LOC_G_ItemList_24	Hñy bá mËt m· thÊt b¹i: B¹n kh«ng ®ñ ng©n l­îng!
LOC_G_ItemList_25	Khãa thÊt b¹i: Ng©n l­îng cña b¹n kh«ng ®ñ!
LOC_G_ItemList_26	Ng©n l­îng b¹n bá vµo r­¬ng ®· v­ît qu¸ giíi h¹n!
LOC_G_ItemList_27	Ng©n l­îng b¹n bá vµo hµnh trang ®· v­ît qu¸ giíi h¹n!
LOC_G_ItemList_28	S¸t thñ kh«ng thÓ vµo thµnh!
LOC_G_ItemList_29	ThiÕt lËp mËt m· thÊt b¹i: Ng©n l­îng cña b¹n kh«ng ®ñ!
LOC_G_ItemList_30	B¹n xin phÐp më khãa r­¬ng, 7 ngµy sau sÏ tù ®éng më khãa.
LOC_G_ItemList_31	B¹n hñy bá yªu cÇu xin më khãa r­¬ng ®å.
LOC_G_ItemList_32	R­¬ng ®ang khãa, kh«ng thÓ tiÕn hµnh thao t¸c hiÖn t¹i! H·y më khãa vµ thö l¹i!
LOC_G_SkillList_0	§é tËp luyÖn kü n¨ng %s cña b¹n ®· t¨ng lªn!
LOC_G_SkillList_1	Vò khÝ cña b¹n kh«ng phï hîp víi vâ c«ng sö dông!
LOC_G_SkillList_2	Kh«ng thÓ c­ìi ngùa khi sö dông vâ c«ng nµy!
LOC_G_SkillList_3	B¹n cÇn ph¶i c­ìi chiÕn m· ®Æc thï ®Ó sö dông vâ c«ng nµy!
LOC_G_SkillList_4	Binh lùc ®· qu¸ nhiÒu, kh«ng thÓ chiªu mé thªm n÷a!
LOC_G_SkillList_5	CÇn ph¶i chän môc tiªu tr­íc!
LOC_G_SkillList_6	Kh«ng thÓ sö dông vâ c«ng nµy víi %s!
LOC_G_SkillList_7	Néi lùc kh«ng ®ñ!
LOC_G_SkillList_8	Sinh lùc cßn l¹i kh«ng ®ñ!
LOC_G_SkillList_9	%s trªn ng­êi kh«ng ®ñ!
LOC_G_SkillList_10	Tô khÝ hiÖn t¹i vÉn ch­a ®ñ!
LOC_G_SkillList_11	Kh«ng thÓ sö dông kü n¨ng nµy víi %s!
LOC_G_SkillList_12	B¹n kh«ng thÓ tay kh«ng sö dông vâ c«ng nµy!
LOC_G_SkillList_13	Trong cïng thêi ®iÓm, sè l­îng bÉy kh«ng thÓ v­ît qu¸ %d
LOC_G_SkillList_14	Chiªu thøc nµy rÊt hiÓm ®éc, chØ dïng tÊn c«ng tõ phÝa sau!
LOC_G_SkillList_15	ThiÕu háa hÇu, kh«ng thÓ ng¨n ®­îc CÇm §o¹n Khóc!
LOC_G_SkillList_16	Hµnh trang qu¸ nÆng, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_SkillList_17	Vâ c«ng nµy kh«ng thÓ sö dông t¹i ®©y!
LOC_G_SkillList_18	CÇn ph¸t ®éng %s tr­íc!
LOC_G_SkillList_19	§· v­ît qu¸ thêi gian cho phÐp, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_SkillList_20	§ang ph¸t c«ng, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_SkillList_21	Ngoµi ph¹m vi tÊn c«ng!
LOC_G_SkillList_22	Ch­a trang bÞ ¸m khÝ!
LOC_G_SkillList_23	Ph­¬ng h­íng tÊn c«ng kh«ng ®óng!
LOC_G_SkillList_24	Tr¹ng th¸i hiÖn t¹i kh«ng thÓ sö dông bÊt cø vâ c«ng g×!
LOC_G_SkillList_25	Chi cã thÓ sö dông vâ c«ng nµy víi %s!
LOC_G_SkillList_26	ChØ cã thÓ sö dông ë t­ thÕ ®óng!
LOC_G_SkillList_27	Ch­a trang bÞ cung tiÔn!
LOC_G_SkillList_28	Ch­a trang bÞ s©u chóa!
LOC_G_SkillList_29	Kh«ng thÓ sö dông vâ c«ng ë môc tiªu nµy!
LOC_G_SkillList_30	Thi thÓ môc tiªu v« hiÖu!
LOC_G_SkillList_31	ThÓ lùc hiÖn t¹i kh«ng ®ñ!
LOC_G_SkillList_32	Kh«ng thÓ tiÕp cËn ®iÓm ®èi ph­¬ng!
LOC_G_SkillList_33	VËt phÈm ®· khãa
LOC_G_SkillList_34	Trang bÞ ®· háng, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_SkillList_35	Kh«ng thÓ phôc håi môc tiªu!
LOC_G_SkillList_36	Vâ c«ng ch­a thuÇn thôc, kh«ng ®ñ ®Ó tiÕp tôc thi triÓn!
LOC_G_SkillList_37	Tr¹ng th¸i phi chiÕn ®Êu kh«ng thÓ thi triÓn vâ c«ng hµo quang.
LOC_G_SkillList_38	TrÞ sè t×nh c¶m kh«ng ®ñ %d, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_SkillList_39	Môc tiªu v­ît qu¸ ph¹m vi h÷u hiÖu, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_SkillList_40	§iÓm s¸t khÝ hiÖn t¹i kh«ng ®ñ!
LOC_G_SkillList_41	CÇn ë tr¹ng th¸i thêi tiÕt t­¬ng øng míi ®­îc dïng vâ c«ng nµy!
LOC_G_SkillList_42	Ch­a thuÇn thôc, kh«ng thÓ nh¶y tiÕp!
LOC_G_SkillList_43	Ch­a thuÇn thôc, kh«ng thÓ nh¶y tiÕp!
LOC_G_SkillList_44	CÇn ë tr¹ng th¸i vò ®¹o t­¬ng øng míi ®­îc dïng vâ c«ng nµy!
LOC_G_SkillList_45	Ch­a cã thó c­ng
LOC_G_SkillList_46	Thó c­ng c¸ch qu¸ xa, kh«ng thÓ nhËn lÖnh
LOC_G_SkillList_47	Kh«ng ph¶i thó c­ng cña c¸c h¹, kh«ng thÓ nu«i
LOC_G_WAR_HORSE_DESC	D­¬ng M«n chiÕn m·
LOC_G_PROGRESS_DESC_1	Tô khÝ
LOC_G_PROGRESS_DESC_2	Nghiªn cøu
LOC_G_PROGRESS_DESC_3	T¨ng c­êng
LOC_G_PROGRESS_DESC_4	Thu thËp
LOC_G_PROGRESS_DESC_5	ChuyÓn tiÕp
LOC_G_PROGRESS_DESC_6	Thó c­ìi
LOC_G_PROGRESS_DESC_7	TiÕn ®é
LOC_G_PROGRESS_DESC_8	Tu luyÖn
LOC_G_PROGRESS_DESC_9	Né khÝ
LOC_G_PROGRESS_DESC_10	S¸t ý
LOC_G_STATE_DESC_1	 (Cho¸ng)
LOC_G_STATE_DESC_2	 (Lo¹n)
LOC_G_STATE_DESC_3	 (Ngñ)
LOC_G_STATE_DESC_4	 (tª liÖt)
LOC_G_STATE_DESC_5	 (§øng yªn)
LOC_G_STATE_DESC_6	 (§éc)
LOC_G_STATE_DESC_7	 (ChËm)
LOC_G_STATE_DESC_8	(Lµm chËm)
LOC_G_STATE_DESC_9	 (m¸u)
LOC_G_STATE_DESC_10	(Th«i miªn)
LOC_G_STATE_DESC_11	(Phong)
LOC_G_STATE_DESC_12	(CÊm)
LOC_G_STATE_DESC_13	(Cuång)
LOC_G_NPC_KIND_1	 (Thi)
LOC_G_NPC_RIDE_1	§ang c­ìi ngùa, kh«ng thÓ sö dông khinh c«ng!
LOC_G_NPC_RIDE_2	§ang c­ìi ngùa, kh«ng thÓ täa thiÒn. Xin h·y xuèng ngùa tr­íc!
LOC_G_NPC_RIDE_3	B¹n ®· qu¸ mÖt, ph¶i nghØ ng¬i míi cã thÓ xuèng ngùa ®­îc!
LOC_G_NPC_RIDE_4	B¹n ®· qu¸ mÖt, ph¶i nghØ ng¬i míi cã thÓ lªn ngùa ®­îc!
LOC_G_NPC_SIT_1	Kh«ng thÓ lªn ngùa khi ®ang täa thiÒn!
LOC_G_NPC_JUMP_1	B¹n kh«ng thÓ ®Õn môc tiªu!
LOC_G_NPC_GATHER_1	N¬i nµy kh«ng thÝch hîp viÖc thu thËp!
LOC_G_NPC_GATHER_2	B¹n thiÕu c«ng cô %s cÇn thiÕt!
LOC_G_NPC_GATHER_3	B¹n kh«ng thÓ trªn ngùa thu thËp, h·y xuèng ngùa tr­íc!
LOC_G_NPC_GATHER_4	VËt phÈm mang theo qu¸ nhiÒu, kh«ng thÓ tiÕp tôc lµm viÖc!
LOC_G_NPC_GATHER_5	Mäi khu vùc ®Òu kh«ng thÓ tiÕn hµnh %s!
LOC_G_NPC_GATHER_6	§¼ng cÊp kü n¨ng %s kh«ng ®ñ!
LOC_G_NPC_GATHER_7	B¹n nhÆt ®­îc mét vËt phÈm!
LOC_G_NPC_GATHER_8	LÇn nµy b¹n kh«ng thu thËp ®­îc vËt phÈm g×!
LOC_G_NPC_GATHER_9	H·y sö dông ThÇn N«ng ®¬n ®Ó tiÕn hµnh thu thËp!
LOC_G_HOME_COMING_1	Tr¹ng th¸i hiÖn t¹i kh«ng thÓ sö dông Håi phï
LOC_G_HOME_COMING_2	§ang sö dông Håi phï!
LOC_G_PLAYER_INTERACTIVE_1	§ang thùc hiÖn ®éng t¸c biÓu c¶m, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_PLAYER_INTERACTIVE_2	§ang thùc hiÖn ®éng t¸c biÓu c¶m, kh«ng thÓ xuèng ngùa!
LOC_G_PLAYER_INTERACTIVE_3	§ang thùc hiÖn ®éng t¸c biÓu c¶m, kh«ng thÓ thi triÓn!
LOC_G_NPC_SIT_2	VËt phÈm mang theo qu¸ nhiÒu, tèc ®é håi phôc sinh lùc vµ néi lùc sÏ bÞ gi¶m!
LOC_G_LifeSkillList_1	Chóc mõng kü n¨ng %s cña b¹n ®· tiÕn mét bùc, kh«ng uæng c«ng dµy c«ng tu luyÖn!
LOC_G_LifeSkillList_2	Cã thÓ b¾t ®Çu chÕ t¹o %s!
LOC_G_Skills_0	Kü n¨ng chiÕn ®Êu\n
LOC_G_Skills_1	Bøc t­êng - sè l­îng %d\n
LOC_G_Skills_2	§­êng th¼ng - sè l­îng %d\n
LOC_G_Skills_3	R·i r¸c - sè l­îng %d\n
LOC_G_Skills_4	H×nh trßn ph©n t¸n - sè l­îng %d\n
LOC_G_Skills_5	Khu vùc h×nh trßn - sè l­îng %d\n
LOC_G_Skills_6	Khu vùc h×nh vu«ng - sè l­îng %d\n
LOC_G_Skills_7	Khu vùc h×nh trßn x¸c ®Þnh - sè l­îng %d\n
LOC_G_Skills_8	Khu vùc h×nh vu«ng x¸c ®Þnh - sè l­îng %d\n
LOC_G_Skills_11	Kü n¨ng chiÕn ®Êu\n
LOC_G_Skills_12	Vâ c«ng hç trî chñ ®éng \n
LOC_G_Skills_13	Thêi gian kÐo dµi tr¹ng th¸i: %d\n
LOC_G_Skills_14	Vâ c«ng hç trî bÞ ®éng \n
LOC_G_Skills_15	S¸t th­¬ng khu vùc 
LOC_G_Skills_16	Chç cò 
LOC_G_Skills_17	Bay th¼ng 
LOC_G_Skills_18	Bay vßng trßn 
LOC_G_Skills_20	Bay tù do 
LOC_G_Skills_21	Xuyªn qua 
LOC_G_Skills_22	Ph¹m vi s¸t th­¬ng: %d 
LOC_G_Skills_23	Cù ly chÊn ®éng: %d 
LOC_G_Skills_24	BÊt ®¾c kú tö 
LOC_G_Skills_25	Vßng hµo quang 
LOC_G_Skills_26	VËt lý 
LOC_G_Skills_27	L©n cËn 
LOC_G_Skills_28	Ch¾c ch¾n 
LOC_G_Skills_29	§éi h÷u
LOC_G_Skills_30	KÎ thï
LOC_G_Skills_31	VËt thÓ
LOC_G_Skills_32	Ta
LOC_G_Skills_33	§é chÝnh x¸c 
LOC_G_Skills_34	Thuéc tÝnh kü n¨ng:
LOC_G_Skills_35	(TÊn c«ng cËn chiÕn) \n
LOC_G_Skills_36	(TÊn c«ng tÇm xa) \n
LOC_G_Skills_37	CÊp hiÖn t¹i: %d
LOC_G_Skills_38	CÊp hiÖn t¹i: %d (%d+%d)
LOC_G_Skills_39	§­îc hç trî: %d%%\n
LOC_G_Skills_40	§é tu luyÖn: %d%%\n
LOC_G_Skills_41	H¹n chÕ vò khÝ:
LOC_G_Skills_42	§ang c­ìi ngùa kh«ng thÓ thi triÓn \n
LOC_G_Skills_43	CÇn ph¶i tÊn c«ng trªn ngùa\n
LOC_G_Skills_44	\n<color=Red>cÊp tiÕp theo \n
LOC_G_Skills_45	Tiªu hao néi lùc: %d\n
LOC_G_Skills_46	Tiªu hao thÓ lùc: %d\n
LOC_G_Skills_47	Tiªu hao sinh lùc: %d\n
LOC_G_Skills_48	Ph¹m vi hiÖu qu¶: %d\n
LOC_G_Skills_49	§èi víi kü n¨ng [%s] t¨ng %d%%\n
LOC_G_Skills_50	Chiªu 1:  
LOC_G_Skills_51	Chiªu 2:  
LOC_G_Skills_52	Tû lÖ xuÊt hiÖn
LOC_G_Skills_53	\n thêi gian hiÖu qu¶: %d gi©y
LOC_G_Skills_54	\n Thêi gian xuÊt chiªu liªn tiÕp: %d gi©y
LOC_G_Skills_55	\n Vâ c«ng thiÕt lËp:
LOC_G_Skills_56	\n Thêi gian xuÊt chiªu: %d gi©y
LOC_G_Skills_57	\n Tô khÝ: %d
LOC_G_Skills_58	\n Ph¹m vi h÷u hiÖu: %d
LOC_G_Skills_59	\n CÊp hiÖn t¹i: %d
LOC_G_Skills_60	\n\nLuyÖn ®Õn: cÊp %d 
LOC_G_Skills_61	 Tay kh«ng
LOC_G_Skills_62	 Kh«ng h¹n chÕ
LOC_G_Skills_63	\n Vò khÝ yªu cÇu:
LOC_G_Skills_64	\n h¹n chÕ ngò hµnh:
LOC_G_Skills_65	\n lo¹i vò khÝ:
LOC_G_Skills_66	\n\nVâ c«ng L­u ph¸i :
LOC_G_Skills_67	<color=Blue> Thøc 18<color>
LOC_G_Skills_68	<color=Blue> Thøc 19<color>
LOC_G_Skills_69	<color=Blue> Thøc 20<color>
LOC_G_Skills_70	Thuéc tÝnh: Kim %d\n
LOC_G_Skills_71	Thuéc tÝnh: Méc %d\n
LOC_G_Skills_72	Thuéc tÝnh: Thñy %d\n
LOC_G_Skills_73	Thuéc tÝnh: Háa %d\n
LOC_G_Skills_74	Thuéc tÝnh: Thæ %d\n
LOC_G_Skills_75	 ®iÓm
LOC_G_Skills_76	Thï
LOC_G_Skills_77	NPC kÎ thï
LOC_G_Skills_78	Cõu nh©n thuéc tÝnh ©m
LOC_G_Skills_79	 ng­êi
LOC_G_Skills_80	BÉy
LOC_G_Skills_81	\n §èi t­îng sö dông vâ c«ng:
LOC_G_Skills_82	 Khinh c«ng
LOC_G_Skills_83	 Ngåi thiÒn
LOC_G_Skills_84	\n<color=Blue>HiÖu qu¶: thi triÓn khinh c«ng
LOC_G_Skills_85	\n<color=Blue>HiÖu qu¶: t¨ng tèc ®é håi phôc khÝ huyÕt
LOC_G_Skills_86	BÞ tÊn c«ng sÏ dïng %s ph¶n ®ßn \n
LOC_G_Skills_87	Kinh m¹ch ch­a ®¶ th«ng, kh«ng thÓ sö dông vâ c«ng nµy!
LOC_G_Skills_88	Ph¶i %d gi©y sau b¹n míi cã thÓ tiÕp tôc sö dông chiªu thøc nµy!
LOC_G_Skills_89	B¹n ®ang thu chiªu, kh«ng thÓ tÊn c«ng!
LOC_G_Skills_90	Ng­êi ®¸nh ®µn
LOC_G_Skills_91	B¹n ®ang ë tr¹ng th¸i ®Æt biÖt, kh«ng thÓ di chuyÓn!
LOC_G_Skills_92	NhiÒu nhÊt chØ ®Æt ®­îc %d bÉy!
LOC_G_Skills_93	B¹n t¹m thêi kh«ng thÓ di chuyÓn!
LOC_G_Skills_94	\n Sau khi ch¹m vµo bÉy, sÏ t¹o ra mét luång khÝ ®éc duy tr× %d gi©y
LOC_G_Skills_95	Lùc c«ng kÝch %d
LOC_G_Skills_96	Håi phôc sinh lùc %d ®iÓm vµ g©y s¸t th­¬ng t­¬ng tù lªn hÖ ©m tÝnh.
LOC_G_Skills_97	\n Lùc c«ng kÝch %d
LOC_G_Skills_98	\n X¸c suÊt liªn hoµn: %d%%
LOC_G_Skills_99	B¹n kh«ng thÓ vËn néi khÝ nhiÒu h¬n
LOC_G_Skills_100	CÊp kÕ tiÕp
LOC_G_Skills_101	* 
LOC_G_Skills_102	Cao nhÊt
LOC_G_Skills_103	B¹n lÊy c¾p ®­îc (cÊp %d)- %s
LOC_G_Skills_104	V« chØ cÇm ©m, tõ n¬i nµo ®Õn!
LOC_G_Skills_105	Ch­a lÜnh héi ®­îc
LOC_G_Skills_106	§é tËp luyÖn
LOC_G_Skills_107	CÊp %d - "%s"
LOC_G_Skills_108	Vâ c«ng nµy bÞ h¹n chÕ sö dông.
LOC_G_Skills_109	NPC TrËn Kú
LOC_G_Skills_110	NPC thó c­ng
LOC_G_Skills_111	ChØ sö dông kü n¨ng nµy víi ng­êi ch¬i ®ang nh¶y
LOC_G_Skills_112	Kh«ng dõng kh«ng thÓ nh¶y tiÕp
LOC_G_Player_AutoMove_NotSupport	B¶n ®å nµy kh«ng hç trî tù t×m ®­êng.
LOC_G_Player_AutoMove_UnReachable	Kh«ng thÓ ®Õn ®­îc vÞ trÝ nµy.
LOC_G_Player_AutoMove_NotifyPlayerPos	Ng­êi ch¬i "%s" t¹i: %s(%d, %d)
LOC_G_Player_AutoMove_NotifyPlayerPos_Failed	Kh«ng t×m ®­îc ng­êi ch¬i "%s"
LOC_G_Player_AutoMove_NotifyPlayerPos_Go_SameMap	Ng­êi ch¬i "%s" t¹i: %s(%d, %d). Cã tù ®éng ®Õn ®iÓm nµy hay kh«ng?
LOC_G_Player_AutoMove_NotifyPlayerPos_Go_OtherMap	Ng­êi ch¬i "%s" t¹i: %s(%d, %d). Cã ph¶i sö dông "ThÇn hµnh bÝ b¶n" hay "ThÇn hµnh b¶o ®iÓn" ®Ó tù ®éng ®Õn vÞ trÝ nµy hay kh«ng?
LOC_G_PlayerPK_0	Kinh nghiÖm ©m cña b¹n qu¸ nhiÒu, chØ cã thÓ ë tr¹ng th¸i luyÖn c«ng!
LOC_G_PlayerPK_1	Kinh nghiÖm ©m cña b¹n qu¸ nhiÒu, kh«ng thÓ tiÕn hµnh cõu s¸t!
LOC_G_PlayerPK_2	§èi ph­¬ng tõ chèi yªu cÇu cña b¹n!
LOC_G_ProtocolProcess_0	Cã ng­êi 
LOC_G_ProtocolProcess_1	l­îng
LOC_G_ProtocolProcess_2	Ng©n l­îng
LOC_G_ProtocolProcess_3	Cã ng­êi
LOC_G_ProtocolProcess_4	Bang chñ ®· ph¸t tiÒn cho b¹n: %d!
LOC_G_ProtocolProcess_5	Ch­a bËt chøc n¨ng chuyÓn ph¸t tin tøc khi rêi m¹ng!
LOC_G_ProtocolProcess_6	Khi rêi m¹ng, môc tiªu chuyÓn ph¸t tin tøc lµ %s!
LOC_G_ProtocolProcess_7	ThiÕt lËp môc tiªu chuyÓn ph¸t tin tøc lµ %s!
LOC_G_ProtocolProcess_8	B¹n hiÖn t¹i kh«ng thÓ tiÕp nhËn tin nh¾n pm! \n nhËp vµo  /OfflineTrans Cã thÓ hñy bá thiÕt lËp.
LOC_G_ProtocolProcess_9	Thµnh lËp bang héi thÊt b¹i!
LOC_G_ProtocolProcess_10	%s xin gia nhËp bang héi!
LOC_G_ProtocolProcess_11	Thao t¸c bang héi ®· bÞ khãa, kh«ng thÓ nhËn chøc vÞ!
LOC_G_ProtocolProcess_12	§æi chøc vÞ thÊt b¹i, ng­êi nµy kh«ng cã trªn m¹ng!
LOC_G_ProtocolProcess_13	§æi chøc vÞ thÊt b¹i, ng­êi nµy kh«ng ®ñ n¨ng lùc!
LOC_G_ProtocolProcess_14	§æi chøc vÞ thÊt b¹i, ng­êi nµy kh«ng tån t¹i!
LOC_G_ProtocolProcess_15	Thao t¸c bang héi ®· bÞ khãa!
LOC_G_ProtocolProcess_16	%s xin gia nhËp liªn minh!
LOC_G_ProtocolProcess_17	%s tõ chèi gia nhËp liªn minh!
LOC_G_ProtocolProcess_18	TiÒn bang héi kh«ng ®ñ!
LOC_G_ScriptFuns_0	Ch­a
LOC_G_ScriptFuns_1	<Kh«ng thuéc khu vùc qu¶n lý>
LOC_G_ScriptFuns_2	HiÖn t¹i vÉn ch­a diÔn ra l«i ®µi.
LOC_G_ScriptFuns_3	Thµnh thÞ nµy gÇn ®©y kh«ng cã l«i ®µi chiÕn sù.
LOC_G_ScriptFuns_4	Tin tøc tæ ®éi
LOC_G_ScriptFuns_5	[Script] Sö dông AddItem sè l­îng tham sè kh«ng hîp lÖ!
LOC_G_ScriptFuns_6	[Script] Sö dông AddGoldItem sè l­îng tham sè kh«ng hîp lÖ!
LOC_G_ScriptFuns_7	[Script]GoldItem- tr­íc m¾t chØ hç trî cho trang bÞ Hoµng Kim!
LOC_G_ScriptFuns_8	GetItem kh«ng ®ñ tham sè!
LOC_G_ScriptFuns_9	HaveItem kh«ng ®ñ tham sè!
LOC_G_ScriptFuns_10	DelCommonItem kh«ng ®ñ tham sè!
LOC_G_ScriptFuns_11	ExistCommonItem kh«ng ®ñ tham sè!
LOC_G_ScriptFuns_12	GetItemLife kh«ng ®ñ tham sè!
LOC_G_ScriptFuns_13	V« Danh Thµnh
LOC_G_ScriptFuns_14	Ch­a ghi nhí
LOC_G_ScriptFuns_15	BÕn ®ß ch­a biÕt
LOC_G_ScriptFuns_16	Danh väng cña b¹n bÞ trõ %d ®iÓm!
LOC_G_ScriptFuns_17	Danh väng cña b¹n t¨ng thªm %d ®iÓm!
LOC_G_MagicDesc_0	Néi lùc 
LOC_G_MagicDesc_1	Sinh lùc
LOC_G_MagicDesc_2	ThÓ lùc
LOC_G_MagicDesc_3	Ng©n l­îng
LOC_G_MagicDesc_4	T¨ng
LOC_G_MagicDesc_5	Gi¶m
LOC_G_MagicDesc_6	N÷
LOC_G_MagicDesc_7	Nam
LOC_G_MagicDesc_8	KiÕm
LOC_G_MagicDesc_9	§¬n ®ao
LOC_G_MagicDesc_10	c«n bæng
LOC_G_MagicDesc_11	Th­¬ng
LOC_G_MagicDesc_12	Chïy
LOC_G_MagicDesc_13	Song ®ao
LOC_G_MagicDesc_14	TÊt c¶
LOC_G_MagicDesc_15	¸m khÝ
LOC_G_MagicDesc_16	L©n cËn
LOC_G_MagicDesc_17	Tay kh«ng
LOC_G_MagicDesc_18	VÞ Tri
LOC_G_KDiceGame_0	B¹n kh«ng ®ñ ng©n l­îng ®Ó ch¬i tiÕp!
LOC_G_KDiceGame_1	Trß ch¬i
LOC_G_KDiceGame_2	AddGlobalNews([[§Æc biÖt chóc mõng!%s tróng th­ëng ®Æc biÖt, nhËn ®­îc %d l­îng!]])
LOC_G_KDiceGame_3	%d:%d  M¸y: %s Quay sè %d|%d|%d , tiÒn ®Æt: %d TiÒn th­ëng:%d PhiÕu th­ëng:%d\n
LOC_G_STRING_AUTOHANGMSG_1	C«ng lùc cña b¹n qu¸ thÊp, kh«ng thÓ hÊp thô c«ng hiÖu thÇn kú cña ch¸o L¹p B¸t, ®îi ®Õn cÊp %d h·y quay trë l¹i nhÐ.
LOC_G_STRING_AUTOHANGMSG_2	ChØ cã ch¸o L¹p B¸t míi cã thÓ hót thô ®Þa khÝ n¬i nµy, gióp b¹n gia t¨ng c«ng lùc, xin h·y t×m §µo hoa Èn sü ®Ó mua mét Ýt ch¸o L¹p B¸t.
LOC_G_STRING_AUTOHANGMSG_3	B¹n ®· dïng hÕt ch¸o L¹p B¸t, h·y ®Õn §µo hoa Èn sü ®Ó mua thªm ®Ó cã thÓ tiÕp tôc luyÖn c«ng!
LOC_G_STRING_AUTOHANGMSG_4	B¹n nhËn ®­îc %d ®iÓm kinh nghiÖm!
LOC_G_TONG_FIGURE_CALL_MARSHAL	Bang chñ
LOC_G_TONG_FIGURE_CALL_QUEEN	Phã bang
LOC_G_TONG_FIGURE_CALL_GENERAL	Tr­ëng l·o
LOC_G_TONG_FIGURE_CALL_CAPTAIN	§­êng chñ
LOC_G_TONG_FIGURE_CALL_SERGEANT	H­¬ng chñ
LOC_G_TONG_FIGURE_CALL_SOLDIER	Bang chóng
LOC_G_CORESHELL_0	\n<color=White>§Þnh gi¸: <color=Yellow>
LOC_G_CORESHELL_1	§ang c­ìi ngùa, kh«ng thÓ täa thiÒn!
LOC_G_CORESHELL_STALL_0	\n<color=White>§Þnh gi¸ (thu nhËp): <color=Green>
LOC_G_CORESHELL_STALL_1	\n<color=White>Gi¸ b¸n (gåm thuÕ): <color=Green>
LOC_G_CORESHELL_STALL_2	\n<color=White>Gi¸ b¸n: <color=Green>
LOC_G_CORESHELL_STALL_3	\n<color=DBlue>ThuÕ suÊt khu vùc nµy: %d%%\n
LOC_G_STRING_ALLSKILLS	TÊt c¶ vâ c«ng
LOC_G_STRING_BRACKET_BEGIN	[
LOC_G_STRING_BRACKET_END	]
LOC_G_CITYWAR_WARNING_SETTAXTIME	Mçi ngµy chØ cho phÐp thiÕt lËp thuÕ tõ %d giê ®Õn %d giê
LOC_G_CITYWAR_WARNING_TAXALREADYSET1	B¹n ®· thiÕt lËp thuÕ cho ngµy h«m nay!
LOC_G_CITYWAR_WARNING_TAXALREADYSET	B¹n ®· thiÕt lËp thuÕ cho tuÇn nµy!
LOC_G_CITYWAR_WARNING_NOTTONGLEADER	B¹n kh«ng ph¶i bang chñ!
LOC_G_STRING_DISABLED_CHAT	Cã thÓ b¹n lµ ng­êi ë n¬i kh¸c, kh«ng thÓ sö dông kªnh t¸n gÉu nµy.
LOC_G_STRING_ENTER_CHANNEL	B¹n ®· gia nhËp kªnh %s!
LOC_G_STRING_LEAVE_CHANNEL	B¹n võa rêi khái kªnh %s!
LOC_K_C_BEGIN	T©n thñ
LOC_K_C_JUSTICE	ChÝnh ph¸i
LOC_K_C_EVIL	Tµ ph¸i
LOC_K_C_BALANCE	Trung lËp
LOC_K_C_FREE	S¸t thñ 
LOC_K_C_ANIMAL	D· thó
LOC_K_C_EVENT	Lé Nh©n
LOC_K_NPCRESNODE_0	§Ønh ®Çu
LOC_K_NPCRESNODE_1	D­íi ch©n
LOC_K_NPCRESNODE_2	TuÇn hoµn
LOC_K_NPC_0	Tªn
LOC_K_CHAT_TEAM_DEFAULT_NAME	B¹n
LOC_K_MATE_UNITNAME	Phèi ngÉu\n
LOC_K_BROTHER_UNITNAME	Th©n nh©n\n
